任务ID(末3位是任务的id，前面位表示归属的目标id，1001001即目标id=1001、任务id=1),归属目标(SurviveObjectiveDef的ID),名称,描述(加上@1会显示任务计数，使用@item_道具id#添加可查看详情的道具),任务追踪框描述(使用@item_道具id#添加道具文本，默认颜色#cfa7a0f),任务完成事件类型【1自动完成，2破坏方块，3获得道具，4加工道具，5冶炼道具，6道具损坏，7使用道具，8击败生物，9繁殖生物，10驯服生物，11玩家死亡，12（未用），13设置复活点，14抵达生态，15生存时间，16跳过夜晚，17方块交互(手持GoalID1:item点GoalID2:item，GoalID1=0为直接点击方块，GoalID2=0为放置方块)，18符文镶嵌(消耗指定符文石道具)，19修复道具，20烹饪道具，21施肥，22生物交互(手持GoalID1:item点GoalID2:monster，GoalID1=0为直接点击生物，不允许GoalID2=0)，23NPC交易，24游戏开始完成，25抵达星球，26编书，27钓鱼，28拆书，29符文镶嵌(消耗指定副材料道具)，30（未用），31符文镶嵌(获得指定效果类型EnchantType)，32种植，33放置方块（A放在B顶面），34穿戴装备】,任务完成对象(道具：I_itemID(若使用组则填“IG_道具ID”)、生物：M_monsterID、生态：B_biometypename、星球：P_planet(0=迷拉星，1=烈焰星，2=萌眼星)、T_tunestoneEnchantType，0代表任意),任务完成对象交互对象(17、22类型的任务需要配置Goal ID1和Goal ID2，使用1去交互2),任务完成对象所需数值,X轴(在任务展示框中的横轴坐标),Y轴(在任务展示框中的纵轴坐标),前置任务ID1,前置任务ID2,前置任务ID3,前置任务ID4,前置任务ID5,自动跟踪下个任务ID,任务奖励类型(0道具，1星星),任务奖励(奖励为星星则不填或填0),奖励数量,奖励发放类型(1=自动发放 2=手动领取),任务icon(填写“id”，获取显示对应item的图标，填写“#id”表示使用生物头像，路径：Assetruntime\Assets\Resources\ui\roles),指引图片(读取Assetruntime\Assets\Resources\ui\survivetaskguide目录下的文件名),旧版成就ID(对应achievement.csv)
1009004,1009,“叮叮历险记”,击败萌眼叮叮，获得@item_11077#@1#r(区分萌眼生物的办法就是看它们的颜色，“萌眼叮叮”的颜色是白色的，非常怕人，但要小心它们吐出的炸弹),获得@item_11077#@1,3,I_11077,,1,2,2,1009001,,,,,1009005,0,11077,2,2,11077,1009004,
1009005,1009,星启石,用@item_11077#加工获得@item_11075#@1#r(在@item_11075#之前需要在萌眼星上找到@item_11090#才行),加工@item_11075#@1,4,I_11075,,1,3,2,1009004,,,,,1009006,0,11075,1,2,11075,1009005,
1009006,1009,激活萌眼星图腾,使用@item_11075#激活@item_1042#@1#r(激活后能够生成一大片的氧气区，在氧气区内就不用担心缺氧了),激活@item_1042#@1,17,I_11075,I_1042,1,4,2,1009005,,,,,1009007,0,11911,1,2,1042,1009006,1259
1009007,1009,星瞳矿石,采集@item_445#获得@item_11073#@1#r(@item_445#是萌眼星的特有矿物之一，质地相比黄铜要坚硬许多),采集@item_445#获得@item_11073#@1,2,I_445,,3,2,3,1009001,,,,,1009008,0,11073,2,2,11073,1009007,
1009008,1009,星瞳钻头,加工@item_11016#@1#r(想要加工@item_11016#必须先获得@item_11087#),加工@item_11016#,4,I_11016,,1,3,3,1009007,,,,,1009009,0,11073,2,2,11016,1009008,1260
1009009,1009,紫色的矿石,采集@item_446#获得@item_11074#@1#r(@item_446#也是萌眼星的特有矿物之一，但是产量极低，只在萌眼星空岛少有发现),采集@item_446#获得@item_11074#@1,2,I_446,,3,4,3,1009008,,,,,1009010,0,11074,2,2,11074,1009009,
1009010,1009,飞天遁地！,加工@item_12006#@1#r(想要加工@item_12006#必须先获得@item_11088#),加工@item_12006#@1,4,I_12006,,1,5,3,1009009,,,,,1009011,0,11074,2,2,12006,1009010,1261
1009011,1009,谢幕！“智慧之章”,完成“超'石'空救援”目标中的所有任务,完成“超'石'空救援”目标中的所有任务,1,0,,1,6,2,1009003,1009006,1009010,,,1001001,1,0,1,1,14107,,
2001001,2001,石斧Ⅰ,加工@item_11002#@1#r(主要通过消耗材料@item_11323#和@item_11627#加工而成）,加工@item_11002#@1,4,I_11002,,3,1,1,,,,,,2001002,0,11627,5,2,11002,,
2001002,2001,石斧Ⅱ,加工@item_11002#@1#r(主要通过消耗材料@item_11323#和@item_11627#加工而成）,加工@item_11002#@1,4,I_11002,,20,2,1,,,,,,2001003,0,104,10,2,11002,,
2001003,2001,黄铜斧Ⅰ,加工@item_11001#@1#r(主要通过消耗材料@item_11323#和@item_11329#加工而成）,加工@item_11001#@1,4,I_11001,,3,4,1,,,,,,2001004,0,11329,5,2,11001,,
2001004,2001,黄铜斧Ⅱ,加工@item_11001#@1#r(主要通过消耗材料@item_11323#和@item_11329#加工而成）,加工@item_11001#@1,4,I_11001,,20,5,1,,,,,,2001005,0,456,3,2,11001,,
2001005,2001,秘银斧Ⅰ,加工@item_11003#@1#r(主要通过消耗材料@item_11323#和@item_11209#加工而成）,加工@item_11003#@1,4,I_11003,,3,7,1,,,,,,2001006,0,11209,5,2,11003,,
2001006,2001,秘银斧Ⅱ,加工@item_11003#@1#r(主要通过消耗材料@item_11323#和@item_11209#加工而成）,加工@item_11003#@1,4,I_11003,,20,8,1,,,,,,2001007,0,411,3,2,11003,,
2001007,2001,钛合金斧Ⅰ,加工@item_11004#@1#r(主要通过消耗材料@item_11323#和@item_11330#加工而成）,加工@item_11004#@1,4,I_11004,,3,10,1,,,,,,2001008,0,11330,5,2,11004,,
2001008,2001,钛合金斧Ⅱ,加工@item_11004#@1#r(主要通过消耗材料@item_11323#和@item_11330#加工而成）,加工@item_11004#@1,4,I_11004,,20,11,1,,,,,,2001009,0,457,3,2,11004,,
2001009,2001,链锯Ⅰ,加工@item_11005#@1#r(主要通过消耗材料@item_11203#和@item_11911#加工而成）,加工@item_11005#@1,4,I_11005,,3,13,1,,,,,,2001010,0,11203,5,2,11005,,
2001010,2001,链锯Ⅱ,加工@item_11005#@1#r(主要通过消耗材料@item_11203#和@item_11911#加工而成）,加工@item_11005#@1,4,I_11005,,10,14,1,,,,,,2001011,0,408,1,2,11005,,
2001011,2001,石铲Ⅰ,加工@item_11022#@1#r(主要通过消耗材料@item_11323#和@item_11627#加工而成）,加工@item_11022#@1,4,I_11022,,3,1,2,,,,,,2001012,0,11627,5,2,11022,,
2001012,2001,石铲Ⅱ,加工@item_11022#@1#r(主要通过消耗材料@item_11323#和@item_11627#加工而成）,加工@item_11022#@1,4,I_11022,,20,2,2,,,,,,2001013,0,104,10,2,11022,,
2001013,2001,黄铜铲Ⅰ,加工@item_11021#@1#r(主要通过消耗材料@item_11323#和@item_11329#加工而成）,加工@item_11021#@1,4,I_11021,,3,4,2,,,,,,2001014,0,11329,5,2,11021,,
2001014,2001,黄铜铲Ⅱ,加工@item_11021#@1#r(主要通过消耗材料@item_11323#和@item_11329#加工而成）,加工@item_11021#@1,4,I_11021,,20,5,2,,,,,,2001015,0,456,3,2,11021,,
2001015,2001,秘银铲Ⅰ,加工@item_11023#@1#r(主要通过消耗材料@item_11323#和@item_11209#加工而成）,加工@item_11023#@1,4,I_11023,,3,7,2,,,,,,2001016,0,11209,5,2,11023,,
2001016,2001,秘银铲Ⅱ,加工@item_11023#@1#r(主要通过消耗材料@item_11323#和@item_11209#加工而成）,加工@item_11023#@1,4,I_11023,,20,8,2,,,,,,2001017,0,411,3,2,11023,,
2001017,2001,钛合金铲Ⅰ,加工@item_11024#@1#r(主要通过消耗材料@item_11323#和@item_11330#加工而成）,加工@item_11024#@1,4,I_11024,,3,10,2,,,,,,2001018,0,11330,5,2,11024,,
2001018,2001,钛合金铲Ⅱ,加工@item_11024#@1#r(主要通过消耗材料@item_11323#和@item_11330#加工而成）,加工@item_11024#@1,4,I_11024,,20,11,2,,,,,,2001019,0,457,3,2,11024,,
2001019,2001,钨金铲Ⅰ,加工@item_11025#@1#r(主要通过消耗材料@item_11203#和@item_11911#加工而成）,加工@item_11025#@1,4,I_11025,,3,13,2,,,,,,2001020,0,11203,5,2,11025,,
2001020,2001,钨金铲Ⅱ,加工@item_11025#@1#r(主要通过消耗材料@item_11203#和@item_11911#加工而成）,加工@item_11025#@1,4,I_11025,,10,14,2,,,,,,2001021,0,408,1,2,11025,,
2001021,2001,石耙Ⅰ,加工@item_11032#@1#r(主要通过消耗材料@item_11323#和@item_11627#加工而成）,加工@item_11032#@1,4,I_11032,,3,1,3,,,,,,2001022,0,11627,5,2,11032,,
2001022,2001,石耙Ⅱ,加工@item_11032#@1#r(主要通过消耗材料@item_11323#和@item_11627#加工而成）,加工@item_11032#@1,4,I_11032,,20,2,3,,,,,,2001023,0,104,10,2,11032,,
2001023,2001,黄铜耙Ⅰ,加工@item_11031#@1#r(主要通过消耗材料@item_11323#和@item_11329#加工而成）,加工@item_11031#@1,4,I_11031,,3,4,3,,,,,,2001024,0,11329,5,2,11031,,
2001024,2001,黄铜耙Ⅱ,加工@item_11031#@1#r(主要通过消耗材料@item_11323#和@item_11329#加工而成）,加工@item_11031#@1,4,I_11031,,20,5,3,,,,,,2001025,0,456,3,2,11031,,
2001025,2001,秘银耙Ⅰ,加工@item_11033#@1#r(主要通过消耗材料@item_11323#和@item_11209#加工而成）,加工@item_11033#@1,4,I_11033,,3,7,3,,,,,,2001026,0,11209,5,2,11033,,
2001026,2001,秘银耙Ⅱ,加工@item_11033#@1#r(主要通过消耗材料@item_11323#和@item_11209#加工而成）,加工@item_11033#@1,4,I_11033,,20,8,3,,,,,,2001027,0,411,3,2,11033,,
2001027,2001,钛合金耙Ⅰ,加工@item_11034#@1#r(主要通过消耗材料@item_11323#和@item_11330#加工而成）,加工@item_11034#@1,4,I_11034,,3,10,3,,,,,,2001028,0,11330,5,2,11034,,
2001028,2001,钛合金耙Ⅱ,加工@item_11034#@1#r(主要通过消耗材料@item_11323#和@item_11330#加工而成）,加工@item_11034#@1,4,I_11034,,20,11,3,,,,,,2001029,0,457,3,2,11034,,
2001029,2001,钨金耙Ⅰ,加工@item_11035#@1#r(主要通过消耗材料@item_11203#和@item_11911#加工而成）,加工@item_11035#@1,4,I_11035,,3,13,3,,,,,,2001030,0,11203,5,2,11035,,
2001030,2001,钨金耙Ⅱ,加工@item_11035#@1#r(主要通过消耗材料@item_11203#和@item_11911#加工而成）,加工@item_11035#@1,4,I_11035,,10,14,3,,,,,,2001031,0,408,1,2,11035,,
2001031,2001,石镐Ⅰ,加工@item_11012#@1#r(主要通过消耗材料@item_11323#和@item_11627#加工而成）,加工@item_11012#@1,4,I_11012,,3,1,4,,,,,,2001032,0,11627,5,2,11012,,1083
2001032,2001,石镐Ⅱ,加工@item_11012#@1#r(主要通过消耗材料@item_11323#和@item_11627#加工而成）,加工@item_11012#@1,4,I_11012,,20,2,4,,,,,,2001033,0,104,10,2,11012,,1083
2001033,2001,黄铜镐Ⅰ,加工@item_11011#@1#r(主要通过消耗材料@item_11323#和@item_11329#加工而成）,加工@item_11011#@1,4,I_11011,,3,4,4,,,,,,2001034,0,11329,5,2,11011,,
2001034,2001,黄铜镐Ⅱ,加工@item_11011#@1#r(主要通过消耗材料@item_11323#和@item_11329#加工而成）,加工@item_11011#@1,4,I_11011,,20,5,4,,,,,,2001035,0,456,3,2,11011,,
2001035,2001,秘银镐Ⅰ,加工@item_11013#@1#r(主要通过消耗材料@item_11323#和@item_11209#加工而成）,加工@item_11013#@1,4,I_11013,,3,7,4,,,,,,2001036,0,11209,5,2,11013,,1084
2001036,2001,秘银镐Ⅱ,加工@item_11013#@1#r(主要通过消耗材料@item_11323#和@item_11209#加工而成）,加工@item_11013#@1,4,I_11013,,20,8,4,,,,,,2001037,0,411,3,2,11013,,1084
2001037,2001,钛合金镐Ⅰ,加工@item_11014#@1#r(主要通过消耗材料@item_11323#和@item_11330#加工而成）,加工@item_11014#@1,4,I_11014,,3,10,4,,,,,,2001038,0,11330,5,2,11014,,
2001038,2001,钛合金镐Ⅱ,加工@item_11014#@1#r(主要通过消耗材料@item_11323#和@item_11330#加工而成）,加工@item_11014#@1,4,I_11014,,20,11,4,,,,,,2001039,0,457,3,2,11014,,
2001039,2001,钻头Ⅰ,加工@item_11015#@1#r(主要通过消耗材料@item_11203#和@item_11911#加工而成）,加工@item_11015#@1,4,I_11015,,3,13,4,,,,,,2001040,0,11203,5,2,11015,,1085
2001040,2001,钻头Ⅱ,加工@item_11015#@1#r(主要通过消耗材料@item_11203#和@item_11911#加工而成）,加工@item_11015#@1,4,I_11015,,10,14,4,,,,,,2001041,0,408,1,2,11015,,1085
2001041,2001,星瞳钻头Ⅰ,加工@item_11016#@1#r(主要通过消耗材料@item_11073#加工而成）,加工@item_11016#@1,4,I_11016,,3,1,5,,,,,,2001042,0,11073,8,2,11016,,
2001042,2001,星瞳钻头Ⅱ,加工@item_11016#@1#r(主要通过消耗材料@item_11073#加工而成）,加工@item_11016#@1,4,I_11016,,10,2,5,,,,,,2002001,0,449,3,2,11016,,
2002001,2002,肥沃的土坑,使用铲类工具挖出@item_103#@1#r(手持铲类工具，比如@item_11022#，对准@item_101#或@item_100#点击使用按钮（PC端长按右键）可进行挖坑),使用铲类工具挖出@item_103#@1,7,IG_11022,,3,1,1,,,,,,2002002,0,11500,1,2,103,2002001,
2002002,2002,湿润土壤,使用@item_11628#给@item_103#浇水@1#r(使用@item_11617#点击水方块可将其装满，使用@item_11628#点击@item_103#或@item_102#可使其湿润),使用@item_11628#给@item_103#浇水@1,17,I_11628,I_103,3,2,1,2002001,,,,,2002003,0,11405,5,2,11628,2002002,
2002003,2002,樱桃树Ⅰ,在@item_103#种植@item_11405#@1#r(通常生长在草原、森林生态),种@item_11405#@1,32,I_212,,5,1,2,,,,,,2002006,0,12500,5,2,212,2002003,
2002004,2002,樱桃树Ⅱ,在@item_103#种植@item_11405#@1#r(通常生长在草原、森林生态),种@item_11405#@1,32,I_212,,50,2,2,,,,,,2002005,0,12500,15,2,212,2002003,
2002005,2002,樱桃树Ⅲ,在@item_103#种植@item_11405#@1#r(通常生长在草原、森林生态),种@item_11405#@1,32,I_212,,100,3,2,,,,,,2002007,0,12500,30,2,212,2002003,
2002006,2002,松树Ⅰ,在@item_103#种植@item_11406#@1#r(通常生长在高山针叶林生态),种@item_11406#@1,32,I_213,,5,5,2,,,,,,2002009,0,12503,5,2,213,2002006,
2002007,2002,松树Ⅱ,在@item_103#种植@item_11406#@1#r(通常生长在高山针叶林生态),种@item_11406#@1,32,I_213,,50,6,2,,,,,,2002008,0,12503,15,2,213,2002006,
2002008,2002,松树Ⅲ,在@item_103#种植@item_11406#@1#r(通常生长在高山针叶林生态),种@item_11406#@1,32,I_213,,100,7,2,,,,,,2002010,0,12503,30,2,213,2002006,
2002009,2002,乔木Ⅰ,在@item_103#种植@item_11407#@1#r(通常生长在雨林生态),种@item_11407#@1,32,I_382,,5,9,2,,,,,,2002012,0,378,5,2,382,2002009,
2002010,2002,乔木Ⅱ,在@item_103#种植@item_11407#@1#r(通常生长在雨林生态),种@item_11407#@1,32,I_382,,50,10,2,,,,,,2002011,0,378,15,2,382,2002009,
2002011,2002,乔木Ⅲ,在@item_103#种植@item_11407#@1#r(通常生长在雨林生态),种@item_11407#@1,32,I_382,,100,11,2,,,,,,2002013,0,378,30,2,382,2002009,
2002012,2002,桃树Ⅰ,在@item_103#种植@item_11409#@1#r(通常生长在桃树盆地生态),种@item_11409#@1,32,I_256,,5,1,3,,,,,,2002015,0,12601,5,2,256,2002012,
2002013,2002,桃树Ⅱ,在@item_103#种植@item_11409#@1#r(通常生长在桃树盆地生态),种@item_11409#@1,32,I_256,,50,2,3,,,,,,2002014,0,12601,15,2,256,2002012,
2002014,2002,桃树Ⅲ,在@item_103#种植@item_11409#@1#r(通常生长在桃树盆地生态),种@item_11409#@1,32,I_256,,100,3,3,,,,,,2002016,0,12601,30,2,256,2002012,
2002015,2002,白杨Ⅰ,在@item_103#种植@item_11410#@1#r(通常生长在草原、森林生态),种@item_11410#@1,32,I_214,,5,5,3,,,,,,2002018,0,12604,5,2,214,2002015,
2002016,2002,白杨Ⅱ,在@item_103#种植@item_11410#@1#r(通常生长在草原、森林生态),种@item_11410#@1,32,I_214,,50,6,3,,,,,,2002017,0,12604,15,2,214,2002015,
2002017,2002,白杨Ⅲ,在@item_103#种植@item_11410#@1#r(通常生长在草原、森林生态),种@item_11410#@1,32,I_214,,100,7,3,,,,,,2002019,0,12604,30,2,214,2002015,
2002018,2002,核桃木Ⅰ,在@item_103#种植@item_11411#@1#r(通常生长在空岛上),种@item_11411#@1,32,I_217,,5,9,3,,,,,,2002021,0,12603,5,2,217,2002018,
2002019,2002,核桃木Ⅱ,在@item_103#种植@item_11411#@1#r(通常生长在空岛上),种@item_11411#@1,32,I_217,,50,10,3,,,,,,2002020,0,12603,15,2,217,2002018,
2002020,2002,核桃木Ⅲ,在@item_103#种植@item_11411#@1#r(通常生长在空岛上),种@item_11411#@1,32,I_217,,100,11,3,,,,,,2002022,0,12603,30,2,217,2002018,
2002021,2002,红杉木Ⅰ,在@item_103#种植@item_11412#@1#r(通常生长在丛林生态),种@item_11412#@1,32,I_215,,5,1,4,,,,,,2002024,0,12602,5,2,215,2002021,
2002022,2002,红杉木Ⅱ,在@item_103#种植@item_11412#@1#r(通常生长在丛林生态),种@item_11412#@1,32,I_215,,50,2,4,,,,,,2002023,0,12602,15,2,215,2002021,
2002023,2002,红杉木Ⅲ,在@item_103#种植@item_11412#@1#r(通常生长在丛林生态),种@item_11412#@1,32,I_215,,100,3,4,,,,,,2002025,0,12602,30,2,215,2002021,
2002024,2002,胡杨Ⅰ,在@item_103#种植@item_11421#@1#r(通常生长在沙漠生态),种@item_11421#@1,32,I_476,,5,5,4,,,,,,2002027,0,12610,5,2,11421,2002024,
2002025,2002,胡杨Ⅱ,在@item_103#种植@item_11421#@1#r(通常生长在沙漠生态),种@item_11421#@1,32,I_476,,50,6,4,,,,,,2002026,0,12610,15,2,11421,2002024,
2002026,2002,胡杨Ⅲ,在@item_103#种植@item_11421#@1#r(通常生长在沙漠生态),种@item_11421#@1,32,I_476,,100,7,4,,,,,,2002028,0,12610,30,2,11421,2002024,
2002027,2002,珍木Ⅰ,在@item_137#种植@item_11408#@1#r(通常生长在萌眼星),种@item_11408#@1,32,I_259,,5,9,4,,,,,,2002030,0,12583,5,2,259,2002027,
2002028,2002,珍木Ⅱ,在@item_137#种植@item_11408#@1#r(通常生长在萌眼星),种@item_11408#@1,32,I_259,,50,10,4,,,,,,2002029,0,12583,15,2,259,2002027,
2002029,2002,珍木Ⅲ,在@item_137#种植@item_11408#@1#r(通常生长在萌眼星),种@item_11408#@1,32,I_259,,100,11,4,,,,,,2002031,0,12583,30,2,259,2002027,
2002030,2002,香蕉树Ⅰ,在@item_103#种植@item_383#@1#r(通常生长在雨林生态),种@item_383#@1,32,I_383,,5,1,5,,,,,,2002033,0,11599,5,2,383,2002030,
2002031,2002,香蕉树Ⅱ,在@item_103#种植@item_383#@1#r(通常生长在雨林生态),种@item_383#@1,32,I_383,,50,2,5,,,,,,2002032,0,11599,15,2,383,2002030,
2002032,2002,香蕉树Ⅲ,在@item_103#种植@item_383#@1#r(通常生长在雨林生态),种@item_383#@1,32,I_383,,100,3,5,,,,,,2002034,0,11599,30,2,383,2002030,
2002033,2002,椰树Ⅰ,在@item_103#种植@item_295#@1#r(通常生长在沙滩生态),种@item_295#@1,32,I_292,,5,5,5,,,,,,2002036,0,295,5,2,295,2002033,
2002034,2002,椰树Ⅱ,在@item_103#种植@item_295#@1#r(通常生长在沙滩生态),种@item_295#@1,32,I_292,,50,6,5,,,,,,2002035,0,295,15,2,295,2002033,
2002035,2002,椰树Ⅲ,在@item_103#种植@item_295#@1#r(通常生长在沙滩生态),种@item_295#@1,32,I_292,,100,7,5,,,,,,2002037,0,295,30,2,295,2002033,
2002036,2002,仙人掌Ⅰ,在@item_103#种植@item_11420#@1#r(通常生长在沙漠生态),种@item_11420#@1,32,I_458,,5,9,5,,,,,,2003001,0,12613,5,2,11420,2002036,
2002037,2002,仙人掌Ⅱ,在@item_103#种植@item_11420#@1#r(通常生长在沙漠生态),种@item_11420#@1,32,I_458,,50,10,5,,,,,,2002038,0,12613,15,2,11420,2002036,
2002038,2002,仙人掌Ⅲ,在@item_103#种植@item_11420#@1#r(通常生长在沙漠生态),种@item_11420#@1,32,I_458,,100,11,5,,,,,,2003001,0,12613,30,2,11420,2002036,
2003001,2003,风铃花Ⅰ,在@item_103#种植@item_431#@1#r(@item_300#通常生长在草原、桃树盆地等生态里),种@item_431#@1,32,I_431,,5,1,1,,,,,,2003004,0,300,5,2,300,2003001,
2003002,2003,风铃花Ⅱ,在@item_103#种植@item_431#@1#r(@item_300#通常生长在草原、桃树盆地等生态里),种@item_431#@1,32,I_431,,50,2,1,,,,,,2003003,0,300,15,2,300,2003001,
2003003,2003,风铃花Ⅲ,在@item_103#种植@item_431#@1#r(@item_300#通常生长在草原、桃树盆地等生态里),种@item_431#@1,32,I_431,,100,3,1,,,,,,2003005,0,300,30,2,300,2003001,
2003004,2003,若兰Ⅰ,在@item_103#种植@item_432#@1#r(@item_301#通常生长在森林、针叶林等生态里),种@item_432#@1,32,I_432,,5,5,1,,,,,,2003007,0,301,5,2,301,2003004,
2003005,2003,若兰Ⅱ,在@item_103#种植@item_432#@1#r(@item_301#通常生长在森林、针叶林等生态里),种@item_432#@1,32,I_432,,50,6,1,,,,,,2003006,0,301,15,2,301,2003004,
2003006,2003,若兰Ⅲ,在@item_103#种植@item_432#@1#r(@item_301#通常生长在森林、针叶林等生态里),种@item_432#@1,32,I_432,,100,7,1,,,,,,2003008,0,301,30,2,301,2003004,
2003007,2003,星辰花Ⅰ,在@item_103#种植@item_433#@1#r(@item_302#通常生长在空岛、峭壁等生态里),种@item_433#@1,32,I_433,,5,9,1,,,,,,2003010,0,302,5,2,302,2003007,
2003008,2003,星辰花Ⅱ,在@item_103#种植@item_433#@1#r(@item_302#通常生长在空岛、峭壁等生态里),种@item_433#@1,32,I_433,,50,10,1,,,,,,2003009,0,302,15,2,302,2003007,
2003009,2003,星辰花Ⅲ,在@item_103#种植@item_433#@1#r(@item_302#通常生长在空岛、峭壁等生态里),种@item_433#@1,32,I_433,,100,11,1,,,,,,2003011,0,302,30,2,302,2003007,
2003010,2003,龙血花Ⅰ,在@item_103#种植@item_434#@1#r(@item_303#通常生长在竹林盆地、桃树盆地等生态里),种@item_434#@1,32,I_434,,5,1,2,,,,,,2003013,0,303,5,2,303,2003010,
2003011,2003,龙血花Ⅱ,在@item_103#种植@item_434#@1#r(@item_303#通常生长在竹林盆地、桃树盆地等生态里),种@item_434#@1,32,I_434,,50,2,2,,,,,,2003012,0,303,15,2,303,2003010,
2003012,2003,龙血花Ⅲ,在@item_103#种植@item_434#@1#r(@item_303#通常生长在竹林盆地、桃树盆地等生态里),种@item_434#@1,32,I_434,,100,3,2,,,,,,2003014,0,303,30,2,303,2003010,
2003013,2003,风信子Ⅰ,在@item_103#种植@item_435#@1#r(@item_304#通常生长在丛林、森林等生态里),种@item_435#@1,32,I_435,,5,5,2,,,,,,2003016,0,304,5,2,304,2003013,
2003014,2003,风信子Ⅱ,在@item_103#种植@item_435#@1#r(@item_304#通常生长在丛林、森林等生态里),种@item_435#@1,32,I_435,,50,6,2,,,,,,2003015,0,304,15,2,304,2003013,
2003015,2003,风信子Ⅲ,在@item_103#种植@item_435#@1#r(@item_304#通常生长在丛林、森林等生态里),种@item_435#@1,32,I_435,,100,7,2,,,,,,2003016,0,304,30,2,304,2003013,
2003016,2003,龙爪草Ⅰ,在@item_103#种植@item_436#@1#r(@item_305#通常生长在峭壁生态里),种@item_436#@1,32,I_436,,5,9,2,,,,,,2003019,0,305,5,2,305,2003016,
2003017,2003,龙爪草Ⅱ,在@item_103#种植@item_436#@1#r(@item_305#通常生长在峭壁生态里),种@item_436#@1,32,I_436,,50,10,2,,,,,,2003018,0,305,15,2,305,2003016,
2003018,2003,龙爪草Ⅲ,在@item_103#种植@item_436#@1#r(@item_305#通常生长在峭壁生态里),种@item_436#@1,32,I_436,,100,11,2,,,,,,2003019,0,305,30,2,305,2003016,
2003019,2003,黄钟花Ⅰ,在@item_103#种植@item_443#@1#r(@item_312#通常生长在草原、丛林等生态里),种@item_443#@1,32,I_443,,5,1,3,,,,,,2003022,0,312,5,2,312,2003019,
2003020,2003,黄钟花Ⅱ,在@item_103#种植@item_443#@1#r(@item_312#通常生长在草原、丛林等生态里),种@item_443#@1,32,I_443,,50,2,3,,,,,,2003021,0,312,15,2,312,2003019,
2003021,2003,黄钟花Ⅲ,在@item_103#种植@item_443#@1#r(@item_312#通常生长在草原、丛林等生态里),种@item_443#@1,32,I_443,,100,3,3,,,,,,2003023,0,312,30,2,312,2003019,
2003022,2003,龙血树Ⅰ,在@item_103#种植@item_437#@1#r(@item_306#通常生长在沼泽、雨林等生态里),种@item_437#@1,32,I_437,,5,5,3,,,,,,2003025,0,306,5,2,306,2003022,
2003023,2003,龙血树Ⅱ,在@item_103#种植@item_437#@1#r(@item_306#通常生长在沼泽、雨林等生态里),种@item_437#@1,32,I_437,,50,6,3,,,,,,2003024,0,306,15,2,306,2003022,
2003024,2003,龙血树Ⅲ,在@item_103#种植@item_437#@1#r(@item_306#通常生长在沼泽、雨林等生态里),种@item_437#@1,32,I_437,,100,7,3,,,,,,2003026,0,306,30,2,306,2003022,
2003025,2003,红色龙舌兰Ⅰ,在@item_103#种植@item_438#@1#r(@item_307#通常生长在空岛、红土岛等生态里),种@item_438#@1,32,I_438,,5,9,3,,,,,,2003028,0,307,5,2,307,2003025,
2003026,2003,红色龙舌兰Ⅱ,在@item_103#种植@item_438#@1#r(@item_307#通常生长在空岛、红土岛等生态里),种@item_438#@1,32,I_438,,50,10,3,,,,,,2003027,0,307,15,2,307,2003025,
2003027,2003,红色龙舌兰Ⅲ,在@item_103#种植@item_438#@1#r(@item_307#通常生长在空岛、红土岛等生态里),种@item_438#@1,32,I_438,,100,11,3,,,,,,2003029,0,307,30,2,307,2003025,
2003028,2003,橙色龙舌兰Ⅰ,在@item_103#种植@item_439#@1#r(@item_308#通常生长在竹林盆地、红土岛等生态里),种@item_439#@1,32,I_439,,5,1,4,,,,,,2003031,0,308,5,2,308,2003028,
2003029,2003,橙色龙舌兰Ⅱ,在@item_103#种植@item_439#@1#r(@item_308#通常生长在竹林盆地、红土岛等生态里),种@item_439#@1,32,I_439,,50,2,4,,,,,,2003030,0,308,15,2,308,2003028,
2003030,2003,橙色龙舌兰Ⅲ,在@item_103#种植@item_439#@1#r(@item_308#通常生长在竹林盆地、红土岛等生态里),种@item_439#@1,32,I_439,,100,3,4,,,,,,2003032,0,308,30,2,308,2003028,
2003031,2003,灰色龙舌兰Ⅰ,在@item_103#种植@item_440#@1#r(@item_309#通常生长在峭壁、红土岛等生态里),种@item_440#@1,32,I_440,,5,5,4,,,,,,2003034,0,309,5,2,309,2003031,
2003032,2003,灰色龙舌兰Ⅱ,在@item_103#种植@item_440#@1#r(@item_309#通常生长在峭壁、红土岛等生态里),种@item_440#@1,32,I_440,,50,6,4,,,,,,2003033,0,309,15,2,309,2003031,
2003033,2003,灰色龙舌兰Ⅲ,在@item_103#种植@item_440#@1#r(@item_309#通常生长在峭壁、红土岛等生态里),种@item_440#@1,32,I_440,,100,7,4,,,,,,2003035,0,309,30,2,309,2003031,
2003034,2003,粉色龙舌兰Ⅰ,在@item_103#种植@item_441#@1#r(@item_310#通常生长在桃树盆地、红土岛等生态里),种@item_441#@1,32,I_441,,5,9,4,,,,,,2003037,0,310,5,2,310,2003034,
2003035,2003,粉色龙舌兰Ⅱ,在@item_103#种植@item_441#@1#r(@item_310#通常生长在桃树盆地、红土岛等生态里),种@item_441#@1,32,I_441,,50,10,4,,,,,,2003036,0,310,15,2,310,2003034,
