接口ID,繁体,繁体,繁体,中文繁體,中文繁體,中文繁體,中文繁體
50045,遊戲玩家,getSneakSpeed,Player:getSneakSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",潛行速度,local result = Player:getSneakSpeed(objid)
50046,遊戲玩家,getDodge,Player:getDodge(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",閃避,local result = Player:getDodge(objid)
50047,遊戲玩家,getPunchAttack,Player:getPunchAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",近程攻擊,local result = Player:getPunchAttack(objid)
50048,遊戲玩家,getRangeAttack,Player:getRangeAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",遠程攻擊,local result = Player:getRangeAttack(objid)
50049,遊戲玩家,getPunchDefense,Player:getPunchDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",近程防禦,local result = Player:getPunchDefense(objid)
50050,遊戲玩家,getRangeDefense,Player:getRangeDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",遠程防禦,local result = Player:getRangeDefense(objid)
50051,遊戲玩家,getStarNum,"Player:getStarNum(objid, val)","objid:number, atttype:number","ErrorCode.OK, value:number",星星數,"local result = Player:getStarNum(objid, val)"
50052,遊戲玩家,getModelScale,"Player:getModelScale(objid, val)","objid:number, atttype:number","ErrorCode.OK, value:number",模型大小,"local result = Player:getModelScale(objid, val)"
50053,遊戲玩家,setMaxHP,"Player:setMaxHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,設置最大血量,"local result = Player:setMaxHP(objid, val)"
50054,遊戲玩家,setHP,"Player:setHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,設置血量,"local result = Player:setHP(objid, val)"
50055,遊戲玩家,setHpRecover,Player:setHpRecover(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,設置HP恢復,local result = Player:setHpRecover(objid)
50056,遊戲玩家,setCurFood,Player:setCurFood(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,設置當前飢餓度,local result = Player:setCurFood(objid)
50057,遊戲玩家,setOxygen,"Player:setOxygen(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,設置氧氣,"local result = Player:setOxygen(objid, val)"
50058,遊戲玩家,setWalkSpeed,"Player:setWalkSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,設置行走速度,"local result = Player:setWalkSpeed(objid, val)"
50059,遊戲玩家,setSwimSpeed,"Player:setSwimSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,設置游泳速度（水中速度）,"local result = Player:setSwimSpeed(objid, val)"
50060,遊戲玩家,setJumpPower,"Player:setJumpPower(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,設置跳躍力,"local result = Player:setJumpPower(objid, val)"
50061,遊戲玩家,setRunSpeed,"Player:setRunSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,設置奔跑速度,"local result = Player:setRunSpeed(objid, val)"
50062,遊戲玩家,setSneakSpeed,"Player:setSneakSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,設置潛行速度,"local result = Player:setSneakSpeed(objid, val)"
50063,遊戲玩家,setDodge,"Player:setDodge(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,設置閃避,"local result = Player:setDodge(objid, val)"
50064,遊戲玩家,setPunchAttack,"Player:setPunchAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,設置近程攻擊,"local result = Player:setPunchAttack(objid, val)"
50065,遊戲玩家,setRangeAttack,"Player:setRangeAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,設置遠程攻擊,"local result = Player:setRangeAttack(objid, val)"
50066,遊戲玩家,setPunchDefense,"Player:setPunchDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,設置近程防禦,"local result = Player:setPunchDefense(objid, val)"
50067,遊戲玩家,setRangeDefense,"Player:setRangeDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,設置遠程防禦,"local result = Player:setRangeDefense(objid, val)"
50068,遊戲玩家,setStarNum,"Player:setStarNum(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,設置星星數,"local result = Player:setStarNum(objid, val)"
50069,遊戲玩家,setModelScale,"Player:setModelScale(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,設置模型大小,"local result = Player:setModelScale(objid, val)"
50070,遊戲玩家,setPosition,"Player:setPosition(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,設置actor位置,"local result = Player:setPosition(objid, x, y, z)"
50071,遊戲玩家,getAimPos,Player:getAimPos(objid),objid:number,ErrorCode.OK,獲取player準星位置,local result = Player:getAimPos(objid)
60001,遊戲生物,isAdult,Creature:isAdult(objid),objid:number,ErrorCode.OK is adult is adult,是否已經成年,"local result = Creature:isAdult(objId)
if result == ErrorCode.OK then print(""This creature is adult"") end"
60002,遊戲生物,setOxygenNeed,"Creature:setOxygenNeed(objid, v)","objid:number, v:boolean",ErrorCode.OK,設置是否依賴氧氣,"local result = Creature:setOxygenNeed(objId, true)
if result == ErrorCode.OK then print(""This creature relies on oxygen!"") end"
60003,遊戲生物,getTamedOwnerID,Creature:getTamedOwnerID(objid),objid:number,"ErrorCode.OK, uin:number0 means untamed",獲取馴服主的ID,"local result, ownerId = Creature:getTamedOwnerID(objId)
if result == ErrorCode.OK and ownerId ~= 0 then
        local result, nickName = Player:getNickname(ownerId)
        if result == ErrorCode.OK then print('Player<'+nickName+'>pet...')
end"
60004,遊戲生物,setPanic,"Creature:setPanic(objid, v)","objid:number, v:boolean",ErrorCode.OK,設置是否恐慌,"local result = Creature:setPanic(objId, true)
if result == ErrorCode.OK then print(""The creature is in panic"") end"
60005,遊戲生物,setAIActive,"Creature:setAIActive(objid, v)","objid:number, v:boolean",ErrorCode.OK,設置AI是否生效,"local result = Creature:setAIActive(objId, true)
if result == ErrorCode.OK then print(""This creatures AI takes effect"") end"
60006,遊戲生物,getActorID,Creature:getActorID(objid),objid:number,"ErrorCode.OK, actorid:number",獲取怪物資源ID,"local wolfId, dogId = 3407, 3408 --Wolf/Dogs resource Id
local result, actorId = Creature:getActorID(objId)
if result == ErrorCode.OK then
        if actorId == dogId then print(""The creature is A Dog!"") end
        if actorId == wolfId then print(""The creature is A Wolf!"") end
end"
60007,遊戲生物,getActorName,Creature:getActorName(objid),objid:number,"ErrorCode.OK, name:string",獲取怪物資源ID,local result = Creature:getActorName(objid)
60008,遊戲生物,addModAttrib,"Creature:addModAttrib(objid, attrtype, value)","objid:number, attrtype:MODATTRIB_TYPE Enchantment attribute type, value:number",ErrorCode.OK,增加怪物ModAttrib值,"local modAttrType = MODATTRIB_TYPE.MODATTR_MOVE_SPEED
local result = Creature:addModAttrib(objid, modAttrType, 5)
if result == ErrorCode.OK then print('Increase the moving speed of monster') end"
60009,遊戲生物,getModAttrib,"Creature:getModAttrib(objid, attrtype)","objid:number, attrtype:MODATTRIB_TYPE Enchantment attribute type","ErrorCode.OK, value:number",獲取怪物ModAttrib值,"local modAttrType = MODATTRIB_TYPE.MODATTR_MOVE_SPEED
local result, modAttrVal = Creature:getModAttrib(objid, modAttrType)
if result == ErrorCode.OK then print('Moving speed of monster is', modAttrVal) end"
60010,遊戲生物,setTeam,"Creature:setTeam(objid, teamid)","objid:number, teamid:number",ErrorCode.OK,設置生物隊伍,"local result = Creature:setTeam(objid, teamid)"
60011,遊戲生物,getTeam,Creature:getTeam(objid),objid:number,"ErrorCode.OK, teamid:number",獲取生物隊伍,local result = Creature:getTeam(objid)
60012,遊戲生物,getMaxFood,Creature:getMaxFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",獲取最大饑餓度,local result = Creature:getMaxFood(objid)
60013,遊戲生物,getFood,Creature:getFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",獲取飢餓度,local result = Creature:getFood(objid)
60014,遊戲生物,setFood,"Creature:setFood(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,設置飢餓度,"local result = Creature:setFood(objid, val)"
60015,遊戲生物,getHpRecover,Creature:getHpRecover(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",HP恢復,local result = Creature:getHpRecover(objid)
60016,遊戲生物,getMaxOxygen,Creature:getMaxOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",最大氧氣值,local result = Creature:getMaxOxygen(objid)
60017,遊戲生物,getWalkSpeed,Creature:getWalkSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",行走速度,local result = Creature:getWalkSpeed(objid)
60018,遊戲生物,getSwimSpeed,Creature:getSwimSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",游泳速度（水中速度）,local result = Creature:getSwimSpeed(objid)
60019,遊戲生物,getJumpPower,Creature:getJumpPower(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",跳躍力,local result = Creature:getJumpPower(objid)
60020,遊戲生物,getMass,Creature:getMass(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",重量,local result = Creature:getMass(objid)
60021,遊戲生物,getDodge,Creature:getDodge(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",閃避,local result = Creature:getDodge(objid)
60022,遊戲生物,getPunchAttack,Creature:getPunchAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",近程攻擊,local result = Creature:getPunchAttack(objid)
60023,遊戲生物,getRangeAttack,Creature:getRangeAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",遠程攻擊,local result = Creature:getRangeAttack(objid)
60024,遊戲生物,getPunchDefense,Creature:getPunchDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",近程防禦,local result = Creature:getPunchDefense(objid)
60025,遊戲生物,getRangeDefense,Creature:getRangeDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",遠程防禦,local result = Creature:getRangeDefense(objid)
60026,遊戲生物,setMaxHp,"Creature:setMaxHp(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,設置血量,"local result = Creature:setMaxHp(objid, val)"
60027,遊戲生物,setHP,"Creature:setHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,設置血量,"local result = Creature:setHP(objid, val)"
60028,遊戲生物,setHpRecover,Creature:setHpRecover(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,設置HP恢復,local result = Creature:setHpRecover(objid)
60029,遊戲生物,setOxygen,"Creature:setOxygen(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,設置氧氣,"local result = Creature:setOxygen(objid, val)"
60030,遊戲生物,setWalkSpeed,"Creature:setWalkSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,設置行走速度,"local result = Creature:setWalkSpeed(objid, val)"
60031,遊戲生物,setSwimSpeed,"Creature:setSwimSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,設置游泳速度（水中速度）,"local result = Creature:setSwimSpeed(objid, val)"
60032,遊戲生物,setJumpPower,"Creature:setJumpPower(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,設置跳躍力,"local result = Creature:setJumpPower(objid, val)"
60033,遊戲生物,setDodge,"Creature:setDodge(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,設置閃避,"local result = Creature:setDodge(objid, val)"
60034,遊戲生物,setPunchAttack,"Creature:setPunchAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,設置近程攻擊,"local result = Creature:setPunchAttack(objid, val)"
60035,遊戲生物,setRangeAttack,"Creature:setRangeAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,設置遠程攻擊,"local result = Creature:setRangeAttack(objid, val)"
60036,遊戲生物,setPunchDefense,"Creature:setPunchDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,設置近程防禦,"local result = Creature:setPunchDefense(objid, val)"
60037,遊戲生物,setRangeDefense,"Creature:setRangeDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,設置遠程防禦,"local result = Creature:setRangeDefense(objid, val)"
70001,UI管理,setGBattleUI,"UI:setGBattleUI(name, value)","name:string set name, value:string or boolean set value",ErrorCode.OK,設置戰鬥總結UI,"local result = UI:setGBattleUI(name, value)"
70002,UI管理,world2RadarPos,"UI:world2RadarPos(x, y)","x:number, z:number","ErrorCode.OK, x:number, z:number",世界坐標轉換到小地圖,"local result = UI:world2RadarPos(x, y)"
70003,UI管理,world2RadarDist,UI:world2RadarDist(length),length:number,"ErrorCode.OK, length:number",世界長度轉換到小地圖,local result = UI:world2RadarDist(length)
70004,UI管理,setMinimapRenderMode,UI:setMinimapRenderMode(mode),mode:number,ErrorCode.OK,設置小地圖模式。 1：45度旋轉視角；2：全圖俯視角,local result = UI:setMinimapRenderMode(mode)
70005,UI管理,setShapeLine,"UI:setShapeLine(uiname, p1x, p1y, p2x, p2y)","uiname:string, p1x:number, p1y:number, p2x:number, p2y:number",ErrorCode.OK,地圖標記形狀設置，設置成線條,"local result = UI:setShapeLine(uiname, p1x, p1y, p2x, p2y)"
70006,UI管理,setShapeCircle,"UI:setShapeCircle(uiname, x, y, radius)","uiname:string, x:number, y:number, radius:number",ErrorCode.OK,地圖標記形狀設置，設置成圓,"local result = UI:setShapeCircle(uiname, x, y, radius)"
70007,UI管理,ShowScreenEffect,"UI:ShowScreenEffect(type, isloop, incspeed)","type:number effect type, isloop:boolean if it is a loop, incspeed:number speed increasing",ErrorCode.OK,顯示屏幕效果,"local result = UI:ShowScreenEffect(type, isloop, incspeed)"
80001,聊天系統,sendChat,Chat:sendChat(content),"content:string, type:number0 means chat，1 means system message",ErrorCode.OK,發送聊天消息,local result = Chat:sendChat(content)
80002,聊天系統,sendSystemMsg,Chat:sendSystemMsg(content),"content:string, type:number0 means chat，1 means system message",ErrorCode.OK,發送系統消息,local result = Chat:sendSystemMsg(content)
90001,組隊管理,getNumTeam,Team:getNumTeam(),nil,"ErrorCode.OK, num:number",獲取隊伍數量,local result = Team:getNumTeam()
90002,組隊管理,getTeamPlayerNum,"Team:getTeamPlayerNum(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, num:number the number of players in the group",獲取指定隊伍玩家,"local result = Team:getTeamPlayerNum(teamid, alive)"
90003,組隊管理,getTeamPlayers,"Team:getTeamPlayers(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, num:number  the number of players in the group , array:table member uin array",獲取指定隊伍玩家,"local result = Team:getTeamPlayers(teamid, alive)"
90004,組隊管理,randomTeamPlayer,"Team:randomTeamPlayer(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, uin:number random player uin",隨機一名玩家,"local result = Team:randomTeamPlayer(teamid, alive)"
90005,組隊管理,setTeamScore,"Team:setTeamScore(teamid, s)","teamid:number, score:number",ErrorCode.OK,設置組隊分數,"local result = Team:setTeamScore(teamid, s)"
90006,組隊管理,getTeamScore,Team:getTeamScore(teamid),teamid:number,"ErrorCode.OK, score:number",獲取組隊分數,local result = Team:getTeamScore(teamid)
90007,組隊管理,addTeamScore,"Team:addTeamScore(teamid, score)","teamid:number, score:number",ErrorCode.OK,增加隊伍分數,"local result = Team:addTeamScore(teamid, score)"
90008,組隊管理,setTeamResults,"Team:setTeamResults(teamid, result)",teamid:number result?number,ErrorCode.OK,設置隊伍勝負,"local result = Team:setTeamResults(teamid, result)"
90009,組隊管理,getTeamResults,Team:getTeamResults(teamid),teamid:number,"ErrorCode.OK, teamresult:number",獲取當前隊伍勝負,local result = Team:getTeamResults(teamid)
90010,組隊管理,setTeamPlayersResults,"Team:setTeamPlayersResults(teamid, result)","teamid:number, result:number",ErrorCode.OK,設置玩家的隊伍勝負,"local result = Team:setTeamPlayersResults(teamid, result)"
90011,組隊管理,setTeamDieTimes,"Team:setTeamDieTimes(teamid, times)","teamid:number, times:number",ErrorCode.OK,設置隊伍總死亡數,"local result = Team:setTeamDieTimes(teamid, times)"
90012,組隊管理,getTeamDieTimes,Team:getTeamDieTimes(teamid),teamid:number,"ErrorCode.OK, times:number",獲取隊伍總死亡數,local result = Team:getTeamDieTimes(teamid)
90013,組隊管理,addTeamDieTimes,Team:addTeamDieTimes(teamid),teamid:number,ErrorCode.OK,增加隊伍總死亡數,local result = Team:addTeamDieTimes(teamid)
90014,組隊管理,changePlayerTeam,"Team:changePlayerTeam(uin, teamid)","uin:number, teamid:number",ErrorCode.OK,改變玩家隊伍,"local result = Team:changePlayerTeam(uin, teamid)"
100001,道具管理,getItemName,Item:getItemName(itemid),itemid:number,"ErrorCode.OK, name:string",獲取道具名稱,local result = Item:getItemName(itemid)
100002,道具管理,getItemId,Item:getItemId(objid),objid:number,"ErrorCode.OK, itemid:number",獲取物品ID,local result = Item:getItemId(objid)
100003,道具管理,getDropItemNum,Item:getDropItemNum(objid),objid:number,"ErrorCode.OK, itemnum:number",獲取掉落物數量,local result = Item:getDropItemNum(objid)
110001,背包管理,getBackpackBarIDRange,Backpack:getBackpackBarIDRange(bartype),"bartype:number backpack type, shortcut bar, saving bar,equipment bar","ErrorCode.OK, begid:number item slot starting ID, endid:number item slot ending ID",獲取道具背包欄ID範圍(起始ID~結束ID),local result = Backpack:getBackpackBarIDRange(bartype)
110002,背包管理,getBackpackBarSize,Backpack:getBackpackBarSize(bartype),bartype:number,"ErrorCode.OK, size:number",獲取道具背包欄大小,local result = Backpack:getBackpackBarSize(bartype)
110003,背包管理,setGridItem,"Backpack:setGridItem(playerid, gridid, itemid, num, durability)","playerid:number, gridid:number item slot ID, itemid:number, num:number default 1, durability:number durability, default durability max",ErrorCode.OK,設置背包格道具,"local result = Backpack:setGridItem(playerid, gridid, itemid, num, durability)"
110004,背包管理,removeGridItem,"Backpack:removeGridItem(playerid, gridid, num)","playerid:number, gridid:number, num:number default all items",ErrorCode.OK,移除背包格內一定數量道具，通過道具格移除，默認全部移除,"local result = Backpack:removeGridItem(playerid, gridid, num)"
110005,背包管理,removeGridItemByItemID,"Backpack:removeGridItemByItemID(playerid, itemid, num)","playerid:number, itemid:number, num:number default all items","ErrorCode.OK, num:number Remove the number successfully",移除背包內一定數量道具，通過道具ID移除，默認全部移除,"local result = Backpack:removeGridItemByItemID(playerid, itemid, num)"
110006,背包管理,clearPack,"Backpack:clearPack(playerid, bartype)","playerid:number, bartype:number Backpack type",ErrorCode.OK,清空指定背包欄,"local result = Backpack:clearPack(playerid, bartype)"
110007,背包管理,clearAllPack,Backpack:clearAllPack(playerid),playerid:number,,清空全部背包(包含背包欄、快捷欄、裝備欄),local result = Backpack:clearAllPack(playerid)
110008,背包管理,moveGridItem,"Backpack:moveGridItem(playerid, gridsrc, griddst, num)","playerid:number, gridsrc:number, griddst:number, num:number default transfer all ",ErrorCode.OK,移動背包道具，默認全部轉移,"local result = Backpack:moveGridItem(playerid, gridsrc, griddst, num)"
110009,背包管理,swapGridItem,"Backpack:swapGridItem(playerid, gridsrc, griddst)","playerid:number, gridsrc:number, griddst:number",ErrorCode.OK,交換背包道具,"local result = Backpack:swapGridItem(playerid, gridsrc, griddst)"
110010,背包管理,enoughSpaceForItem,"Backpack:enoughSpaceForItem(playerid, itemid, num)","playerid:number, itemid:number, num:number default 2",ErrorCode.OK,背包(包含背包欄、快捷欄)是否有足夠的空間存放一定數量的道具,"local result = Backpack:enoughSpaceForItem(playerid, itemid, num)"
110011,背包管理,calcSpaceNumForItem,"Backpack:calcSpaceNumForItem(playerid, itemid)","playerid:number, itemid:number","ErrorCode.OK, num:number",計算背包(包含背包欄、快捷欄)能存放的道具剩餘總數量,"local result = Backpack:calcSpaceNumForItem(playerid, itemid)"
110012,背包管理,getBackpackBarValidList,"Backpack:getBackpackBarValidList(playerid, bartype)","playerid:number, bartype:number Backpack type","ErrorCode.OK, num:number number, array:table backpack slots ID array",獲取道具背包欄有效格ID列表(道具已存在)，背包格ID數組,"local result = Backpack:getBackpackBarValidList(playerid, bartype)"
110013,背包管理,getBackpackBarItemList,"Backpack:getBackpackBarItemList(playerid, bartype)","playerid:number, bartype:number Backpack type","ErrorCode.OK, num:number number , arr:table item ID array",獲取道具背包欄已擁有道具，道具ID數組,"local result = Backpack:getBackpackBarItemList(playerid, bartype)"
110014,背包管理,hasItemByBackpackBar,"Backpack:hasItemByBackpackBar(playerid, bartype, itemid)","playerid:number, bartype:number, itemid:number",ErrorCode.OK,檢測背包是否持有某個道具,"local result = Backpack:hasItemByBackpackBar(playerid, bartype, itemid)"
110015,背包管理,getItemNumByBackpackBar,"Backpack:getItemNumByBackpackBar(playerid, bartype, itemid)","playerid:number, bartype:number, itemid:number","ErrorCode.OK, num:number total number of items , arr:table item slot ID array",獲取背包持有某個道具總數量，同時返回裝有道具的背包格數組,"local result = Backpack:getItemNumByBackpackBar(playerid, bartype, itemid)"
110016,背包管理,getGridItemID,"Backpack:getGridItemID(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, itemid:number, num:number",獲取背包格道具ID和數量,"local result = Backpack:getGridItemID(playerid, gridid)"
110017,背包管理,getGridItemName,"Backpack:getGridItemName(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, name:string",獲取背包格道具名稱,"local result = Backpack:getGridItemName(playerid, gridid)"
110018,背包管理,getGridStack,"Backpack:getGridStack(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, num:number, maxstack:number",獲取背包格道具數量和最大堆疊數,"local result = Backpack:getGridStack(playerid, gridid)"
110019,背包管理,getGridDurability,"Backpack:getGridDurability(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, durcur:number, durmax:number",獲取背包格道具耐久度和最大耐久度,"local result = Backpack:getGridDurability(playerid, gridid)"
110020,背包管理,getGridEnchantList,"Backpack:getGridEnchantList(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, num:number number, arr:table enchanted ID array",獲取背包格道具附魔，返回附魔id數組,"local result = Backpack:getGridEnchantList(playerid, gridid)"
110021,背包管理,getGridToolType,"Backpack:getGridToolType(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, type:number tool type",獲取背包道具工具類型(<0表示非工具),"local result = Backpack:getGridToolType(playerid, gridid)"
110022,背包管理,addItem,"Backpack:addItem(playerid, itemid, num)","playerid:number, itemid:number, num:number","ErrorCode.OK, successNum:number the number of successfully added",添加道具到背包,"local result = Backpack:addItem(playerid, itemid, num)"
110023,背包管理,discardItem,"Backpack:discardItem(playerid, gridid, num)","playerid:number, gridid:number, num:number",ErrorCode.OK,丟棄背包道具,"local result = Backpack:discardItem(playerid, gridid, num)"
110024,背包管理,getGridNum,"Backpack:getGridNum(playerid, gridid)","playerid:number, gridid:number",ErrorCode.OK,獲取背包某個格子的道具數量,"local result = Backpack:getGridNum(playerid, gridid)"
120001,小地圖管理,newShape,"MapMark:newShape(type, isshow, r, g, b)","type:number, isshow:boolean, r:number, g:number, b:number","ErrorCode.OK, shapeid:number",新增一個形狀(線，矩形，圓形),"local result = MapMark:newShape(type, isshow, r, g, b)"
120002,小地圖管理,deleteShape,MapMark:deleteShape(shapeid),shapeid:number,ErrorCode.OK,刪除一個形狀,local result = MapMark:deleteShape(shapeid)
120003,小地圖管理,setShapeColor,"MapMark:setShapeColor(shapeid, r, g, b)","shapeid:number, r:number, g:number, b:number",ErrorCode.OK,設置形狀顏色,"local result = MapMark:setShapeColor(shapeid, r, g, b)"
120004,小地圖管理,showShape,"MapMark:showShape(shapeid, showflag)","shapeid:number, showflag:boolean",ErrorCode.OK,設置形狀顯示or隱藏,"local result = MapMark:showShape(shapeid, showflag)"
120005,小地圖管理,updateLine,"MapMark:updateLine(shapeid, sx, sz, ex, ez)","shapeid:number, sx:number, sz:number, ex:number, ez:number",ErrorCode.OK,更新形狀(線形)，傳入起始坐標和末尾坐標,"local result = MapMark:updateLine(shapeid, sx, sz, ex, ez)"
120006,小地圖管理,updateRectangle,"MapMark:updateRectangle(shapeid, sx, sz, w, h)","shapeid:number, sx:number, sz:number, w:number, h:number",ErrorCode.OK,更新形狀(矩形)，傳入起始坐標和尺寸,"local result = MapMark:updateRectangle(shapeid, sx, sz, w, h)"
120007,小地圖管理,updateCircle,"MapMark:updateCircle(shapeid, cx, cz, r)","shapeid:number, cx:number, cz:number, r:number",ErrorCode.OK,更新形狀(圓形)，傳入圓心坐標和半徑,"local result = MapMark:updateCircle(shapeid, cx, cz, r)"
130001,出生點管理,getSpawnPoint,Spawnport:getSpawnPoint(),nil,"ErrorCode.OK, x:number, y:number, z:number",獲取出生點位置,local result = Spawnport:getSpawnPoint()
130002,出生點管理,getChunkValidSpawnPos,"Spawnport:getChunkValidSpawnPos(x, y, z)","x:number, y:number, z:number","ErrorCode.OK, x:number, y:number, z:number",獲取區塊可以作為出生點的位置，傳入區塊內任一方塊位置,"local result = Spawnport:getChunkValidSpawnPos(x, y, z)"
