id编号,标题,内容,作者,是否匿名
189,Ketemuan Baru,"/{^•.•^}\_? Apakah Kamu Tahu? 
  Orang Liar Akan Menari dan Bernyanyi setelah mereka kenyang
Setelah itu mereka Akan tertidur dengan nyenyak. namun tanpa makan, mereka tetap hidup dan tidur disiang hari dengan posisi berdiri. ",Hhuxx1,
190,/{^•ω•}\_♥︎ Puisi Cinta,"
Pak somad beli palu; istrinya dirumah makan putu.
 harapan itu tidak perlu,jawaban dan kepastian itu perlu.
",Hhuxx1,
191,/{^•ω•}\_♥︎ Puisi Cinta 2,"
 ikan hiu makan pindang
 si Ahmad makan tahu 
diam mencintaimu dari belakang
bergerak menjadi menantu bapakmu
",Hhuxx1,
192,/{^•ω•}\_? Misteriku ?,"Selesaikan Pesan Puzzle 
Dapatkan hadiah menarik 
kode ""pïþùŕìþŕèòŕù"" 
petunjuk "" Kopi, Kalender, Pacar """,Hhuxx1,
193,/{^•ω•}\_♥︎ Saran cinta,"kamu jomblo ?
Pengen ngga jomblo ?
Pengen punya pasangan setia ?
Tetapi Sans 
Biro Jodoh Solusinya 
Dengan Biro jodoh kamu akan menemukan Pasangan yang setia ",Hhuxx1,
194,Takdir Cinta,"
Ketika Pencipta Memberitahumu 
Dia bukanlah takdirmu 
Dia akan meninggalkanmu 
Dan dia akan digantikan 
oleh Orang yg lebih baik ",Hhuxx1,
195,Misteri dibalik kapal,"
Apakah Kamu tau ? 
Sebelum nama miniworld:creata
Namanya adalah .... 
Miniworld:block art 
Kenapa ? 
Karena Dahulu kala
jumlah minigame masih sedikit
dan developer lebih fokus memperbarui survival",Hhuxx1,
196,,"Pandangan pertama
Merupakan Cinta murni
Karena kamu terpikat
Tanpa sebab dan akibat
Beranikan diri dan ajak dia makan ",Hhuxx1,
197,,"/{^•ω•}\_ <!> Awas
belakangan ini banyak kasus penipuan
jika kamu dikirim file berupa apk 
sebaiknya jangan diinstal
bisa saja data kamu dicuri",Hhuxx1,
198,/{^•ω•}\_♥︎ Pacar pertamaku,"♥︎ mau tau ngga? Sebenernya bukan pacar
♥︎ tapi dia yang mencuri hatiku
♥︎ namanya hellen, cantik, keren, imut.",Hhuxx1,
199,,"/{^•ω•}\ Apakah kamu tahu ?
Pemain / developer minigame
Bernama ""Hhuxx1""
Adalah Orang Indonesia !!!",Hhuxx1,
200,Rahasia Bom Telur,"Mengapa Bom Telur hanya muncul didalam goa?
Dahulu kala habitat asli mereka
Berada di permukaan.
Namun sejak bubuk mesiu habis.
Mereka tinggal di goa bawah tanah
atau dungeon, karena mereka mendapat
bubuk mesiu sebagai makanan mereka oleh master dungeon ",Hhuxx1,
201,,"/{^•ω•}\ Senjata Api Tidak bisa dicraft?
Dahulu kala komponen peluru
Yaitu bubuk mesiu terdapat pada permukaan
Namun seiring zaman
Jumlah materialnya berkurang
sehingga teknologi senjata api
sudah tidak digunakan 
dan cara pembuatanya dilupakan",Hhuxx1,
202,/{^•ω•}\_,"bingung menyatakan cinta?
Caranya terserah diri kamu
kalau pake cara saya bukan kamu namanya",Hhuxx1,
203,,"makhluk pink 
 merupakan tipe kanibal
mereka menyukai daging spesies sendiri
dapat lompat tinggi dan mudah dikendarai",Hhuxx1,
204,,"/{^•ω•}\_♥︎ cinlok?
\♣︎ ... ga tau ga pernah ngalamin ",Hhuxx1,
205,,"/{^•ω•}\_♥︎ tips jitu dapat sayang
1.pertama harus good looking
2.kedua bukan yg pertama
3.ketiga langsung propose 
4.keempat sayangi dia ",Hhuxx1,
206,,"/{^•ω•}\_[◆?◆] 
Mengapa Pedagang liar tidak perlu berjaga?
Karena mereka sebenarnya salah satu monster liar sendiri ",Hhuxx1,
207,,"/{^•ω•}\_♥︎ coba aja aku terima
\♥︎ harusnya kugandeng aja tanganya
♥︎ T_T kini ku ingin memeluknya",Hhuxx1,
208,,terimakasih mini world karna sudah menambahkan mini point dengan itu saya bisa mendapatkan skin permanent dengan hanya nonton iklan,Hy'ziaa_,
209,,"Hai mini world, 
Selamat ulang tahun yang ke 6!
Walaupun sudah terlambat.. :'

Sebentar lagi ulang tahun yang ke 7 kann? , aku gasabar deh pengen ucapin selamat kepada mini world yang buat aku heppy selama 3 tahun,

- Cobalah menjadi pelangi di awan 
Cobalah agar membuat mini world menjadi aplikasi game terbaik di appstore/playstore, yang membuat orang-orang tertarik dengan MINI WORLD.

-Jangan malu dengan kegagalan, Cobalah terus menerus,Mulai lah lagi,dan jangan PANTANG MENYERAH!

-Masalah,bukanlah tanda untuk berhenti, tetapi itu adalah petunjuk

Sarang,sarang apa yang bikin kamu senyum? 

Aku : Sarangeoo~ ♡",Iya inAja,
210,,Ikan-ikan apa yang bikin ketawa???,Jasmine,
211,,Buah buah apa yg kelihatan sakit ...,Jeanilo Nael Hanrjuno,
212,(Perasaan hati),"Isi Botol Surat Dari Nick:
Jenglot Geming

Kepada semua player mini world: dimohon agar tidak meletakkan obor sembarangan,terutama di depan rumah,saya tertombak monster tombak, kemudian saya mati terbakar.

",Jenglot Geming,
213,Pujian Untuk Mini World,"Mini World Creata adalah game yang sangat debest, keren,saya memainkannya dari 2018.yang saya suka adalah mode survival sangat menyenangkan sekali,siapapun bisa melawan boss yang ada di mode survival jika peralatan sudah lengkap.",Jenglot Geming,
214,Tebak Tebakan,"Saya punya tebak tebakan boarman,boarman apa yang bisa terbang?...
Jawabannya adalah boarman yang ada sayap nya :v.",Jenglot Geming,
215,Ucapan salam/selamat,Selamat kepada pemenang isi botol surat dari Mini World Creata ID.,Jenglot Geming,
216,Jokes bapak bapak,"Seberat apapun masalahmu, jangan ditimbang. Nggak bakalan laku.",Jenglot Geming,
217,,"ヾ(＾-＾)ノ
Happy birthday ! ＼(^o^)／
Moga panjang umur! 
Dan sehat selalu! 
ʕ ·ᴥ·ʔ",JoLyNe_KuJo?,
218,,Sudah dekade Saya mencari Kerajaan kuno Di bawah laut saya menggunakan orgin cube untuk Menyelam di dasar laut tapi masih tidak Ketemu mungkin suatu hari.,Kafih adventure,
219,,Knp ayam melintasi jalan? Karna Dia Ayam (＾ω＾),Kafih adventure,
220,,Assalammualaikum kak selamat tahun baru semangat ya,Kitty°Chan•`,
221,,Kesombongan awal dari kehancuran,Kreatifplayer,
222,,"Kau boleh berharap, tapi usaha akan mewujudkannya",Kreatifplayer,
223,,Balas dendam tidak akan memberikan apapun,Kreatifplayer,
224,,Kesepian itu lebih menakutkan ya?,Kreatifplayer,
225,,Kegagalan bukanlah akhir,Kreatifplayer,
226,,"Coba bayangkan hal yang paling kalian takutkan(semakin kalian memikirkannya maka makin menakutkan, namun jika kalian mengabaikannya maka itu bukanlah apa apa)",Kreatifplayer,
227,,"Saya mengapresiasi tentang usaha yang dilakukan pihak Mini world dalam memperbaiki kualitas game mini world ini, sebagai pemain lama sudah sepastinya saya memiliki ribuan pengalaman serta suka duka dalam bermain game ini, seperti saya ketahui game ini mulai melonjak statusnya di tahun 2018, banyaknya pembaharuan pada game ini seperti pembaharuan event,biome,tampilan,skin,map dan lain lain, membuat banyak para pemain minivers mulai risih dengan kemacetan sinyal atau lag pada saat bermain multiplayer dengan orang lain. Harapan saya dengan terbacanya sebuah komunikasi yang berbentuk media tulisan ini, serta dengan adanya informasi tentang pembaharuan mini world ocean, semoga pihak mini world bisa mengatur tentang kemacetan yang mungkin akan terjadi di update kedepannya. Thanks you (⁠≧⁠▽⁠≦⁠)",Kue lopisッ,
228,,"Januari telah usai, dan February yang akan menggantikan nya, udah awal bulan nich, udah pada dapet cuan/gaji Belum ;-;",Kue lopisッ,
229,Ceritaku 1,"Hai. Aku disini hanya ingin berbagi cerita. 
sekolahku mengadakan study tour ke Bali. Pada tanggal itu sampai tanggal 19, dimana tanggal tersebut merupakan tanggal penuh tawa, rasa bahagia, dan terekamnya memori yang tidak akan terlupakan. Pada tanggal 18 Desember 2022 jam 5 lebih kita semua harus pulang dan butuh kapal untuk menyebrangi pulau. (Part 1/5)",liawysb,
230,Ceritaku 2,Kami pulang menaiki kapal dan tepat sekali matahari sedang tenggelam. Aku berdiri paling depan untuk melihat sunset saat orang orang udah selesai berfoto-foto dan turun untuk duduk.  (Part 2/5),liawysb,
231,Ceritaku 3,"Memoriku saat aku kecil terekam kembali. Masa kecilku yang bisa terbilang menyedihkan membuat aku semakin yakin untuk menjawab tidak jika ada seseorang yang menanyakan ""mau kembali ke masa kecil lagi?""   (Part 3/5)",liawysb,
232,Ceritaku 4,"Aku mencoba membayangkan diriku saat kecil berada di hadapanku dan mengatakan ""Hai sayang, Apa yang terjadi padamu ini bukanlah salah kamu. Dunia terlalu jahat untukmu. Jangan pernah salahkan dirimu sendiri ya. Saat kamu besar nanti, kamu akan bahagia, memiliki teman yang baik yang belum pernah kamu rasakan. Makasih.. makasih sudah tetap berjuang dan kuat sampai saat ini"" aku membuka mataku perlahan dan merasa lega.
 (Part 4/5)",liawysb,
233,Ceritaku 5,"...Aku hanya diam memandang laut setelah itu. Berharap akan baik baik saja.  
Terimakasih kepada aku versi anak kecil. Karena dia, aku masih diberi kesempatan untuk bahagia dan merasakan memiliki teman baik hati dan banyak yang belum pernah aku rasain saat aku kecil dan masih ada harapan untuk membanggakan orang tuaku.
 (Part 5/5)",liawysb,
234,"Ceritaku
Hari Minggu, Tanggal 5 Februari 2023","Hari Minggu, Tanggal 5 Februari 2023 adalah salah satu tanggal yang bikin aku sedih. Boygroup kesukaanku (TXT) gak bisa menang di Inkigayo (Acara Music Show di Korea) Karena trackingnya yang sangat singkat, jadi digitalnya kurang dan beda jauh banget :( (part 1/4)




",liawysb,
235,"Ceritaku
Hari Minggu, Tanggal 5 Februari 2023","Sedih banget dan ngerasa gagal, karena hari ini salah satu member TXT (Taehyun) sedang berulang tahun dan salah satu member TXT (Yeonjun) menjadi MC. Kami satu fandom sepakat untuk terus streaming mv dan vote agar bisa menjadi hadiah yang berkesan untuk Taehyun TXT di hari ulangtahunnya. Sayangnya harapan kita gak sesuai ekspektasi. Kita gak menang dan gak bawa piala :(   (part 2/4)",liawysb,
236,"Ceritaku
Hari Minggu, Tanggal 5 Februari 2023",Sebenarnya masih ada kesempatan TXT pada tanggal 12 untuk dapetin piala di inkigayo. Tapi tetap aja sedih karena hari ini bisa dibilang hari yang spesial untuk Taehyun dan MOA (Fandom TXT)  (part 3/4),liawysb,
237,"Ceritaku
Hari Minggu, Tanggal 5 Februari 2023",Aku harap di tanggal 12 nanti TXT masih bisa dapetin piala dari acara inkigayo :'D (part 4/4),liawysb,
238,Curhatan Hatiku,"Hai..
Maaf kalau panjang ya hehe semoga gak bosen 

Awal aku main mini world mungkin tahun 2019 akhir tahun (?) Aku juga lupa, tapi aku merasa aku sudah 3 tahun lebih main mini world. Aku kenal mini world karena lewat beranda playstore ku. Jujur aku penasaran dan mencoba download mini world. 
(part 1/7)",liawysb,
239,Curhatan Hatiku,"Awalnya aku masih sedikit asing dengan game ini, terlebih aku tidak terlalu sering bermain game. Di mini world untuk main multiplayer bener bener gampang banget, buat tambah temen juga gampang. Aku sesuka itu karena untuk main dengan player lain lebih gampang.  
(part 2/7)",liawysb,
240,Curhatan Hatiku,"Akhirnya aku coba coba beli skin custom. Sedikit mahal tapi worth it untukku. Semenjak main mini world aku jadi lebih terbuka, lebih mau berinteraksi dengan orang lain walaupun terkadang balasan dari player lain tidak seperti yang aku harapkan. Tapi masih banyak player yang baik hati dan mau berteman denganku. 
(part 3/7)",liawysb,
241,Curhatan Hatiku,"Jujur mini world adalah tempat dimana aku punya cerita cerita unik, teman yang banyak dan bisa melampiaskan isi hati lewat status. Unik. Menurutku begitu unik dimana game bisa mengstatus foto atau hanya sekedar tulisan saja. Terlebih lagi photo profil di mini world yang bisa diganti ganti. Bingkai yang unik dan lucu. Skin dan custom yang bervariasi dan adanya mendali mendali untuk para player. Sering mengadakan event yang dimana bisa mengasah skill para pemain. 
(part 4/7)",liawysb,
242,Curhatan Hatiku,"Dan adanya mini point'. Ini yang bikin aku tambah suka hehehe. Soalnya tanpa top up, para player yang belum bisa top up atau dilarang top up sama keluarganya, bisa merasakan skin atau skin custom yang secara gratis hanya dengan menonton iklan. Aku seneng mini world gak pelit hehe <3. 
(part 5/7)",liawysb,
243,Curhatan Hatiku,"Tetep semangat terus ya para admin admin mini world. Aku bener bener sesuka ini sama mini world walaupun kadang ada bug yang nyebelin juga, tapi aku maklumi karena setiap game punya bug juga. 
(part 6/7)",liawysb,
244,Curhatan Hatiku,"Sehat terus untuk para admin mini world, Dilancarkan rezekinya, Jangan lupa istirahat dan makan yang cukup. I Love You :D 
(part 7/7)",liawysb,
245,,Siapa yang di sini syudah tidak sabar untuk ramadhan (walaupun masih rada lama)(◍•ᴗ•◍),lisa0981,
246,,"Mini world bagus banget gamenya, udah karakternya lucu² banget lagi ｡⁠◕⁠‿⁠◕⁠｡",Louis,
247,,"Assalamu'alaikum.
 Halo perkenalkan nama saya loy, di sini saya cuma mau memperingat kan epada para bocil kalo pagi itu HARUS SEKOLAH dan malem nya JUGA HARUS ngerjain PR!
yah itudoang sih pesen dari saya buat anak2 dan juga saya harap di updetan kali ini banyak hal bagus nya dari develover mini world saya doakan kalian semuanya sehat dan di beri rezeki melimpah.AMIN

 sekian dari saya dan saya harap bisa dapet juara.

assalamu'alaikum wr wb",LoyD,
248,,Knp ya aku kok begini? ( ╹▽╹ ),Lyn,
249,,Karakter apa yg termahal di mini world?,Makoto_Nakunz,
250,,"Kenapa air mata warnanya bening?
kalo airnya warna hijau namanya air matcha",Melomoon,
251,,Setiap hari aku semakin besar aku semakin besar malah semakin takut untuk melangkah,Melomoon,
252,,Hari Minggu paling enak main mini world,Melomoon,
253,,Kesalahan terbesar dihidupku adalah mengira bahwa dewasa itu menyenangkan ternyata tidak,Melomoon,
254,,"Aku tuh gak bisa buat rumah,aku tuh cuma bisa bangun rumah tangga sama kamu",Melomoon,
255,,2.Dunia apa yang namanya kecil tapi kalau di eksplor/dilihat besar?,Michael koh,
256,,"Siapa pun yang menemukan ini, tolong selamatkan aku ....
Di suatu malam, badai dan ombak menerjang kapalku hingga kapalku karam dan aku terdampar disuatu pulau. Sudah 1 minggu aku terdampar disini, aku tidak tahu nama pulau ini. Tolong carilah aku, persediaan makanan semakin menipis dan cuaca malam hari sangatlah dingin.",Misel,
257,,"Apakah kamu tahu? Pinguin sangat suka bernyanyi. Mereka tinggal di area bersalju. Jika kamu membuatkan mereka sarang dari tumpukan jerami dan sarang ayam, lalu memberi mereka makan bola bola maka mereka akan memiliki bayi pinguin yang lucu",Misel,
258,,"Resep: telur burung unta goreng
Alat: api unggun dan pot batu
Bahan: telur burung unta
Cara memasak: nyalakan api unggun dan letakkan pot batu di atasnya, masukkan telur burung unta dan masak hingga matang.",Misel,
259,,"Jika yang kamu lakukan gagal, jangan khawatir dan jangan menyerah. Kamu hanya perlu tambahan waktu, terus lakukan hal tersebut sampai berhasil. Saya tahu kamu bisa melakukannya.",Misel,
260,,"Jika Anda melakukan sesuatu yang positif dan tidak merugikan orang lain, lakukanlah! Jangan pikirkan omongan orang lain, kebahagiaanmu lebih penting, jadilah dirimu sendiri.",Misel,
261,,"Apa kau pernah menyentuh salju? Seseorang mengatakan padaku, di belahan bumi yang lain terdapat hamparan salju yang banyak. Dimana-mana berwarna putih, sangat cantik, tetapi dingin.",Misel,
262,,Kenapa pohon ada di atas karna di bawah nenek saya,Mymi,
263,,Hai mini world lover dan para player yg terhormat saya tidak tahu apa yang terjadi di dalam 20 menit,NEOZEG_5,
264,,Marilah kita bersama sama menjaga lautan agar tidak tercemar dan merusak ekosistem lautan ♥︎♥︎,Oetie Indonesia,
265,,"Mini world sudah banyak sekali perkembangannya:D, dari dulu, mungkin hanya game biasa, tapi seiring perkembangan, WoW :o, miniworld menjadi game yang keren, dengan banyak update,skin,event dan lain lain, tapi yang penting adalah...... teman temanku yang menemani selama ini di game miniworld <3",Oetie Indonesia,
266,,"Negara negara apa yang selalu ada di peta hayo XD??

Kan Ada hahahahaaaa",Oetie Indonesia,
267,,"Kapan yahh, dapat minixxoin dari miniworld",Oetie Indonesia,
268,,"Samudra, samudra apa yang paling besar hayo??!!",Oetie Indonesia,
269,Tebak Tebakan,"Ikan ikan apa yang keras
Ikan Batu hahahaha",ONIC ASKHA,
270,Tebak Tebakan,"Ikan ikan apa yang suka baea orang sakit? 
Ikan hiu",ONIC ASKHA,
271,Tebak Tebakan,"LAUTAN BUKAN HANYA RUMAH KITA
LAUTAN JUGA ADALAH JATI DIRI KITA",ONIC ASKHA,
272,,Selalu sehat selalu ya pembuat gamenya!,pagi@47,
273,"Ceritaku
9 February 2023","
Untuk yg baca surat ini...
Halo masbro
Gimana kabar kalian?
semoga kalian dan sekeluarga sehat selalu ya....
Oh ya dan juga semoga kalian selalu diberikan kemudah juga selalu bisa bahagia..
Di tahun² lalu, sudah banyak yang terjadi 
ya... 
Semoga di tahun ini kita juga bisa berjuang seperti tahun lalu...
,Semoga aku juga bisa bertemu dengan kalian di game maupun di rl 
Aku tidak memiliki banyak teman, semoga kamu mau berteman dengan ku ya!
Aku pikir sudah cukup sampai sini saja...
Terimakasih karena sudah mau membaca surat ku ini, kalian harus 
bisa SEMANGAT TERUS!!!
",Plusqz,
274,,"Saya harap update mini world lebih seru dan lebih menarik. Saya sangat menikmati momen momen Mabar bersama teman dan adik saya. Saya juga berterima kasih kepada sang developer yang cekatan memperbaiki bug. Saya harap kedepannya lebih baik lagi(⁠๑⁠¯⁠◡⁠¯⁠๑⁠).... SEMANGAT!

Salam hangat",potachip44,
275,,ingin menjadi oceon lautan,Presidr Rey,
276,,"HAIII!:),,PERKENALKAN NAMA AKU RARA SALAM KENAL YA AND aku dari indonesia,,MAU BERTEMAN SAMA AKU???,,BILANG ""IYA"" KALAU MAU DAN BILANG ""TDK""kalau tdk mau yaa,,oh iya nama kamu siapa kalau boleh tau,,aku suka sekali dengan game mini world soalnya bagus banget,,tp aku gk punya mini coin boleh bantu doa'in gk soalnya aku mau banget mini coin boleh gk,,makasih yahh udh mau baca surat aku BABAY
AKU PUNYA HADIAH LIAT YAHH
1....

2....

3....

TADA!!!???
[>(•~•)<]
[*(>_<)*]
[&(^_^)&]
SEMOGA SUKA YAHHH^_^!!??",rara..>3,
277,,"Aku suka banget mini world apa lagi update²nya bagus² dan seruu:),,,,dan jg baju²nya lucu² dan bagus BANGET,,banyak hewan peliharaannya dan juga gk kalah seru gamenya aku pAling suka BACK TO SCHOOL,,DAN JUGA BANYAK BQNGET UPDATE²NYA DAN SETIAP ADA UPDATE PASTI ADA AJA BAJU BARUNYA YG BAGUS DAN LUCU/IMUT,,,SARANKU ITU AJA DAN JANGAN LUPA TANYA TEMAN,SAUDARA/SAUDARI DAN SEPUPU² KALIAN YAHH BABAY BESTYY^_^.",rara..>3,
278,,"Knp crush aku gk pernah peka sih,,emang yah cowok sama aja dan cowok gk pernah cukup ama 1 cewek!!??.",rara..>3,
279,,"Mencintai bukan berarti harus memiliki. Menyayangi bukan berarti terkunci di dalam ego sendiri, cukup doa terbaik lah yang kita panjatkan buat seseorang yang kita kagumi. Bukan berarti kata kabar selalu ada buat menghiasi namun komitmen hati agar selalu mengunci apa yang disebut prioritas itu sendiri
\(^ω^/ )",Raspberry☂,
280,,"Tidak semua proses seseorang itu sama, bahkan bunga yang mekar pun tumbuh dengan berbeda ( ˊᵕˋ )",Raspberry☂,
281,,"Ada rasa yang sulit begitu diartikan, ada rasa yang begitu sesak diterima. Masa sekarang adalah waktu yang begitu sulit aku jajakan. Menjalani hidup dengan langkah berbeda, meskipun bergenggam satu arah tujuan yang sama ꒰⑅ᵕ༚ᵕ꒱˖♡",Raspberry☂,
282,,Sifat malu tidak mendatangkan sesuatu kecuali kebaikan (◍•ᴗ•◍)✧*。,Raspberry☂,
283,,"Dunia ini penuh dengan orang-orang baik
Jika kamu tidak menemukannya
Jadilah salah satunya ♡(> . <)♡",Raspberry☂,
284,,"Jika kamu melihat KEBURUKAN
Akan membuatmu melupakan hal BAIKmu

Akan membuat melihat
Lebih banyak KEBURUKAN dalam dirimu
(｡・//ε//・｡)",Raspberry☂,
285,,"Jangan terlalu berharap didengar orang lain ⑅
Jadilah pendengar buat dirimu sendiri
୧(＾ 〰 ＾)୨",Raspberry☂,
286,,"Hai, selamat datang
Dari mana saja?
Melelahkan ya mengejar impian?
Gapapa, kamu sudah cukup hebat
୧(＾ 〰 ＾)୨
Nanti kita kerja lagi",Raspberry☂,
287,,"Terkadang kita diuji bukan untuk menunjukkan kelemahan kita, tetapi untuk menemukan kekuatan kita.",RIFQI GEMER,
288,,"aku sangat kesal, hari ini. detik ini. menit ini. pertama, Gelas favoritku dipecahkan oleh adikku sendiri, dan tau pecahnya diamana? di kamarku. kedua, dia menghilangkan hp saya dan dengan polosnya bilang ""lupa kak"". GATAU APA PERASAANKU INI HAH!?. AKU CARI CARI GAK SENGAJA KEINJAK SERPIHAN KACA, IHH, BANYAK DARAHNYA. hari ini hari terburukku, kucatat... 5 februari 2023. Tapi! makasih buat miniworld yang udah bisa nenangin aku lagi! selamat bulan baru maybe? hehe...",RyuClou,
289,,"Pagi ku cerah ku, matahari di barat",sagara'-',
290,,Tetap semangat walau dia tidak mencintai mu^⁠_⁠_⁠_⁠_⁠_⁠_⁠_⁠_⁠_⁠^,SASUKE3,
291,,Kamu nanya kamu bertanya,sephia berry,
292,,"I Love MY Parents And Like To Play Mini World! 

",SiPutraID_,
293,Cerita Singkatku,"Disuatu dunia yang tersembunyi, tak ada satupun yang terkendali, aku sebagai malaikat yang terus menjaga dunia utopia, tak berhenti melindungi seluruh mahluk didalamnya.(part 1/5)	Siti
294	Cerita Singkatku	Aku ingin kau melihat ku disini siapapun kau, menyendiri dan kesepian telah kurasakan selama bertahun-tahun perjalanan hidup, walaupun begitu aku tetap mengenang setiap keseharian yang telah kau perbuat untuk ku, walaupun hanya sekali tatapan mata.hari demi hari telah kulewati bersamamu.  (part 2/5)	Siti
295	Cerita Singkatku	Semuanya begitu indah dan mudah untuk kujalani, rasa sakit dan trauma yang kualami sedikit demi sedikit memudar dihatiku, dan ini semua karena kerja sama kita. (part 3/5)	Siti
296	Cerita Singkatku	 Aku tak pernah mengira bahwa aku akan kuat mengambil keputusan seperti ini. Jadi..........,aku sungguh-sungguh minta maaf, ya...., sungguh sungguh minta maaf.  (part 3/5)	Siti
297	Cerita Singkatku	Aku telah merahasiakan kepindahan ku sejak lama. Dan hari ini juga kita akan berpisah. Bukannya karena aku membencimu, atau tidak mempedulikanmu. Tapi kau harus mengingat ingat kembali seluruh kesalahanmu padaku. ini surat yang kubuat hanyalah sebuah kata kata untuk mencurahkan seluruh kata kata terakhir yang tidak sempat kukatakan untuk seorang sahabat yang telah aku tinggalkan. (part 5/5)",,
,,,,
Terima kasih telah membaca,,,,
"SEE YOU AGAIN ♡ """,Siti,,,
298,,Ayo Membangun Sebuah keinginan kita seperti Perahu dan Rumah rumah Pasti menyenangkan kan ayo membangun Rumah dan perahu bersama ku,Sky Neon stars,
299,,"Aku pengen ada kucing di mini world karna kucing sangat lah lucu hehe
",Slay kacang,
300,,"Halo, apa kabar! Buat Orang yang baca tulisan ini, orangnya adalah keren '3'",sugarcrush_20,
301,,liat kamu online di game Mini World Creata bikin deg deg an ... liat kamu di dunia nyata bikin jantungan ...eaaa (ˆ▽ˆ),Tabitha,
302,,"Ke pasar membeli gunting
Jangan lupa membeli pita 
Daripada ngomong ga penting
Ayok mabar Mini Word Creata 
ᕙ(`▽´)ᕗ",Tabitha,
303,,Tinta...tinta apa yang permanen?? tintaku padamu eeaaa.... └(^o^ )Ｘ( ^o^)┘,Tabitha,
304,,"kamu seperti tiramisu...manis dan uwuu ... eeaaa
♡´･ᴗ･`♡
",Tabitha,
305,,Tinta..tinta apa yg permanen...tintaku padamu... eeaaa... ヘ( ^o^)ノ♡＼(^_^ ),Tabitha,
306,,"kamu seperti tiramisu
manis dan uwwu bikin aku miss you ...eeaaa ^♡^",Tabitha,
307,,"Anak kuda anak katak
Kalo i tak da you rindu tak? ^^",Tabitha,
308,,Tahukah Timidworld yang dulu sering mengunjungi room survival kalian?,TimiSekai,
309,Curhatan Hati,"Habis vakum di Mini World block art, terus balik lagi ke Mini World creata. Tadi nya mau cari diamond di world miras, ternyata diamondnya udah pindah ke world horas. Pantesan udah mining ke dasar world tapi gak kunjung dapat. (Capek deh)",tsania,
310,,"Kenapa kalau orang liar (Boarman) punya kekuatan, kekuatannya pasti membosankan? Karena dia juga dipanggil sebagai Boredman. Hahaha...",tsania,
311,Quotes of The day,teman yang baik adalah orang yang selalu ada bersama kamu disaat senang maupun susah walaupun kita hanya berkenalan di dalam game,tsania,
312,Ucapan\,Happy spring every one semoga di tahun kelinci air ini semua bisa berjalan dengan baik sesuai keinginan kita semua. HBD for my brother terima kasih karena mau main bareng sama aku di Mini World creata. Tak lupa salam hangat saya Tsania buat semua player Mini World creata Indonesia.,tsania,
313,,"Aku penasaran apakah teman mainku di Mini World block art bakal main Mini World creata. Tapi aku senang kok dapet banyak teman baru di Mini World creata, ya tapi jika semua teman lamaku main lagi pasti seru",tsania,
314,Pertanyaan,kapan ya skin hello kitty muncul di Mini World creata muncul?,tsania,
315,Pertanyaan,mau jalan-jalan ke mana?,tsania,
316,Pertanyaan,(just for fun) mana yang ada lebih dulu ayam atau telur?,tsania,
317,Pujian Untuk Mini World,"Mini World adalah game yang seru karena kita bisa berkreasi yang menunjukkannya ke semua pemain, dan juga game ini juga memberi akses yang luas didalam game untuk kita berkreasi semaunya dan ini membuat Mini World jadi game terbaik buat aku... Oh ya satu hal lagi aku sangat menghargai kinerja tim developer dan komunitas Mini World Indonesia pokoknya kalian semua keren.",tsania,
318,,"Buka hati dapat cinta, Buka buku dapat ilmu, Buka hp dapat WA, Buka WA dapat ucapan  Met Idul Fitri"" Mohon Maaf Lahir & Batin"", Makan Buah Jeruk Rasanya Manis Semoga saja pas hari raya idul fitri kita bisa mendapatkan skin gratis, sekali sekali minta thr ya min wkwkwkwk.""",TylerGalvinHere's,
319,Curhatan Hatiku,"Rasanya kangen banget main mini world sama temen-temen, tapi sekarang tuh udah mulai ketemu sama yang namanya arti kehidupan. (Part 1/6)",veeiiyyy,
320,Curhatan Hatiku,"Inget banget dulu awal ketemuan sama doi dari game ini wkwk. Terimakasih banyak mini world soalnya udah bantu aku buat nemuin doi, salah satu orang berharga yang sampe sekarang masih ada dan semoga selalu bersama sampai waktu yang tidak bisa ditentukan kapan. (Part 2/6)",veeiiyyy,
321,Curhatan Hatiku,"Ketemu sama doi juga udah lumayan lama sih, sekitar awal tahun 2018 deh kayanya. Susah seneng kita lalui bersama, bahkan kita sering berantem, putus sambungnya juga banyak. (Part 3/6)",veeiiyyy,
322,Curhatan Hatiku,"Tapi sebisa mungkin kita nurunin ego supaya bisa bareng terus. Aku nggak bakal tau gimana keadaan aku kalau nggak ketemu dia, dia terlalu berarti buat aku bahkan buat hidup ku. (Part 4/6)",veeiiyyy,
323,Curhatan Hatiku,"Kalau kehidupan selanjutnya itu beneran ada, aku berharap aku bisa terus sama dia. Dan kalau kamu baca ini, tolong dibaca baik-baik ya! Aku mau kamu yang jadi saksi perjalan hidup ku sekalipun kita masih terpisah jarak. Aku mau kamu yang jadi salah satu alasan aku bertahan hidup lagi. Ini sebenernya aneh, tapi ... I love u to the moon and never back. Thank u for everything and anything, I hope u always happy babe (๑•ᴗ•๑)♡ (Part 5/6)",veeiiyyy,
324,,"Mawar itu biru, Violet itu merah
Tidur di kasurku yang punya pasti marah XD",X-coffee,
325,,Happy Birthday buat diriku yang akan merayakan ultah di tanggal 13 Februari ehe,X-coffee,
326,,Hiduplah seperti di mini world cari yg kmu butuhkan meskipun bintang kau taruhkan,Yanzz,
