ID,名字,描述,获得方式
13425,Bola Basket,"Gunakan pada lokasi sasaran untuk menghasilkan bola basket. #rMempunyai #c0aba1dciri-ciri fisik#n, akan memantul ketika menyentuhkan blok.#rDapat dihapuskan dengan #c0aba1dPedang#n.",
13426,Telur Badak  Jinakkan,Gunakannya di lokasi target untuk melahirkan #c0aba1d Badak yang dijinakkan#n.,
13427,Spawner Burung Unta Peliharaan,Gunakan di lokasi target untuk menghasilkan #c0aba1d burung unta jinak#n.,@Null@
13428,Spawner Beruang kutub Peliharaan,Gunakan di lokasi target untuk menghasilkan #c0aba1dicebear jinak#n.,@Null@
13429,Spawner Raptor Peliharaan,Gunakan di lokasi target untuk menghasilkan raptor #c0aba1dtamed#n.,@Null@
13430,Spawner Lava Crab Peliharaan,Gunakan di lokasi target untuk menghasilkan kepiting lava #c0aba1dlava Crab jinak#n.,@Null@
13431,Spawner Sparrow Peliharaan,Gunakan di lokasi target untuk menghasilkan #c0aba1dsparrow jinak#n.,@Null@
13432,Telur Rubah Perih Jinak,Gunakannya di lokasi target untuk melahirkan #c0aba1dRubah Perih Jinak#n.,
13433,Spawner Monyet Peliharaan,Gunakan di lokasi target untuk menghasilkan #c0aba1dmonkey jinak#n.,@Null@
13434,Spawner Ayam Petarung Redchisk Peliharaan,Gunakan di lokasi target untuk menghasilkan #c0aba1dayam petarung redchisk jinak#n.,@Null@
13435,Telur - Ayam Terbang Jinak,Gunakannya di lokasi target untuk melahirkan seekor#c0aba1dAyam Terbang Jinak#n.,@Null@
13436,Spawner Rocki Peliharaan,Gunakan di lokasi target untuk menghasilkan #c0aba1drocki jinak#n.,@Null@
13437,Spawner Frosti Peliharaan,Gunakan di lokasi target untuk menghasilkan #c0aba1dfrosti jinak#n.,@Null@
13438,Spawner Bulli Peliharaan,Gunakan di lokasi target untuk menghasilkan #c0aba1dbulli jinak#n.,@Null@
13439,Boarman Companion,Gunakan di lokasi target untuk menghasilkan #c0aba1dvillage pendamping#n.,
13440,Hunter Companion,Gunakan di lokasi target untuk menghasilkan #c0aba1dvillage pendamping#n.,
13441,Jockey Companion,Gunakan di lokasi target untuk menghasilkan #c0aba1dvillage pendamping#n.,
13442,Spawner Dango Peliharaan,Gunakan di lokasi target untuk menghasilkan #c0aba1ddango jinak#n.,@Null@
13501,Telur Apostle Void,"Gunakannya di lokasi target untuk melahirkan #c0aba1dVoid Apostle#n. #rAttack Melee Aktif, bisa terbang.#rExp, Kristal Penciptaan didapatkan setelah kalahkannya.",
13502,Naga Hitam Kuno,"Monster raksasa, cepat lari!",@Null@
13503,Naga Hitam Lava,@Null@,@Null@
13504,Naga Hitam Chaos,@Null@,@Null@
13505,Telur Nian Beast,Gunakan di lokasi target untuk melahirkan #c0aba1dNian Beast#n. #rIa bisa transformasi manusia ke burung dodo! Dapat dijinakkan setelah ditakuti dengan kembang api lalu menggunakan bola berkat.,
13506,Nian Beast(Jinak),Gunakan di tanah untuk melahirkan Nian Beast (Jinak).,
13507,Bola Berkat,Gunakannya di tanah untuk melahirkan Bola Berkat,
13508,Telur Monster Kecil,Pakai di lokasi target utk lahirkan demin anniversary. Pakai kue anniversary utk menjinakkan (simpan utk dipakai dipeta),@Null@
13509,Setan Kecil (Jinak),Gunakan pada tanah untuk melahirkan setan kecil (jinak).,
13510,Patung Raksasa Kuno,Gunakannya di lokasi target untuk melahirkan Patung Raksasa Kuno,
13511,Rocki Kuno,Gunakannya di lokasi target untuk melahirkan Rocki Kuno.,
13512,Frosti Kuno,Gunakannya di lokasi target untuk melahirkan Frosti Kuno,
13513,Bulli Kuno,Gunakannya di lokasi target untuk melahirkan Bulli Kuno.,
13514,Colossus Kuno,Gunakannya di lokasi target untuk melahirkan Colossus Kuno.,
13515,Void Phantom-Haste,Gunakannya di lokasi target untuk melahirkan Void Phantom-Haste.,
13516,Void Phantom-Power,Gunakannya di lokasi target untuk melahirkan Void Phantom-Power,
13517,@Null@,@Null@,@Null@
13518,@Null@,@Null@,@Null@
13519,@Null@,@Null@,@Null@
13520,@Null@,@Null@,@Null@
13600,Ikan lentera,"#c0aba1d#nair, digunakan dalam air, untuk menghasilkan#c0aba1d ikan lentera#n.#r dapat ditarik oleh @item_12518#, @item_12519#, @item_12520#, @item_12703#, @item_12704#.#r serangan aktif jarak dekat, penglihatan yang buruk.#r ikan lentera remaja dapat tumbuh dengan memakan#c0aba1d2 kali#n makanan yang mereka butuhkan. Dua ikan lentera dewasa makan#c0aba1d1 kali masing-masing#n makanan yang mereka butuhkan dapat berkembang biak di dekat @item_246#. Item yang tersedia setelah#r kekalahan adalah @item_11318#.",Memancing untuk mendapatkan.
13601,Versi game terlalu rendah,Klik air utk lahirkan sotong,
13602,sinar,"Gunakan dalam air, menghasilkan#c0aba1d ray#n, tidak#c0aba1d#n, dan#c0aba1d tidak ada perilaku khusus#n.#r dapat diperoleh setelah mengalahkan @item_11319#.",Memancing untuk mendapatkan.
13603,Versi game terlalu rendah,Klik air utk lahirkan ikan,
13604,Ikan bodoh biru pucat,"Gunakan di dalam air, menghasilkan#c0aba1d ikan bodoh#nbiru muda, tidak dapat#c0aba1d#n, dan#c0aba1d tidak ada perilaku khusus#n.#r dapat diperoleh setelah mengalahkan item adalah @item_12520#.",Memancing untuk mendapatkan.
13605,Ikan bodoh biru tua,"Gunakan di dalam air, menghasilkan#c0aba1d ikan bodoh biru tua#n, tidak dapat#c0aba1d#n, dan#c0aba1d tidak ada perilaku khusus#n.#r dapat diperoleh setelah mengalahkan item adalah @item_12520#.",Memancing untuk mendapatkan.
13606,Ikan bodoh hitam,"Gunakan di dalam air, menghasilkan#c0aba1d ikan bodoh hitam#n, tidak dapat#c0aba1d#n, dan#c0aba1d tidak ada perilaku khusus#n.#r dapat diperoleh setelah mengalahkan item adalah @item_12520#.",Memancing untuk mendapatkan.
13607,Ikan aneh biru pucat,"Gunakan dalam air, menghasilkan#c0aba1d ikan biru muda#n, tidak dapat#c0aba1d#n, dan#c0aba1d tidak ada perilaku khusus#n.#r dapat diperoleh setelah mengalahkan item adalah @item_12704#.",Memancing untuk mendapatkan.
13608,Ikan jelek merah muda,"Gunakan di dalam air, menghasilkan#c0aba1d ikan jelek#nmerah muda, tidak bisa#c0aba1d#n, dan#c0aba1d tidak ada perilaku khusus#n.#r dapat diperoleh setelah mengalahkan item adalah @item_12703#.",Memancing untuk mendapatkan.
13609,Ikan bodoh emas,"Gunakan dalam air, menghasilkan#c0aba1d ikan bodoh emas#n, tidak dapat#c0aba1d#n, dan#c0aba1d tidak ada perilaku khusus#n.#r dapat diperoleh setelah mengalahkan item adalah @item_12520#.",Memancing untuk mendapatkan.
13610,Ikan keju emas,"Gunakan di dalam air, menghasilkan#c0aba1d ikan emas#n, tidak bisa#c0aba1d#n, dan#c0aba1d tidak ada perilaku khusus#n.#r dapat diperoleh setelah mengalahkan item adalah @item_12704#.",Memancing untuk mendapatkan.
13611,Ikan emas jelek,"Gunakan di dalam air, menghasilkan#c0aba1d ikan jelek#nemas, tidak bisa#c0aba1d#n, dan#c0aba1d tidak ada perilaku khusus#n.#r dapat diperoleh setelah mengalahkan item adalah @item_12703#.",Memancing untuk mendapatkan.
13612,Ikan bodoh merah muda,"Gunakan dalam air, menghasilkan#c0aba1d ikan bodoh#nmerah muda, tidak dapat#c0aba1d#n, dan#c0aba1d tidak ada perilaku khusus#n.#r dapat diperoleh setelah mengalahkan item adalah @item_12520#.",Memancing untuk mendapatkan.
13613,Ikan Kiki kuning,"Gunakan di dalam air, menghasilkan#c0aba1d ikan kuning#n, tidak#c0aba1d#n, dan#c0aba1d tidak ada perilaku khusus#n.#r dapat diperoleh setelah mengalahkan item adalah @item_12704#.",Memancing untuk mendapatkan.
13614,Ikan jelek ungu,"Gunakan dalam air, menghasilkan#c0aba1d ikan jelek#nungu, tidak#c0aba1d makan#n, dan#c0aba1d tidak ada perilaku khusus#n.#r dapat diperoleh setelah mengalahkan item adalah @item_12703#.",Memancing untuk mendapatkan.
13615,Ikan keju hijau,"Gunakan di dalam air, menghasilkan#c0aba1d ikan hijau#n, tidak#c0aba1d#n, dan#c0aba1d tidak ada perilaku khusus#n.#r dapat diperoleh setelah mengalahkan item adalah @item_12704#.",Memancing untuk mendapatkan.
13616,Ikan jelek bergaris,"Gunakan di dalam air, menghasilkan ikan#njelek bergaris yang#c0aba1d , tidak dapat#c0aba1d#n, dan#c0aba1d tidak ada perilaku khusus#n.#r dapat diperoleh setelah mengalahkan item adalah @item_12703#.",Memancing untuk mendapatkan.
13617,Ikan keju merah,"Gunakan di dalam air, menghasilkan#c0aba1d ikan merah#n, tidak#c0aba1d#n, dan#c0aba1d tidak ada perilaku khusus#n.#r dapat diperoleh setelah mengalahkan item adalah @item_12704#.",Memancing untuk mendapatkan.
13618,Ikan bodoh merah,"Gunakan di dalam air, hasilkan#c0aba1d ikan bodoh merah#n, tidak bisa#c0aba1d#n, dan#c0aba1d tidak ada perilaku khusus#n.#r dapat diperoleh setelah mengalahkan item adalah @item_12520#.",Memancing untuk mendapatkan.
13619,Ikan jelek oranye,"Gunakan dalam air, menghasilkan#c0aba1d ikan#njelek oranye, tidak dapat#c0aba1d#n, dan#c0aba1d tidak ada perilaku khusus#n.#r dapat diperoleh setelah mengalahkan item adalah @item_12703#.",Memancing untuk mendapatkan.
13620,Backup,@Null@,@Null@
13621,kepiting,"Gunakan pada lokasi target, menghasilkan kepiting#c0aba1d#n, tidak#c0aba1d#n, dan#c0aba1d tidak ada perilaku khusus#n. Item yang tersedia setelah kekalahan#r adalah @item_12527#.",Memancing untuk mendapatkan.
13622,burung camar,"Gunakan pada lokasi target, menghasilkan#c0aba1d burung camar#n, tidak dapat#c0aba1d#n, dan#c0aba1d tidak ada perilaku khusus#n.#r dapat diperoleh setelah mengalahkan item adalah @item_12717#.",
13623,hipokampus,"Item_12719 item akuatik_12718, digunakan dalam air, untuk menghasilkan sebuah#c0aba1d kuda laut#n. Dapat ditarik oleh @item_12719#.#r menggunakan @item_12719# memiliki kesempatan tertentu untuk dapat#c0aba1d menjinakkan#n itu menjadi gunung#nAnda#c0aba1d .#r kuda laut remaja makan#c0aba1d2 kali#_12719# dapat tumbuh. Ada kemungkinan#c0aba1d hamil#n ketika#r kuda laut dihasilkan, dan penggunaan @item_12719# pada#c0aba1d kuda laut hamil#n akan menyebabkan mereka berkembang biak. Item yang tersedia setelah#r kekalahan adalah @item_12718#.",Memancing untuk mendapatkan.
13624,Kuda laut kecil,Digunakan dalam air untuk menghasilkan#c0aba1d kuda laut#n.,Memancing untuk mendapatkan.
13625,Kuda Laut (Jinak),,Didapatkan dengan menjinakkan kuda laut.
13626,ubur ubur,"Gunakan dalam air, menghasilkan#c0aba1d ubur-ubur#n, tidak dapat#c0aba1d#n, dan#c0aba1d tidak ada perilaku khusus#n.#r dapat diperoleh setelah mengalahkan item adalah @item_12719#.",Memancing untuk mendapatkan.
13627,Ikan terbang,"Gunakan di dalam air, hasilkan#c0aba1d ikan terbang#n, tidak dapat#c0aba1d makan#n, dan#c0aba1d tidak ada perilaku khusus#n.#r dapat diperoleh setelah mengalahkan item adalah @item_12064#.",Memancing untuk mendapatkan.
13628,ikan hiu,"Gunakan di dalam air, menghasilkan#c0aba1d hiu#n, tidak#c0aba1d makan#n, dan#c0aba1d tidak ada perilaku khusus#n.#r dapat diperoleh setelah mengalahkan item adalah @item_12066#, @item_12065#, @item_27#.",Memancing untuk mendapatkan.
13629,ikan pari,"Gunakan dalam air, menghasilkan#c0aba1d ikan setan#n, tidak dapat#c0aba1d#n, dan#c0aba1d tidak ada perilaku khusus#n.#r dapat diperoleh setelah mengalahkan item adalah @item_12067#, @item_11319#.",Memancing untuk mendapatkan.
13630,ikan alga tongkat glow,"Gunakan dalam air, menghasilkan#c0aba1d glow stick alga ikan#n, tidak dapat#c0aba1d#n, dan#c0aba1d tidak ada perilaku khusus#n.#r dapat diperoleh setelah mengalahkan item adalah @item_11318#.",Memancing untuk mendapatkan.
13800,Kereta Roller Coaster,Gabungkan ke kepala roller coaster. Butuh rel utk jalan.,@Null@
13802,Mesin Roller Coaster,"Bisa dikendarai, butuh rel utk jalan",@Null@
13803,Roket,Letakkan ditanah dan bakar. Kamu mungkin saja akan travel ke planet lain. Klik lompat utk menambah kecepatan.,@Null@
13804,Kereta Bom,Kereta yg berbahaya,@Null@
13806,Perahu Naga,"Gayuh sampan, duduk didepan dan jadi pemimpin",@Null@
13807,Rakit Kulit,"Kendaraan air, gunakan di permukaan air untuk menghasilkan rakit kulit.",Diperoleh dengan memproses di meja tukang.
13808,Lentera Teratai,"Letakkan diatas air agar ia dapat mengalir. Ayo, buat permintaan!",@Null@
13809,Rubah Kecil,Gunakan pada tanah untuk melahirkan rubah kecil.,
13810,Rubah Peri Kecil,Gunakan pada tanah untuk melahirkan peri rubah kecil.,
13811,Alpaka Kecil,Gunakan pada tanah untuk melahirkan alpaka kecil.,
13812,Badak Kecil,Gunakan pada tanah untuk melahirkan badak kecil.,
13813,Burung Dodo Kecil,Gunakan pada tanah untuk melahirkan burung dodo kecil.,
13814,Rusa Bertanduk Kecil,Gunakan pada tanah untuk melahirkan rusa bertanduk kecil.,
13815,@Null@,@Null@,@Null@
13816,@Null@,@Null@,@Null@
13817,Burung Unta Kecil,Gunakan pada tanah untuk melahirkan burung unta kecil.,
13818,Raptor Kecil,Gunakan pada tanah untuk melahirkan raptor kecil.,
13819,Pinguin Kecil,Gunakan pada tanah untuk melahirkan pingin kecil.,
13820,Anak Beruang Es,Gunakan pada tanah untuk melahirkan anak  beruang es.,
13822,Telur Biologis - Unta,"#c0aba1d herbivora#n, digunakan pada situs target, memunculkan unta#c0aba1d#n, tertarik oleh @item_11534#,#c0aba1d tetapi tidak dapat mereproduksi#n.#r menggunakan @item_12613# dengan kesempatan tertentu untuk#c0aba1d menjinakkan#n itu menjadi Anda#c0aba1d mount#n. Item yang tersedia setelah kekalahan#r adalah @item_11307#.",
13823,Unta (Jinak),Gunakan di tanah untuk melahirkan unta (jinak).,
13824,Kalajengking,Gunakannya di tanah untuk melahirkan Kalajengking.,
13825,Cacing Pasir,Gunakan pada tanah untuk melahirkan cacing pasir.,
13826,Penjaga Peri Gurun,Gunakan pada tanah untuk melahirkan penjaga peri gurun.,
13827,Penjaga Peri Gurun(Ramah),Gunakan pada tanah untuk melahirkan penjaga peri gurun(ramah).,
13828,Telur Biologis - Serigala Gurun,"Gunakan pada lokasi target, menghasilkan#c0aba1d serigala gurun#n, tidak dapat#c0aba1d#n, dan#c0aba1d tidak ada perilaku khusus#n.#r dapat diperoleh setelah mengalahkan item adalah @item_11307#.",
13829,Kala Jengking Besar,unakannya di lokasi target untuk melahirkan Kala Jengking Besar,
13850,Ikan lentera kecil,"Digunakan dalam air, menghasilkan#c0aba1d ikan lentera kecil#n.",
13851,Telur Cumi-cumi,Klik air utk lahirkan ikan,@Null@
13852,Telur Ikan Laut,Klik air utk lahirkan ikan,@Null@
13853,Telur Ubur-ubur,Klik air utk lahirkan ikan,@Null@
13854,Anak Ikan Dada Biru Muda,Gunakannya di bawah air untuk melahirkan #c0aba1dAnak Ikan Dada Biru Muda#n.,
13855,Anak Ikan Dada Biru Tua,Gunakannya di lokasi target untuk melahirkan #c0aba1d Anak Ikan Dada Biru Tua#n.,
13856,Anak Ikan Dada Hitam,Gunakannya di dalam air untuk melahirkan #c0aba1dAnak Ikan Dada Hitam#n.,
13857,Anak Ikan Bidadari Biru Muda,Gunakannya di bawah air untuk melahirkan #c0aba1dAnak Ikan Bidadari Biru Muda#n.,
13858,Anak Ikan Nemo Pink,Gunakannya dalam air untuk melahirkan #c0aba1dAnak Ikan Nemo Pink#n.,
13859,Anak Ikan Nemo Emas,Gunakannya dalam air untuk melahirkan #c0aba1dAnak Ikan Nemo Emas#n.,
13860,Anak Ikan Bidadari Emas,Gunakannya dalam air untuk melahirkan #c0aba1dAnak Ikan Bidadari Emas#n.,
13861,Anak Ikan Nemo Emas,Gunakannya dalam air untuk melahirkan #c0aba1dAnak Ikan Nemo Emas#n.,
13862,Anak Ikan Dada Pink,Gunakannya dalam air untuk melahirkan #c0aba1dAnak Ikan Dada Pink#n.,
13863,Anak Ikan Bidadari Kuning,Gunakannya di bawah air untuk melahirkan #c0aba1dAnak Ikan Bidadari Kuning#n.,
13864,Anak Ikan Nemo Ungu,Gunakannya dalam air untuk melahirkan #c0aba1dAnak Ikan Nemo Ungu#n.,
13865,Ikan Bidadari Hijau,Gunakan di air untuk melahirkan #c0aba1dAnak Ikan Bidadari Hijau#n.,
13866,Anak Ikan Nemo Bergaris,Gunakan pada air untuk melahirkan #c0aba1dAnak Ikan Nemo Bergaris#n.,
13867,Anak Ikan Bidadari Merah,Gunakannya di bawah air untuk melahirkan #c0aba1dAnak Ikan Bidadari Merah#n.,
13868,Ikan Merah Goreng,Klik air utk lahirkan ikan,@Null@
13869,Anak Ikan Nemo Jingga,Gunakannya dalam air untuk melahirkan #c0aba1dAnak Ikan Nemo Jingga#n.,
13870,Telur Biologis - Monyet Liar,"Item_822 mamalia omnivora#n, digunakan pada situs target, untuk menghasilkan#c0aba1d monyet liar#n yang dapat ditarik#n#c0aba1d pakan.#r gunakan @item_11599# atau @item_11600# dengan kesempatan tertentu untuk#c0aba1d menjinakkan#n menjadi pasangan#c0aba1d#n#r monyet liar remaja makan#c0aba1d2 pakan#n bisa tumbuh.#r dua monyet liar dewasa masing-masing makan#c0aba1d1 pakan#n dapat berkembang biak di dekat @item_822#. Tidak ada tetes setelah#r kekalahan.",
13872,Telur Biologis - Macan Tutul,"Gunakan pada lokasi target, menghasilkan macan tutul#c0aba1d#n, tidak#c0aba1d#n, dan#c0aba1d tidak ada perilaku khusus#n. Item yang tersedia setelah kekalahan#r adalah @item_11602#.",
13873,Dukun Racun,Gunakannya di tanah untuk melahirkan #c0aba1dDukun Racun#n.,
13874,Dukun Pengobatan,Gunakannya di lokasi target untuk melahirkan Dukun Pengobatan.,
13875,Dukun Petir,Gunakan di tanah untuk melahirkan Dukun Petir.,
13876,Dukun Api,Gunakannya di lokasi target untuk melahirkan Dukun Api,
13877,Telur Biologis - Pendeta Liar,"Digunakan pada lokasi target, memunculkan#c0aba1d Savage Priest#n.#r Ranged Active Attack, akan mengkloning.#r Item yang diperoleh setelah kekalahan memiliki pengalaman, @item_11593#, @item_11570#.",
13878,Dewa Ular Bersayap,Gunakannya di lokasi target untuk melahirkan Dewa Ular Bersayap,
13879,@Null@,@Null@,@Null@
13880,@Null@,@Null@,@Null@
13881,Telur Biologis - Kepiting Yan,"#c0aba1d karnivora#n, digunakan di situs target, menghasilkan#c0aba1d kepiting Yan#n, dapat ditarik oleh @item_11535#,#c0aba1d tetapi tidak dapat berkembang biak#n.#r gunakan @item_12521#, @item_12705# atau @item_12706# dengan kesempatan tertentu untuk#c0aba1d Tame#n itu menjadi Anda#c0aba1d mount#n. Item yang tersedia setelah#r kekalahan adalah @item_12605#.",
13882,Versi game terlalu rendah,@Null@,@Null@
13883,Telur Biologis - Burung Pipit Warbler,"#c0aba1d herbivora#n, digunakan pada lokasi target, memunculkan#c0aba1d Warbler#n yang dapat ditarik oleh @item_11534#.#r suka hidup berkelompok, menggunakan @item_12603# memiliki peluang tertentu untuk#c0aba1d jinak#n menjadi#c0aba1d pendamping#n.#r Kalahkan dan jinakkan item yang tersedia adalah @item_12278#.",
13884,Game version is too low,@Null@,@Null@
13885,Kupu-Kupu Merah,"Gunakan di lokasi target untuk membuat #c0aba1dCrimson Butterfly#n, Tidak dapat #c0aba1draised#n.#r Dapat ditarik melalui @item_11228#.",
13886,Kupu-Kupu Cyan,"Gunakan di lokasi target untuk membuat #c0aba1dCyan Butterfly#n, Tidak dapat #c0aba1draised#n.#r Dapat ditarik melalui @item_11228#.",
13887,Kupu-kupu Wangi,"Gunakan di lokasi target untuk membuat #c0aba1dFragrant Butterfly#n, Tidak dapat #c0aba1draised#n.#r Dapat ditarik melalui @item_11228#.",
13888,Kupu-Kupu Putih,"Gunakan di lokasi target untuk membuat #c0aba1dKupu-Kupu Putih#n, Tidak dapat #c0aba1draised#n.#r Dapat ditarik melalui @item_11228#.",
13889,Kupu-Kupu Kulit Naga,"Gunakan di lokasi target untuk membuat #c0aba1dDragonkin Butterfly#n, Tidak dapat #c0aba1draised#n.#r Dapat ditarik melalui @item_11228#.",
13890,Kupu-Kupu Lonceng,"Gunakan di lokasi target untuk membuat #c0aba1dBell Butterfly#n, Tidak dapat #c0aba1draised#n.#r Dapat ditarik melalui @item_11228#.",
13891,Game version is too low,@Null@,@Null@
13892,Monster Rune,Gunakan di lokasi target untuk menghasilkan#c0aba1d monster runic#n.#r Kekalahan memiliki kesempatan untuk mendapatkan @item_11612,
13893,Ayam Terbang Kecil,Gunakan pada tanah untuk melahirkan ayam terbang kecil.,
13894,Ayam Aduan Kecil,Gunakan pada tanah untuk melahirkan ayam aduan kecil.,
13895,Monyet Kecil,Gunakan pada tanah untuk melahirkan monyet kecil.,
13896,Kepiting Lava Jinak(Tunggangan),Gunakannya di lokasi target untuk melahirkan Kepiting Lava Jinak(Tunggangan),
13910,Telur Biologis - Kelinci Salju,"#c0aba1d mamalia herbivora#n, digunakan di situs target, menghasilkan#c0aba1d kelinci salju#n, dapat tertarik dengan @item_11534#, tetapi#c0aba1d tidak ada perilaku khusus#n.#r kelinci salju remaja makan#c0aba1d2 kali#n@item_11534# dapat tumbuh.#r dua kelinci salju dewasa masing-masing makan#c0aba1d1 kali#n@item_11534# dapat berkembang biak di dekat @item_822#. Item yang tersedia setelah#r kekalahan adalah @item_12532#, @item_12623#.",
13911,Kelinci Salju Kecil,Gunakan di tanah untuk menghasilkan kelinci salju kecil.,
13912,Telur Biologis - Yak,"#c0aba1d mamalia herbivora#n, digunakan pada situs target, untuk menghasilkan#c0aba1d yak#n yang dapat ditarik oleh @item_11534#.#r dapat diperoleh dengan memberi makan @item_763# @item_12509#.#r yak remaja makan#c0aba1d2 kali#n@item_11534# dapat tumbuh.#r dua yak dewasa masing-masing makan#c0aba1d1 kali#n@item_11534# dapat berkembang biak di dekat @item_822#. Item yang tersedia setelah kekalahan#r adalah @item_12535#, @item_11307#.",
13913,yak kecil,Gunakan di tanah untuk menghasilkan yak kecil.,
13914,Telur Biologis - Rubah Tibet,"#c0aba1d karnivora#n, digunakan di situs target, menghasilkan#c0aba1d rubah Tibet#n, dapat tertarik dengan @item_11535#,#c0aba1d tetapi tidak dapat berkembang biak#n.#r menggunakan @item_12532# dapat membuatnya membawa Anda ke#c0aba1d berburu harta karun#n.",
13915,Telur Biologis - Penjaga Roh Es,Gunakan di tanah untuk menghasilkan penjaga roh es.,
13916,Manusia Salju (Placeholder),,
13917,Pendeta Utusan Void (Placeholder),,
13918,Imam Utusan Void (Placeholder),,
13919,Imam Besar Utusan Void (Placeholder),,
13920,Kapten Babi Hutan,Ketuk tanah untuk memunculkan Kapten Boarman,
13921,Kapten Babi Hutan,Ketuk tanah untuk memunculkan Kapten Boarman,
13922,Kapten Pelempar Pike Boarman,Ketuk tanah untuk memunculkan Kapten Throwing-Pike Boarman,
13923,Kapten Pelempar Pike Boarman,Ketuk tanah untuk memunculkan Kapten Throwing-Pike Boarman,
13924,Perwira Babi Hutan,Ketuk tanah untuk menelurkan Boarman Centurion,
13925,Perwira Babi Hutan,Ketuk tanah untuk menelurkan Boarman Centurion,
13926,Perwira Pelempar Pike Boarman,Ketuk tanah untuk memunculkan Centurion Throwing-Pike Boarman,
13927,Perwira Pelempar Pike Boarman,Ketuk tanah untuk memunculkan Centurion Throwing-Pike Boarman,
13928,Batalkan Telur,Ketuk tanah untuk menelurkan Telur Void,
13929,Batalkan Kapten Boarman,Ketuk tanah untuk memunculkan Kapten Void Boarman,
13930,Batalkan Perwira Babi Hutan,Ketuk tanah untuk memunculkan Void Boarman Centurion,
13931,Kapten Pelempar Pike Void Boarman,Ketuk tanah untuk memunculkan Kapten Void Throwing-Pike Boarman,
13932,Perwira Pelempar Void Boarman,Ketuk tanah untuk memunculkan Void Throwing-Pike Boarman Centurion,
13933,Batalkan Joki,Ketuk tanah untuk memunculkan Void Jockey,
13934,Makhluk Rasul Tanpa Telur,Gunakan di lokasi target untuk membuat #c0aba1dVoid Rasul#n.#r Melakukan serangan aktif jarak dekat dan bergerak dengan terbang.#r Item yang berhasil mengalahkannya termasuk EXP dan @item_11911#.,
14000,@Null@,@Null@,@Null@
14001,Bintang,@Null@,@Null@
14002,@Null@,@Null@,@Null@
14003,@Null@,@Null@,@Null@
14004,@Null@,@Null@,@Null@
14005,@Null@,@Null@,@Null@
14006,@Null@,@Null@,@Null@
14007,@Null@,@Null@,@Null@
14008,@Null@,@Null@,@Null@
14009,@Null@,@Null@,@Null@
14010,@Null@,@Null@,@Null@
14100,@Null@,@Null@,@Null@
14101,@Null@,@Null@,@Null@
14102,@Null@,@Null@,@Null@
14103,@Null@,@Null@,@Null@
14104,@Null@,@Null@,@Null@
14105,@Null@,@Null@,@Null@
14106,@Null@,@Null@,@Null@
14107,@Null@,@Null@,@Null@
14108,@Null@,@Null@,@Null@
14109,@Null@,@Null@,@Null@
14110,@Null@,@Null@,@Null@
14111,@Null@,@Null@,@Null@
14112,@Null@,@Null@,@Null@
14113,Berlangganan Paket Mini Coin 18,@Null@,@Null@
14114,Berlangganan paket Mini Coin 38,@Null@,@Null@
14115,Berlangganan paket Mini Coin 98,@Null@,@Null@
14116,Permintaan Koin Mini,@Null@,@Null@
15000,Senapan Mesin Ringan,#c0aba1d damage basic : 20 #n Senapan mesin yang sangat cepat. Hanya bisa dipakai pada mode kreasi. Coba ganti dgn plugin.,@Null@
15001,Pistol,Mode senjata,@Null@
15002,Pistol Koboi,#c0aba1d damage basic : 30#n Pistol koboi yg misterius. Pakai peluru. Hanya bisa dipakai pada mode kreasi. Coba ganti dgn plugin.,@Null@
15003,Peluru,#c0aba1d damage basic : 15#n Pakai  dgn senjata api,@Null@
15004,Senapan Sniper,#c0aba1d damage basic : 100#n Dapat menembak dgn sangat tepat pada sasaran,@Null@
15005,Senapan Mesin Berat,"#c0aba1d damage basic : 20#n Sangat kuat, senjata yg mempunyai banyak peluru. Tak terkalahkan.",@Null@
15006,Senapan,"Senjata yg kuat, tetapi menembak lebih lambat",@Null@
15007,Granat,Akan meledak beberapa saat setelah dilemparkan. Mempunyai fisikal karakteristik. Akan memantul saat terbentur blok.,@Null@
15008,Granat Nanas,Akan meledak beberapa saat setelah dilemparkan. Mempunyai fisikal karakteristik. Akan memantul saat terbentur blok.,@Null@
15009,Senapan mesin ringan Uzi,#c0aba1d kerusakan dasar + 30 #n #r amunisi untuk peluru.,
15010,Senapan mesin ringan MP5K,#c0aba1d kerusakan dasar + 30 #n #r amunisi untuk peluru.,
15011,Thompson,#c0aba1d kerusakan dasar + 30 #n #r amunisi untuk peluru.,
15012,Senapan mesin ringan 9-90,#c0aba1d kerusakan dasar + 30 #n #r amunisi untuk peluru.,
15013,Senapan mesin ringan JS9,#c0aba1d kerusakan dasar + 30 #n #r amunisi untuk peluru.,
15014,senapan AK,#c0aba1d kerusakan dasar + 30 #n #r amunisi untuk peluru.,
15015,Senapan M416,#c0aba1d kerusakan dasar + 30 #n #r amunisi untuk peluru.,
15016,Emas M416,#c0aba1d kerusakan dasar + 30 #n #r amunisi untuk peluru.,
15017,Api merah M416,#c0aba1d kerusakan dasar + 30 #n #r amunisi untuk peluru.,
15018,Es M416,#c0aba1d kerusakan dasar + 30 #n #r amunisi untuk peluru.,
15019,AUG - Catatan musik cepat,#c0aba1d kerusakan dasar + 30 #n #r amunisi untuk peluru.,
15020,senjata api,,
15050,Proyektil - Boarman Spearman,Proyektil Monster,
15051,Proyektil-Pemanah Sulfur,Monster Proyektil,@Null@
