ID,名字,描述,购买提示,特别效果1描述,特别效果2描述,特别效果3描述,特别效果4描述,特别效果5描述,特别效果6描述
115,أميرة الجليد,أميرة موجودة منذ ولادة أرض العجائب ييلولي، تعيش في قصر ثلجي من الكريستال، إلهة الجليد والثلج. بسبب شخصيّتها الجامدة، لم تتمكّن من صنع الاصدقاء، إلا أنّ قلبها نقيّ ولطيف ولا تتحمّل أذيّة أيًا كان.,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,الآثار: كريستالات جليد تطفو حولك,@Null@,,,
116,روري,أميرة لأرض العجائب ييلولي، تملك القوّة السحريّة للشفاء والحبّ. بعد أن حوّلتها الملكة إلى دمية، قابلت أميرًا واتّفقا معًا ما أعاد شكلها وقدرتها السحريّة. إنّها لطيفة وفرحة ومحظوظة وتحبّ الفراولة.,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,الآثار: جزئيّات قلوب تطفو حولك,@Null@,,,
117,وميض الضوء,تمامًا مثل النور، يتحدّد شكلها بحسب الشخص الذي يستحضرها، وتمامًا مثل وجود الظلّ، ما زالت لم تكتشف حقيقتها الفعليّة ما يؤدّي إلى توقها الشديد للحريّة.,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,الآثار: جزئيّات ذهبيّة تطفو حولك,@Null@,,,
118,سيندريلا,"بفضل قوّة الخيال، فإنّ المعجزات ليست مستحيلة"" هذا هو شعار سيندريلا المتفائلة. فحتى وهي تقوم بالمهام المنزليّة، كانت تتخيّل نفسها أميرة خياليّة جميلة، وقد حول صديقها الخياليّ ذلك إلى حقيقة خلال حفلة الرقص الملكيّة.",@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,البصمات: تترك بصمات ورد ورديّ حيثما تذهب,@Null@,,,
119,أميرة الروح,كونها عضو من جناح لينزي، تعيش الجنيّة الروحيّة اللطيفة والودودة في هيكل تعشقه من الزهور وهي تقدّر كل حياة ونفس، حارسة العالم بمحبّتها وقلبها.,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,البصمات: تترك بصمة كعب من الكريستال,@Null@,,,
120,التنين - سكالي,لم يغادر سكالي المحيطات يومًا: فبسبب قصص نازه، أصابه خوف شديد من اليابسة. في هذه المغامرة، يصبج أكثر شجاعة ويكتشف أنّ اليابسة ليست مخيفة كما كان يظنّ. فكلّ ذلك لم يكن إلاّ امتحانًا  من والده ليجعله خليفته في ركوب الأمواج.,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,الآثار: كريستالات جليديّة سحريّة تطفو على الجسم,@Null@,,,
121,مياو مياو,ماذا تعني عندما تقول أنّني صغير! خمّن متى ستظهر حسكة السمك على أريكتك؟ كونه نشيطًا وحرًا، يحبّ مياو مياو أن يظهر براعته في رماية حسك السمك. لا تدع مظهره اللطيف يخدعك، فهو مشهور بالأذيّة.,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,البصمات: يترك بصمة رأس هرّ,@Null@,,,
122,البجعة البيضاء - أوديت,مثلما يقابل النهار الليل كذلك تلتقي الأحلام بالحقيقة. إنّما من أنا أمام كلّ هؤلاء؟,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,الآثار: ريش بجعة بيضاء يطفو حولك,@Null@,,,
123,سيسيل,يعيش في الأراضي المقدّسة لأرض العجائب ييلولي وهو أحد الأعضاء الثمانية للينزي -- بحوذتها4 ساعات والقدرة على التحكّم في الوقت وهويّات لا حصر لها. يتمتّع بشعر طويل فضيّ وعينان مثل المجرّات، ووهو نبيل وأنيق لذا أتركه هادئًا وتابع المسير.,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,البصمات: تترك بصمة ساعة,@Null@,,,
124,جيسي,إنّ جيسي وجيري هم أصدقاء مقرّبين كبروا معًا. كانت خجولة في السابق إنّما بسبب تأثير شجاعة جيري، تعلّمت استخدام أجراسها لاستدعاء القناديل الصغيرة لمساعدتها ولم تعد خائفة بعد ذلك. فالسلاح السريّ الأكثر قوّة هو سلاح الشاجاعة والصداقة!,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,البصمات: تترك بصمة قنديل البحر,@Null@,,,
125,سويرلي السريع,إنّ سويرلي السريع هو رجل غير صبور يتمتّع بنشاط لا ينتهي. يحبّ أن يجمع الأشياء الصغيرة، لذا إن احتجت لأي شيء، أطلبه من سويرلي السريع! قد تجد عنده ما تحتاجه.,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,البصمات: يترك بصمة حلزون,@Null@,,,
126,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
127,البجعة السوداء - أوديت,الحقيقة والأحلام منفصلان، والليل والنهار يتمتّعان بوجودهما الخاصّ، وأنا أمثل نفسي.,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,الآثار: ريش بنفسجيّ يطفو حولك,@Null@,,,
128,الأمير الضفدع - نقيق,تمسّك قليلاً بعد، وقد تحقّق وعدك. #r إنّه باحث في بيئة المستنقع، دائمًا ما ينظر إلى الكرة الصغيرة الذهبيّة في كفّيه ليشجّع نفسه. في هذا المستنقع الرطب، يكمن أمله المستتر.,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,البصمات: يترك بصمة ورقة لوتس,@Null@,,,
129,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
130,بيضاء الثلج,هؤلاء هم أصدقائي المفضّلين وعددهم 7. #r تجد في متجر صوفيا للألعاب دمًى رائعة. غالبًا ما تهمس للدمى وكأنّها حيّة. لتحصل على تلك الدمى لا يمكنك استخدام المال إنّما يجدر بك أن تستبدلها بأمر مهمّ جدًا بالنسبة لك. ما هو؟,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,البصمات: تترك بصمة ورق تفاح,@Null@,,,
131,هانسيل,الصبي الذي كان مدروسا وأعتذر عن أخته. فقد هو وأخته في الغابة الكثيفة لأكثر من شهر، لكن بأعجوبة عادت معا. ونادرا ما ذكر تجربته في الغابة الكثيفة، لكنه حمل الرغيف الفرنسي منذ ذلك الحين. وقيل إن الطائر على الكتف قد تم التقاطه في ذلك الوقت.,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,البصمات: تترك بصمة خبز,@Null@,,,
132,غريتيل,يثق غريز أخيها كثيرا، يحب جمع الطهي، وخاصة جيدة في الخبز والحلويات. وهي تدعي أن هذه المهارات تعلمت عندما تضيع. كيف تعلمت هذه المهارات في الغابة الكثيفة المهجورة؟,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,البصمات: تترك بصمة براعم خوخ,@Null@,,,
133,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
134,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
135,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
136,عواء,من يعرف عن قوّة المشاعر أكثر مني؟ #r كونه المسؤول عن شركة هابي موفرز، يمكن لعواء الودود أن يحرّك أي شيء، ويظهر مزاجه بشكل مباشر على وجهه. إن لاحظت تغيّر النمط على حمالته، لا تقلق، فهكذا يقوم عواء بالتحضير لتحرير مشاعره!,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,البصمات: يترك بصمة رأس مخلب,@Null@,,,
137,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
138,ربيع,هل تستمتع في الإصغاء إلى صوت المطر؟ #r كونه من مقدّمي الفصول، فإنّ ربيع هو من الباحثين البيئيين للنجمة ألفا، التي تمثّل قوّة الولادة الجديدة. تتمتّع في امتطاء نبتة البرسيم بالأربعة أوراق محدّقة بالسحب والمطر. على الرغم من أنّه يبدو امضاء الوقت معها جميلاً، يمكن لطبعا أن يتغيّر تمامًا كالطقس خلال الربيع. رجاءًا الحفاظ على الكلام اللطيف بقد الإمكان.,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,الآثار: فراشات ترفرف حولك,@Null@,,,
139,صيف,كيف يمكن لعرض الشارع الخاص بي أن يتوقّف بسبب هذا الطقس؟ #r بعد أن أصبح من الذين يأتون بالفصول، انبهر الصيف بالعالم السفلي، ولم يتأثر بالانفجار القويّ لموجة الحرّ. تمامًا كنسمة الصيف، لا يمكنك أن تقدّر إن كانت نسمة صيف باردة أو عاصفة برد في اللحظة القادمة.,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,البصمات: يترك بصمة تموّجات مياه,@Null@,,,
140,فاكهة الخريف,احصل على العصير! لست أنا من يتحكّم بالفصل، فقوّة الطبيعة هي التي اختارتني. #r خلاف الصيف والشتاء، تفضّل فاكهة الخريف القدرة الهادئة للأرض ونادرًا ما تستخدمها. لا أقوم بهذه الرحلة فقط لخلاص بيوتنا، ولكن لأحافظ أيضًا على المسؤوليّات التي تأتي مع قدراتي.,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,الآثار: ورق القبقب يطفو حول الجسد!,@Null@,,,
141,الزرقاء الصغيرة,إنّ الزرقاء الصغيرة هيي الجنيّة الخياليّة الحارسة لقلعة السحر الخياليّة، وبأوامر من الملكة الجنيّة الساحرة، تمكّنت من الدخول الى عالم البشر كمربّية في عائلة لينغ، وهي أيضًا الضديقة المفضّلة ومعلّمة السحر لماغي وسنوي.,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,البصمة: تترك بصمة زهرة صفراء صغيرة,@Null@,,,
142,اساطير,مبادلة الجلد مع ساكورا,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,الآثار: أرانب تطفو حول الجسد!,@Null@,,,
143,ماجي,ماجي هي الأخت الكبرى بين الأخوات لينغ، جنيّة سحر صغيرة من العالم البشريّ. عادلة، ومتفائلة، وفاعلة، ولطيفة مع حسّ الفكاهة. تبدو متكبّرة أحيانًا، وأحيانًا أخرى شريرة، وتملك موهبة الرسم إلاّ أنّها لا تملك الصبر ولا تحبّ الدرس.,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,البصمة: تترك بصمة زهرة زرقاء صغيرة,@Null@,,,
144,ثلجي,سنوي هي الأخت الأصغر بين الأخوات لينغ، جنيّة سحر صغيرة من العالم البشريّ. كريمة وناضجة، ذكيّة وهادئة، وتقوم بالأشياء بطريقة منهجيّة. تتمتّع بالدرس والقراءة وتأتي بنتائج رائعة وهي محلّلة جيّدة. بالرغم من أنّها الصغرى ولكّنها هي من تعتني باختها الكبرى ماجي.,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,البصمة: تترك بصمات فقاعات,@Null@,,,
145,أمير المتعة,المتعة هو أمير قلعة السحر الخياليّة بشعر أزرق. ترك القلعة بسبب سوء فهم مع ملكة السحر الجنيّة. على الرغم من أنّه يبدو باردًا من الخارج، إنّما هو أخ كبير حنون مليء بالبرّ والقليل من الكبرياء.,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,الآثار: نجوم تلمع حول الجسم!,@Null@,,,
146,براعم,تزهر ساكورا على الطريق، فيما ينمو الصفصاف الأخضر إلى جانب البحيرة، وفينا يغرّد السنونو، لقد مرّت سنة أخرى بدون حبّ. #r كونها وريثة لامبراطوريّة بستنة، تحرس براعم باهتمام أسرّة الزهور الملوكيّة في نجمة نيو. عندما ينتهي فصل الزهور، تلمس بلطف النبتة في الأصيص من خلال صاعقة وتهمس: لو أنّك ما زلت هنا ... لكان كلّ شيء على ما يرام.,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,الآثار: بتلات تطفو حول الجسم!,@Null@,,,
147,صاعقة,لقد سألت عمّا يوجد فوق السحاب، لن تجد سوى المطر والصواعق والرعد والهواء وأفكار الثلج. #r يحبّ الصاعقة أن يتمشى بين السحب. غالبًا ما يستخدم سحره ليطير الى أعلى السماء، ويشاهد أشخاصًا في المدينة كلّها يتسارعون تحت المطر والثلج. في هذا الوقت، يتذكّر لقاءًا على النجمة نيو: السيّدة الفاتنة وأسرّة الورد الجميلة في مدينتها الأمّ.,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,البصمة: تترك بصمة قطرة ماء.,@Null@,,,
148,شتاء,لا شيء يضاهي جمال الأضواء الشماليّة هنا، إلا أنت. #r نجوم مسافرة وحيدة، سحرها وحش الخلاء لتقوم بحماية أرضها ألأمّ. كونه من حماة الفصول، تطوّع بأن يصبح سلاحًا بيد كوكب النجمة، ساكبًا الغضب على أعدائها على عكس طبيعته الرقيقة.  العاصفة الثلجيّة الأعنف التي يمكنك تخيّلها.,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,البصمة: يترك بصمة كون صغير.,@Null@,,,
149,ندرة,هي المغنية من ponyville، جميلة وأنيقة، واثقة ومليئة بالسحر، هي مصمم أزياء عبقرية مع متجر أزياءها الخاصة. تحب أن ترى المهور يرتدي الأزياء التي صممتها وجعلها.,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,تأثير ماديّ: ماسة صغيرة,@Null@,,,
150,آبلجاك,"تتمتّع آبلجاك بميزة الصدق والمساعدة، فهي دائمًا ما تساند وتساعد أصدقاءها. إنّها مسؤولة بشكل أساسيّ عن قطف التفاح في حديقة التفاح الحلو، برفقة رفيقها الكلب الأليف ناير. تمثّل آبلجاك ""الصدق"".",@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,الآثار: تفّاحة صغيرة تطفو حول الجسم!,@Null@,,,
151,علاء الدين,"قم بملاحقة آثار كوشيا، إذهب إلى الرمل القمريّ، علاء الدين ..."" تمكّنت من الحصول على الكتاب السحري الخالي من الكلمات والذي يستخدمه ساحر غامض "" ألف ليلة وليلة"" في خراب الرمل القمريّ المليء بالأفخاخ. بسبب تصميمه على المقاومة، بدأ رحلة البحث عن كنوز الرمل القمريّ.",@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,تأثير الجسم: رموز غامضة تطفو حول الجسد!,@Null@,,,
152,بينوكيو,بالرغم من أنّه مصنوع من الخشب، إنّما ليتمكّن من الشعور بالدفء، يعانق لهيب النار طوعيًا.,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,البصمة: يترك بصمة ربطة عنق.,@Null@,,,
153,تاشا,إنّ الحياة هي كساعة حائط، يتعب الناس من دورانها، ولكّنهم يخافون من أن تتوقّف في أفضل لحظة.,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,الآثار: ريش مشعّ يطفو حول الجسم!,@Null@,,,
154,آيمي,إنّ آيمي وجيسي وأليسا هنّ صديقات مقرّبات وتحاربن ضدّ السيّد الشيطان الأسود. رائحة الشمّ عند آيمي حسّاسة بشكل خاصّ. بعد أن أصبحت الجنيّة الساحرة، تمكّنت من رصد العدوّ بفضل حاسّة الشمّ ما ساعدها كثيرًا. بالرغم من أنّها رقيقة وتبكي بسهولة إلاّ أنّها أصلب ممّا تبدو وهادئة جدًا عندما تواجه المتاعب.,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,البصمة: تترك ذيلاً من النجوم,@Null@,,,
155,جيسي,إنّ آيمي وجيسي وأليسا هنّ صديقات مقرّبات وتحاربن ضدّ السيّد الشيطان الأسود. تعتبر جيسي حسّاسة للألوان ويتخطّى خيالها الأشخاص العاديّين. إنّها رسّامة عبقريّة نادرة. بالرغم من أنّها لا تتكلّم كثيرًا ولكنّها لطيفة جدًا مع العلم أنّ شخصيّتها ثابتة وعنيدة بعض الشيء.,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,الآثار: إبهار زهريّ يطفو حول الجسم!,@Null@,,,
156,أليسا,أليسا هي أميرة قلعة كويور في مملكة السحر. شعرها أشقر جميل تسرّحه بذيل حصان مزدوج وتضع تاجًا على رأسها. شخصيّتها حيويّة ومرحة، تحبّ أن تتكلّم وتخوض المغامرات، لا تخاف، ولكّنها أيضًا اندفاعيّة. عندما لا تكون سعيدة، تلوّن بألوان سحريّة.,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,الآثار: طاقة سحريّة تطفو حول الجسم!,@Null@,,,
157,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
158,مصاصي الساحرية لوت,"صافرة، طار البومة ريشة الثلج، توقفت في أكتاف المراهق.
يأخذ مراهق البشرة البيضاء الشاحبة الرسالة من البومة، ويغمز عينيه الخضراء، يميل رأسه يسأل،
""هل رأيتها مصاص دماء يعرف السحر؟""",@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,آثار الجسم: النجوم السحرية تطفو من حولك!,@Null@,,,
159,الجنية القمرية,@Null@,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,آثار الجسم: الزهور والأرانب البيضاء يطبع تطفو من حولك!,@Null@,,,
160,يشم,"لوتس لصق أو لصق العنكب؟ الكسترد أو ماتشا؟ لدينا كل شيء!
الكعك القليل من القمر، في جلدها الخارجي جولة، الأكاذيب عجائب داخل، مليئة بالمفاجآت.
سيقدم هذا الشيف سيدة إبداع غير محدود، وجلب الحلويات النمط الصيني إلى مستوى جديد كامل لا بد أن يتراجع عبر الكون! وأنت مستعدة لقبول هذا الذوق السماوي الحلو؟",@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,آثار الجسم: الفراشات الصغيرة تطفو من حولك!,@Null@,,,
161,عاصف نيتا,كانت نيتا في الأصل دمية أرنب من الخزف في حديقة منزل روسيل. شهدت الوضع الذي حاول فيه روزيل ممارسة السحر في الحديقة كل ليلة لأنها فاتتها والدتها، وأعطت الحياة بالسحر. يمر عبر الغابة ودفع الشوك، إنها أردت فقط السماح للحديقة السحرية بلوم مرة أخرى.,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,آثار الجسم: الملاحظات الموسيقية تطفو من حولك!,#cda5b0aيقتصر  على إخراج صندوق هدايا Dream Building #n,,,
162,الطبال نيك,نيك وأخته نيتا زوجان من الحلي السيراميك الأرنب الذي قدمه موصل حديقة منزل روسيل. على عكس نيتا الذي يريد البقاء في الحديقة، يشعر نيك سرا أنه أكثر أهمية بالنسبة للموصل ويريد التعاون إلى الأوركسترا.,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,آثار الجسم: الملاحظات الموسيقية تطفو من حولك!,#cda5b0aيقتصر  على إخراج صندوق هدايا Dream Building #n,,,
163,التنين لا مثيل له,@Null@,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,آثار أقدام: يتم ترك آثار أقدام كعكة البخار أينما ذهبت.,@Null@,,,
164,تسعة عشر,"مهلا، يشبه الطفل، لكنه سيد فعلي. بوجود ماجستير Wanli وإخوانه، لن يتم الكشف عن ""التنين الطائر"" بسهولة. بالتأكيد ما يكفي، ما زلت أحب لعب الألعاب مع إخواني أكثر! إذا فقدت ... سأبكي من أجلك!",@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,آثار الجسم: جزيئات الطاقة تطفو على الرأس!,@Null@,,,
165,حبيبتي تيدي,نعومة الحلوى الناعمة وصلابة الحلوى الصلبة كلها من حيث الميراث. فقط مع ليونة في الوسط، لينة وبجد في الحزمة، من حيث الابتكار، والدب الحلوى هو الأفضل. ألف كلمة، قلب الدب الصغير هو أحلى.,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,آثار أقدام: سيتم إسقاط الحلوى وسيتم ترك آثار الأقدام أينما كنت تمشي.,#cda5b0aيقتصر  على إخراج صندوق هدايا Dream Building #n,,,
166,حالمة,التثاؤب هو عمل توقيعي. الجميع يدعوني في يوم حالم. الشمس والنجوم والقمر كلها في وسادة لينة. وضعت على المصنوعة من العصابة والنوم على الفور. ليلا ونهارا، تعال وأحلم معي!,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,آثار الجسم: فقاعات نعسان تطفو على الجسم!,#cda5b0a يقتصر  على إخراج صندوق هدايا Dream Building #n,,,
167,بولي,"عندما يتم الكشف عن ضباب الحياة، هل تجرؤ على الاقتراب، الباب المخفي الذي يخفي الحقيقة؟
هي الملكة ""من القلعة التي أمرت الفريق، وفتاة التقنية التي سجنها في المنزل. هل سمعت ذلك؟ بينما تبكي بصوت عال:"" الشخص الذي يجب أن يصبحني بالتأكيد الخاسرون تحت تنورة بلدي! """,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,أقدام المشي: ترك آثار أقدام فقاعات متوهجة أينما كنت تمشي.,@Null@,,,
168,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
169,صفارة إنذار,كما يغني الطيور والرقص، لأنها تتعلق بشيء عن قلوب الناس. مع مرور الوقت، وكان النسيم باهتة، هل سيظهر حاكم العالم. إنها تفهم مصيرها ومعتقداتها. لأن الأشياء التي تحتاج إلى حراسة أكثر ثمينة من الذهب والمجوهرات.,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,آثار الجسم: Golden Ginkgo يترك تطفو على الجسم!,#cda5b0a Interactive: يمكنك تشغيل إجراء تفاعلي مع Hou الفارغ! #ن,,,
170,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
171,سماء ماركيز,الإمبراطور المحاصرين في كابوس يكافح للعثور على المجد اللغط. حتى، سمع صرخة الروح ... هل سمعت الغناء ...؟ اتبع جنبا إلى جنب وابق على قيد الحياة!,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,المؤثرات الخاصة للجسم: جزيئات طاقة سماوي تطفو على الجسم!,#تفاعل : يمكنك تشغيل حركات#cda5b0a تفاعلية مع بداية Warbler! #ن,,,
172,ني يوير,"التنانير الراقصة وعشاق الغناء والملابس النيون والريش ، 
 مثل مروحتي وملابسي ؟ 
 فقط اعثر على هذه الفتاة!",,صورة الملف الشخصي: فتح صورة الملف الشخصي.,تأثيرات الجسم: الزهور الخضراء تطفو حولها!,,,,
173,شيه زيلي,"في بداية البشر ، الطبيعة جيدة بطبيعتها. الجنس قريب ، لكن العادة بعيدة. 
 إذا كنت تريد مني أن أقول ، القتال والقتل ليست باردة على الإطلاق.",,صورة الملف الشخصي: فتح صورة الملف الشخصي.,تأثيرات الجسم: الأحرف الصينية تطفو حول الجسم!,,,,
174,كاسبر,"فانوس باليد، مع الغراب على كتفك، من هو الوصي في الليل؟
يتم احتفال الجسم بالقدرة على تفريق الظلام، ولكن فقط يتوقون إلى نوم سلمي وجيد.
إذا كان شخص ما غير جيد، فدعه يجرب صليبي!",@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,الأقدام: تركت النيران السوداء أينما كنت تمشي.,@Null@,,,
175,أوليفيا,تم تزيين الليلة بغزل تنورة، لا أحد يتفوق على باقات. الزهرة الخالدة التي لا تعيش أو يموت، لا تذبل أو ذبول، هل يمكن أن تخبرني، هل الشخص الذي أنقذني رفع الغراب؟,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,أقدام: تركت الورود أينما كنت تمشي.,@Null@,,,
176,يوونا,تتحول إلى قط أسود لطيف الليلة وتذهب إلى البشر لممارسة حقوق هذه الساحرة!,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,آثار الجسم: الخفافيش الغامضة تحيط الجسم!,@Null@,,,
177,أندرو,كما سقطت الليل، ظلم الظلام تدريجيا العالم. شكل العناكب على شبكات الخفافيش السفر، أنا روح هالوين غامضة وسيم.,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,آثار الجسم: الخفافيش الغامضة تحيط الجسم!,@Null@,,,
178,وكيل الوحش المتطرف الذئب الفضة,"ولد الذئب الفضي في عشيرة الذئب الأبيض، ولدت رشيقة وهادئة وحاسمة. إنه عضو في منظمة الوكيل الخاص بماندا ستار ماندا - ""الهجوم الوحش"". الأسلحة المستخدمة من قبل الاصطدام هو إعادة تصنيع بليد بندقية بمساعدة مواء ميكا. في الفريق، كان يعمل كمهاجم في القتال المتوسطة إلى الإغلاق. يمكن استخدام الطائرة بدون طيار الدوار عادة في القفازات لمساعدة الهجوم.",@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,آثار أقدام: أيقونات الوكيل تترك أينما تمشي.,@Null@,,,
179,روح الأميرة,الاسم الحقيقي هو هوا لينغ، ويسمى معظم الناس روح الأميرة. هي آلهة يحرس الحياة. تعيش في معبد الزهرة الجميل والرائعة، واحترام الحياة والروح. إن حراسة مخلوقات العالم مع الحب لا يعطي الناس فقط شعورا بالحميمية من الخارج، ولكن أيضا لطيف جدا في الداخل.,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,آثار الجسم: هناك الزهور والفراشات تطفو على الجسم!,@Null@,,,
180,التنين فارغ,الفتاة التنين المنعزلة في فرييلاند، ولكن لديها قلب مليء بالخيال والشرق من أجل الحرية. عن طريق الصدفة، التقى متقشر، وهو Dragonian الصغير، وشكل صداقة لتبادل الوجبات الخفيفة. اكتسبت الكثير من المعرفة حول العالم الخارجي من القشرة، على أمل أن تأتي في متناول يدي يوم واحد.,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,أقدام المشي: ترك آثار أقدام العظام أينما كنت تمشي.,#cda5b0aيقتصر  على إخراج صندوق هدايا Dream Building #n,,,
181,عزم دوران خبير تركيا,عزم الدوران هو الطاهي الغامض نجم الطبخ. تمتلك متجر تركيا الذي يفتح إلا عندما يقترب عيد الشكر خلال العام. وفي كل مرة يظهر فيها، سيحضر حتما تركيا صحن توقيعه.,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,أقدام: أقدام تركيا تركت أينما كنت تمشي.,#cda5b0aيقتصر  على إخراج صندوق هدايا Dream Building #n,,,
182,مربى الفراولة بيري,بيري هو الشخص الذي يعرف الفراولة أفضل. تتمتع كل جانب من جوانب الفراولة، من الزراعة والنعم إلى الأزهار والمثمر، من اختيار الميدان لتقديم الطاولة، تتمتع بيري بذلك.,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,الأقدام: أقدام الفراولة تترك أينما كنت تمشي.,#cda5b0aيقتصر  على إخراج صندوق هدايا Dream Building #n,,,
183,غانيش,يجمع غانيش بين الحكمة والفن لكسر العقبات وجلب النجاح والسعادة. لن يكون هناك مصير مثالي ومثالي في العالم. كل من يريد تحقيق النجاح أو الحصول على المعرفة أو الحكمة، يجب أن يبذل الجهود والتضحيات.,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,آثار الجسم: بتلات اللوتس تطفو على الجسم!,@Null@,,,
184,edm الملكة ساشا,ساشا هي المغني الأكثر شعبية في Terradar، لكن شعبيته تسبب أيضا مشكلاتها الرئيسية، وركود مهنة موسيقى ساشا لفترة من الوقت. حتى التقت بالصدفة المصغرة عن طريق الصدفة، ألهمتها هذه الدي جي الموهوبين للغاية وبدأت في تجربة إنشاء الموسيقى الإلكترونية، والتي جلبت ساشا إلى قمة حياتها المهنية كمغني مرة أخرى ...,@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,آثار الجسم: ملاحظات ملونة تطفو على الجسم!,@Null@,,,
185,الوصي السماوي يوني,"في الغابة السحرية لنجم الخيال، حيث تعيش المجموعة الأخيرة من أحادي اليونيكورن في مجال فينيكس. في عصر عندما يكون السحر نادر بشكل متزايد، تواجه حيدات أيضا الانقراض. مثل الأصغر في المجموعة، تطوع يوني وشرعت في رحلة وعرة لاستخدام تخصص الغابات ""لؤلؤة السحر"" في مقابل القوة السحرية للمعالج ...",@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,آثار الأقدام: يترك بصمة ربطة عنق,@Null@,,,
186,يون شانغ,"إنها مصمم أزياء مع إمكانية كاملة على القدرة والخيال، والمسافر بين النجوم الذي يدفع الانتباه إلى الإبداع والميراث.
تم نقلها بين الكواكب المختلفة في إقليم ستار التنين، ودراسة أنماط مختلفة من الملابس.
إذا كنت ترغب في تجربة أنماط خلع الملابس المختلفة، ابحث عنها!",@Null@,أفاتار: فكّ قفل الصورة الشخصيّة,آثار الجسم: الزهور الوردية تطفو على الجسم!,@Null@,,,
