ID,名字,描述,购买提示,特别效果1描述,特别效果2描述,特别效果3描述,特别效果4描述,特别效果5描述,特别效果6描述
81,Pinkie Pie,"Pinkie Pie, olağanüstü enerjiye sahip en ünlü ""parti midillisi"" dir. Neşeli ve canlı bir kişiliğe sahiptir, şaka yapmayı ve şarkı söylemeyi sever ve ayrıca tatlı yapmakta iyidir. Uyum unsurunda “gülüş” temsil eder.",@Null@,Özel vücüt efekti: pembe kalpler çevrili,Avatar: avatarın kilidini aç.,@Null@,,,
82,Carol,"Carol şekeri sever çünkü şeker her zaman şansını getirir. Sokaktayken şekerci onu içeri aldı. Bir şeker, küçük hayalet ""Beyaz Gece"" ile tanışmasını sağladı ve aynı zamanda sihri rahatça anlamasını sağlayan da şekerdi. Günün şekerini al! Carol'ın şekerliği sizi kesinlikle şaşırtacak.",@Null@,Özel vücut etkileri: vücutta yüzen ışığın büyüsü!,Avatar: avatarın kilidini aç.,@Null@,,,
83,Jerry,"Jerry, animasyondaki süper kahramanları çok seviyor.Gerçek bir süper kahramandan cesaret aldıktan sonra, bir yıldız pelerini giyen Jerry, iyi şeyler yaptığı ve ihtiyacı olanlara yardım etmek için elinden gelenin en iyisini yapmaya çalıştığı sürece kesinlikle bir süper kahraman olacağına inanıyor.",Kilidi açma eşyası etkinlikten elde edilir,@Null@,Avatar: avatarın kilidini aç.,Ayak izleri: Geçtiği her yerde sıçrayan ayak izleri kalacak,,,
84,Kalamar,"Tatlı ahtapot ailesinin bir üyesi olan Kalamar, her zaman deniz otu köyünde yaşamak istemiyor. Deniz uçsuz bucaksız ama o denizde yüzmeyi ve parlak yıldızlı gökyüzünü gözlemlemeyi tercih ediyor. Kanatları olmamasına rağmen, sıkı çalışma ve arkadaşlarının yardımıyla yıldızlara roket yapabilir!",Kilidi açma eşyası etkinlikten elde edilir,Özel vücut etkileri: dalgalar ve kabarcıklar çevrili,Avatar: avatarın kilidini aç.,@Null@,,,
85,Gigi Ayı,"Hayat bir maceradır ve macera da bir sınavdır. Tehlike, insanların kendilerini tanımasını sağlayabilirr. İmkansıza meydan okumak istiyorsanız, Gigi Ayı ile bir maceraya çıkalım.",Kilidi açma eşyası etkinlikten elde edilir,@Null@,Avatar: avatarın kilidini aç.,Yürüyen ayak izleri: Geçtiği her yerde beyaz ayı ayak izleri kalacak,,,
86,Starlight Glimmer,"""Ütopik"" bir kasaba kurmak için Twilight Sparkle'den daha az olmayan güçlü bir büyülü yeteneğe sahiptir. Twilight Sparkle tarafından ikna edildikten sonra kahramanların arkadaşı oldu. Şimdi Dostluk Okulu'nun müdürü oldu.",@Null@,Vücut efektleri: vücutta yüzen mavi yıldızlar,Avatar: avatarın kilidini aç.,@Null@,,,
87,Gökkuşağı Dash,Gökkuşağı Dash cesur ve dışa dönük. O macera ve şaka büyük bir hayranıdır. O çok hızlı uçar ve gökkuşağı kuyruklanmasını vardır. O uyum öğesi “sadakat” temsil eder.,@Null@,Özel vücut efekti: vücutta gökkuşağı olan kuyruk,Avatar: avatarın kilidini aç.,@Null@,,,
88,Prenses Ritim,"Evren Prensesi'nin eski bir öğrencisidir. Güzel, düşünceli ve kibardır. Kral Sombra'yı yendiği için Kristal İmparatorluğu'nun koruyucusu olmuştur. Tatlı işareti aynı zamanda sevgi ve ışığı temsil eden Kristal İmparatorluğun bir sembolüdür.",@Null@,Özel vücut etkisi: kristal çevrili,Avatar: avatarın kilidini aç.,@Null@,,,
89,Audrey,"""Gelin ve doğanın sihirli çalışalım!"" Büyülü okulundaki Audrey herkese böceğin sihirli tavsiye etmek. Çabaları Prof. Mysia'nın beğenmelerini kazandırdı",@Null@,Özel vücüt efekti: parlak kelebek çevrili,Avatar: avatarın kilidini aç.,Yürüyen ayak izleri: Geçtiği her yerde ay güvesi ayak izleri kalır,,,
90,Predaking,"Predaking, yetenekli beş üyeden oluştu. Süper saldırı ve savunma yetenekleriyle, Decepticon kampındaki en ölümcül savaş makinesidir. Tamamen avlanmaya konsantre olabilir, bir asker olarak yenilmezdir; bir silah olarak yenilmezdir.",@Null@,Vücut özel efektleri: Oyunda dönüştürme işlevi gerçekleştirilebilir ve form değiştirilebilir!,Avatar:unlock profile picture,Ayak İzleri: Geçtiği her yerde hizip işaretlerinin ayak izleri kalacak.,#cda5b0aDeformasyon: Çok oyunculu kombinasyon modunu değiştirmek için soldaki Deformasyon düğmesine tıklayın! #n,#cda5b0aTransformers Özel Yetenek: İğrenç Güç! #n,
91,Pençe,@Null@,@Null@,Özel vücüt efekti: Oyunda dönüştürme işlevi gerçekleştirilebilir ve form değiştirilebilir!,Avatar: avatarın kilidini aç.,Ayak İzleri: Geçtiği her yerde hizip işaretlerinin ayak izleri kalacak.,,,
92,Demir kafa,@Null@,@Null@,Özel vücüt efekti: Oyunda dönüştürme işlevi gerçekleştirilebilir ve form değiştirilebilir!,Avatar: avatarın kilidini aç.,Ayak İzleri: Geçtiği her yerde hizip işaretlerinin ayak izleri kalacak.,,,
93,Vahşi öküz,@Null@,@Null@,Özel vücüt efekti: Oyunda dönüştürme işlevi gerçekleştirilebilir ve form değiştirilebilir!,Avatar: avatarın kilidini aç.,Ayak İzleri: Geçtiği her yerde hizip işaretlerinin ayak izleri kalacak.,,,
94,Rampage,@Null@,@Null@,Özel vücüt efekti: Oyunda dönüştürme işlevi gerçekleştirilebilir ve form değiştirilebilir!,Avatar: avatarın kilidini aç.,Ayak İzleri: Geçtiği her yerde hizip işaretlerinin ayak izleri kalacak.,,,
95,Divebomb,@Null@,@Null@,Özel vücüt efekti: Oyunda dönüştürme işlevi gerçekleştirilebilir ve form değiştirilebilir!,Avatar: avatarın kilidini aç.,Ayak İzleri: Geçtiği her yerde hizip işaretlerinin ayak izleri kalacak.,,,
96,Superion,"Superion, uçan üyelerinin birleşiminden oluşur. Bütün eylemleri iki temel ilkeyi takip eder: Birincisi, Decepticon'ları yok etmek; ikincisi, diğerlerini korumak. Kötü güçler yaklaşırken ayağa kalkacak ve dünyanın barışını savunacaktır.",@Null@,Özel vücüt efekti: Oyunda dönüştürme işlevi gerçekleştirilebilir ve form değiştirilebilir!,Avatar: avatarın kilidini aç.,Ayak İzleri: Geçtiği her yerde hizip işaretlerinin ayak izleri kalacak.,#cda5b0aDeformasyon: Çok oyunculu kombinasyon modunu değiştirmek için soldaki Deformasyon düğmesine tıklayın! #n,#cda5b0aTransformers Özel Beceri: Korkusuz! #n,
97,Gümüş Kılıç,@Null@,@Null@,Özel vücüt efekti: Oyunda dönüştürme işlevi gerçekleştirilebilir ve form değiştirilebilir!,Avatar: avatarın kilidini aç.,Ayak İzleri: Geçtiği her yerde hizip işaretlerinin ayak izleri kalacak.,,,
98,Sapan,@Null@,@Null@,Özel vücüt efekti: Oyunda dönüştürme işlevi gerçekleştirilebilir ve form değiştirilebilir!,Avatar: avatarın kilidini aç.,Ayak İzleri: Geçtiği her yerde hizip işaretlerinin ayak izleri kalacak.,,,
99,Skydive,@Null@,@Null@,Özel vücüt efekti: Oyunda dönüştürme işlevi gerçekleştirilebilir ve form değiştirilebilir!,Avatar: avatarın kilidini aç.,Ayak İzleri: Geçtiği her yerde hizip işaretlerinin ayak izleri kalacak.,,,
100,Air Raid,@Null@,@Null@,Özel vücüt efekti: Oyunda dönüştürme işlevi gerçekleştirilebilir ve form değiştirilebilir!,Avatar: avatarın kilidini aç.,Ayak İzleri: Geçtiği her yerde hizip işaretlerinin ayak izleri kalacak.,,,
101,Fireflight,@Null@,@Null@,Özel vücüt efekti: Oyunda dönüştürme işlevi gerçekleştirilebilir ve form değiştirilebilir!,Avatar: avatarın kilidini aç.,Ayak İzleri: Geçtiği her yerde hizip işaretlerinin ayak izleri kalacak.,,,
102,Shengying,"Benim mızrak tekniği ilkidir. Memnuniyetsizlik varsa, savaşmaya gelin!",Çekilişten elde edilir,Ayak İzleri: Geçtiği yerde Büyük Bilge'nin ayak izleri kalır,Avatar: avatarın kilidini aç.,@Null@,,,
103,Şeytan Alev,"Ben, ben Ateşin Efendisiyim! Rüzgar Ormanı Volkanı benim inancım!",,Vücut Etkileri: Şeytan kralının havası vücudun etrafında yüzüyor,Profil fotoğrafı: Profil fotoğrafının kilidini açın.,,#cd65b00 deformasyonu: İnek / insansı formu değiştirmek için soldaki deformasyon düğmesine tıklayın! #n,#cd65b00 Şeytan Alev Özel Yetenek: Boğa Gücü! #n,
104,Lingyao,"Rüzgar Tanrı Sarayı'nın muhteşem ve zarif bir metresi olduğu söylenir. Ah, benden başka kim olabilir ki?",@Null@,Özel vücüt efekti: vücutta yüzen altın yapraklar,Avatar: avatarın kilidini aç.,@Null@,,,
105,Ash,"Giyinmek Achar'ın her gün kalktıktan sonraki ilk önceliğidir. Sonuçta imajını asil tek boynuzlu atla eşleştirmek zorundadır. Ancak son zamanlarda birçok insan tek boynuzlu atı ister. Bu, Wolfe'un kendi kendine evcilleştirmeye çok çabaladığı ve kimseye vermeyeceği bir doğum günü hediyesi!",@Null@,Ayak İzleri: Geçtiği her yerde Kırmızı Başlıklı Kız'ın ayak izleri kalır,Avatar: avatarın kilidini aç.,@Null@,,,
106,Cool Mini,"""Mini Programlama""dan bir öğretim eğitmeni, sihirli programlama gücüne sahiptir. Mini programlamada öğrenme görevleri tamamlanarak elde edilebilir.",Çekilişten elde edilir,Vücut özel efektleri: vücutta yüzen bilim kurgu parçacıkları!,Avatar: avatarın kilidini aç.,Ayak izleri: Geçtiği her yerde ayak izleri kalacak,,,
107,Kurt,"""Sana bir sır söyleyeyim, Büyükanne Kurt gerçek!"" Wolf ve Asal en çok masalları severdi. Bugün, büyük bir kötü kurt olmaya ve oyunculuk seven Ashal'ı eğlendirmeye hazır bir kurt mantosu ve büyükanne önlüğü giydi. Artık herkes sihirle hecelendiğine göre, hadi kendi masal yolculuğunuzu tamamlayalım!",@Null@,Ayak izleri: Yürüdüğü yerde genç kurt oğlanların ayak izleri kalır,Avatar:unlock profile picture,@Null@,,,
108,Gök Peri - Ya,"Gök dünyasında bulunmak, Xianfen Yıldızındaki her şey cennet perilerinin ilgisini çekiyor. Melodileri nasıl akıyor olursa olsun, değişmeyen tek şey içsel sakinliği ve rahatlaması.",@Null@,Özel vücüt efekti: vücutta altın parıltı,Avatar: avatarın kilidini aç.,@Null@,,,
109,Ejderha Prens - Şarkı,"Güneş batarken pipayı kim çalıyor? ""
 Dünyadaki iniş çıkışları deneyimledikten sonra, kendi iç seçimini takip etmeye, XianfenYıldızı'nda ejderha ile birlikte kalmaya, zihnini temizlemeye karar verdi.",Kilidi açma eşyası etkinlikten elde edilir,Avatar: Avatarın kilidini açın.,Ayak İzi: geçtiği yerde ejderha ayak izi bırakır,@Null@,,,
110,Roselle,"Yaz geceleri, Magic Bahçe, büyük bir top tutuyor. Roselle, rüyasında ortaya çıkan mavinin sahnenin merkezine doğru yürüdüğünü bulmak şaşırdı. Onunla birlikte verilen şey, mavi hidrantea bulunduğu düşen yapraklar ile aynıydı.",@Null@,Avatar: Avatarın kilidini açın.,Ayak izleri: gittiği her yerde pembe gül bırakmak ayak izini,@Null@,,,
111,Mandalina Tekir,"""Yetenekli gurme, her yerden yemek istemeli! Ama dünyada o kadar fazla lezzet var olmasına rağmen favorim, ailemin yaptığı balığın tadı."" - Mandaline Tekir, Mimeng Daily ile yaptığı röportajdan sonra dedi.",Kilidi açma eşyası hediye paketi almaktan veya etkinliğe katılmaktan elde edilir,Avatar: Avatarın kilidini açın.,Ayak izleri: Geçtiği yerde kedi ayak izleri bırakır,@Null@,,,
112,Ortanca Charles,"Sarayın dışındaki top yıldız ve havai fişek kadar renklidir. Prens Charles Roselle'i gördüğünde, içten sevincini gizleyemedi ve aldığı hassas gülleri dikkatlice çıkardı.",Keyif kartından çıkış,Avatar: Avatarın kilidini açın.,Özelvücüt efekti: mavi parıltı çevirili,@Null@,,,
113,Kabarcıklar,Mavi denizin efsanesi duydunuz mu? bilgili Kabarcıklar bir maceracı olarak dünyaya geldi. O kabarcıkları vasıtasıyla dünyayı gözlemlemekten hoşlanır ve herkesin göremediği bilgilerini bulabilir,Kilidi açma eşyası hediye paketi almaktan veya etkinliğe katılmaktan elde edilir,Avatar: Avatarın kilidini açın.,Ayak izleri: Geçtiği her yerde yunus ayak izleri kalır,@Null@,,,
114,Çiçek Dewie,Xiaolou'nun İlk Cildi,@Null@,Avatar: Avatarın kilidini açın.,Özel vücut efekti: vücutta yüzen şeftali yaprakları!,@Null@,,,
115,Prenses don,"Yeluoli Harikalar Diyarı'nın doğuşundan beri var olan prenses, Buz Kristali Sarayında yaşıyor, buzun koruyucu tanrıçasıdır. Buz ve karın hükümdarı. Kayıtsızlıktan dolayı hiç arkadaşım olmadı. Soğuk ve kayıtsızdır, ancak iyi kalplidir ve başkalarına zarar veremez.",@Null@,Avatar: Avatarın kilidini açın.,Özel vücüt efekti: vücutta yüzen buz kristalleri!,@Null@,,,
116,Rory,"Yeluoli Harikalar Diyarı'nın prensesi, şifa ve aşk büyüsüne sahiptir. Kraliçe tarafından bir bebeğe dönüştürüldükten sonra, Wang Mo ile bir sözleşme yapmak için birbirlerini seçtiler, hayat ve sihri yeniden kazandılar. Saf ve nazik, esnek bir mizaca sahip, çilek yemeyi sever.",@Null@,Avatar: Avatarın kilidini açın.,Vücut etkileri: Aşk vücutta yüzer!,@Null@,,,
117,Hafif ışıltılı,"Işık gibi, uyandıran kişinin karakterine göre kendi karakterini belirleyecektir. Gölge benzeri bir varlıktır, ancak karakteri henüz bilinmemektedir, bu yüzden kalbindeki özgürlüğü arzular ve ona hayrandır.",@Null@,Avatar: Avatarın kilidini açın.,Özel vücüt efekti: Etrafınızda Yüzen Altın Parıltı,@Null@,,,
118,Cinderella,"""Hayatınızı sık sık fantezinin gücüyle süslerseniz, gerçekten mucizelerle karşılaşırsınız~"" İyimser ve iyi kalpli Christine, ev işi yaparken kendini genellikle güzel bir peri masalı karakteri olarak hayal eder. Peri arkadaşı, Krallık Kutlama gününde fantezisini gerçeğe dönüştürür.",@Null@,Avatar: Avatarın kilidini açın.,Ayak İzleri: Geçtiği her yerde kristal ayakkabı ayak izleri kalır,@Null@,,,
119,Prenses ruhu,"O,Peri Lingxi Köşkü'nün bir üyesidir.Nazik bir kişiliğe ve başkalarına karşı kibarlığa sahip kutsal bir peridir. Çiçek Denizi'nin Chaohua Tapınağı'nda yaşar.Yoğun çiçeklerin toplandığı yerleri sever, yaşama saygı duyar, ruha saygı duyar ve dünyayı sevgiyle korur.",@Null@,Avatar: Avatarın kilidini açın.,Ayak İzleri: Geçtiği her yerde kristal ayakkabı ayak izleri kalacak.,@Null@,,,
120,Dragonian - Pullu,"Pulaly, okyanusları hiç terketmedi: Nazya'nın hikayeleri nedeniyle, toprakların bir fobisi geliştirdi. Bu macerada, çok cesur oldu ve toprakların düşündüğü kadar korkunç olmadığını keşfeder. Bütün bunlar, babasının sörf sularının halefi olmasına izin vermesi için sadece bir sınavdır.",@Null@,Avatar: Avatarın kilidini açın.,Vücut etkileri: vücutta yüzen sihirli buz kristalleri.,@Null@,,,
121,Miyav miyav,"""Ne? bana kısasın diyorsun! Bu kılçık kanepende ne zaman çıktığını tahmin et?"" Canlı, neşeli ve enerjik, dart becerilerini balık kılçığı ile göstermeyi her zaman sever. Sevimli ve kadifemsi ceket sizi aldatabilir, çünkü o Mimeng gezegenindeki en yaramaz adamdır.",@Null@,Avatar: Avatarın kilidini açın.,Ayak izleri: Geçtiği her yerde miyav kafa ve ayak izleri kalır.,@Null@,,,
122,Beyaz Kuğu - Odette,"Gündüz ve gece dönüşümlü olarak dönüyor, gerçek ve rüya bir araya geliyor. Ben kimi oynuyorum?",@Null@,Avatar: Avatarın kilidini açın.,Özel vücüt efekti: etrafta beyaz kuğu tüyleri!,@Null@,,,
123,Cecil,"YeLuoli Harikalar Diyar'ın dört saatindeki kutsal yerde yaşayan Sekiz Lingxi Köşkü üyesinden biri, büyüler zamanı kontrol edebilir ve sayısız klona sahip olabilir. Uzun gümüş grisi saçları ve galaksi gözleriyle asil ve zariftir ve tehlike karşısında kaotik olmayacaktır.",@Null@,Avatar: Avatarın kilidini açın.,Ayak izleri: Geçtiği her yerde saat ayak izleri kalır.,@Null@,,,
124,Jessie,"Jessie ve Jerry bir arada büyüdü besties. Kaçakçıdı, ancak Jerry'nin Bravado'nun etkilendiği, zillerini yardım için küçük denizanalarını çağırmak için kullanmayı öğrendi ve artık artık korkmadı. Çünkü en güçlü gizli silah, cesaret ve arkadaşlığın gücüdür!",@Null@,Avatar: Avatarın kilidini açın.,Ayak İzleri: Geçtiği her yerde küçük denizanalarının ayak izleri kalır.,@Null@,,,
125,Speedy girdaply,"Speedy Sweirly, bir an için bile duramayacağı sonsuz enerjili sabırsız bir adamdır. Küçük küçük şeyler toplamayı sever, bu yüzden bir şeye ihtiyacın olursa, sadece hızlıca isteyin! İhtiyacın olan şeye sahip olabilir.",@Null@,Avatar: Avatarın kilidini açın.,Ayak izleri: Geçtiği her yerde küçük salyangoz ayak izleri kalır.,@Null@,,,
126,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
127,Kara Kuğu - Odette,"Gerçek ve hayaller birbirine karışmaz, gece ve gündüz her ikisi de harikadır. Ben kendimi oynuyorum.",@Null@,Avatar: Avatarın kilidini açın.,Özel vücut efekti: etrafta yüzen mor tüyler!,@Null@,,,
128,Kurbağa Prince - Croak,"""Biraz daha sabret, belki onunla yaptığın anlaşmayı yerine getirebilirsin."" Bataklık biyomunu inceleyen bilgin #r, kendini neşelendirmek için her zaman elindeki küçük altın topa bakar. Bu nemli ve çamurlu yerde altın umudu parlıyordu.",@Null@,Avatar: Avatarın kilidini açın.,Ayak izleri: Geçtiği her yerde nilüfer yapraklarının ayak izleri kalır.,@Null@,,,
129,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
130,Kar Beyazı - Sophia,"""Bunlar benim en iyi arkadaşlarım, toplamda 7 tane var."" #rSophia'nın oyuncak mağazasında pek çok nefis oyuncak bebek var. O ve oyuncak bebek zaman zaman sanki yaşıyorlarmış gibi fısıldarlardı. Ondan oyuncak bebek almak istiyorsan parayı kullanamazsın, takas için çok önemli bir şeye ihtiyacın var. Nedir acaba?",@Null@,Avatar: Avatarın kilidini açın.,Ayak izleri: Geçtiği her yerde Apple'ın ayak izleri kalır.,@Null@,,,
131,Hansel,"Düşünceli ve kız kardeşine iyi bakan çocuk. O ve kız kardeşi yoğun ormanda bir aydan fazla bir süredir kayboldu, ancak mucizevi bir şekilde birlikte iade edildi. Yoğun ormandaki deneyiminden nadiren bahsetti, ancak o zamandan beri baget taşıdı. Omzunun üzerindeki kuş o zaman alındığı söylendi.",@Null@,Avatar: Avatarın kilidini açın.,Ayak İzleri: Geçtiği her yerde ekmek ayak izleri kalır.,@Null@,,,
132,Gretel,"Gretel, kardeşine çok güveniyor, toplama ve pişirmeyi seviyor, özellikle de pişirme ve tatlılar yapımında iyi. Bu becerilerin kaybolduğunda öğrenildiğini iddia ediyor. Bu becerileri terkedilmiş yoğun ormanda nasıl öğrendi?",@Null@,Avatar: Avatarın kilidini açın.,Ayak izleri: Geçtiği her yerde şeftali çiçeklerinin ayak izleri kalır.,@Null@,,,
133,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
134,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
135,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
136,Howl,"""Neşenin, öfkenin, kederin ve sevincin gücünü benden daha iyi kim anlar?"" #r ""Hareket Etme ve Yardım Etme""nin patronu olarak, arkadaş canlısı Haru her şeyi taşıyabilecek gibi görünüyor, ruh halini yazan bir adam. onun yüzünde. Yaka modelinde bir değişiklik görürseniz endişelenmeyin, bu Haru duygusal gücünü serbest bırakmaya hazırlanıyor!",@Null@,Avatar: Avatarın kilidini açın.,Ayak izleri: Geçtiği her yerde havlayan kafa ve ayak izleri kalır.,@Null@,,,
137,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
138,Bahar,"Yağmurun sesini dinlemekten hoşlanıyor musunuz? #r Mevsimlerin getiricilerinden biri olarak, ilkbahar ekolojik bir araştırmacıdır.
 İyileşmenin gücünü temsil eder. Bulutlardan gelen yağmuru kontrol etmek için devasa dört yapraklı yoncaya binmeyi sever. Onunla iyi geçinmek bir bahar esintisi gibidir, ama öfkesi bahar havası kadar değişkendir. Lütfen yumuşak konuştuğunuzdan emin olun.",@Null@,Avatar: Avatarın kilidini açın.,Vücut efektleri: Etrafta uçuşan kelebek ruhları!,@Null@,,,
139,Yaz,"Sokak sanatım bu hava tarafından nasıl durdurulabilir? #R Mevsimlerin getirdiği sezon olduktan sonra, yaz, güçlü patlayan ısı dalgasından etkilenmeyen, dünyanın ötesinde daha fazla kızgın hale gelir. Tıpkı yaz esintisi gibi, bir sonraki anda havalı bir esinti ya da dolu bir fırtına olup olmadığını tahmin edemezsiniz.",@Null@,Avatar: Avatarın kilidini açın.,Ayak İzleri: Geçtiği her yerde su dalgası ayak izleri kalır.,@Null@,,,
140,Sonbahar meyve,"""Bir bardak meyve suyu içelim! Görüyorsun, mevsimleri manipüle etmiyorum, doğanın güçleri beni seçti.""#r Kuvvetli kış ve yaz mevsiminden farklı olarak, sakin sonbahar meyvesi, batan toprak enerjisini tercih eder ve tasarruflu kullanır. Bu yolculuk sadece vatanı kurtarmak için değil, aynı zamanda kişinin kendi yeteneği ve sorumluluğu içindir.",@Null@,Avatar: Avatarın kilidini açın.,Vücut etkileri: Vücutta yüzen akçaağaç yaprakları!,@Null@,,,
141,Küçük mavi,"Küçük mavi, peri kraliçesi tarafından gönderilen ve dünyaya gelen şeytan kalesinin koruyucu perisidir. O bir dadı olarak Ling'in evinde yaşıyor ve Maggie ve Snowy'in sihirbaz ve iyi arkadaşıdır.",@Null@,Avatar: Avatarın kilidini açın.,Ayak izleri: Geçtiği her yerde küçük sarı çiçeklerin ayak izleri kalır.,@Null@,,,
142,Masal,Sakura için cilt,@Null@,Avatar: Avatarın kilidini açın.,Özel vücüt efeki: Vücudun etrafında yüzen tavşanlar!,@Null@,,,
143,Maggi,"Maggie, insan dünyasının küçük peri Ling'in kız kardeşlerinin ablasıdır. O adil, iyimser, canlı ve kibar, akıllı ve neşeli. Bazen sorun çıkarmayı sever, hayaletleri düşünür ve çizim yeteneği vardır, ancak dürtüsel davranır ve öğrenmeye hiç niyeti yoktur.",@Null@,Avatar: Avatarın kilidini açın.,Ayak izleri: Geçtiği her yerde küçük mavi çiçek ayak izleri kalır.,@Null@,,,
144,Kar yağışlı,"Snowy, insan dünyasının küçük bir sihirli peri olan ling kız kardeşinin küçük kız kardeşidir. Cömert ve olgunlaştı, zeki ve sakin, bir şeyleri metodolojik olarak yapar. Harika sonuçlarla okumak ve okumaktan keyif almanın tadını çıkarın. Her ne kadar genç olmasına rağmen, Ablası Maggi'ye bakan olanıdır.",@Null@,Avatar: Avatarın kilidini açın.,Ayak izleri: Geçtiği her yerde kabarcık ayak izleri kalır.,@Null@,,,
145,Prens eğlence,"Eğlence, Mavi saçlı, Sihirli Peri Kalesi prensidir. Sihirli Peri Şatosu'ndan ayrıldı ve Sihirli Peri Kraliçesi'nin bir yanlış anlaşılması nedeniyle dünyaya geldi. İlk bakışta soğuk görünse de aslında ağabeyi kadar coşkulu, adalet duygusuna sahip ve biraz kibirlidir.",@Null@,Avatar: Avatarın kilidini açın.,Vücut özel efeki: vücutta parlayan yıldızlar!,@Null@,,,
146,Çiçek açması,"Sakura yolun üzerine çiçek açar, çünkü yeşil söğüt havuzun yanında büyüdükçe, yutmak cıvıltı, yine de bir başka eksik sevgi yılı geçti. #R Bahçe İmparatorluğu mirasi olarak, Çiçekleri, Nioh Star'ın görkemli çiçek yataklarını dikkatlice korur. Çiçeklerin mevsimi bittiği gibi, sinsi bitkiye bir yıldırım ile nazikçe dokunur ve fısıldadı: Keşke hala etraftınız olsaydı ... her şey daha iyi olurdu.",@Null@,Avatar: Avatarın kilidini açın.,Özel vücüt efekti: vücutta yüzen yapraklar!,@Null@,,,
147,Yıldırım,"""Bulutlarda ne olduğunu mu soruyorsun? Rüzgar, yağmur, gök gürültüsü, şimşek ve kar."" #rYıldırım bulutlarda yürüme hissini sever. Gökyüzünde yükselmek için her zaman sihir kullanır ve şehre bakan insanlar yağmurda ve karda yürür. Bu sırada Ren Wang'da bir karşılaşmasını düşünürdü: O sevimli kız, memleketindeki çiçek denizi güzel olmalı, değil mi?",@Null@,Avatar: Avatarın kilidini açın.,Ayak izleri: Geçtiği her yerde su damlacıkları kalır.,@Null@,,,
148,Kış mevsimi,"""Sizin dışında kuzey ışıklarından daha güzel şey yok. #R Yalnız Yıldızlı gezginler, vatanlarını korumak için void canavarı tarafından lanetli. Sezon Muhafızlardan biri olarak, Yıldız gezegeni için bir silah olmak için, nazik doğasına karşı düşmanlarını getiren bir silah olmak için gönüllü oldu. Hayal edebileceğiniz en korkunç fırtınası.",@Null@,Avatar: Avatarın kilidini açın.,Ayak izleri: Geçtiği her yerde küçük evren ayak izleri kalır.,@Null@,,,
149,Nadirlik,"Ponyville, güzel ve zarif, kendine güvenen ve çekicilik dolu diva, kendi moda mağazasında bir dahi moda tasarımcısıdır. Tasarladığı ve yaptığı kostümleri giyen midillileri görmeyi sever.",@Null@,Avatar: Avatarın kilidini açın.,Vücut etkileri: vücutta küçük elmaslar sızıyor!,@Null@,,,
150,Elma kızı,"Elma kızı, dürüst ve yardımseverlerin iyi bir kalitesine sahip, genellikle arkadaşlarını destekliyor ve korur. Esas olarak tatlı elma bahçesinde elma toplamaktan sorumludur ve Pet Köpek Knire onun iyi ortağıdır. Elma kızı, ""dürüst"" ifadesini temsil ediyor.",@Null@,Avatar: Avatarın kilidini açın.,Özel vücüt efekti: vücutta küçük elmalar!,@Null@,,,
151,Aladdin,"""Kushia izini takip et, ay kumunun hazinesine git, Aladdin ...""
 Gizemli sihirbaz tarafından kullanılır, ""bin bir gece"", Tuzaklarla dolu Ay kumu harabesinde ""bin bir gece"" kelimesini aldım. Direnmeye kararlı, bu yüzden ay kumunun hazinelerini aramaya yolculuğa çıktı.",@Null@,Avatar: Avatarın kilidini açın.,Vücut etkisi: Vücudun etrafında yüzen gizemli semboller!,@Null@,,,
152,Pinokyo,"""Odun da olsa ısınması için ateşle sarılır.""",@Null@,Avatar: Avatarın kilidini açın.,Ayak İzleri: Geçtiği her yerde fiyonklu ayak izleri kalır.,@Null@,,,
153,Tasha,"""Hayat sarmal bir saat gibidir ve insanlar dönmesinden bıkmışlardır, ancak en iyi anda duracağından korkarlar.""",@Null@,Avatar: Avatarın kilidini açın.,Özel vücüt efekti: vücutta yüzen yanıp sönen tüyler!,@Null@,,,
154,Amy,"Amy, Jessi ve Alyssa, yakın ortaklardır ve kara lanetli şeytanla başa çıkmak için birlikte çalışırlar. Amy'in koku alma duyusu özellikle hassastır.Bir peri kraliçesi olarak koku alma duyusu ile sık sık düşmanları tespit eder ve çok yardımcı olur. Nazik ve ağlaması kolay olmasına rağmen, aslında dışarıdan yumuşak ve içeriden güçlüdür, bu yüzden olaylar olduğunda sakindir.",@Null@,Avatar: Avatarın kilidini açın.,Ayak izleri: Geçtiği her yerde yıldızlar ve ayak izleri kalır.,@Null@,,,
155,Jessi,"Amy, Jessi ve Alyssa yakın ortaklardır ve Kara Lanet Şeytanı ile başa çıkmak için birlikte çalışırlar. Jessi renklere karşı son derece hassastır, sıradan insanların ötesinde düşünür ve genellikle beklenmedik içgörülere sahiptir.O, ender bir resim dehasıdır. Çok konuşmaz ama çok kibardır ve kişiliği biraz ısrarcı ve inatçıdır.",@Null@,Avatar: Avatarın kilidini açın.,Vücut özel efekti: vücuttan yayan pembe ışık!,@Null@,,,
