接口ID,土耳其语,土耳其语,土耳其语,土耳其语,土耳其语,土耳其语,土耳其语
50033,Oyuncu,setActionAttrState,"Player:setActionAttrState(objid, actionattr, switch)","objid:number, actionattr:numberPLAYERATTR, switch:boolean",ErrorCode.OK,Oyuncunun davranış özelliği durum şalteri,"local result = Player:setActionAttrState(objid, actionattr, switch)"
50034,Oyuncu,checkActionAttrState,"Player:checkActionAttrState(objid, actionattr)","objid:number, actionattr:numberPLAYERATTR",ErrorCode.OK,Mevcut maksimum HP'yi alın,"local result = Player:checkActionAttrState(objid, actionattr)"
50035,Oyuncu,getMaxHP,Player:getMaxHP(objid),objid:number,"ErrorCode.OK, value:number",Mevcut HP'yi alın,local result = Player:getMaxHP(objid)
50036,Oyuncu,getCurHP,Player:getCurHP(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",HP kurtarma,local result = Player:getCurHP(objid)
50037,Oyuncu,getHpRecover,Player:getHpRecover(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Mevcut açlık değeri,local result = Player:getHpRecover(objid)
50038,Oyuncu,getCurFood,Player:getCurFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",[[,local result = Player:getCurFood(objid)
50039,Oyuncu,getMaxOxygen,Player:getMaxOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Mevcut oksijen değeri,local result = Player:getMaxOxygen(objid)
50040,Oyuncu,getCurOxygen,Player:getCurOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Yürüme hızı,local result = Player:getCurOxygen(objid)
50041,Oyuncu,getWalkSpeed,Player:getWalkSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Yüzme hızı (sudaki hız),local result = Player:getWalkSpeed(objid)
50042,Oyuncu,getSwimSpeed,Player:getSwimSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Atlama gücü,local result = Player:getSwimSpeed(objid)
50043,Oyuncu,getJumpPower,Player:getJumpPower(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Koşu hızı,local result = Player:getJumpPower(objid)
50044,Oyuncu,getRunSpeed,Player:getRunSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Gizli yürüme hızı,local result = Player:getRunSpeed(objid)
50045,Oyuncu,getSneakSpeed,Player:getSneakSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Atlatma,local result = Player:getSneakSpeed(objid)
50046,Oyuncu,getDodge,Player:getDodge(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Yakın saldırı,local result = Player:getDodge(objid)
50047,Oyuncu,getPunchAttack,Player:getPunchAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Uzun menzilli saldırı,local result = Player:getPunchAttack(objid)
50048,Oyuncu,getRangeAttack,Player:getRangeAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Kısa menzilli savunma,local result = Player:getRangeAttack(objid)
50049,Oyuncu,getPunchDefense,Player:getPunchDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Uzun menzilli savunma,local result = Player:getPunchDefense(objid)
50050,Oyuncu,getRangeDefense,Player:getRangeDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Yıldız sayısı,local result = Player:getRangeDefense(objid)
50051,Oyuncu,getStarNum,"Player:getStarNum(objid, val)","objid:number, atttype:number","ErrorCode.OK, value:number",Model boyutu,"local result = Player:getStarNum(objid, val)"
50052,Oyuncu,getModelScale,"Player:getModelScale(objid, val)","objid:number, atttype:number","ErrorCode.OK, value:number",Maksimum kan miktarını ayarlayın,"local result = Player:getModelScale(objid, val)"
50053,Oyuncu,setMaxHP,"Player:setMaxHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Kan miktarınıayarla,"local result = Player:setMaxHP(objid, val)"
50054,Oyuncu,setHP,"Player:setHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,HP kurtarmayı ayarlayın,"local result = Player:setHP(objid, val)"
50055,Oyuncu,setHpRecover,Player:setHpRecover(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,Mevcut açlık seviyesini ayarla,local result = Player:setHpRecover(objid)
50056,Oyuncu,setCurFood,Player:setCurFood(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,Oksijeni ayarla,local result = Player:setCurFood(objid)
50057,Oyuncu,setOxygen,"Player:setOxygen(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Yürüyüş hızını ayarla,"local result = Player:setOxygen(objid, val)"
50058,Oyuncu,setWalkSpeed,"Player:setWalkSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Yüzme hızını ayarlayın (sudaki hız),"local result = Player:setWalkSpeed(objid, val)"
50059,Oyuncu,setSwimSpeed,"Player:setSwimSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Zıplama gücünü ayarla,"local result = Player:setSwimSpeed(objid, val)"
50060,Oyuncu,setJumpPower,"Player:setJumpPower(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Koşu hızını ayarla,"local result = Player:setJumpPower(objid, val)"
50061,Oyuncu,setRunSpeed,"Player:setRunSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Gizlice hızını ayarla,"local result = Player:setRunSpeed(objid, val)"
50062,Oyuncu,setSneakSpeed,"Player:setSneakSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,atlatmayı ayarla,"local result = Player:setSneakSpeed(objid, val)"
50063,Oyuncu,setDodge,"Player:setDodge(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Kısa menzilli bir saldırı ayarlayın,"local result = Player:setDodge(objid, val)"
50064,Oyuncu,setPunchAttack,"Player:setPunchAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Uzaktan saldırı ayarla,"local result = Player:setPunchAttack(objid, val)"
50065,Oyuncu,setRangeAttack,"Player:setRangeAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Kısa menzilli savunma ayarla,"local result = Player:setRangeAttack(objid, val)"
50066,Oyuncu,setPunchDefense,"Player:setPunchDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Uzun menzilli savunma ayarlayın,"local result = Player:setPunchDefense(objid, val)"
50067,Oyuncu,setRangeDefense,"Player:setRangeDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Yıldız sayısını ayarla,"local result = Player:setRangeDefense(objid, val)"
50068,Oyuncu,setStarNum,"Player:setStarNum(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Model boyutunu ayarla,"local result = Player:setStarNum(objid, val)"
50069,Oyuncu,setModelScale,"Player:setModelScale(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Oyuncu pozisyonunu ayarla,"local result = Player:setModelScale(objid, val)"
50070,Oyuncu,setPosition,"Player:setPosition(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Oyuncunun ön görüş pozisyonunu alın,"local result = Player:setPosition(objid, x, y, z)"
50071,Oyuncu,getAimPos,Player:getAimPos(objid),objid:number,ErrorCode.OK,Yetişkin misin,local result = Player:getAimPos(objid)
60001,Oyun yaratığı,isAdult,Creature:isAdult(objid),objid:number,ErrorCode.OK is adult is adult,Oksijene bağlı olup olmadığı ayarlayın,"local result = Creature:isAdult(objId)
if result == ErrorCode.OK then print(""This creature is adult"") end"
60002,Oyun yaratığı,setOxygenNeed,"Creature:setOxygenNeed(objid, v)","objid:number, v:boolean",ErrorCode.OK,Evcilleştirme ustasının IDsini alın,"local result = Creature:setOxygenNeed(objId, true)
if result == ErrorCode.OK then print(""This creature relies on oxygen!"") end"
60003,Oyun yaratığı,getTamedOwnerID,Creature:getTamedOwnerID(objid),objid:number,"ErrorCode.OK, uin:number0 means untamed",Panik olup olmayacağını ayarlayın,"local result, ownerId = Creature:getTamedOwnerID(objId)
if result == ErrorCode.OK and ownerId ~= 0 then
        local result, nickName = Player:getNickname(ownerId)
        if result == ErrorCode.OK then print('Player<'+nickName+'>pet...')
end"
60004,Oyun yaratığı,setPanic,"Creature:setPanic(objid, v)","objid:number, v:boolean",ErrorCode.OK,AI'nın etkili olup olmayacağını ayarlayın,"local result = Creature:setPanic(objId, true)
if result == ErrorCode.OK then print(""The creature is in panic"") end"
60005,Oyun yaratığı,setAIActive,"Creature:setAIActive(objid, v)","objid:number, v:boolean",ErrorCode.OK,Canavar kaynak IDsini alın,"local result = Creature:setAIActive(objId, true)
if result == ErrorCode.OK then print(""This creatures AI takes effect"") end"
60006,Oyun yaratığı,getActorID,Creature:getActorID(objid),objid:number,"ErrorCode.OK, actorid:number",Canavar kaynak IDsini alın,"local wolfId, dogId = 3407, 3408 --Wolf/Dogs resource Id
local result, actorId = Creature:getActorID(objId)
if result == ErrorCode.OK then
        if actorId == dogId then print(""The creature is A Dog!"") end
        if actorId == wolfId then print(""The creature is A Wolf!"") end
end"
60007,Oyun yaratığı,getActorName,Creature:getActorName(objid),objid:number,"ErrorCode.OK, name:string",Canavar ModAttrib değerini artırın,local result = Creature:getActorName(objid)
60008,Oyun yaratığı,addModAttrib,"Creature:addModAttrib(objid, attrtype, value)","objid:number, attrtype:MODATTRIB_TYPE Enchantment attribute type, value:number",ErrorCode.OK,Canavar ModAttrib değerini alın,"local modAttrType = MODATTRIB_TYPE.MODATTR_MOVE_SPEED
local result = Creature:addModAttrib(objid, modAttrType, 5)
if result == ErrorCode.OK then print('Increase the moving speed of monster') end"
60009,Oyun yaratığı,getModAttrib,"Creature:getModAttrib(objid, attrtype)","objid:number, attrtype:MODATTRIB_TYPE Enchantment attribute type","ErrorCode.OK, value:number",Biyolojik bir ekip kurun,"local modAttrType = MODATTRIB_TYPE.MODATTR_MOVE_SPEED
local result, modAttrVal = Creature:getModAttrib(objid, modAttrType)
if result == ErrorCode.OK then print('Moving speed of monster is', modAttrVal) end"
60010,Oyun yaratığı,setTeam,"Creature:setTeam(objid, teamid)","objid:number, teamid:number",ErrorCode.OK,Biyolojik bir ekip edinin,"local result = Creature:setTeam(objid, teamid)"
60011,Oyun yaratığı,getTeam,Creature:getTeam(objid),objid:number,"ErrorCode.OK, teamid:number",Maksimum açlık elde edin,local result = Creature:getTeam(objid)
60012,Oyun yaratığı,getMaxFood,Creature:getMaxFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Açlık çekmek,local result = Creature:getMaxFood(objid)
60013,Oyun yaratığı,getFood,Creature:getFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Açlığı ayarla,local result = Creature:getFood(objid)
60014,Oyun yaratığı,setFood,"Creature:setFood(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,HP kurtarma,"local result = Creature:setFood(objid, val)"
60015,Oyun yaratığı,getHpRecover,Creature:getHpRecover(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Maksimum oksijen seviyesi,local result = Creature:getHpRecover(objid)
60016,Oyun yaratığı,getMaxOxygen,Creature:getMaxOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Yürüme hızı,local result = Creature:getMaxOxygen(objid)
60017,Oyun yaratığı,getWalkSpeed,Creature:getWalkSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Yüzme hızı (sudaki hız),local result = Creature:getWalkSpeed(objid)
60018,Oyun yaratığı,getSwimSpeed,Creature:getSwimSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Atlama gücü,local result = Creature:getSwimSpeed(objid)
60019,Oyun yaratığı,getJumpPower,Creature:getJumpPower(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Ağırlık,local result = Creature:getJumpPower(objid)
60020,Oyun yaratığı,getMass,Creature:getMass(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",kaçamak yapmak,local result = Creature:getMass(objid)
60021,Oyun yaratığı,getDodge,Creature:getDodge(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Yakın saldırı,local result = Creature:getDodge(objid)
60022,Oyun yaratığı,getPunchAttack,Creature:getPunchAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Uzun menzilli saldırı,local result = Creature:getPunchAttack(objid)
60023,Oyun yaratığı,getRangeAttack,Creature:getRangeAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Kısa menzilli savunma,local result = Creature:getRangeAttack(objid)
60024,Oyun yaratığı,getPunchDefense,Creature:getPunchDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Uzun menzilli savunma,local result = Creature:getPunchDefense(objid)
60025,Oyun yaratığı,getRangeDefense,Creature:getRangeDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Kan miktarı ayarla,local result = Creature:getRangeDefense(objid)
60026,Oyun yaratığı,setMaxHp,"Creature:setMaxHp(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Kan miktarı ayarla,"local result = Creature:setMaxHp(objid, val)"
60027,Oyun yaratığı,setHP,"Creature:setHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,HP kurtarmayı ayarla,"local result = Creature:setHP(objid, val)"
60028,Oyun yaratığı,setHpRecover,Creature:setHpRecover(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,Oksijen ayarla,local result = Creature:setHpRecover(objid)
60029,Oyun yaratığı,setOxygen,"Creature:setOxygen(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Yürüme hızını ayarla,"local result = Creature:setOxygen(objid, val)"
60030,Oyun yaratığı,setWalkSpeed,"Creature:setWalkSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Yüzme hızı ayarla (suda hız),"local result = Creature:setWalkSpeed(objid, val)"
60031,Oyun yaratığı,setSwimSpeed,"Creature:setSwimSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Atlama gücünü ayala,"local result = Creature:setSwimSpeed(objid, val)"
60032,Oyun yaratığı,setJumpPower,"Creature:setJumpPower(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Atlatma ayarla,"local result = Creature:setJumpPower(objid, val)"
60033,Oyun yaratığı,setDodge,"Creature:setDodge(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Yakın saldırı ayarla,"local result = Creature:setDodge(objid, val)"
60034,Oyun yaratığı,setPunchAttack,"Creature:setPunchAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Uzun menzilli saldırı ayarla,"local result = Creature:setPunchAttack(objid, val)"
60035,Oyun yaratığı,setRangeAttack,"Creature:setRangeAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Kısa menzilli savunma ayarla,"local result = Creature:setRangeAttack(objid, val)"
60036,Oyun yaratığı,setPunchDefense,"Creature:setPunchDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Uzun menzilli savunma ayarla,"local result = Creature:setPunchDefense(objid, val)"
60037,Oyun yaratığı,setRangeDefense,"Creature:setRangeDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Savaş özeti UI ayarla,"local result = Creature:setRangeDefense(objid, val)"
70001,UI yönetimi,setGBattleUI,"UI:setGBattleUI(name, value)","name:string set name, value:string or boolean set value",ErrorCode.OK,Dünya koordinatından küçük haritaya dönüştürülmesi,"local result = UI:setGBattleUI(name, value)"
70002,UI yönetimi,world2RadarPos,"UI:world2RadarPos(x, y)","x:number, z:number","ErrorCode.OK, x:number, z:number",Dünya uzunluğundan küçük haritaya dönüştürülmesi,"local result = UI:world2RadarPos(x, y)"
70003,UI yönetimi,world2RadarDist,UI:world2RadarDist(length),length:number,"ErrorCode.OK, length:number",Mini harita modunu ayarlayın. 1: 45 derecelik dönüş açısı; 2: tam görünüm üstten görünüm açısı,local result = UI:world2RadarDist(length)
70004,UI yönetimi,setMinimapRenderMode,UI:setMinimapRenderMode(mode),mode:number,ErrorCode.OK,"Harita işaretçisi şekil ayarı, çizgi olarak ayarlandı",local result = UI:setMinimapRenderMode(mode)
70005,UI yönetimi,setShapeLine,"UI:setShapeLine(uiname, p1x, p1y, p2x, p2y)","uiname:string, p1x:number, p1y:number, p2x:number, p2y:number",ErrorCode.OK,"Harita işaretçisi şekil ayarı, daireye ayarlı","local result = UI:setShapeLine(uiname, p1x, p1y, p2x, p2y)"
70006,UI yönetimi,setShapeCircle,"UI:setShapeCircle(uiname, x, y, radius)","uiname:string, x:number, y:number, radius:number",ErrorCode.OK,Ekran efekti gösterme,"local result = UI:setShapeCircle(uiname, x, y, radius)"
70007,UI yönetimi,ShowScreenEffect,"UI:ShowScreenEffect(type, isloop, incspeed)","type:number effect type, isloop:boolean if it is a loop, incspeed:number speed increasing",ErrorCode.OK,sohbet mesajı gönder,"local result = UI:ShowScreenEffect(type, isloop, incspeed)"
80001,Sohbet sistemi,sendChat,Chat:sendChat(content),"content:string, type:number0 means chat，1 means system message",ErrorCode.OK,Sistem mesajı gönder,local result = Chat:sendChat(content)
80002,Sohbet sistemi,sendSystemMsg,Chat:sendSystemMsg(content),"content:string, type:number0 means chat，1 means system message",ErrorCode.OK,Takım sayısını al,local result = Chat:sendSystemMsg(content)
90001,Takım yönetimi,getNumTeam,Team:getNumTeam(),nil,"ErrorCode.OK, num:number",Belirtilen takımdan oyuncu alın,local result = Team:getNumTeam()
90002,Takım yönetimi,getTeamPlayerNum,"Team:getTeamPlayerNum(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, num:number the number of players in the group",Belirtilen takımdan oyuncu alın,"local result = Team:getTeamPlayerNum(teamid, alive)"
90003,Takım yönetimi,getTeamPlayers,"Team:getTeamPlayers(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, num:number  the number of players in the group , array:table member uin array",Rastgele Oyuncu,"local result = Team:getTeamPlayers(teamid, alive)"
90004,Takım yönetimi,randomTeamPlayer,"Team:randomTeamPlayer(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, uin:number random player uin",Takım puanını ayarla,"local result = Team:randomTeamPlayer(teamid, alive)"
90005,Takım yönetimi,setTeamScore,"Team:setTeamScore(teamid, s)","teamid:number, score:number",ErrorCode.OK,Takım puanını al,"local result = Team:setTeamScore(teamid, s)"
90006,Takım yönetimi,getTeamScore,Team:getTeamScore(teamid),teamid:number,"ErrorCode.OK, score:number",Takım puanını arttır,local result = Team:getTeamScore(teamid)
90007,Takım yönetimi,addTeamScore,"Team:addTeamScore(teamid, score)","teamid:number, score:number",ErrorCode.OK,Takım kazançlarını ve kayıplarını ayarlayın,"local result = Team:addTeamScore(teamid, score)"
90008,Takım yönetimi,setTeamResults,"Team:setTeamResults(teamid, result)",teamid:number result?number,ErrorCode.OK,Mevcut takım kazançları ve kayıplarını elde edin,"local result = Team:setTeamResults(teamid, result)"
90009,Takım yönetimi,getTeamResults,Team:getTeamResults(teamid),teamid:number,"ErrorCode.OK, teamresult:number",Oyuncunun takım kazançlarını ve kayıplarını ayarlayın,local result = Team:getTeamResults(teamid)
90010,Takım yönetimi,setTeamPlayersResults,"Team:setTeamPlayersResults(teamid, result)","teamid:number, result:number",ErrorCode.OK,Takımdaki toplam ölüm sayısını ayarlayın,"local result = Team:setTeamPlayersResults(teamid, result)"
90011,Takım yönetimi,setTeamDieTimes,"Team:setTeamDieTimes(teamid, times)","teamid:number, times:number",ErrorCode.OK,Takım ölümlerinin toplam sayısını elde edin,"local result = Team:setTeamDieTimes(teamid, times)"
90012,Takım yönetimi,getTeamDieTimes,Team:getTeamDieTimes(teamid),teamid:number,"ErrorCode.OK, times:number",Takımdaki toplam ölüm sayısını artırın,local result = Team:getTeamDieTimes(teamid)
90013,Takım yönetimi,addTeamDieTimes,Team:addTeamDieTimes(teamid),teamid:number,ErrorCode.OK,Oyuncu takımını değiştir,local result = Team:addTeamDieTimes(teamid)
90014,Takım yönetimi,changePlayerTeam,"Team:changePlayerTeam(uin, teamid)","uin:number, teamid:number",ErrorCode.OK,Eşya adını al,"local result = Team:changePlayerTeam(uin, teamid)"
100001,Takım yönetimi,getItemName,Item:getItemName(itemid),itemid:number,"ErrorCode.OK, name:string",Eşya ID'sini al,local result = Item:getItemName(itemid)
100002,Takım yönetimi,getItemId,Item:getItemId(objid),objid:number,"ErrorCode.OK, itemid:number",Düşen eşya sayısını al,local result = Item:getItemId(objid)
100003,Takım yönetimi,getDropItemNum,Item:getDropItemNum(objid),objid:number,"ErrorCode.OK, itemnum:number",Eşya sırt çantası çubuğunun IDsinin kapsamı (başlangıç ​​ID ~ bitiş ID),local result = Item:getDropItemNum(objid)
110001,Sırt çantası yönetimi,getBackpackBarIDRange,Backpack:getBackpackBarIDRange(bartype),"bartype:number backpack type, shortcut bar, saving bar,equipment bar","ErrorCode.OK, begid:number item slot starting ID, endid:number item slot ending ID",Eşya sırt çantası çubuğunun boyutunu alın,local result = Backpack:getBackpackBarIDRange(bartype)
110002,Sırt çantası yönetimi,getBackpackBarSize,Backpack:getBackpackBarSize(bartype),bartype:number,"ErrorCode.OK, size:number",Sırt çantası karesini ayarlayın,local result = Backpack:getBackpackBarSize(bartype)
110003,Sırt çantası yönetimi,setGridItem,"Backpack:setGridItem(playerid, gridid, itemid, num, durability)","playerid:number, gridid:number item slot ID, itemid:number, num:number default 1, durability:number durability, default durability max",ErrorCode.OK,"Sırt çantası karesindeki belirli sayıda eşyaları, eşya karesi aracılığıyla kaldırın, varsayılan olarak tümünü kaldırın","local result = Backpack:setGridItem(playerid, gridid, itemid, num, durability)"
110004,Sırt çantası yönetimi,removeGridItem,"Backpack:removeGridItem(playerid, gridid, num)","playerid:number, gridid:number, num:number default all items",ErrorCode.OK,"Sırt çantasındaki belirli sayıda eşyaları çıkarın, eşya IDsi ile kaldırın,varsayılan olarak tümü kaldırın","local result = Backpack:removeGridItem(playerid, gridid, num)"
110005,Sırt çantası yönetimi,removeGridItemByItemID,"Backpack:removeGridItemByItemID(playerid, itemid, num)","playerid:number, itemid:number, num:number default all items","ErrorCode.OK, num:number Remove the number successfully",Belirlenen sırt çantası çubuğunu temizle,"local result = Backpack:removeGridItemByItemID(playerid, itemid, num)"
110006,Sırt çantası yönetimi,clearPack,"Backpack:clearPack(playerid, bartype)","playerid:number, bartype:number Backpack type",ErrorCode.OK,"Tüm sırt çantalarını temizle (sırt çantası çubuğu, kısayol çubuğu, ekipman çubuğu dahil)","local result = Backpack:clearPack(playerid, bartype)"
110007,Sırt çantası yönetimi,clearAllPack,Backpack:clearAllPack(playerid),playerid:number,,"Sırt çantası aksesuarlarını taşıyın, varsayılan olarak tümü aktarılır",local result = Backpack:clearAllPack(playerid)
110008,Sırt çantası yönetimi,moveGridItem,"Backpack:moveGridItem(playerid, gridsrc, griddst, num)","playerid:number, gridsrc:number, griddst:number, num:number default transfer all",ErrorCode.OK,Sırt çantası eşyasını takas edin,"local result = Backpack:moveGridItem(playerid, gridsrc, griddst, num)"
110009,Sırt çantası yönetimi,swapGridItem,"Backpack:swapGridItem(playerid, gridsrc, griddst)","playerid:number, gridsrc:number, griddst:number",ErrorCode.OK,Sırt çantasında (sırt çantası çubuğu ve kısayol çubuğu dahil) belirli sayıda eşya depolamak için yeterli alana sahip olup olmadığı,"local result = Backpack:swapGridItem(playerid, gridsrc, griddst)"
110010,Sırt çantası yönetimi,enoughSpaceForItem,"Backpack:enoughSpaceForItem(playerid, itemid, num)","playerid:number, itemid:number, num:number default 12",ErrorCode.OK,Sırt çantasında saklanabilecek kalan toplam eşya sayısını hesaplayın (sırt çantası çubuğu ve kısayol çubuğu dahil),"local result = Backpack:enoughSpaceForItem(playerid, itemid, num)"
110011,Sırt çantası yönetimi,calcSpaceNumForItem,"Backpack:calcSpaceNumForItem(playerid, itemid)","playerid:number, itemid:number","ErrorCode.OK, num:number",Eşya sırt çantası çubuğundaki geçerli kare ID listesini(öğe zaten var) ve sırt çantası kare IDsini alın,"local result = Backpack:calcSpaceNumForItem(playerid, itemid)"
110012,Sırt çantası yönetimi,getBackpackBarValidList,"Backpack:getBackpackBarValidList(playerid, bartype)","playerid:number, bartype:number Backpack type","ErrorCode.OK, num:number number, array:table backpack slots ID array",Sırt çantası çubuğunun sahip olduğu aksesuarları ve props ID dizisini alın,"local result = Backpack:getBackpackBarValidList(playerid, bartype)"
110013,Sırt çantası yönetimi,getBackpackBarItemList,"Backpack:getBackpackBarItemList(playerid, bartype)","playerid:number, bartype:number Backpack type","ErrorCode.OK, num:number number , arr:table item ID array",Sırt çantasında herhangi bir eşya olup olmadığını tespit edin,"local result = Backpack:getBackpackBarItemList(playerid, bartype)"
110014,Sırt çantası yönetimi,hasItemByBackpackBar,"Backpack:hasItemByBackpackBar(playerid, bartype, itemid)","playerid:number, bartype:number, itemid:number",ErrorCode.OK,Sırt çantasındaki toplam eşya sayısını al. Eşyalarla sırt çantalarına dönün,"local result = Backpack:hasItemByBackpackBar(playerid, bartype, itemid)"
110015,Sırt çantası yönetimi,getItemNumByBackpackBar,"Backpack:getItemNumByBackpackBar(playerid, bartype, itemid)","playerid:number, bartype:number, itemid:number","ErrorCode.OK, num:number total number of items , arr:table item slot ID array",Sırt çantası karesi eşyanın IDsi ve miktarını alın,"local result = Backpack:getItemNumByBackpackBar(playerid, bartype, itemid)"
110016,Sırt çantası yönetimi,getGridItemID,"Backpack:getGridItemID(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, itemid:number, num:number",Sırt çantası kare eşyasının adını elde edin,"local result = Backpack:getGridItemID(playerid, gridid)"
110017,Sırt çantası yönetimi,getGridItemName,"Backpack:getGridItemName(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, name:string",Sırt çantası karesi eşya sayısını ve maksimum yığın sayısını alın,"local result = Backpack:getGridItemName(playerid, gridid)"
110018,Sırt çantası yönetimi,getGridStack,"Backpack:getGridStack(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, num:number, maxstack:number",Sırt çantasında eşya dayanıklılığı ve maksimum dayanıklılık elde edin,"local result = Backpack:getGridStack(playerid, gridid)"
110019,Sırt çantası yönetimi,getGridDurability,"Backpack:getGridDurability(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, durcur:number, durmax:number",Sırt çantası kare eşyasının büyüsünü alın ve büyü id dizisin dönün,"local result = Backpack:getGridDurability(playerid, gridid)"
110020,Sırt çantası yönetimi,getGridEnchantList,"Backpack:getGridEnchantList(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, num:number number, arr:table enchanted ID array",Alet tipi sırt çantası aksesuarlarını alın (<0 aletsiz anlamına gelir),"local result = Backpack:getGridEnchantList(playerid, gridid)"
110021,Sırt çantası yönetimi,getGridToolType,"Backpack:getGridToolType(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, type:number tool type",Eşyayı sırt çantasına ekle,"local result = Backpack:getGridToolType(playerid, gridid)"
110022,Sırt çantası yönetimi,addItem,"Backpack:addItem(playerid, itemid, num)","playerid:number, itemid:number, num:number","ErrorCode.OK, successNum:number the number of successfully added",Sırt çantası eşyayı atın,"local result = Backpack:addItem(playerid, itemid, num)"
110023,Sırt çantası yönetimi,discardItem,"Backpack:discardItem(playerid, gridid, num)","playerid:number, gridid:number, num:number",ErrorCode.OK,Sırt çantasının rastgele bir karenin eşya sayısını elde et,"local result = Backpack:discardItem(playerid, gridid, num)"
110024,Sırt çantası yönetimi,getGridNum,"Backpack:getGridNum(playerid, gridid)","playerid:number, gridid:number",ErrorCode.OK,"Yeni şekil (çizgi, dikdörtgen, daire) ekle","local result = Backpack:getGridNum(playerid, gridid)"
120001,Küçük harita yönetimi,newShape,"MapMark:newShape(type, isshow, r, g, b)","type:number, isshow:boolean, r:number, g:number, b:number","ErrorCode.OK, shapeid:number",Bir şekli sil,"local result = MapMark:newShape(type, isshow, r, g, b)"
