ID,名字,描述,获得方式
12288,Ok üfle,"Menzilli silah, her saldırı #c0aba1d #n1 stinger dart.",
12289,Beestinger Dart,"#c0aba1d baz hasarı + 5 #n #r hedefi vurdu #c0aba1d kafa şişmiş #nyapacak ve #c0aba1d zehirlenme etkisi ile birlikte gelir #n, ateş etmek için bir üfleme meşalesi gerektirir.",
12290,floresan topu,Küpe vurmak bir süre için bir ışık kaynağı üretecek ve organizmaya vurmak floresan bir durum ekleyecektir.,
12291,Nabız yayı,"#c0aba1d baz hasarı + 35 #n #r menzilli silah, her saldırı #c0aba1d  #n1 darbe okları tüketir.",
12292,Nabız oku,"#c0aba1d taban hasarı + 15 #n #r blok isabet #c0aba1d mancınık #n, ateşlemek için bir darbe yayı gerektirir.",
12293,Yerçekimi eldivenleri,"5 kare aralığında, #c0aba1d fiziksel özelliklere sahip #n tıklayın, yakalayabilirsiniz. #c0aba1d #nsonra başlatılabilir.",#c0aba1d oyun içi davranışları taklit etmez. #n
12294,Darbe tabancası,"#c0aba1d #nsonra, güçlü etkisi olan çelik bilyalar ateşlenebilir.",
12295,çelik top,#c0aba1d fiziksel özelliklere sahip diğer sahne uçabilir #n. #r bir darbe tabancası ile ateşlenmesi gerekir. #r fiziksel özelliklere sahiptir.,
12296,havuz,"#c0aba1d #n atılabilir. #r  #c0aba1d fiziksel özelliklere sahiptir #n, kareye dokunduğunda geri tepecektir ve yüzey pürüzsüz ancak elastik değildir.",
12297,Voleybol Topu,"#c0aba1d #n atılabilir. #r  #c0aba1d fiziksel özelliklere sahiptir #n, kareye vurmak ribaunt, pürüzlü yüzey ama güçlü esneklik olacaktır.",
12298,Ahşap kutu,"Atılabilir. #r  #c0aba1d fiziksel özelliklere sahiptir #n, kareye dokunduğunda zıplar, yüzey pürüzlüdür ve elastikiyet güçlü değildir.",
12299,Korkunç füze,Megatron saldırı formunu kullanırken bir füze başlattı,
12300,Yıldız bombası,,
12301,Hilal Ay Sihirli Değnek,"#c0aba1d Melee Hasarı + 20 #n
Üst düzey balala enerji peri dönüşüm büyüsü - Kadora, salada, balala mucize dans adımları serisi, şeytan peri küçük mavi karakterler için sahne",
12302,Yıldız Kanatları Sihirli Değnek (Mavi),"#c0aba1d Melee Hasarı + 20 #n
Üst düzey Balala enerjisi küçük şeytan dönüşümü büyüsü - Ukaraka, Balala mucize dansı adım serisinin küçük şeytan Ling Meiqi karakteri için bir pervane",
12303,Yıldız Kanatları Sihirli Değnek (Kırmızı),"#c0aba1d Melee Hasarı + 20 #n
Üst düzey Balala enerjisi küçük şeytan dönüşüm büyüsü - Ukaraka, Balala mucize dansı adım serisinin küçük şeytan Ling Meixue karakteri için bir pervane",
12304,Sihirli Kılıç,"#c0aba1d Melee Hasarı + 35 #n
Şeytan Peri Kılıcı, Şeytan Peri Kalesi 'nde ünlü ve güçlü bir silahtır. Sihir gücü vermek için Şeytan Peri Kılıcını kullanmak daha güçlüdür ve aynı zamanda Balala enerjisini de yapabilir Demon Fairy Dönüşüm Sihri - Gulaka, Balala Mucizesi Dans Adımı serisi Zevk Prensi karakterleri için bir pervane",
12305,Prenses sihirli resim kitabı,"#c0aba1d Melee Hasarı + 28 #n
Üst düzey Balala enerjisi küçük şeytan dönüşümü büyüsü - Kalai renkli sunumu, Balala küçük şeytan perisi Caili prenses karakter sahne renkli kale serisi üzerinde uçan",
12306,Sihirli Palet (Kırmızı),"#c0aba1d Melee Hasarı + 20 #n
Üst düzey Balala enerjisi küçük şeytan dönüşüm büyüsü yapabilirsiniz - kırmızı sihir çağırın, Balala akıllı karakterler atmak için küçük şeytan peri sahne Cailing Castle serisi üzerinde uçar",
12307,Sihirli Palet (Sarı),"#c0aba1d Melee Hasarı + 20 #n
Yüksek seviyeli Ba La La enerji küçük şeytan dönüşüm büyüsü yapabilirsiniz - sarı sihir çağırın, Ba La La Cailing Castle serisi küçük şeytan perisi Yin Xiaomin karakter sahne üzerinde uçtu",
12308,İmparator Cannon,"İmparator Foal, İmparator Topunu canavarlara hasar vermek için kullanabilir",
12309,Akrep Kabuğu Kalkanı,#c0aba1dCharge#n savunma durumunu etkinleştirmek için. Canavarları hasar almadan yenmek için kalkanı tam zamanında kullanın. #r#c0aba1dResilience#n seviyenizi sıfıra indirmenin yorgunluğa neden olacağını unutmayın. Dayanıklılığınızı geri kazanmak için kalkanı kullanmayı iptal edin,
12310,Akrep Sokması Kalkanı,#c0aba1dCharge#n savunma durumunu etkinleştirmek ve rakibinize zehirlenmiş durum kazandırmak için kullanılır. Canavarları hasar almadan yenmek için kalkanı tam zamanında kullanın. #r#c0aba1dResilience#n seviyenizi sıfıra indirmenin yorgunluğa neden olacağını unutmayın. Dayanıklılığınızı geri kazanmak için kalkanı kullanmayı iptal edin,
12311,Kumun Kükremesi,"Büyük serin el topu, önünüzdeki her şeyi sersemletmek için kum tüketin! #c0aba1d kum topu üssü hasarı + 40 #n #r kum gibi sıradan saldırı mühimmatı, güç biriktirdikten sonra düşmanı sersemletebilirsiniz",Sawara Efendisi 'ni yenmek için
12312,Soğuğa Dayanıklı Kask,Sıcaklık sağlar ve biraz savunma sunar.,
12313,Soğuğa dayanıklı Cuirass,Sıcaklık sağlar ve biraz savunma sunar.,
12314,Soğuğa dayanıklı Greaves,Sıcaklık sağlar ve biraz savunma sunar.,
12315,Soğuğa Dayanıklı Botlar,Sıcaklık sağlar ve biraz savunma sunar.,
12316,Dondurulmuş Çubuk,"Silah, etrafındaki soğuk havayı yoğunlaştırdıktan sonra Buz Ruhu Muhafızlarının elinde oluştu. Yaratıklara saldırmak için kullanıldığında, sıcaklıklarını düşürür. Sıcaklık çok düşerse, yaratık #c0aba1dfrozen #n olur. Şiddetli görünebilir, ancak çok dayanıklı değildir. Onarmak için @item_12710# kullanabilirsiniz.",@item_12316# tutan Buz Ruhu Muhafızlarını yenmenin onu düşürme şansı var.
12317,Ahşap Kalkan,#c0aba1dCharge#n savunma durumunu etkinleştirmek için. Canavarları hasar almadan yenmek için kalkanı tam zamanında kullanın. #r#c0aba1dResilience#n seviyenizi sıfıra indirmenin yorgunluğa neden olacağını unutmayın. Dayanıklılığınızı geri kazanmak için kalkanı kullanmayı iptal edin.,
12318,Pirinç Kalkan,#c0aba1dCharge#n savunma durumunu etkinleştirmek için. Canavarları hasar almadan yenmek için kalkanı tam zamanında kullanın. #r#c0aba1dResilience#n seviyenizi sıfıra indirmenin yorgunluğa neden olacağını unutmayın. Dayanıklılığınızı geri kazanmak için kalkanı kullanmayı iptal edin.,
12319,Titanyum Kalkan,#c0aba1dCharge#n savunma durumunu etkinleştirmek için. Canavarları hasar almadan yenmek için kalkanı tam zamanında kullanın. #r#c0aba1dResilience#n seviyenizi sıfıra indirmenin yorgunluğa neden olacağını unutmayın. Dayanıklılığınızı geri kazanmak için kalkanı kullanmayı iptal edin.,
12494,Kavrulmuş Tatlı Patates,Güzel kokulu kavrulmuş tatlı patates,
12495,kavrulmuş Mısır,Güzel kokulu kavrulmuş mısır,
12496,Deniz ürünleri,"@item_12520#, @item_12524#, @item_12527#, @item_12703#, @item_12704# ve diğer deniz ürünleri malzemeleri dahil olmak üzere bir yığın deniz ürünü.",
12497,Izgara et,"#c0aba1d  #nyedikten sonra 10 fiziksel gücü kurtarır. Yanmış eti ateşte #r , orijinal görünümü açıkça göremez, ishal #ndikkatli olun #c0aba1d .",
12498,gece görüş sporları,#c0aba1d  #ntükettikten sonra 600 saniye içinde #c0aba1d gece görüş #n .,
12499,Sprint Kızartma Doodle,#c0aba1d #n #c0aba1d hareket hızı 75% 600 saniye içinde#n .,
12500,kiraz,Volvo#n#c0aba1d .,Kiraz ağaçlarında büyür ve yedikten sonra @item_11405# alır.
12501,Meyve tabağı,Yemekten sonra fiziksel durumu geri yükler,
12502,Şehriye,Yedikten sonra geri yükler.,Yemek pişirmek için @item_794# gerektirir.
12503,Pinekon,#c0aba1dFeed#nit to Flying Squirrels to their HP'lerini geri yüklemek için. Aynı zamanda #c0aba1dsnowman'nin gözleri #n olarak da kullanılabilir.,Çam ağaçlarında yetişir. @item_11406# yedikten sonra elde edilebilir.
12504,Petek enkaz,#c0aba1d  #ntükettikten sonra 15 hayat kurtarın. #r şişelenmiş balı işleyebilir.,Elde etmek için balta araçları ile kovan toplayın.
12505,Soğuk salatalık,#c0aba1d  #ntükettikten sonra 15 dayanıklılık kazandı ve 15 kum kazandı. #r,
12506,Meyve,"@item_230#, @item_237#, @item_239#, @item_11599#, @item_12500# ve diğer meyveler dahil.",
12507,Mısır Tatlısı,"Kazma Hızı, bir süre #c0aba1deating ettikten sonra artacaktır #n.#r",Yemek pişirmek için @item_794# gerektirir.
12508,Dev ölçekli tüy dilimleri,"#c0aba1d  #nyedikten sonra 10 hayat kazanır. #r  #n #c0aba1d devekuşu kullanılır, belli bir şans evcilleştirilebilir #n #c0aba1d .",Dev ölçekli tüyler tarafından sırt çantalarında işlenir. Kil tencereye #r hasar da düşme şansına sahiptir.
12509,Şişelenmiş taze süt,#c0aba1d  #ntükettikten sonra 20 hayat kurtarın. Ve 1 keyfi durumu kaldırın.,Süt üretimi sırasında boynuzlu geyik için küçük cam şişelerde elde edilir.
12510,Toprak sürgünleri ile haşlanmış Dodo,Son derece besleyici olan ve birçok insan tarafından tercih edilen Miras'tan ünlü bir yemek olduğu söyleniyor.,Yemek pişirmek için @item_794# gerektirir.
12511,Şişelenmiş bal,#c0aba1d  #ntükettikten sonra 10 hayat kazanır. Ve bir süre boyunca hayatı yeniden kazanmaya devam eder. #r ateş böceklerini #nçekmek #c0aba1d için kullanılabilir.,
12512,Tatlı patates püresi,Yedikten sonra geri yükler.,Yemek pişirmek için @item_794# gerektirir.
12513,Et,"@item_12516#, @item_12518#, @item_12522#, @item_12530#, @item_12532#, @item_12535#, @item_12607# ve diğer etler dahil.",Karşılık gelen yaratığı yenerek düşürülür
12514,Barbekü,"@item_12517#, @item_12519#, @item_12523#, @item_12531#, @item_12533#, @item_12536#, @item_12608#, @item_12521#, @item_12705# ve @item_12706# dahil",#c0aba1dRaw Meat#n'i Şenlik Ateşinde kızartarak elde edin.
12515,Dev Buru Şeridi,"#c0aba1dEat #n, az miktarda HP ve Dayanıklılığı geri kazandırmak ve bir kalkan ve Azim.#rMiras geleneksel atıştırmalık kazanmak için. Dev Buru Stripe @item_230 # 'dan yapılmıştır.",Yemek pişirmek için @item_795# gerektirir.
12516,Wovo eti,"#c0aba1d  #nyedikten sonra 15 fiziksel gücü kurtarır. #r dikkatlice çiğ yiyin #c0aba1d ishal #n, #c0aba1d kamp ateşinde pişirilebilir #n.",Volvo Beast Drop 'u yenmek.
12517,Izgara Wover Et,#c0aba1d  #n tükettikten sonra 25 fiziksel güç kazandı#r,Elde #c0aba1d Volvo et #n bir kamp ateşinde işlenmiştir.
12518,Dudu kuş eti,"#nyedikten sonra 10 fiziksel gücü kurtarmaya#c0aba1d . #r çiğ #c0aba1d ishal #nyiyin, #c0aba1d kamp ateşinde pişirilebilir #n..",Doodle Bird Drop 'u alt et.
12519,Izgara Dudu Kuş,#c0aba1d  #n tükettikten sonra 25 fiziksel güç kazandı#r,Şenlik ateşinde işlenmiş #c0aba1d ham Dudu kuş eti #n elde edilmiştir.
12520,Taze aptal balık,"#c0aba1d 10 fiziksel gücü geri kazanmak için #n yiyin, çiğ #c0aba1d ishal yiyin #n, #c0aba1d şenlik ateşi üzerinde pişmiş #n daha lezzetli olacak, buz ayılarını evcilleştirmek için de kullanılabilir #r besleme #c0aba1d bebek mühür montajı #n yemek 20 sağlık noktasını geri yükleyebilir",
12521,Izgara aptal balık,#c0aba1d  #n yedikten sonra 20 fiziksel gücü geri kazanmak#r bir kamp ateşinde taze balıkla kavrulmuş ve Yan yengeç evcilleştirmek için de kullanılabilir,
12522,Dun Dun eti,"#nyedikten sonra 15 fiziksel gücü kurtarmak için#c0aba1d . #r çiğ #c0aba1d ishal #nyiyin, #c0aba1d kamp ateşinde pişirilebilir #n",İskele düşüşünü mağlup et.
12523,Tonton Eti Kızartma,Vücut durumunu geri yüklemek için tüketin,Şenlik ateşinde @item_12522# işlenerek elde edilir
12524,Somon balığı,"#nyedikten sonra 15 fiziksel gücü kurtarmak için#c0aba1d . #r çiğ #c0aba1d ishal #nyiyin. #r  #n #c0aba1d buz ayı kullanın, belirli bir şans evcilleştirebilir #n, #c0aba1d kamp ateşinde pişirilebilir #n..",Penguen Drop 'u yenmek.
12525,Izgara Somon,#c0aba1d  #n yedikten sonra 30 fiziksel güç kazanır#r,Elde edilen somon #n  #c0aba1d bir kamp ateşinde işlenmiştir.
12526,Garip dirsek,#c0aba1d  #nyedikten sonra 10 fiziksel gücü yeniden kazanır ve cadı kemiklerini bırakır. #r gelişigüzel yemek #c0aba1d ishal #n.,Yabani düşüşü yenmek.
12527,Yengeç bacakları,"#c0aba1d ""yengeç çubukları"" #nişlenebilir.",
12528,Bir kase çiğ pirinç,Bir taş tencerede pişmiş pirinç #c0aba1d kaseye işlenebilir #n,
12529,Pişmiş Pirinç,Yedikten sonra geri yükler.,Yemek pişirmek için @item_794# gerektirir.
12530,Boynuzlu geyik eti,"#c0aba1d  #nyedikten sonra 15 fiziksel gücü kurtarır. #r dikkatlice çiğ yiyin #c0aba1d ishal #n, #c0aba1d kamp ateşinde pişirilebilir #n.",Boynuzlu geyik damlasını yen.
12531,Kavrulmuş boynuz geyiği,#c0aba1d  #n yedikten sonra 30 fiziksel güç kazanır#r,Kamp ateşinde işlenmiş #c0aba1d boynuzlu geyik eti #n elde edilmiştir.
12532,Çiğ Tavşan Eti,Eğer yerseniz #c0aba1ddiarrhea#n olabilir. Dikkatli olun. Ayrıca @item_1200 # üzerinde de pişirilebilir.,Kar Tavşanlarını yenerek düştü.
12533,Kızarmış Tavşan,Vücut ısınızı hafifçe geri kazanmak için yiyin.,Elde etmek için bir Şenlik ateşi üzerinde @item_12532# pişirin.
12534,Tavada kızartılmış tavşan,Vücut ısınızı biraz iyileştirmek ve bir süre soğuğa dayanıklı olmak için yiyin.Icefield köylülerine #rGive ve takdir edeceklerdir.,Yemek pişirmek için @item_794# gerektirir.
12535,Yak Eti,Eğer yerseniz #c0aba1ddiarrhea#n olabilir. Dikkatli olun. Ayrıca @item_1200 # üzerinde de pişirilebilir.,Yaks'ı yenerek düştü.
12536,Izgara Yak Eti,Vücut ısınızı hafifçe geri kazanmak için yiyin.,Elde etmek için bir Şenlik ateşi üzerinde @item_12535# pişirin.
12537,Yak Eti Sarsıntılı,Kurutma işlemi ile yapılan yiyecekler. Et oldukça çiğnenir ve yemeyi bırakamazsınız.,Bir süre için @item_1192#'a @item_12535# eklenerek elde edilir.
12538,Meyve Smoothie,Meyvenin buzla karıştırılmasıyla yapılan ferahlatıcı bir incelik. Sıcak bölgelerde mutlaka görülmesi gereken bir tedavidir.,
12539,Eğrelti otu muhallebi,"#r#c0aba1dtaking it#n öğesinden sonra, kısa bir süre ısıya dayanmanıza yardımcı olan #c0aba1dHeat dayanıklı #nstatus'u elde edebilirsiniz.",
12540,Kızarmış Yumurtalı Erişte,"#c0aba1dtaking ettikten sonra#n, HP'yi kısa bir süre için zaman içinde geri yükleyeceksiniz.",Yemek pişirmek için @item_794# gerektirir.
12541,Pişmiş Patates Kızartması,"#c0aba1dtaking ettikten sonra#n, alınan düşen hasar bir süre için biraz azaltılacaktır.#r",Yemek pişirmek için @item_794# gerektirir.
12542,Sebze Çorbası,Yedikten sonra geri yükler.,Yemek pişirmek için @item_794# gerektirir.
12543,Roast Dodo Aile Kovası,"#c0aba1dtaking ettikten sonra, Hareket Hızı bir süre için biraz artırılacaktır.#rUse #c0aba1dRaptors#n'da #c0aba1dtame#nthem için bir şans için.",Yemek pişirmek için @item_794# gerektirir.
12544,Barbekü Erişte,Yedikten sonra geri yükler.,Yemek pişirmek için @item_794# gerektirir.
12545,Boynuzlu Geyik Eti Güveç,Yedikten sonra geri yükler.,Yemek pişirmek için @item_794# gerektirir.
12546,Jambon,"Bunu #n #c0aba1dtaking ettikten sonra, kazmanın dayanıklılık tüketimi bir süre için biraz azalacaktır.#r#c0aba1dFeed#nit, onları #c0aba1dbreed#n yapmak için Evcilleştirilmiş Buz Ayıları'na.",Yemek pişirmek için @item_794# gerektirir.
12547,Kokulu Jambon,"#c0aba1dtaking ettikten sonra#n, Running Jump'ın dayanıklılık tüketimi bir süre için biraz azalacaktır.",Yemek pişirmek için @item_795# gerektirir.
12548,Yengeç Çubuğu Jambon,"#c0aba1dtaking ettikten sonra#n, şarjın dayanıklılık tüketimi bir süre için biraz azalacaktır.#r",Yemek pişirmek için @item_795# gerektirir.
12549,Yoğunlaştırılmış Süt Şekeri,"#c0aba1dtaking ettikten sonra#n, rastgele bir debuff kaldırılacaktır.#rA Boarman Companion yedikten sonra eldeki işi unutacaktır.",Yemek pişirmek için @item_794# gerektirir.
12550,Kızarmış Yumurtalı Nefis Erişte,"#c0aba1dtaking ettikten sonra#n, HP'yi zaman içinde belirli bir süre için geri yükleyeceksiniz.#r",Yemek pişirmek için @item_795# gerektirir.
12551,Nefis Patates Kızartması,"#c0aba1dtaking ettikten sonra, alınan düşen hasar bir süre için azaltılacaktır.#r",Yemek pişirmek için @item_795# gerektirir.
12552,Nefis Dev Buru Turta,"#c0aba1dtaking ettikten sonra az miktarda HP ve Dayanıklılık geri kazanılır. Ayrıca, kalkanlar ve Azim.#rUse de kazanabilirsiniz.#c0aba1dBulli#nfor şansı #c0aba1dtame#nit üzerinde.",Yemek pişirmek için @item_795# gerektirir.
12553,Nefis Mısır Tatlısı,"#c0aba1dtaking ettikten sonra, Kazma Hızı bir süre için artırılacaktır.#rUse #c0aba1dRocki#nfor üzerinde #c0aba1dtame#nit için bir şans.",Yemek pişirmek için @item_795# gerektirir.
12554,Nefis Sebze Çorbası,Yedikten sonra geri yükler.,Yemek pişirmek için @item_795# gerektirir.
12555,Kokulu salatalık,#c0aba1d  #ntükettikten sonra 15 dayanıklılık kazandı ve 40 dayanıklılık kazandı. #r,
12556,Kokulu ölçek tüy suyu,#c0aba1d  #n tükettikten sonra 20 sağlık kazanır ve bir süre yangın hasarını azaltır. #r,
12557,Kokulu Meyve Tabağı,"#nyedikten sonra 100 hayatı geri#c0aba1d . #r sevimli gözler#c0aba1d  #n kullanın, belirli bir şans evcilleştirilebilir #n #c0aba1d .",
12558,Nefis Roast Dodo,"It#n #c0aba1dtaking sonra, Hareket Hızı bir süre için artırılacaktır.",Yemek pişirmek için @item_795# gerektirir.
12559,Nefis Barbekü Erişte,Yedikten sonra geri yükler.,Yemek pişirmek için @item_795# gerektirir.
12560,Nefis Boynuzlu Geyik Güveç,Yedikten sonra geri yükler.,Yemek pişirmek için @item_795# gerektirir.
12561,Nefis jambon,"#c0aba1dtaking ettikten sonra#n, kazmanın dayanıklılık tüketimi bir süre için azaltılacaktır.#r",Yemek pişirmek için @item_795# gerektirir.
12562,Nefis Kokulu Jambon,"#c0aba1dtaking ettikten sonra#n, Running Jump'ın dayanıklılık tüketimi bir süreliğine azaltılacaktır.#r",Yemek pişirmek için @item_795# gerektirir.
12563,Nefis Yengeç Çubuğu,"#c0aba1dtaking ettikten sonra#n, şarjın dayanıklılık tüketimi bir süre için azaltılacaktır.#r",Yemek pişirmek için @item_795# gerektirir.
12564,Yeni Yıl Günü köfte,#c0aba1d  #nsonra 15 vücut kütlesi ve 180 saniyede karakter #n  #c0aba1d .,Yeni Yıl Günü etkinlikleri sırasında Yeni Yıl tüccarlarından satın alındı
12565,Garip şeker,#c0aba1d  #ntükettikten sonra 15 güç kazanır ve #c0aba1d karakter hareket kontrolü ters yönde #n 60 saniye.,Noel etkinlikleri sırasında Noel Baba 'dan satın alın
12566,Kırık köfte,#c0aba1d 60 saniye içinde #n ve #c0aba1d hareket hızı 60% #n kullandıktan sonra 15 güç kazanır.,
12567,Çin Yeni Yılı köfte,#c0aba1d  #nsonra 15 vücut kütlesi ve 180 saniyede karakter #n  #c0aba1d .,Bahar Şenliği etkinlikleri sırasında Bahar Şenliği tüccarlarından satın alındı.
12568,pirinç keki,#c0aba1d  #nsonra 15 güç kazanır ve 180 saniye içinde daha küçük #n  #c0aba1d .,Bahar Şenliği etkinlikleri sırasında Bahar Şenliği tüccarlarından satın alındı.
12569,Siyah doldurulmuş Fener Festivali,#c0aba1d  #ntükettikten sonra 15 güç kazanır ve 30 saniye içinde karakter Doodle #n #c0aba1d olur.,
12570,Mor doldurulmuş Fener Festivali,#c0aba1d  #ntükettikten sonra 15 vücut puanı kazanır ve 30 saniye içinde karakter Wauvoo #n #c0aba1d olur.,
12571,Sarı doldurulmuş Fener Festivali,#c0aba1d  #ntükettikten sonra 15 güç kazanır ve 30 saniye içinde karakter #c0aba1d boynuzlu geyik #nolur.,
12572,Kiraz suyu,Kullanımdan sonra kaotik bir durum elde edin ve 60 saniye içinde #c0aba1d kontrolü ters yöne #nhareket ettirin.,Yıldönümü etkinliği sırasında yıldönümü tüccarından satın alındı.
12573,Köpüklü Suyu,#c0aba1d  #n tükettikten sonra 15 güç kazandı ve 60 saniyede 17 #n  #c0aba1d atlama gücü arttı.,Yıldönümü etkinliği sırasında yıldönümü tüccarından satın alındı.
12574,Şeytan Suyu,#c0aba1d  #ntükettikten sonra 15 güç kazanır ve 30 saniye içinde karakter #c0aba1d #nolur.,Yıldönümü etkinliği sırasında yıldönümü tüccarından satın alındı.
12575,Zongzi,#c0aba1d  #ntükettikten sonra 15 güç kazanır ve 30 saniye içinde karakter #c0aba1d #nolur.,
12576,Bubblegum,"#c0aba1d  #nyedikten sonra 5 sağlığı kurtarın ve 15 kalkan kazanın. 15 saniyede #c0aba1d kabarcık durumu kazanın #n. #r  #n #c0aba1d köfte kullanın, belirli bir şans #nevcilleştirebilir #c0aba1d .","Kil tencereyi yok edin, zindan hazine kutusunu açın ve topu yenin, hepsinin düşme şansı vardır. #r #c0aba1d oyun içi davranışları taklit etmez. #n"
12577,Salatalık ziyafeti,"#n #c0aba1d iskeleden sonra, #c0aba1d üreme durumuna girmesini sağlayın #n",
12578,Wolverine Burnu,Volvos arasındaki kavgaların düşme şansı vardır. #r boynuz yapmak için kullanılabilir.,
12579,boynuz,"Kullandıktan sonra, etkili menzil içinde bir #c0aba1d Wowo Beast #n varsa, çekilecektir.",
12580,Ruh tilki düdük,"#c0aba1d evcilleştirilmiş tilki ve maymun #n kullanın, oturmasını sağlayabilir.",
12581,'Yengeç Çubuğu',#c0aba1d  #nyedikten sonra 15 fiziksel gücü kurtarır. #r gelişigüzel yemek #c0aba1d ishal #n.,
12582,Oksijen fasulyesi,"#c0aba1d , oksijen meyvesi yetiştirmek için bir süre sonra nadir ahşap üzerine #n dikildi.",
12583,Oksijen meyvesi,#c0aba1d  #ntükettikten sonra mevcut yaşam 10% sağlık noktasını azaltır ve 60 saniye içinde oksijen #n  #c0aba1d .,"Sevimli göz yıldızının değerli odununda yetişen meyve, değerli odun üzerine oksijen fasulyesi ekilerek elde edilebilir. Yemekten sonra değerli odun tohumları elde edilebilir ve oksijen çekirdekleri boş elle işlenebilir."
12584,astrospor,,
12585,Mutant bambu sürgünleri,,
12586,Mutant kırmızı mantar,,
12587,Yumurta Tabancası,"Saldırgan olmayan bazı #c0aba1dland yaratıklarda #n kullanarak yumurtaları uygun şekilde yumurtlamak için onları teslim edin.#rAfter @item_11082# kullanıldığında, @item_800# işçiliği için kilidi açılır.",
12588,Yumurta tabancası mermisi,Yumurta tabancası için özel mühimmat.,
12589,Floresan sapan,"#c0aba1d üs hasarı + 5 #n #r menzilli silah, her saldırı #c0aba1d #n1 el bombası.",
12590,floresan bombası,"#c0aba1d baz hasarı + 5 #n #r blok vurmak #c0aba1d ışık kaynağı #n bir süre için, yaratık vurmak #c0aba1d floresan durum #nekleyecektir. #r floresan sapan emisyonu gerektirir.",
12591,floresan topu,Karelerin kullanımı bir süre için ışık kaynağı #n  #c0aba1d ve #c0aba1d #n kullanımı floresan bir durum ekleyecektir.,
12592,Oyun sürümü çok düşük,,
12593,Sevimli gözlü yıldız kabuğu,"Kozmik tüccarla işlem gören para birimi, sevimli göz yıldızının özel eşyaları ile değiştirilebilir.",Kozmik Tüccarlar ile ticaret için kullanılabilir.
12594,İlk Yardım Paketi,"Yaralı Boarman Yoldaşlarını iyileştirebilecek şifalı otlar ve ilk yardım bandajları kombinasyonu.#rInjured Boarman Yoldaşları yavaş yavaş zayıflayacaktır. Zamanında iyileşmezlerse, geri dönüşü olmayan sonuçlarla karşılaşabilirler.",
12595,Vahşi Hatıralar,"Vahşi bir partnerden atılan bir biblo, partnerin hafızasını korur. #r bir anıt olarak #n bir #c0aba1d taş tablete yerleştirebilir",
12596,Avcı Hatıraları,"Bir avcının arkadaşından düşen bir biblo, arkadaşının anısını korur. #r  #c0aba1d taş tablet #n anıt olarak yerleştirebilir",
12597,Mengbao hatıra,Sevimli hazine ortağından atılan biblolar ortağın anılarını korur. #r  #c0aba1d taş tablet #n anıt olarak yerleştirebilir,
12598,Oyun sürümü çok düşük,Git ve en son oyun sürümünü indir!,
12599,Sihirbaz Çubuk Çekiç,"Hafif bir ışık yayan ve güneş ışığının nefesini veren kırılgan çubuk çekiç, vahşi kabilelerde yaygın olarak kullanılan kurban pervanesidir.
Kabile rahipleri genellikle uyuyan vahşileri üzerlerindeki karanlık laneti gidermek için sopalar ve çekiçlerle vururlar.",
12600,Pamuk,@item_800 # üzerinde çeşitli pamuk ürünlerine dönüştürülebilen veya #c0aba1dsnowman'un eşarbı # n olarak kullanılabilen yumuşak pamuk. Pamuk Ağacından elde edilir.,
12601,şeftali,#c0aba1d uçan tavukları#n.#r #n maymunları#c0aba1d#n.,Şeftali ağacında yetişir ve @item_11409# yedikten sonra elde edilebilir.
12602,Sekoya meyvesi,#c0aba1d #n #c0aba1d üreme#n.,Sonuçları yok eden sekoya yapraklarının düşme şansı vardır ve @item_11412# yedikten sonra elde edilebilir.
12603,ceviz,Serçe ve ötleğen#nevcilleştirebilir ve @item_12278# evcilleştirdikten sonra düşebilirsiniz.,Ceviz ağacında yetişir ve @item_11411# yedikten sonra elde edilebilir.
12604,kavak meyvesi,#c0aba1d  #ntükettikten sonra 15 hayat kazandı,Sonuçları yok eden kavak yapraklarının düşme şansı vardır ve kavak tohumları yemekten sonra elde edilebilir.
12605,Yan Yan yengeç kabuğu,Yan Yan yengeçleri tarafından atılan kabuk parçalarının yangından korunma ekipmanı yapmak için kullanıldığı söyleniyor!,
12606,Hemostatik ajan,#c0aba1d tükettikten sonra #n 30 sağlık kazanır ve #c0aba1d kanama #n vücudu temizler ve 15 kalkan kazanır. 180 saniye sonra #c0aba1d bağışıklık kanaması #n.,Populus euphratica 'dan yapılmıştır
12607,Çiğ devekuşu bacakları,"#c0aba1d yedikten sonra 15 fiziksel gücü geri kazanmak #n #r çiğ #c0aba1d ishal yiyin #n, #c0aba1d kamp ateşinde pişirilebilir #n",Devekuşu damlasını yenmek.
12608,Kavrulmuş devekuşu bacağı,"#c0aba1d kavrulmuş devekuşu bacakları, çok lezzetli! #nyedikten sonra 25 dayanıklılığı kurtarın.",Çiğ devekuşu bacakları #c0aba1d bir kamp ateşinde işlenmiştir #n
12609,Kızarmış Devekuşu Yumurtası,"Kızarmış @item_462 #, bir tavuk yumurtasından çok daha büyük!",Yemek pişirmek için @item_794# gerektirir.
12610,Populus euphratica,"#c0aba1d yedikten sonra #n 10 hayatı geri yükler ve #c0aba1d kanama #n vücudu temizler ve 5 kalkan kazanır. Populus euphratica çiçeği, hemostatik etkilere sahiptir.",Yaprakları kırmızıya döndüğünde bir Populus euphratica ağacının taçının yapraklarında büyür
