接口ID,越南语,越南语,越南语,越南语,越南语,越南语,越南语
50037,Người chơi,getHpRecover,Player:getHpRecover(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Hp hồi phục,local result = Player:getHpRecover(objid)
50038,Người chơi,getCurFood,Player:getCurFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Độ đói hiện tại,local result = Player:getCurFood(objid)
50039,Người chơi,getMaxOxygen,Player:getMaxOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",[[,local result = Player:getMaxOxygen(objid)
50040,Người chơi,getCurOxygen,Player:getCurOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Mức oxy hiện tại,local result = Player:getCurOxygen(objid)
50041,Người chơi,getWalkSpeed,Player:getWalkSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Tốc độ đi bộ,local result = Player:getWalkSpeed(objid)
50042,Người chơi,getSwimSpeed,Player:getSwimSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Tốc độ bơi ( trong nước),local result = Player:getSwimSpeed(objid)
50043,Người chơi,getJumpPower,Player:getJumpPower(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Lực nhảy,local result = Player:getJumpPower(objid)
50044,Người chơi,getRunSpeed,Player:getRunSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Tốc độ chạy,local result = Player:getRunSpeed(objid)
50045,Người chơi,getSneakSpeed,Player:getSneakSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Tốc độ trườn,local result = Player:getSneakSpeed(objid)
50046,Người chơi,getDodge,Player:getDodge(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Tốc độ tránh,local result = Player:getDodge(objid)
50047,Người chơi,getPunchAttack,Player:getPunchAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Tấn công cận chiến,local result = Player:getPunchAttack(objid)
50048,Người chơi,getRangeAttack,Player:getRangeAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Tấn công viễn chiến,local result = Player:getRangeAttack(objid)
50049,Người chơi,getPunchDefense,Player:getPunchDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Phòng thủ cận chiến,local result = Player:getPunchDefense(objid)
50050,Người chơi,getRangeDefense,Player:getRangeDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Phòng thủ viễn chiến,local result = Player:getRangeDefense(objid)
50051,Người chơi,getStarNum,"Player:getStarNum(objid, val)","objid:number, atttype:number","ErrorCode.OK, value:number",Số sao,"local result = Player:getStarNum(objid, val)"
50052,Người chơi,getModelScale,"Player:getModelScale(objid, val)","objid:number, atttype:number","ErrorCode.OK, value:number",Kích thước to nhỏ,"local result = Player:getModelScale(objid, val)"
50053,Người chơi,setMaxHP,"Player:setMaxHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Cài lượng HP tối đa,"local result = Player:setMaxHP(objid, val)"
50054,Người chơi,setHP,"Player:setHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Cài HP,"local result = Player:setHP(objid, val)"
50055,Người chơi,setHpRecover,Player:setHpRecover(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,Cài đặt khôi phục HP,local result = Player:setHpRecover(objid)
50056,Người chơi,setCurFood,Player:setCurFood(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,Cài đặt độ đói hiện tại,local result = Player:setCurFood(objid)
50057,Người chơi,setOxygen,"Player:setOxygen(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Cài đặt oxy,"local result = Player:setOxygen(objid, val)"
50058,Người chơi,setWalkSpeed,"Player:setWalkSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Cài đặt tốc độ đi bộ,"local result = Player:setWalkSpeed(objid, val)"
50059,Người chơi,setSwimSpeed,"Player:setSwimSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Cài đặt tốc độ bơi ( trong nước),"local result = Player:setSwimSpeed(objid, val)"
50060,Người chơi,setJumpPower,"Player:setJumpPower(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Cài đặt lực nhảy,"local result = Player:setJumpPower(objid, val)"
50061,Người chơi,setRunSpeed,"Player:setRunSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Cài đặt tốc độ chạy,"local result = Player:setRunSpeed(objid, val)"
50062,Người chơi,setSneakSpeed,"Player:setSneakSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Cài đặt tốc độ trườn,"local result = Player:setSneakSpeed(objid, val)"
50063,Người chơi,setDodge,"Player:setDodge(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Cài đặt tốc độ tránh,"local result = Player:setDodge(objid, val)"
50064,Người chơi,setPunchAttack,"Player:setPunchAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Cài đặt tấn công cận chiến,"local result = Player:setPunchAttack(objid, val)"
50065,Người chơi,setRangeAttack,"Player:setRangeAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Cài đặt tấn công viễn chiến,"local result = Player:setRangeAttack(objid, val)"
50066,Người chơi,setPunchDefense,"Player:setPunchDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Cài đặt phòng vệ cận chiến,"local result = Player:setPunchDefense(objid, val)"
50067,Người chơi,setRangeDefense,"Player:setRangeDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Cài đặt phòng vệ viễn chiến,"local result = Player:setRangeDefense(objid, val)"
50068,Người chơi,setStarNum,"Player:setStarNum(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Cài đặt số sao,"local result = Player:setStarNum(objid, val)"
50069,Người chơi,setModelScale,"Player:setModelScale(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Cài đặt kích thước mô hình,"local result = Player:setModelScale(objid, val)"
50070,Người chơi,setPosition,"Player:setPosition(objid, x, y, z)","objid:number, x|y|z:number",ErrorCode.OK,Cài đặt vị trí actor,"local result = Player:setPosition(objid, x, y, z)"
50071,Người chơi,getAimPos,Player:getAimPos(objid),objid:number,ErrorCode.OK,Nhận vị trí của người chơi,local result = Player:getAimPos(objid)
60001,Sinh Vật,isAdult,Creature:isAdult(objid),objid:number,ErrorCode.OK is adult is adult,Đã đủ tuổi vị thành niên chưa?,"local result = Creature:isAdult(objId)
if result == ErrorCode.OK then print(""This creature is adult"") end"
60002,Sinh Vật,setOxygenNeed,"Creature:setOxygenNeed(objid, v)","objid:number, v:boolean",ErrorCode.OK,Cài đặt xem liệu có cần oxy,"local result = Creature:setOxygenNeed(objId, true)
if result == ErrorCode.OK then print(""This creature relies on oxygen!"") end"
60003,Sinh Vật,getTamedOwnerID,Creature:getTamedOwnerID(objid),objid:number,"ErrorCode.OK, uin:number0 means untamed",Nhận ID của người thuần phục,"local result, ownerId = Creature:getTamedOwnerID(objId)
if result == ErrorCode.OK and ownerId ~= 0 then
        local result, nickName = Player:getNickname(ownerId)
        if result == ErrorCode.OK then print('Player<'+nickName+'>pet...')
end"
60004,Sinh Vật,setPanic,"Creature:setPanic(objid, v)","objid:number, v:boolean",ErrorCode.OK,Cài đặt xem liệu có phải là bạo lực,"local result = Creature:setPanic(objId, true)
if result == ErrorCode.OK then print(""The creature is in panic"") end"
60005,Sinh Vật,setAIActive,"Creature:setAIActive(objid, v)","objid:number, v:boolean",ErrorCode.OK,Cài đặt AI liệu có hiệu quả không,"local result = Creature:setAIActive(objId, true)
if result == ErrorCode.OK then print(""This creatures AI takes effect"") end"
60006,Sinh Vật,getActorID,Creature:getActorID(objid),objid:number,"ErrorCode.OK, actorid:number",Nhận nguồn ID sinh vật,"local wolfId, dogId = 3407, 3408 --Wolf/Dogs resource Id
local result, actorId = Creature:getActorID(objId)
if result == ErrorCode.OK then
        if actorId == dogId then print(""The creature is A Dog!"") end
        if actorId == wolfId then print(""The creature is A Wolf!"") end
end"
60007,Sinh Vật,getActorName,Creature:getActorName(objid),objid:number,"ErrorCode.OK, name:string",Nhận nguồn ID sinh vật,local result = Creature:getActorName(objid)
60008,Sinh Vật,addModAttrib,"Creature:addModAttrib(objid, attrtype, value)","objid:number, attrtype:MODATTRIB_TYPE Enchantment attribute type, value:number",ErrorCode.OK,Thêm lượng ModAttrib của quái vật,"local modAttrType = MODATTRIB_TYPE.MODATTR_MOVE_SPEED
local result = Creature:addModAttrib(objid, modAttrType, 5)
if result == ErrorCode.OK then print('Increase the moving speed of monster') end"
60009,Sinh Vật,getModAttrib,"Creature:getModAttrib(objid, attrtype)","objid:number, attrtype:MODATTRIB_TYPE Enchantment attribute type","ErrorCode.OK, value:number",Nhận lượng ModAttrib của quái vật,"local modAttrType = MODATTRIB_TYPE.MODATTR_MOVE_SPEED
local result, modAttrVal = Creature:getModAttrib(objid, modAttrType)
if result == ErrorCode.OK then print('Moving speed of monster is', modAttrVal) end"
60010,Sinh Vật,setTeam,"Creature:setTeam(objid, teamid)","objid:number, teamid:number",ErrorCode.OK,Cài đặt nhóm sinh vật,"local result = Creature:setTeam(objid, teamid)"
60011,Sinh Vật,getTeam,Creature:getTeam(objid),objid:number,"ErrorCode.OK, teamid:number",Cài đặt nhóm sinh vật,local result = Creature:getTeam(objid)
60012,Sinh Vật,getMaxFood,Creature:getMaxFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Xem độ đói tối đa,local result = Creature:getMaxFood(objid)
60013,Sinh Vật,getFood,Creature:getFood(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Xem độ đói,local result = Creature:getFood(objid)
60014,Sinh Vật,setFood,"Creature:setFood(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Cài đặt độ đói  ,"local result = Creature:setFood(objid, val)"
60015,Sinh Vật,getHpRecover,Creature:getHpRecover(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Hp hồi phục,local result = Creature:getHpRecover(objid)
60016,Sinh Vật,getMaxOxygen,Creature:getMaxOxygen(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Lượng oxy tối đa,local result = Creature:getMaxOxygen(objid)
60017,Sinh Vật,getWalkSpeed,Creature:getWalkSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Tốc độ đi bộ,local result = Creature:getWalkSpeed(objid)
60018,Sinh Vật,getSwimSpeed,Creature:getSwimSpeed(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Tốc độ bơi ( trong nước),local result = Creature:getSwimSpeed(objid)
60019,Sinh Vật,getJumpPower,Creature:getJumpPower(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Lực nhảy,local result = Creature:getJumpPower(objid)
60020,Sinh Vật,getMass,Creature:getMass(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Trọng lượng,local result = Creature:getMass(objid)
60021,Sinh Vật,getDodge,Creature:getDodge(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Tránh,local result = Creature:getDodge(objid)
60022,Sinh Vật,getPunchAttack,Creature:getPunchAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Tấn công cận chiến,local result = Creature:getPunchAttack(objid)
60023,Sinh Vật,getRangeAttack,Creature:getRangeAttack(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Tấn công viễn chiến,local result = Creature:getRangeAttack(objid)
60024,Sinh Vật,getPunchDefense,Creature:getPunchDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Phòng vệ cận chiến,local result = Creature:getPunchDefense(objid)
60025,Sinh Vật,getRangeDefense,Creature:getRangeDefense(objid),"objid:number, atttype:number","ErrorCode.OK, value:number",Phòng vệ viễn chiến,local result = Creature:getRangeDefense(objid)
60026,Sinh Vật,setMaxHp,"Creature:setMaxHp(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Cài đặt HP,"local result = Creature:setMaxHp(objid, val)"
60027,Sinh Vật,setHP,"Creature:setHP(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Cài đặt HP,"local result = Creature:setHP(objid, val)"
60028,Sinh Vật,setHpRecover,Creature:setHpRecover(objid),"objid:number, val:number, atttype:number",ErrorCode.OK,Cài đặt hồi phục HP,local result = Creature:setHpRecover(objid)
60029,Sinh Vật,setOxygen,"Creature:setOxygen(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Cài đặt oxy,"local result = Creature:setOxygen(objid, val)"
60030,Sinh Vật,setWalkSpeed,"Creature:setWalkSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Cài đặt tốc độ đi bộ,"local result = Creature:setWalkSpeed(objid, val)"
60031,Sinh Vật,setSwimSpeed,"Creature:setSwimSpeed(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Cài đặt tốc độ bơi ( trong nước),"local result = Creature:setSwimSpeed(objid, val)"
60032,Sinh Vật,setJumpPower,"Creature:setJumpPower(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Cài đặt lực nhảy,"local result = Creature:setJumpPower(objid, val)"
60033,Sinh Vật,setDodge,"Creature:setDodge(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Cài đặt tránh,"local result = Creature:setDodge(objid, val)"
60034,Sinh Vật,setPunchAttack,"Creature:setPunchAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Cài đặt tấn công cận chiến,"local result = Creature:setPunchAttack(objid, val)"
60035,Sinh Vật,setRangeAttack,"Creature:setRangeAttack(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Cài đặt tấn công viễn chiến,"local result = Creature:setRangeAttack(objid, val)"
60036,Sinh Vật,setPunchDefense,"Creature:setPunchDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Cài đặt phòng thủ cận chiến ,"local result = Creature:setPunchDefense(objid, val)"
60037,Sinh Vật,setRangeDefense,"Creature:setRangeDefense(objid, val)","objid:number, val:number, atttype:number",ErrorCode.OK,Cài đặt phòng thủ viễn chiến,"local result = Creature:setRangeDefense(objid, val)"
70001,Giao Diện,setGBattleUI,"UI:setGBattleUI(name, value)","name:string set name, value:string or boolean set value",ErrorCode.OK,Cài đặt UI cơ bản của cuộc chiến,"local result = UI:setGBattleUI(name, value)"
70002,Giao Diện,world2RadarPos,"UI:world2RadarPos(x, y)","x:number, z:number","ErrorCode.OK, x:number, z:number","
Thế giới tọa độ thay đổi thành mini map","local result = UI:world2RadarPos(x, y)"
70003,Giao Diện,world2RadarDist,UI:world2RadarDist(length),length:number,"ErrorCode.OK, length:number",Chiều dài thế giới thay đổi thành mini map,local result = UI:world2RadarDist(length)
70004,Giao Diện,setMinimapRenderMode,UI:setMinimapRenderMode(mode),mode:number,ErrorCode.OK,Cài đặt mô hình mini map. 1: Góc nhìn 45 độ; 2: góc trên cùng toàn cảnh,local result = UI:setMinimapRenderMode(mode)
70005,Giao Diện,setShapeLine,"UI:setShapeLine(uiname, p1x, p1y, p2x, p2y)","uiname:string, p1x:number, p1y:number, p2x:number, p2y:number",ErrorCode.OK,"Cài đặt hình dạng đánh dấu Map, được đặt thành các dòng","local result = UI:setShapeLine(uiname, p1x, p1y, p2x, p2y)"
70006,Giao Diện,setShapeCircle,"UI:setShapeCircle(uiname, x, y, radius)","uiname:string, x:number, y:number, radius:number",ErrorCode.OK,"Cài đặt hình dạng đánh dấu Map, đặt thành vòng tròn","local result = UI:setShapeCircle(uiname, x, y, radius)"
70007,Giao Diện,ShowScreenEffect,"UI:ShowScreenEffect(type, isloop, incspeed)","type:number effect type, isloop:boolean if it is a loop, incspeed:number speed increasing",ErrorCode.OK,Xem hiệu ứng màn hình,"local result = UI:ShowScreenEffect(type, isloop, incspeed)"
80001,Giao Diện,sendChat,Chat:sendChat(content),"content:string, type:number0 means chat，1 means system message",ErrorCode.OK,Gửi văn bản chat,local result = Chat:sendChat(content)
80002,Chat,sendSystemMsg,Chat:sendSystemMsg(content),"content:string, type:number0 means chat，1 means system message",ErrorCode.OK,Gửi văn bản chat,local result = Chat:sendSystemMsg(content)
90001,Nhóm,getNumTeam,Team:getNumTeam(),nil,"ErrorCode.OK, num:number",Nhận số nhóm,local result = Team:getNumTeam()
90002,Nhóm,getTeamPlayerNum,"Team:getTeamPlayerNum(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, num:number the number of players in the group",Nhận nhóm người chơi chỉ định,"local result = Team:getTeamPlayerNum(teamid, alive)"
90003,Nhóm,getTeamPlayers,"Team:getTeamPlayers(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, num:number  the number of players in the group , array:table member uin array",Nhận nhóm người chơi chỉ định,"local result = Team:getTeamPlayers(teamid, alive)"
90004,Nhóm,randomTeamPlayer,"Team:randomTeamPlayer(teamid, alive)","teamid:number team ID, default all, alive:number whether survive, default all","ErrorCode.OK, uin:number random player uin",Người chơi ngẫu nhiên,"local result = Team:randomTeamPlayer(teamid, alive)"
90005,Nhóm,setTeamScore,"Team:setTeamScore(teamid, s)","teamid:number, score:number",ErrorCode.OK,Cài đặt điểm số nhóm,"local result = Team:setTeamScore(teamid, s)"
90006,Nhóm,getTeamScore,Team:getTeamScore(teamid),teamid:number,"ErrorCode.OK, score:number",Nhận điểm số nhóm,local result = Team:getTeamScore(teamid)
90007,Nhóm,addTeamScore,"Team:addTeamScore(teamid, score)","teamid:number, score:number",ErrorCode.OK,Thêm điểm số nhóm,"local result = Team:addTeamScore(teamid, score)"
90008,Nhóm,setTeamResults,"Team:setTeamResults(teamid, result)",teamid:number result?number,ErrorCode.OK,Cài đặt thắng- thua của nhóm,"local result = Team:setTeamResults(teamid, result)"
90009,Nhóm,getTeamResults,Team:getTeamResults(teamid),teamid:number,"ErrorCode.OK, teamresult:number",Xem thắng- thua của nhóm,local result = Team:getTeamResults(teamid)
90010,Nhóm,setTeamPlayersResults,"Team:setTeamPlayersResults(teamid, result)","teamid:number, result:number",ErrorCode.OK,Cài đặt thắng- thua của người chơi,"local result = Team:setTeamPlayersResults(teamid, result)"
90011,Nhóm,setTeamDieTimes,"Team:setTeamDieTimes(teamid, times)","teamid:number, times:number",ErrorCode.OK,Cài đặt số lượng người chết trong nhóm,"local result = Team:setTeamDieTimes(teamid, times)"
90012,Nhóm,getTeamDieTimes,Team:getTeamDieTimes(teamid),teamid:number,"ErrorCode.OK, times:number",Xem số người chết trong nhóm,local result = Team:getTeamDieTimes(teamid)
90013,Nhóm,addTeamDieTimes,Team:addTeamDieTimes(teamid),teamid:number,ErrorCode.OK,Thêm số người chết trong nhóm,local result = Team:addTeamDieTimes(teamid)
90014,Nhóm,changePlayerTeam,"Team:changePlayerTeam(uin, teamid)","uin:number, teamid:number",ErrorCode.OK,Thay đổi nhóm của người chơi,"local result = Team:changePlayerTeam(uin, teamid)"
100001,Công Cụ,getItemName,Item:getItemName(itemid),itemid:number,"ErrorCode.OK, name:string",Xem tên công cụ,local result = Item:getItemName(itemid)
100002,Công Cụ,getItemId,Item:getItemId(objid),objid:number,"ErrorCode.OK, itemid:number",Nhận ID của vật phẩm,local result = Item:getItemId(objid)
100003,Công Cụ,getDropItemNum,Item:getDropItemNum(objid),objid:number,"ErrorCode.OK, itemnum:number",Nhận số vật phẩm rơi,local result = Item:getDropItemNum(objid)
110001,Túi,getBackpackBarIDRange,Backpack:getBackpackBarIDRange(bartype),"bartype:number backpack type, shortcut bar, saving bar,equipment bar","ErrorCode.OK, begid:number item slot starting ID, endid:number item slot ending ID",Nhận ID của túi công cụ trong phạm vi ( ID bắt đầu - ID kết thúc),local result = Backpack:getBackpackBarIDRange(bartype)
110002,Túi,getBackpackBarSize,Backpack:getBackpackBarSize(bartype),bartype:number,"ErrorCode.OK, size:number",Nhận kích thước của túi,local result = Backpack:getBackpackBarSize(bartype)
110003,Túi,setGridItem,"Backpack:setGridItem(playerid, gridid, itemid, num, durability)","playerid:number, gridid:number item slot ID, itemid:number, num:number default 1, durability:number durability, default durability max",ErrorCode.OK,Cài đặt ô công cụ trong túi,"local result = Backpack:setGridItem(playerid, gridid, itemid, num, durability)"
110004,Túi,removeGridItem,"Backpack:removeGridItem(playerid, gridid, num)","playerid:number, gridid:number, num:number default all items",ErrorCode.OK,"Xóa số lượng công cụ nhất định, thông qua xóa các công cụ, mặc định xóa toàn bộ","local result = Backpack:removeGridItem(playerid, gridid, num)"
110005,Túi,removeGridItemByItemID,"Backpack:removeGridItemByItemID(playerid, itemid, num)","playerid:number, itemid:number, num:number default all items","ErrorCode.OK, num:number Remove the number successfully","Xóa một số mục trong ngăn của túi, thông qua việc xóa ID công cụ. Tất cả bị xóa theo mặc định","local result = Backpack:removeGridItemByItemID(playerid, itemid, num)"
110006,Túi,clearPack,"Backpack:clearPack(playerid, bartype)","playerid:number, bartype:number Backpack type",ErrorCode.OK,Xóa ngăn chỉ định trong túi,"local result = Backpack:clearPack(playerid, bartype)"
110007,Túi,clearAllPack,Backpack:clearAllPack(playerid),playerid:number,,"Xóa toàn bộ túi (bao gồm ngăn, thanh phím tắt, thanh trang bị)",local result = Backpack:clearAllPack(playerid)
110008,Túi,moveGridItem,"Backpack:moveGridItem(playerid, gridsrc, griddst, num)","playerid:number, gridsrc:number, griddst:number, num:number default transfer all ",ErrorCode.OK,"Xóa công cụ trong túi, tất cả bị xóa theo mặc định","local result = Backpack:moveGridItem(playerid, gridsrc, griddst, num)"
110009,Túi,swapGridItem,"Backpack:swapGridItem(playerid, gridsrc, griddst)","playerid:number, gridsrc:number, griddst:number",ErrorCode.OK,Trao đổi các vật phẩm trong Túi,"local result = Backpack:swapGridItem(playerid, gridsrc, griddst)"
110010,Túi,enoughSpaceForItem,"Backpack:enoughSpaceForItem(playerid, itemid, num)","playerid:number, itemid:number, num:number default 10",ErrorCode.OK,"Nếu có đủ không gian trong Túi (bao gồm các ngăn Túi, thanh công cụ) để lưu trữ vật phẩm","local result = Backpack:enoughSpaceForItem(playerid, itemid, num)"
110011,Túi,calcSpaceNumForItem,"Backpack:calcSpaceNumForItem(playerid, itemid)","playerid:number, itemid:number","ErrorCode.OK, num:number","Tính tổng số vật phẩm còn lại mà Túi (bao gồm ngăn Túi, thanh công cụ) có thể lưu trữ","local result = Backpack:calcSpaceNumForItem(playerid, itemid)"
110012,Túi,getBackpackBarValidList,"Backpack:getBackpackBarValidList(playerid, bartype)","playerid:number, bartype:number Backpack type","ErrorCode.OK, num:number number, array:table backpack slots ID array",Nhận danh sách ID hợp lệ của các vật phẩm đã có trong ngăn Túi. ID vật phẩm,"local result = Backpack:getBackpackBarValidList(playerid, bartype)"
110013,Túi,getBackpackBarItemList,"Backpack:getBackpackBarItemList(playerid, bartype)","playerid:number, bartype:number Backpack type","ErrorCode.OK, num:number number , arr:table item ID array",Nhận các vật phẩm đã có trong ngăn Túi. ID vật phẩm,"local result = Backpack:getBackpackBarItemList(playerid, bartype)"
110014,Túi,hasItemByBackpackBar,"Backpack:hasItemByBackpackBar(playerid, bartype, itemid)","playerid:number, bartype:number, itemid:number",ErrorCode.OK,Phát hiện nếu có bất kỳ vật phẩm chỉ định trong Túi,"local result = Backpack:hasItemByBackpackBar(playerid, bartype, itemid)"
110015,Túi,getItemNumByBackpackBar,"Backpack:getItemNumByBackpackBar(playerid, bartype, itemid)","playerid:number, bartype:number, itemid:number","ErrorCode.OK, num:number total number of items , arr:table item slot ID array",Lấy tổng số vật phẩm trong Túi. Quay trở lại Túi với các vật phẩm,"local result = Backpack:getItemNumByBackpackBar(playerid, bartype, itemid)"
110016,Túi,getGridItemID,"Backpack:getGridItemID(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, itemid:number, num:number",Lấy ID vật phẩm và số trong Túi,"local result = Backpack:getGridItemID(playerid, gridid)"
110017,Túi,getGridItemName,"Backpack:getGridItemName(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, name:string",Lấy tên vật phẩm trong Túi,"local result = Backpack:getGridItemName(playerid, gridid)"
110018,Túi,getGridStack,"Backpack:getGridStack(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, num:number, maxstack:number",Lấy số lượng vật phẩm trong Túi và tối đa số lượng của ngăn Túi,"local result = Backpack:getGridStack(playerid, gridid)"
110019,Túi,getGridDurability,"Backpack:getGridDurability(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, durcur:number, durmax:number",Nhận độ bền vật phẩm trong túi và độ bền tối đa,"local result = Backpack:getGridDurability(playerid, gridid)"
110020,Túi,getGridEnchantList,"Backpack:getGridEnchantList(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, num:number number, arr:table enchanted ID array",Nhận phụ ma của các vật phẩm trong Túi. Quay trở lại ID phụ ma.,"local result = Backpack:getGridEnchantList(playerid, gridid)"
110021,Túi,getGridToolType,"Backpack:getGridToolType(playerid, gridid)","playerid:number, gridid:number","ErrorCode.OK, type:number tool type",Lấy loại công cụ vật phẩm trong Túi (<0 có nghĩa là không phải công cụ),"local result = Backpack:getGridToolType(playerid, gridid)"
110022,Túi,addItem,"Backpack:addItem(playerid, itemid, num)","playerid:number, itemid:number, num:number","ErrorCode.OK, successNum:number the number of successfully added",Thêm vật phẩm vào Túi,"local result = Backpack:addItem(playerid, itemid, num)"
110023,Túi,discardItem,"Backpack:discardItem(playerid, gridid, num)","playerid:number, gridid:number, num:number",ErrorCode.OK,Bỏ vật phẩm ra khỏi Túi,"local result = Backpack:discardItem(playerid, gridid, num)"
110024,Túi,getGridNum,"Backpack:getGridNum(playerid, gridid)","playerid:number, gridid:number",ErrorCode.OK,Lấy số lượng vật phẩm trong một ô của ba lô,"local result = Backpack:getGridNum(playerid, gridid)"
120001,Minimap,newShape,"MapMark:newShape(type, isshow, r, g, b)","type:number, isshow:boolean, r:number, g:number, b:number","ErrorCode.OK, shapeid:number","Hình dạng mới (đường thẳng, hình chữ nhật, hình tròn)","local result = MapMark:newShape(type, isshow, r, g, b)"
120002,Minimap,deleteShape,MapMark:deleteShape(shapeid),shapeid:number,ErrorCode.OK,Xóa hình dạng,local result = MapMark:deleteShape(shapeid)
120003,Minimap,setShapeColor,"MapMark:setShapeColor(shapeid, r, g, b)","shapeid:number, r:number, g:number, b:number",ErrorCode.OK,Đặt hình dạng và màu sắc,"local result = MapMark:setShapeColor(shapeid, r, g, b)"
120004,Minimap,showShape,"MapMark:showShape(shapeid, showflag)","shapeid:number, showflag:boolean",ErrorCode.OK,Đặt hình dạng hiển thị hoặc ẩn,"local result = MapMark:showShape(shapeid, showflag)"
120005,Minimap,updateLine,"MapMark:updateLine(shapeid, sx, sz, ex, ez)","shapeid:number, sx:number, sz:number, ex:number, ez:number",ErrorCode.OK,Cập nhật hình dạng (dòng). Thêm tọa độ bắt đầu và tọa độ kết thúc,"local result = MapMark:updateLine(shapeid, sx, sz, ex, ez)"
120006,Minimap,updateRectangle,"MapMark:updateRectangle(shapeid, sx, sz, w, h)","shapeid:number, sx:number, sz:number, w:number, h:number",ErrorCode.OK,Cập nhật hình dạng (hình chữ nhật). Thêm tọa độ bắt đầu và tọa độ kết thúc,"local result = MapMark:updateRectangle(shapeid, sx, sz, w, h)"
120007,Minimap,updateCircle,"MapMark:updateCircle(shapeid, cx, cz, r)","shapeid:number, cx:number, cz:number, r:number",ErrorCode.OK,Cập nhật hình dạng (hình tròn). Thêm tọa độ trung tâm và bán kính,"local result = MapMark:updateCircle(shapeid, cx, cz, r)"
130001,Điểm Hồi Sinh,getSpawnPoint,Spawnport:getSpawnPoint(),nil,"ErrorCode.OK, x:number, y:number, z:number",Lấy vị trí của điểm hổi sinh,local result = Spawnport:getSpawnPoint()
