ID,名字,描述,购买提示,特别效果1描述,特别效果2描述,特别效果3描述,特别效果4描述,特别效果5描述,特别效果6描述
104,Lingyao,"Legenda mengatakan bahawa di dalam istana Dewa Angin, hidup seorang wanita yang cantik dan anggun. Oh, itu cuma aku!",@Null@,Kesan Istimewa: Dikelilingi kelopak bunga emas,Avatar: Buka kunci avatar Lingyao,@Null@,,,
105,Ash,"Ash memastikan bahawa penampilannya berada dalam keadaan terbaik setiap pagi, untuk menjaga status Unicornnya.Tetapi, ramai yang memerhatikan Unicorn, dia tidak akan sekali-kali menyerahkan hadiah hari jadi berharga oleh Wolf ini kepada sesiapa pun!",@Null@,Tapak kaki: Meninggalkan kesan tapak kaki Kerudung Merah,Avatar: Buka kunci avatar Ash,@Null@,,,
106,Cool Mini,"Seorang pengajar dari Mini Coding, dilengkapi dengan kuasa magik programming.",Didapatkan dari Gashapon,Kesan Istimewa: Dikelilingi partikel sci-fi,Avatar: Buka kunci avatar Cool Mini,Footprint: Leaving spray footprint when he goes by,,,
107,Serigala,"Kongsi rahsia dengan anda, Nenek Serigala asli! Kisah dongeng kegemaran Wolf dan Ash. Hari ini, memakai pakaian serigala dan apron nenek, menyamar sebagai Serigala Jahat untuk menggoda Ash yang suka berlakon. Oleh kerana semua orang dikutuk, mengapa tidak kita mencipta pengembaraan dongeng kita sendiri?",@Null@,Tapak kaki: Meninggalkan kesan tapak kaki Serigala,Avatar: Buka kunci avatar Serigala,@Null@,,,
108,Peri Langit - Ya,"Kemakmuran dunia Celestial telah menarik mata Ya. Berbekalkan alat muzik empat talinya, dia mengembara ke seluruh dunia, mempersembahkan banyak lagu dengan hati dan sikap tenang yang tidak berubah.",@Null@,Kesan Istimewa: Dikelilingi partikel emas,Avatar: Buka kunci avatar pari-pari langit,@Null@,,,
109,Pangeran Naga - Song,"Selepas mengalami kesakitan yang tidak terkira banyaknya di dunia fana, dia memutuskan untuk mengikuti kata hatinya dan tinggal di dunia Celestial dengan naga sebagai temannya, jauh dari dunia fana.",Terbuka dalam acara,Avatar: Buka kunci profil gambar Putera Naga - Song,Tapak kaki: Meninggalkan kesan tapak kaki berbentuk kaki naga,@Null@,,,
110,Roselle.,"Pada malam musim panas, taman magik mengadakan majlis besar. Roselle terkejut apabila mendapati biru yang muncul dalam mimpinya sedang berjalan menuju ke tengah pentas. Datang bersamanya dengan kelopak yang jatuh yang ditemuinya-hydrangea biru.",@Null@,Avatar: Buka kunci profil gambar Roselle,Tapak kaki: Meninggalkan kesan tapak kaki berbentuk ros berwarna merah jambu,@Null@,,,
111,Tangerine Tabby,"""Gourmet yang genius, saya hanya mahu makan makanan dari semua tempat! Walaupun banyak makanan istimewa di dunia, kegemaran saya masih rasa taiyaki yang dimasak oleh ibu bapa saya.""- Tangerine Tabby setelah wawancara dengan Mini Daily.",Diperoleh dari acara atau pek hadiah,Avatar: Buka kunci profil gambar Tangerine Tabby,Footprints: Leaving flower pawprint wherever he goes,@Null@,,,
112,Hydrangea Charles,"Majlis di luar istana berwarna-warni seperti bintang dan bunga api. Bila Putera Charles melihat Roselle, dia tidak dapat menyembunyikan kegembiraan dalamannya, dan dengan berhati-hati mengeluarkan bunga ros halus yang dipetiknya.",Pas musim,Avatar: Buka kunci profil gambar Hydrangea Charles,Kesan badan: Dikelilingi partikel-partikel biru,@Null@,,,
113,Bubbles,"""Pernahkah anda mendengar legenda laut biru?"" Bubbles yang berpengetahuan tinggi dilahirkan sebagai seorang penjelajah. Dia suka memerhati dunia melalui buih dan boleh mencari butiran yang tidak dapat dilihat oleh semua orang.",Diperoleh dari acara atau pek hadiah,Avatar: Buka kunci profil gambar Bubbles,Tapak kaki: Meninggalkan kesan tapak kaki berbentuk ikan lumba-lumba,@Null@,,,
114,Flower Dewie,Skin tukaran Pertama Xiaolou,@Null@,Avatar: Buka kunci profil gambar Flower Dewie,Kesan badan: Dikelilingi partikel-partikel bunga,@Null@,,,
115,Princess Frost,"Puteri yang telah wujud sejak kelahiran Yeloli Wonderland, tinggal di istana kristal berais, dewi fros dan ais. Disebabkan keperibadiannya yang dingin, dia tidak mempunyai kawan tetapi hatinya bersih dan baik, tidak tahan untuk menyakiti sesiapa.",@Null@,Avatar: Buka kunci profil gambar Puteri Frost,Kesan badan: Dikelilingi berlian ais,@Null@,,,
116,Rory,"Puteri Yeloli Wonderland, mempunyai kuasa magik penyembuhan dan cinta. Selepas diubah menjadi anak patung oleh permaisuri, dia bertemu dengan seorang putera raja yang mereka pakatan bersama dan mendapatkan semula bentuk dan kuasa magiknya. Seorang happy-go-lucky yang sukakan strawberi.",@Null@,Avatar: Buka kunci profil gambar Rory,Kesan badan: Dikelilingi partikel-partikel hati,@Null@,,,
117,Light Shimmer,"Sama seperti cahaya, bentuknya ditentukan oleh orang yang memanggilnya, sama seperti kewujudan bayang-bayang, dirinya yang sebenar masih belum diketahui yang membawa kepada keinginan mendalamnya untuk kebebasan.",@Null@,Avatar: Buka kunci profil gambar Light Shimering,Kesan badan: Dikelilingi partikel-partikel emas,@Null@,,,
118,Cinderella,"""Dengan kuasa imaginasi, keajaiban tidak mustahil"" moto Cinderella yang optimis. Ketika melakukan kerja, dia membayangkan dirinya sebagai seorang puteri dongeng yang cantik, dan rakan dongengnya mengubah imaginasinya menjadi realiti semasa Royal Ball.",@Null@,Avatar: Buka kunci profil gambar Cindarella,Tapak kaki: Meninggalkan kesan tapak kaki berbentuk ros berwarna merah jambu,@Null@,,,
119,Putri Soul,"Seorang ahli Pavilion Lingxi, Bunian peringkat Suci, lembut dan mesra, dia tinggal di Kuil Bunga sambil menyembah mereka dan menghidupkan semua kehidupan dan jiwa, menjaga dunia dengan sepenuh hati dan cintanya.",@Null@,Avatar: Buka kunci profil gambar Puteri Soul,Tapak kaki: Meninggalkan kesan tapak kaki berbentuk kasut kristal,@Null@,,,
120,Dragonian-Scaly,"Scaly tidak pernah meninggalkan lautan: kerana kisah Nazha, dia mengalami fobia terhadap tanah. Dalam pengembaraan ini, dia menjadi lebih berani dan mendapati bahawa tanah itu tidak seram seperti yang dia fikirkan. Semua ini hanyalah ujian oleh bapanya untuk membenarkan dia menjadi pengganti luncur air.",@Null@,Avatar: Buka kunci profil gambar Dragonian - Scaly,Kesan badan: Dikelilingi berlian ais magis,@Null@,,,
121,Meow Meow,"Apa yang kau maksudkan dengan aku kecil! Cuba teka bila tulang ikan ini akan muncul di sofa kau? Meriah dan bebas, Meow Meow suka mempamerkan kemahiran melencongnya dengan tulang ikan. Jangan tertipu dengan penampilannya yang comel, kerana dia adalah raja kejahatan yang terkenal.",@Null@,Avatar: Buka kunci profil gambar Meow Meow,Tapak kaki: Meninggalkan kesan tapak kaki berbentuk kepala kucing,@Null@,,,
122,Angsa Putih-Odette,"Ketika siang bertemu malam, mimpi dan realiti bersimpang siur. Tetapi siapakah saya di antara semua ini?",@Null@,Avatar: Buka kunci avatar,Kesan badan: Dikelilingi bulu angsa putih,@Null@,,,
123,Cecil,"Salah seorang daripada lapan ahli Pavilion Lingxi, tinggal di kawasan suci Yeloli Wonderland -- Empat Jam, dengan kuasa untuk mengawal masa dan identiti yang tidak terkira banyaknya. Dengan rambut panjang perak dan mata seperti galaksi, mulia dan elegan, bertenang dan teruskan.",@Null@,Avatar: Buka kunci profil gambar Cecil,Tapak kaki: Meninggalkan kesan tapak kaki berbentuk jam,@Null@,,,
124,Jessie,"Jessie dan Jerry adalah kawn baik yang membesar bersama. Dia pernah menjadi pemalu tetapi dipengaruhi oleh keberanian Jerry, dia belajar menggunakan locengnya untuk memanggil obor-obor kecil untuk mendapatkan bantuan dan dia tidak pernah takut lagi. Kerana senjata rahsia yang paling kuat adalah kuasa keberanian dan persahabatan!",@Null@,Avatar: Buka kunci profil gambar Jessie,Tapak kaki: Meninggalkan kesan tapak kaki berbentuk ubur-ubur,@Null@,,,
125,Speedy Swirly,"Speedy Swirly ialah seorang yang tidak sabar dengan tenaga yang tidak berkesudahan yang tidak dapat dihentikannya walaupun untuk seketika. Dia suka mengumpul barang-barang kecil, jadi jika anda memerlukan apa-apa, cuma tanya Speedy Swirly! Dia mungkin hanya mempunyai apa yang anda perlukan.",@Null@,Avatar: Buka kunci profil gambar Speedy Swirly,Tapak kaki: Meninggalkan kesan tapak kaki berbentuk siput,@Null@,,,
126,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
127,Black Swan - Odette,"Realiti dan impian dipisahkan, siang dan malam mempunyai kewujudan tersendiri, dan saya, hanyalah diri saya sendiri.",@Null@,Avatar: Buka kunci profil gambar Angsa Hitam - Odette,Kesan badan: Dikelilingi bulu pelepah berwarna ungu,@Null@,,,
128,Frog Prince - Croak,"Tunggu sebentar lagi, dan anda mungkin memenuhi janji anda dengannya. #r Seorang penyelidik habitat paya, sentiasa melihat bola kecil keemasan dalam tapak tangannya untuk menggalakkan dirinya. Di paya basah ini, terletak harapannya yang membara.",@Null@,Avatar: Buka kunci profil gambar Putera Katak - Croak,Tapak kaki: Meninggalkan kesan tapak kaki berbentuk daun lotus,@Null@,,,
129,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
130,Puteri Salji Putih-Sophia,"Ini kawan baik saya, ada 7 orang. #rKedai mainan Sophia mempunyai banyak anak patung yang indah. Dia sering berbisik kepada anak patung itu seolah-olah mereka hidup. Bagi mendapatkan anak patungnya, anda tidak boleh menggunakan koin tetapi sebaliknya anda perlu menukarnya dengan sesuatu yang sangat penting untuk anda. Apakah itu?",@Null@,Avatar: Buka kunci avatar,Tapak kaki: Tinggalkan kesan tapak kaki berbentuk epal,@Null@,,,
131,Hansel,"Budak lelaki yang bertimbang rasa dan menjaga adiknya dengan baik. Dia dan kakaknya hilang di hutan tebal selama lebih dari sebulan, tetapi secara ajaib kembali bersama. Dia jarang menyebut pengalamannya di hutan tebal, tetapi dia telah membawa baguette sejak itu. Burung di bahu itu dikatakan telah diangkat ketika itu.",@Null@,Avatar: Buka kunci profil gambar Hansel,Tapak kaki: Meninggalkan kesan tapak kaki berbentuk roti,@Null@,,,
132,Gretel,"Gretel  mempercayai abangnya, suka mengumpul dan memasak, terutamanya pandai membakar dan membuat pencuci mulut. Dia mendakwa bahawa kemahiran ini dipelajari apabila dia hilang. Bagaimanakah dia mempelajari kemahiran ini di hutan tebal yang terbiar?",@Null@,Avatar: Buka kunci profil gambar Gretel,Tapak kaki: Meninggalkan kesan tapak kaki berbentuk bunga pic,@Null@,,,
133,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
134,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
135,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
136,Howl,"Siapa yang lebih tahu tentang kuasa emosi daripada saya? #r Sebagai bos Syarikat Happy Movers, Howl yang mesra boleh menggerakkan apa sahaja, dan perasaannya tercermin secara langsung pada ekspresinya. Jika anda melihat corak pada baju kurungnya berubah, jangan risau, itu hanya Howl bersiap sedia untuk melepaskan kuasa emosinya!",@Null@,Avatar: Buka kunci profil gambar Howl,Tapak kaki: Meninggalkan kesan tapak kaki berbentuk paw,@Null@,,,
137,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
138,Spring,"Adakah anda seronok mendengar bunyi hujan? #r Sebagai salah satu Pembawa musim, Spring ialah penyelidik ekologi Alpha Star, mewakili kuasa kelahiran semula. Dia seronok menunggang semanggi empat daun gergasinya, memanipulasi awan dan hujan. Walaupun berasa selesa meluangkan masa bersamanya, perangainya boleh berubah-ubah seperti cuaca semasa musim bunga. Sila kekalkan tutur kata yang lembut sebaik mungkin.",@Null@,Avatar: Buka kunci profil gambar musim bunga,Kesan badan: Rama-rama berterbangan sekitar anda!,@Null@,,,
139,Summer,"Bagaimanakah prestasi jalanan saya boleh dihentikan oleh cuaca ini? #r Selepas menjadi Pembawa musim, Musim Panas menjadi lebih terpesona oleh dunia luar, tidak terjejas oleh gelombang haba yang meletup yang kuat. Sama seperti angin musim panas, anda tidak dapat meramalkan sama ada ia akan menjadi angin sejuk atau ribut hujan batu pada saat berikutnya.",@Null@,Avatar: Buka kunci profil gambar musim panas,Tapak kaki: Meninggalkan kesan tapak kaki percikan air,@Null@,,,
140,Buah Musim Gugur,"Minum jus! Bukan saya yang mengawal musim, kuasa alam yang memilih saya. #r Tidak seperti Musim Panas dan Musim Sejuk yang tidak menentu, Autumn Fruit lebih suka kuasa menenangkan bumi yang tenang, menggunakannya dengan berhati-hati. Perjalanan ini bukan hanya untuk menyelamatkan rumah kita, tetapi untuk menegakkan tanggungjawab yang datang dengan kuasa saya.",@Null@,Avatar: Buka kunci profil gambar musim luruh,Kesan badan: Dikelilingi daun-daun maple!,@Null@,,,
141,Little Blue,"Little Blue is the Guardian Magic Fairy of the Magic Fairy Fortress, under the orders of the Magic Fairy Queen, she have infiltrated to the human world as a nanny within the Ling family, also the best friend and magic mentor og Maggi and Snowy.",@Null@,Avatar: Buka kunci profil gambar Biru Kecil,Tapak kaki: Meninggalkan kesan tapak kaki bunga kecil berwarna kuning,@Null@,,,
142,Fables,Pertukaran skin untuk Sakura,@Null@,Avatar: Buka kunci profil gambar Fables,Kesan badan: Dikelilingi arnab-arnab kecil!,@Null@,,,
143,Maggi,"Maggi ialah kakak kepada adik-beradik Ling, bidadari kecil dunia manusia. Soleh, optimistik, aktif dan baik dengan sentuhan kecerdasan. Kadang-kadang sombong, kadang-kadang nakal dan mempunyai bakat melukis, tetapi sangat tidak sabar dan tidak berminat untuk belajar.",@Null@,Avatar: Buka kunci profil gambar Maggi,Tapak kaki: Meninggalkan kesan tapak kaki bunga kecil berwarna biru,@Null@,,,
144,Snowy,"Snowy ialah adik perempuan Ling, bidadari kecil dunia manusia. Pemurah dan matang, pandai dan tenang, melakukan sesuatu dengan cara metodologi. Nikmati belajar dan membaca dengan hasil yang hebat dan sangat analitikal. Walaupun dia lebih muda, dia akhirnya menjadi orang yang menjaga kakak Maggi.",@Null@,Avatar: Buka kunci profil gambar Snowy,Tapak kaki: Meninggalkan kesan tapak kaki berbuih,@Null@,,,
145,Pangeran Hiburan,"Amusement adalah putera Magic Fairy Fortress, dengan rambut biru, dia meninggalkan kubu kerana salah faham dengan Magic Fairy Queen. Walaupun dia mungkin kelihatan keren di luar, dia sebenarnya adalah seorang abang yang baik hati yang dipenuhi dengan soleh dan sedikit kebanggaan.",@Null@,Avatar: Buka kunci profil gambar Putera Hiburan,Kesan badan: Dikelilingi bintang-bintang bersinar,@Null@,,,
146,Blossoms,"Sakura mekar di atas laluan, ketika pohon willow hijau tumbuh di tepi kolam, sambil burung walet berkicau, satu lagi tahun cinta yang hilang telah berlalu. #r Sebagai pewaris empayar berkebun, Blossoms menjaga katil bunga Nioh Star yang megah. Apabila musim bunga berakhir, dia menyentuh perlahan tanaman pasu itu dengan kilat dan berbisik: Sekiranya anda masih ada... semuanya akan menjadi lebih baik.",@Null@,Avatar: Buka kunci profil gambar Blossom,Kesan badan: Dikelilingi kelopak-kelopak bunga,@Null@,,,
147,Lightning,"Apa yang ada di sebalik awan yang anda minta, tidak lain hanyalah hujan, guruh, angin dan kilat dan pemikiran salji. #r Kilat seronok berjalan di antara awan. Dia menggunakan magiknya untuk terbang di atas langit, melihat seluruh bandar orang ramai yang bergegas meredah hujan dan salji. Pada masa ini, dia akan mengingati pertemuan di Nioh Star: wanita menawan itu dan katil bunga yang cantik di kampungnya",@Null@,Avatar: Buka kunci profil gambar petir,Tapak kaki: Titisan air ditinggalkan di mana sahaja anda berjalan.,@Null@,,,
148,Winter,"Tiada apa yang mengalahkan keindahan cahaya Utara di sini, selain anda. #r Pengembara bintang yang kesepian, dikutuk oleh binatang Void untuk melindungi tanah air mereka. Sebagai salah seorang Penjaga Musim, dia menawarkan diri menjadi askar untuk planet bintang, membawa kemarahan kepada musuhnya, terhadap sifat lembutnya. Ribut salji paling menakutkan yang pernah anda bayangkan.",@Null@,Avatar: Buka kunci profil gambar musim hujan,Tapak kaki: Alam semesta kecil ditinggalkan di mana sahaja anda berjalan.,@Null@,,,
149,Rarity,"Dia adalah diva Ponyville, cantik dan elegan, yakin dan penuh pesona, adalah seorang pereka fesyen yang genius dengan kedai fesyennya sendiri. Dia suka melihat kuda-kuda itu memakai kostum yang direka dan dibuatnya.",@Null@,Avatar: Buka kunci profil gambar Rarity,Kesan badan: Berlian kecil!,@Null@,,,
150,Applejack,"Applejack mempunyai kualiti yang baik iaitu jujur ​​dan suka menolong, sering menyokong dan melindungi rakan-rakannya. Dia bertanggungjawab terutamanya untuk menuai epal di Sweet Apple Kebun, dan anjing peliharaan Knire ialah pasangan baiknya. Applejack mewakili ""jujur"".",@Null@,Avatar: Buka kunci profil gambar Applejack,Kesan badan: Dikelilingi epal-epal kecil,@Null@,,,
151,Aladdin.,"""Kejar jejak Kushia, pergi ke khazanah Pasir Bulan, Aladdin ...""
Digunakan oleh ahli silap mata misteri, saya mendapat buku ajaib tanpa perkataan ""Seribu Satu Malam"" di Runtuhan Pasir Bulan yang penuh dengan perangkap. Dia bertekad untuk menentang, jadi dia memulakan perjalanan mencari khazanah Pasir Bulan.",@Null@,Avatar: Buka kunci profil gambar Aladdin,Kesan badan: Simbol misteri sedang melayang!,@Null@,,,
152,Pinokio,"Walaupun diperbuat daripada kayu, untuk merasa hangat, ia akan dengan rela merangkul api yang menyala.",@Null@,Avatar: Buka kunci profil gambar Pinokio,Tapak kaki: Tali leher busur ditinggalkan di mana sahaja anda berjalan.,@Null@,,,
153,Tasha,"Kehidupan adalah jam yang ketat, orang bosan dengan putarannya, tetapi ia takut ia akan berhenti pada saat yang terbaik.",@Null@,Avatar: Buka kunci profil gambar Tasha,Kesan badan: Dikelilingi bulu pelepah bersinar,@Null@,,,
154,Amy.,"Amy, Jessi dan Alyssa adalah kawan karib dan bersama-sama melawan Black Demon Lord. Deria bau Amy sangat sensitif. Selepas menjadi dongeng sihir, sering dikesan musuh dengan deria baunya, yang banyak membantu. Walaupun dia lemah lembut, mudah menangis, tetapi dia lebih keras daripada rupanya dan sangat tenang apabila ditimpa masalah.",@Null@,Avatar: Buka kunci profil gambar Amy,Tapak kaki: Kesan bintang ditinggalkan di mana sahaja anda berjalan.,@Null@,,,
155,Jessi.,"Amy, Jessi dan Alyssa adalah kawan karib dan bersama-sama melawan Black Demon Lord. Jessi sensitif kepada warna, dan imaginasinya mengatasi orang biasa. Dia seorang genius lukisan yang jarang ditemui. Walaupun dia jarang bercakap tetapi dia sangat baik, walaupun personalitinya agak gigih dan degil.",@Null@,Avatar: Buka kunci profil gambar Jessi,Kesan badan: Dikelilingi glamour merah jambu,@Null@,,,
156,Alyssa.,"Alyssa ialah Puteri Kerajaan Sihir Kubu Coior. Dia mempunyai rambut perang yang cantik, dengan ekor kuda berganda, memakai mahkota. Wataknya meriah dan ceria, suka bercakap dan mencabar, tidak takut, tetapi juga impulsif. Melukis dengan warna ajaib apabila dia tidak gembira.",@Null@,Avatar: Buka kunci profil gambar Alyssa,Kesan badan: Dikelilingi tenaga magis,@Null@,,,
157,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
158,Vampiric Magician Lotte,"“Satu wisel, burung hantu bulu salji terbang, berhenti di bahu remaja itu.
Remaja berkulit putih pucat itu mengambil surat dari burung hantu, mengenyitkan mata hijaunya, dia memiringkan kepalanya untuk bertanya,
""Adakah anda melihatnya vampire yang tahu magik?""",@Null@,Avatar: Buka kunci profil gambar Vampiric Magician Lotte,Kesan badan: Dikelilingi bintang-bintang ajaib,@Null@,,,
159,Lunar Fairy,@Null@,@Null@,Avatar: Buka kunci profil gambar Bidadari Lunar,Kesan badan: Dikelilingi bunga dan gambaran arnab putih,@Null@,,,
160,Jade,"Pes teratai atau pes jujube? kustard atau matcha? Kami punya segalanya!
Kue bulan kecil, di kulit luarnya yang bundar, terletak magik di dalamnya, penuh kejutan.
Wanita ini akan memancarkan kreativiti tanpa batas, membawa makanan penutup gaya Cina ke tingkat yang sama sekali baru yang pasti akan menjadi trend di seluruh alam semesta! Dan Anda, siap menerima rasa syurga yang manis ini?",@Null@,Avatar: Buka kunci profil gambar Jade,Kesan badan: Dikelilingi rama-rama kecil,@Null@,,,
161,Trumpeter Nita,"Nita pada asalnya adalah anak patung arnab porselin di taman rumah Roselle. Dia menyaksikan situasi di mana Roselle cuba berlatih sihir di taman setiap malam kerana dia merindui ibunya, dan dia diberi kehidupan dengan sihir. Merentasi hutan dan menolak duri, dia hanya mahu membiarkan taman ajaib itu mekar semula.",@Null@,Avatar: Buka kunci avatar.,Kesan badan: Simbol muzik mengelilingi badan!,#cda5b0aDapat dari Pek Impian sahaja#n,,,
162,Drummer Nick,"Nick dan kakaknya Nita adalah sepasang perhiasan seramik arnab yang diberikan konduktor ke taman rumah Roselle. Tidak seperti Nita yang ingin tinggal di taman, Nick secara diam-diam merasakan dia lebih pentingkan konduktor dan mahu kembali ke orkestra.",@Null@,Avatar: Buka kunci avatar.,Kesan badan: Simbol muzik mengelilingi badan!,#cda5b0aDapat dari Pek Impian sahaja#n,,,
163,Dragonbell,@Null@,@Null@,Avatar: Buka kunci profil gambar Dragonbell,Tapak kaki: Roti kukus ditinggalkan di mana sahaja anda berjalan.,@Null@,,,
164,Nineteen,"Hei, dia kelihatan seperti kanak-kanak, tetapi dia adalah seorang Master yang sebenarnya. Dengan kehadiran Master Wanli dan adik-beradiknya, tindakan pembunuh ""Flying Dragon"" tidak akan terbongkar dengan mudah. Sudah tentu, saya masih paling suka bermain permainan dengan abang-abang saya! Jika awak kalah... saya akan menangis untuk awak!",@Null@,Avatar: Buka kunci profil gambar Nineteen,Kesan badan: Kepala dikelilingi partikel tenaga,@Null@,,,
165,Sweetheart Teddy,"Kelembutan gula-gula dan ketegaran gula-gula keras semuanya dari segi pewarisan. Hanya dengan kelembutan di tengah, lembut dan keras dalam pakej, dari segi inovasi, Sweetheart Teddy adalah yang terbaik. Seribu perkataan, hati beruang kecil adalah yang paling manis.",@Null@,Avatar: Buka kunci avatar.,Tapak kaki: Gula-gula ditinggalkan dan tapak kaki beruang di mana sahaja anda berjalan.,#cda5b0aDapat dari Pek Impian sahaja#n,,,
166,Dreamy,"Menguap adalah tindakan khas saya. Semua orang memanggil saya seorang pemimpi siang hari. Matahari, bintang, dan bulan semuanya ada dalam bantal lembutku. Pakai penutup mata dan segera tertidur. Siang dan malam, datang dan bermimpi bersama saya!",@Null@,Avatar: Buka kunci avatar.,Tapak kaki: Buih mengambang ditinggalkan di mana sahaja anda berjalan.,#cda5b0aDapat dari Pek Impian sahaja#n,,,
167,Polly,"Apabila kabus kehidupan tersingkap, beranikah kamu mendekati, pintu tersorok yang menyembunyikan kebenaran?
Dia adalah ratu istana yang memerintah pasukan itu, dan seorang gadis teknologi yang dipenjarakan di rumah. Kamu dengar tak? Sambil dia berteriak dengan kuat: ""Orang yang membelenggu saya pasti akan menjadi orang yang rugi di bawah pakaian saya!""",@Null@,Avatar: Buka profil gambar Polly,Tapak kaki: Buih bercahaya ditinggalkan di mana sahaja anda berjalan.,@Null@,,,
168,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
169,Siren,"Semasa burung berkicauan dan menari, kerana ia berkaitan dengan sesuatu tentang hati orang. apabila masa berlalu, dan angin sepoi-sepoi, adakah penguasa dunia akan muncul. Dia memahami takdir dan kepercayaannya. Kerana perkara yang perlu dijaga itu lebih berharga daripada emas dan perhiasan.",@Null@,Avatar: Buka kunci avatar,Kesan badan: Dikelilingi dedaun emas ginkgo,#cda5b0a Interaksi: Anda boleh mencetuskan tindakan interaktif dengan Sky Marquis! #n,,,
170,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
171,Sky Marquis,"Maharaja yang terperangkap dalam mimpi ngeri sedang bergelut untuk mencari kegemilangan yang berlarutan. Sehingga, dia mendengar tangisan... Adakah awak dengar nyanyian itu...? Ikut untuk terus hidup!",@Null@,Avatar: Buka kunci profil gambar Sky Marquis,Kesan badan: Dikelilingi tenaga partikel berwarna cyan!,#cda5b0a Interaksi: Anda boleh mencetuskan tindakan interaktif dengan Siren! #n,,,
172,Yuer,"Tarian, kipas nyanyian, bulu pakaian neon,
Suka kipas dan pakaian saya?
Cari sahaja gadis ini!",@Null@,Avatar: Buka kunci profil gambar Yuer,Kesan badan: Dikelilingi bunga berwarna hijau!,,,,
173,Zhili,"Semua manusia dilahirkan dengan sifat yang baik. Dan apabila kita membesar, kita mula berbeza.
Bagi saya, tidak bagus sama sekali untuk melawan dan kalah.",@Null@,Avatar: Buka kunci profil gambar Zhili,Kesan badan: Dikelilingi karakter abjad cina!,,,,
174,Casper,"Tanglung genggam, dengan gagak di bahumu, siapa penjaga malam?
Tubuh dikurniakan keupayaan untuk menyuraikan kegelapan, tetapi hanya mendambakan tidur yang tenang dan nyenyak.
Jika seseorang tidak baik, biarkan dia mencuba saya!",@Null@,Avatar: Buka kunci profil gambar Casper,Tapak kaki: Api hitam ditinggalkan di mana sahaja anda berjalan.,@Null@,,,
175,Olivia,"Malam dihiasi dengan benang, tiada siapa yang berebut jambangan. Bunga abadi yang tidak hidup atau mati, tidak layu atau layu, bolehkah anda memberitahu saya, adakah orang yang menyelamatkan saya telah menaikkan burung gagak?",@Null@,Avatar: Buka kunci profil gambar Olivia,Tapak kaki: Bunga ros ditinggalkan di mana sahaja anda berjalan.,@Null@,,,
176,Yuna,Berubah menjadi kucing hitam comel malam ini dan pergi kepada manusia untuk melaksanakan hak ahli sihir ini!,@Null@,Avatar: Buka kunci profil gambar Yuna,Kesan badan: Dikelilingi kelawar misteri!,@Null@,,,
177,Andrew,"Ketika malam tiba, kegelapan secara perlahan menyelubungi dunia. Labah-labah membentuk sarang, kelawar mengembara, saya adalah Roh Halloween yang misteri dan kacak.",@Null@,Avatar: Buka kunci profil gambar Andrew,Kesan badan: Dikelilingi kelawar misteri!,@Null@,,,
178,Ejen Binatang Wolf Silver,"Wolf Silver dilahirkan dalam klan White Wolf, dilahirkan tangkas, tenang, dan tegas. Dia adalah ahli Organisasi Ejen Khas High Manda Star-""Serangan Binatang"". Senjata yang digunakan oleh perlanggaran itu ialah pistol yang dibuat semula dengan bantuan Mecha Meow. Dalam pasukan, dia bertindak sebagai penyerang dalam pertarungan pertengahan hingga dekat. Drone yang biasanya tersembunyi di dalam sarung tangan boleh digunakan untuk membantu serangan.",@Null@,Avatar: Buka kunci profil gambar Extreme Beast Agent Wolf Silver,Tapak kaki: Ikon ejen ditinggalkan di mana sahaja anda berjalan.,@Null@,,,
179,Puteri Soul.,"Nama sebenar ialah Hua Ling, dan kebanyakan orang dipanggil Jiwa Puteri. Dia adalah dewi yang menjaga kehidupan. Dia tinggal di kuil bunga yang indah dan cantik, menghormati kehidupan dan jiwa. Menjaga makhluk dunia dengan kasih sayang bukan sahaja memberi orang rasa keintiman di luar, tetapi juga sangat lembut di dalam.",@Null@,Avatar: Buka kunci profil gambar  Princess Soul,Kesan badan: Terdapat bunga dan rama-rama yang terapung di atas badan!,@Null@,,,
180,Dragonsky.,"Gadis naga pendiam Fairyland, tetapi mempunyai hati yang penuh imaginasi dan mendambakan kebebasan. Secara kebetulan, bertemu Scaly, si naga kecil, dan menjadi sahabat untuk bertukar-tukar makanan ringan. Saya mendapat banyak pengetahuan tentang dunia luar daripada Scaly, dengan harapan dapat berguna suatu hari nanti.",@Null@,Avatar: Buka kunci avatar.,Tapak kaki: Meninggalkan tapak kaki di mana sahaja anda berjalan.,#cda5b0aDapat dari Pek Impian sahaja#n,,,
