ID,名字,描述,购买提示,特别效果1描述,特别效果2描述,特别效果3描述,特别效果4描述,特别效果5描述,特别效果6描述
103,Moyan,"Io sono il signore del fuoco. Infuocare qualsiasi cosa con i miei passi, è il mio credo.",@Null@,Effetti speciali: Aura del re dei demoni.,Avatar: sblocca l'avatar di Moyan.,@Null@,#cd65b00Deformazione: fai clic sul pulsante Deformazione a sinistra per cambiare la forma mucca / umanoide! #n,#cd65b00Fiamma Magica Abilità Esclusiva: Bull Power! #n,
104,Lingyao,"Le leggende narrano che all'interno del palazzo del Dio del Vento,  vive una bellissima ed elegante signora. Oh! questa potrei essere io.",@Null@,Effetti speciali: Fiori d'oro.,Avatar: sblocca l'avatar di Lingyao.,@Null@,,,
105,Ash,"Ash si assicura che la sua apparenza è sempre in condizioni perfette ogni mattina, per abbinare il carattere nobile del suo unicorno. Recentemente, molti hanno gli occhi sull'unicorno, Ma non darà mai il suo prezioso regalo di compleanno dato da Wolf a nessuno!",@Null@,Footprint: lasciando impronte scia di Cappuccetto Rosso,Avatar:unlock profile picture,@Null@,,,
106,Cool Mini,"Un istruttore di Mini Coding, dotato di poteri magici della programmazione.",Ottenuto in Gashapon,Effetti speciali: Particelle fantascientifiche.,Avatar: sblocca l'avatar di Cool Mini.,Impronte: Impronte.,,,
107,Wolf,"Condivido un segreto con te...La nonna lupo é reale! La favola preferita di Wolf e Ash. Oggi, vestito con il suo costume da lupo e con il grembiulone della nonna come il Lupo Cattivo, va a fare uno scherzo come tutti i giorni. Finché tutti sono dannati, perché non creare la nostra fiaba!",@Null@,Impronte: orme di lupo.,Avatar: sblocca l'avatar di Wolf.,@Null@,,,
108,Fata Celestiale - Ya,"La prosperità del mondo celeste ha attratto gli occhi di Ya. Armata del suo strumento musicale a quattro corde, lei viaggia per il mondo, scrivendo melodie, dalla magica calma, capaci di allettare chiunque!",@Null@,Effetti speciali: particelle luccicanti.,Avatar: sblocca l'avatar di Ya.,@Null@,,,
109,Dragon Prince - Song,"Dopo una permanenza costellata di dolori nel mondo dei mortali, decide di seguire il suo cuore e ritornare nel Mondi Celeste con i suoi amici draghi, molto lontano dal mondo dei mortali.",Sblocca dall'evento,Avatar: Sblocca l'avatar di Song.,Impronta: lascia l'impronta del drago quando passa,@Null@,,,
110,Roselle,"Nelle notti estive, il giardino magico è in possesso di una grande palla. Roselle fu sorpreso di scoprire che il blu che era apparso nel suo sogno stava camminando verso il centro del palcoscenico. Quello che è venuto con lui era lo stesso dei petali caduti che ha trovato l'ortensia blu-blu.",@Null@,Avatar: sblocca l'avatar di Cenerentola.,Impronte: Lasciando rose rosa orma ovunque vada,@Null@,,,
111,Tangerine Tabby,"""Un genio gastronomico, io voglio solamente mangiare il cibo di tutto il mondo! Anche se ci sono tantissime prelibatezze in questo mondo la mia preferita rimane il sapore del Taiyaki cucinato dai miei genitori.""- Questo è ciò che Tangerine Tabby disse dopo l'intervista al Mini Daily",Sbloccato confezioni regalo o evento,Avatar: Sblocca l'avatar di Tabby.,Impronte: lascia impronte a forma di fiore ovunque egli vada,@Null@,,,
112,Ortensia Charles,"La palla fuori dal palazzo è colorata come stelle e fuochi d'artificio. Quando il principe Carlo ha visto Roselle, non riusciva a nascondere la sua gioia interiore, e accuratamente tirò fuori le delicate rose che ha raccolto.",Pass stagionale,Avatar: sblocca l'avatar di Charles.,Effetti del corpo: particelle blu che galleggiano intorno a te,@Null@,,,
113,Bubbles,"""Hai mai sentito la leggenda del Mare Blu?"" Il ben informato Bubbles è un esploratore nato che ama osservare il mondo attraverso le bolle e trova dettagli che nessuno vede oltre a lui.",Sbloccato confezioni regalo o evento,Avatar: Sblocca l'avatar di Bubbles.,Impronte: egli lascia impronte simili a delfini ovunque vada,@Null@,,,
114,Fiore Dewie,Primo scambio di skin per Xiaolou,@Null@,Avatar: Sblocca l'avatar.,Effetti del corpo: particelle di fiori che galleggiano intorno a te,@Null@,,,
115,Principessa Gelo.,"Una principessa che è stata intorno dalla nascita del paese delle meraviglie di Yeloli, vivendo in un palazzo cristallino ghiacciato, la dea del gelo e del ghiaccio. A causa della sua gelida personalità fredda, non ha mai avuto amici, ma il suo cuore è puro e gentile, non può sopportare di ferire nessuno.",@Null@,Avatar: immagine del profilo di sblocco,Effetti del corpo: cristalli di ghiaccio che fluttuano intorno a te,@Null@,,,
116,Rory.,"Una principessa di Yeloli Wonderland, ha i poteri magici di guarigione e amore. Dopo essere stato trasformato in una bambola dalla regina, si è incontrata con un principe che hanno fatto un patto insieme e riacquistò la sua forma e poteri magici. Un tipo felice-go-fortunato che ama le fragole.",@Null@,Avatar: immagine del profilo di sblocco,Effetti del corpo: particelle di cuore che galleggiano intorno a te,@Null@,,,
117,Shimmer leggero,"Proprio come la luce, la sua forma è determinata da quella che la convoca, simile all'esistenza di un'ombra, il suo vero sé deve ancora sapere che portano al suo profondo desiderio di libertà.",@Null@,Avatar: immagine del profilo di sblocco,Effetti del corpo: particelle dorate che fluttuano intorno a te,@Null@,,,
118,Cinderella,"Con il potere dell'immaginazione, i miracoli non sono impossibili è il motto di Cenerentola ottimista. Anche mentre facciamo delle faccende, si immagina di essere una bella principessa da favola, e la sua fata amico trasformano la sua immaginazione in realtà durante la palla reale.",@Null@,Avatar: immagine del profilo di sblocco,Impronte: lasciando l'impronta rosa delle rose ovunque vada,@Null@,,,
119,Princess Soul.,"Un membro del padiglione lingxi, fata a livello di santo, delicato e amichevole, vive al tempio dei fiori mentre li adora e ama tutta la vita e l'anima, custodendo il mondo con tutto il suo amore e il suo cuore.",@Null@,Avatar: immagine del profilo di sblocco,Impronte: lascia un impronta di cristallo talloni,@Null@,,,
120,Dragonian - Scala,"Scaly non ha mai lasciato gli oceani: A causa delle storie di Nazha, ha sviluppato una fobia delle terre. In questa avventura, diventa molto più coraggioso e scopre che le terre non sono così spaventose mentre pensava. Tutti questi sono solo un test da parte di suo padre per fargli diventare un successore delle acque da surf.",@Null@,Avatar: immagine del profilo di sblocco,Effetti corpo: magici cristalli di ghiaccio che galleggiano sul corpo.,@Null@,,,
121,Meow Meow.,"Cosa intendi per cui sono piccolo! Fai un'ipotesi a quando questo osso di pesce apparirà nel tuo divano? Lively and Free, Meow Meow piace mostrare le sue abilità da gingizzazione con le ossa di pesce. Non essere confuso dalle sue simpatiche apparenze, poiché è il famigerato re di malizia.",@Null@,Avatar: immagine del profilo di sblocco,Impronte: lascia un impronta di testa di gatto,@Null@,,,
122,Cigno Bianco - Odette,"Mentre il giorno incontra la notte, i sogni e la realtà attraversa il percorso. Ma chi sono tra tutti questi?",@Null@,Avatar: immagine del profilo di sblocco,Effetti del corpo: piume di cigno bianco che galleggiano intorno a te!,@Null@,,,
123,Cecil.,"Uno degli otto membri del Padiglione di Lingxi, vive nei terreni santi del paese delle meraviglie di Yeloli - quattro orologi, con il potere di controllare il tempo e innumerevoli identità. Con i capelli lunghi d'argento e gli occhi come le galassie, nobili ed eleganti, mantengono calmo e continuano.",@Null@,Avatar: immagine del profilo di sblocco,Impronte: lascia un impronta d'orologio,@Null@,,,
124,Jessie.,"Jessie e Jerry sono bestiame che sono cresciuti insieme. Erava timida ma influenzata dal Bravado di Jerry, ha imparato a usare le sue campane per convocare le piccole meduse per chiedere aiuto e non avrebbe mai avuto paura. Perché l'arma segreta più potente è il potere del coraggio e dell'amicizia!",@Null@,Avatar: immagine del profilo di sblocco,Impronte: lascia un'impronta di meduse,@Null@,,,
125,Speedy Swirly.,"Speedy Swirly è un compagno impaziente con energia infinita che non poteva fermarne anche per un momento. Gli piace raccogliere piccole piccole cose, quindi se hai avuto bisogno di qualcosa, basta chiedere velocemente Swirly! Potrebbe avere solo ciò di cui hai bisogno.",@Null@,Avatar: immagine del profilo di sblocco,Impronte: lascia un impronta di lumaca,@Null@,,,
126,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
127,Cigno nero - Odette,"La realtà e i sogni separati, giorno e notte hanno la loro esistenza unica, e io, sono solo me stesso.",@Null@,Avatar: immagine del profilo di sblocco,Effetti del corpo: piume viola galleggianti intorno a te,@Null@,,,
128,Principe Rana - Creak,"Aspetta un po 'di più, e potresti soddisfare la tua promessa con lei. #R Un ricercatore dell'habitat della palude, guardando sempre la piccola palla dorata all'interno dei suoi palmi per incoraggiarsi. In questa palude bagnata, si trova la sua Simmering Spero.",@Null@,Avatar: immagine del profilo di sblocco,Impronte: lascia un impronta di foglia di loto,@Null@,,,
129,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
130,Biancaneve - Sophia,"Questi sono i miei migliori amici, per un totale di 7 di loro. Il negozio di giocattoli di #R Sophia ha molte bambole squisite. Spesso sussurra per le bambole come se fossero vivi. Per ottenere le sue bambole, non puoi usare i soldi ma invece devi scambiarlo con qualcosa di molto importante per te. Cosa può essere?",@Null@,Avatar: immagine del profilo di sblocco,Impronte: lascia un impronta di mele,@Null@,,,
131,Hansel.,"Il ragazzo che era premuroso e si prendeva cura di sua sorella. Lui e sua sorella furono perse nella fitta foresta per più di un mese, ma miracolosamente tornò insieme. Raramente ha menzionato la sua esperienza nella foresta densa, ma da allora ha portato la baguette. Si diceva che l'uccello sulla spalla sia stato raccolto in quel momento.",@Null@,Avatar: immagine del profilo di sblocco,Impronte: lascia un impronta di pane,@Null@,,,
132,Gretel.,"Gretel si fida molto di suo fratello, ama la raccolta e la cucina, soprattutto bene a cuocere e fare dessert. Lei sostiene che queste abilità sono apprese quando è persa. Come ha imparato queste abilità nella foresta densa deserta?",@Null@,Avatar: immagine del profilo di sblocco,Impronte: lascia un'impronta di un fiore di pesca,@Null@,,,
133,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
134,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
135,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
136,Uluco,"Chi sa di più sul potere delle emozioni di me? #R Come il capo della compagnia felice dei movers, amichevole ulule può muovere qualsiasi cosa, e il suo umore si riflette direttamente sulla sua espressione. Se vedi il modello sul suo cambio di brace, non preoccuparti, è solo ululato che si prepara a scatenare il potere delle sue emozioni!",@Null@,Avatar: immagine del profilo di sblocco,Impronte: lascia un impronta di testa di zampa,@Null@,,,
137,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
138,Primavera,"Ti piace ascoltare il suono della pioggia? #r come uno degli automobili delle stagioni, la primavera è un ricercatore ecologico
di Alpha Star, rappresenta il potere della rinascita. Si gode di cavalcare il suo gigantesco trifoglio di quattro foglie, manipolando le nuvole e la pioggia. Sebbene si senta a tuo agio a passare il tempo con lei, il suo temperamento può essere volatile simile ai weather durante la primavera. Si prega di mantenere il più convenzionato il più possibile.",@Null@,Avatar: immagine del profilo di sblocco,Effetti del corpo: le farfalle fluttuano intorno a te,@Null@,,,
139,Estate,"Come può essere fermata la mia performance stradale da questo tempo? #R Dopo essere diventato i portatori di stagioni, l'estate diventa più aggrovigliata dal mondo oltre, inalterato dalla forte esplosione di heatwave. Proprio come la brezza estiva, non puoi prevedere se sarà una brezza fresca o una tempesta di grandine nel momento successivo.",@Null@,Avatar: immagine del profilo di sblocco,Impronte: lascia un'interruzione d'acqua fuorgint,@Null@,,,
140,Frutta autunnale,"Avere del succo! Non sono io che controlla la stagione, il potere della natura mi ha scelto. #R A differenza dell'estate volatile e dell'inverno, la frutta autunnale preferisce il potere calmante silenzioso della terra, usandolo con parsimonia. Questo viaggio non è solo per salvare le nostre case, ma per sostenere le responsabilità che viene fornito con i miei poteri.",@Null@,Avatar: immagine del profilo di sblocco,Effetti del corpo: foglia d'acero che galleggia intorno al corpo!,@Null@,,,
141,Little Blue.,"Little Blue è la fata magica custode della fortezza della fata magica, sotto gli ordini della magia della regina delle fate, si è infiltrata al mondo umano come una bambinaia all'interno della famiglia Ling, anche il miglior amico e il mentore magico OG Maggi e nevoso.",@Null@,Avatar: immagine del profilo di sblocco,Footprint: lasciare un piccolo impronta di fiori gialli.,@Null@,,,
142,Favole,Swap della pelle per Sakura,@Null@,Avatar: immagine del profilo di sblocco,Effetti del corpo: conigli che fluttuano intorno al corpo!,@Null@,,,
143,Maggi,"Maggi è la sorella maggiore delle sorelle del Ling, una piccola fata magica del mondo umano. Giusto, ottimista, attivo e gentile con un tocco di spirito. A volte arrogante, altre volte maliziose e con un talento per la pittura, ma molto impaziente e non desideroso di studiare.",@Null@,Avatar: immagine del profilo di sblocco,Footprint: lasciare un piccolo impronta di fiori blu.,@Null@,,,
144,Nevoso,"La nevosa è la sorella minore delle sorelle di Ling, una piccola fata magica del mondo umano. Generoso e maturato, intelligente e calmo, fa le cose in modo metodologico. Goditi lo studio e la lettura con grandi risultati e molto analitico. Sebbene sia più giovane, finisce per essere quella che si prende cura della sorella maggiore Maggi.",@Null@,Avatar: immagine del profilo di sblocco,Footprint: lasciare un impronta a bolle,@Null@,,,
145,Principe divertimenti,"Il divertimento è il principe della fortezza di fata magica, con i capelli blu, lasciò la fortezza a causa di un malinteso con la regina della fata magica. Sebbene possa sembrare fresco all'esterno, in realtà è un fratello molto caldo pieno di giustizia e un po 'di orgoglio.",@Null@,Avatar: immagine del profilo di sblocco,Effetti del corpo: stelle che brillano intorno al corpo!,@Null@,,,
146,Blossoms.,"Sakura fiorisce sul sentiero, mentre il salice verde cresce accanto allo stagno, come il cinghiale ingoli, ancora un altro anno di amore scomparso era passato. #R come ereditore di un impero da giardinaggio, i fiori guardano attentamente i maestosi aiuole della Nioh Star. Mentre la stagione dei fiori finisce, tocca delicatamente la pianta in vaso con un fulmine e sussurrò: se solo tu fossi ancora in giro ... tutto sarebbe stato meglio.",@Null@,Avatar: immagine del profilo di sblocco,Effetti del corpo: fluttuante con petali attorno al corpo!,@Null@,,,
147,Fulmine,"Ciò che giace oltre le nuvole hai chiesto, nient'altro che pioggia, tuono, vento e fulmine e i pensieri della neve. #R Lightning gode di camminare tra le nuvole. Spesso usa la sua magia per volare in cima ai cieli, osservando attraverso l'intera città di persone che si spingono attraverso la pioggia e la neve. In questo momento, ricorderà un incontro sulla Nioh Star: quella affascinante signora e i beautful aiuole letti della sua città natale.",@Null@,Avatar: immagine del profilo di sblocco,Footprint: lascia l'impronta della goccia d'acqua.,@Null@,,,
148,Inverno,"Niente batte la bellezza delle luci settentrionali qui, oltre a te. #R I viaggiatori solitari solitari, maledetti dalla Beast Void per proteggere la loro patria. Come uno dei guardiani della stagione, si è offerto volontario per diventare un'arma per il pianeta della stella, portando l'ira sui suoi nemici, contro la sua dolce natura. La tempesta di Blizzard più terrificante che puoi mai immaginare.",@Null@,Avatar: immagine del profilo di sblocco,Footprint: lascia un piccolo impronta di universo.,@Null@,,,
149,Rarità,"Lei è la Diva di Ponyville, bella ed elegante, fiduciosa e piena di fascino, è un designer di moda geniale con il suo negozio di moda. Le piace vedere i pony che indossano i costumi che ha progettato e fatto.",@Null@,Avatar: immagine del profilo di sblocco,Effetti fisici: un piccolo diamante!,@Null@,,,
150,Applejack,"Applejack ha una buona qualità di essere onesti e utili, spesso supporta e protegge i suoi amici. È principalmente responsabile della raccolta di mele nel dolce giardino di mele e il nocciolo del cane è il suo buon partner. Applejack rappresenta ""onesto"".",@Null@,Avatar: immagine del profilo di sblocco,Effetto corpo: piccola mela che galleggia intorno al corpo!,@Null@,,,
151,Aladdin.,"""Perseguire il sentiero di Kushia, vai al tesoro della sabbia lunare, Aladdin ...""
Utilizzato dal misterioso mago, ho ottenuto il libro magico senza parole ""un migliaio di una notte"" nella rovina della sabbia lunare piena di trappole. È determinato a resistere, così ha intrapreso un viaggio di cercare i tesori della sabbia lunare.",@Null@,Avatar: immagine del profilo di sblocco,Effetto corpo: simboli misteriosi che fluttuano intorno al corpo!,@Null@,,,
152,Pinocchio.,"Anche se fatto di legno, per sentirsi caldo, abbraccerà volentieri le fiamme ardenti.",@Null@,Avatar: immagine del profilo di sblocco,Footprint: lascia un impronta di bowtie.,@Null@,,,
153,Tasica,"La vita è l'orologio stretto, le persone sono stanche della sua rotazione, ma ha paura che si fermerà nel momento migliore.",@Null@,Avatar: immagine del profilo di sblocco,Effetti del corpo: piume brillanti che fluttuano attorno al corpo!,@Null@,,,
154,Amy,"Amy, Jessi e Alyssa sono bestiame e insieme combattono contro il Signore Demone nero. Il senso dell'olfatto di Amy è particolarmente sensibile. Dopo essere diventato la fata magica, spesso ha rilevato il nemico con il suo senso dell'olfatto, che aiuta molto. Anche se lei è delicata, piange facilmente, ma lei è più dura di quanto lei sembra e molto calma quando i problemi la trovano.",@Null@,Avatar: immagine del profilo di sblocco,Footprint: lascia un ingombro di una scia di stelle.,@Null@,,,
155,Jessi,"Amy, Jessi e Alyssa sono bestiame e insieme combattono contro il Signore Demone nero. Jessi è sensibile ai colori e la sua immaginazione supera la gente comune. È un raro genio di pittura. Anche se raramente parla molto, ma è molto gentile, anche se la sua personalità è un po 'persistente e testardo.",@Null@,Avatar: immagine del profilo di sblocco,Effetto corpo: glamour rosa che galleggia intorno al corpo!,@Null@,,,
156,Alyssa.,"Alyssa è la principessa del Regno magico del Fort Coior. Ha un bel pelo biondo, con una doppia coda di cavallo, che indossa una corona. Il suo personaggio è vivace e allegro, ama parlare e avventuroso, senza paura, ma anche impulsivo. Dipinge con colori magici quando lei non è felice.",@Null@,Avatar: immagine del profilo di sblocco,Effetti del corpo: energia magica che galleggia intorno al corpo!,@Null@,,,
157,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
158,Vampirico Mago Lotte.,"Un fischio, il gufo della piuma di neve volò, si fermò nelle spalle dell'adolescente.
L'adolescente della pelle bianca pallida prende la lettera dal gufo, ammiccando i suoi occhi verdi, inclinò la testa per chiedere,
""L'hai visto un vampiro che conosce la magia?""",@Null@,Avatar: immagine del profilo di sblocco,Effetti del corpo: stelle magiche che fluttuano intorno a te!,@Null@,,,
159,Fata lunare,@Null@,@Null@,Avatar: immagine del profilo di sblocco,Effetti del corpo: fiori e coniglietti bianchi Stampa che fluttuano intorno a te!,@Null@,,,
160,Giada,"Pasta di loto o incolla jujube? Crema pasticcera o matcha? Abbiamo tutto!
Piccole torte della luna, nella sua pelle esterna rotonda, si trova meraviglie all'interno, piena di sorprese.
Questa signora chef misterà creatività illimitata, portando dessert in stile cinese a un livello completamente nuovo che è destinato a tendere attraverso l'universo! E tu, pronto ad accettare questo dolce sapore celeste?",@Null@,Avatar: immagine del profilo di sblocco,Effetti del corpo: piccole farfalle che fluttuano intorno a te!,@Null@,,,
161,Trombettista Nita.,"Nita era originariamente una bambola di coniglio in porcellana nel giardino della casa di Roselle. Ha assistito alla situazione in cui Roselle ha cercato di praticare la magia in giardino ogni notte perché mancava sua madre, e lei ha dato la vita per magia. Attraversando la giungla e spingeva via le spine, voleva solo lasciare che il giardino magico fiorisca di nuovo.",@Null@,Avatar: immagine del profilo di sblocco,Effetti del corpo: Note musicali che fluttuano intorno a te!,#cda5b0a è limitato all'uscita della confezione regalo Dream Building #n,,,
162,Drummer Nick.,"Nick e sua sorella Nita sono un paio di ornamenti in ceramica coniglio che il conduttore ha dato al giardino della casa di Roselle. A differenza di Nita che vuole stare in giardino, Nick si sente segretamente che è più importante per il conduttore e vuole restituire all'orchestra.",@Null@,Avatar: immagine del profilo di sblocco,Effetti del corpo: Note musicali che fluttuano intorno a te!,#cda5b0a è limitato all'uscita della confezione regalo Dream Building #n,,,
163,Dragonbell.,@Null@,@Null@,Avatar: immagine del profilo di sblocco,Impronte: le impronte a vapore sono lasciate ovunque tu vada.,@Null@,,,
164,Diciannove,"Ehi, sembra un bambino, ma è un vero maestro. Con la presenza di Master Wanli e dei suoi fratelli, la mossa Killer ""volante drago"" non sarà rivelata facilmente. Abbastanza sicuro, mi piace ancora giocare con i miei fratelli di più! Se perdi ... piangerò per te!",@Null@,Avatar: immagine del profilo di sblocco,Effetti del corpo: particelle energetiche galleggianti sulla testa!,@Null@,,,
165,Sweetheart Teddy.,"La morbidezza delle caramelle morbide e la rigidità delle caramelle dure sono tutte in termini di eredità. Solo con morbidezza nel mezzo, morbido e duro nel pacchetto, in termini di innovazione, l'orso di caramelle è il migliore. Mille parole, il cuore del piccolo orso è il più dolce.",@Null@,Avatar: immagine del profilo di sblocco,Impronte: Le caramelle saranno lasciate cadere e orso impronte saranno lasciate ovunque tu cammini.,#cda5b0a è limitato all'uscita della confezione regalo Dream Building #n,,,
166,Sognante,"Sbadigliando è la mia azione di firma. Tutti mi chiama un giorno sognatore. Il sole, le stelle e la luna sono tutti nel mio morbido cuscino. Metti sulla benda e si addormenta immediatamente. Giorno e notte, vieni a sognare con me!",@Null@,Avatar: immagine del profilo di sblocco,Effetti del corpo: bolle assonnate che galleggiano sul corpo!,#cda5b0a è limitato all'uscita della confezione regalo Dream Building #n,,,
167,Polly.,"Quando le nebbie della vita sono scoperte, hai il coraggio di avvicinarsi, la porta nascosta che nasconde la verità?
È la regina ""del castello che ha comandato la squadra e una ragazza tecnologica che fu imprigionata a casa. L'hai sentito? Mentre grida ad alta voce:"" Quello che mi arrenderai sicuramente diventerò sicuramente i perdenti sotto la mia gonna! """,@Null@,Avatar: immagine del profilo di sblocco,Footprints da passeggio: lasciando impronte di bolle incandescenti ovunque tu cammini.,@Null@,,,
168,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
169,Sirena,"Mentre gli uccelli cantano e ballano, come si riferisce a qualcosa sui cuori delle persone. Con il passare del tempo, e la brezza era debole, emergerà il governante del mondo. Comprende il suo destino e le sue convinzioni. Perché le cose che devono essere protette sono più preziose dell'oro e dei gioielli.",@Null@,Avatar: immagine del profilo di sblocco,Effetti del corpo: foglie di ginkgo dorato che galleggiano sul corpo!,#cda5b0a Interactive: puoi attivare un'azione interattiva con Hou vuoto! #n,,,
170,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
171,Marchese del cielo,"L'imperatore intrappolato in un incubo sta lottando per trovare la gloria persistente. Fino a quando, sentì il grido dell'anima ... Hai sentito il canto ...? Segui e rimanere vivo!",@Null@,Avatar: immagine del profilo di sblocco,Effetti speciali del corpo: le particelle di energia ciano fluttuano sul corpo!,#cda5b0aInterazione: puoi attivare movimenti interattivi con l'inizio del Warbler! #n,,,
172,Ni Yu'er,"Gonne da ballo e ventagli che cantano, vestiti al neon e piume, 
 Come il mio ventilatore e i vestiti? 
 Trova questa ragazza!",,Foto del profilo: sblocca la foto del profilo.,Effetti sul corpo: fiori verdi che galleggiano in giro!,,,,
173,Xie Zhili,"All'inizio degli esseri umani, la natura è intrinsecamente buona. Il sesso è vicino, ma l'abitudine è lontana. 
 Se volete che ve lo dica, combattere e uccidere non è affatto bello.",,Foto del profilo: sblocca la foto del profilo.,Effetti sul corpo: i caratteri cinesi galleggiano intorno al corpo!,,,,
174,Casper.,"Lanterna portatile, con un corvo sulla spalla, chi è il guardiano della notte?
Il corpo è dotato della capacità di disperdere l'oscurità, ma solo yearns per un sonno tranquillo e buono.
Se qualcuno non è buono, lascia che prova la mia croce!",@Null@,Avatar: immagine del profilo di sblocco,Impronte: le fiamme nere sono lasciate ovunque tu cammina.,@Null@,,,
175,Olivia.,"La notte è decorata con filati di gonna, nessuno è in funzione per i mazzi. Il fiore immortale che non vive o muori, non coner o appassire, puoi dirmi, ha fatto quello che mi ha salvato sollevare un corvo?",@Null@,Avatar: immagine del profilo di sblocco,Impronte: le rose sono lasciate ovunque tu cammini.,@Null@,,,
176,Yuna.,Trasformarsi in un carino gatto nero stasera e vai agli umani per esercitare i diritti di questa strega!,@Null@,Avatar: immagine del profilo di sblocco,Effetti del corpo: i pipistrelli misteriosi circondano il corpo!,@Null@,,,
177,Andrea,"Mentre la notte è caduta, l'oscurità ha gradualmente avvolto il mondo. I ragni formano reti, i pipistrelli viaggiano, sono il misterioso e bello spirito di Halloween.",@Null@,Avatar: immagine del profilo di sblocco,Effetti del corpo: i pipistrelli misteriosi circondano il corpo!,@Null@,,,
178,Agente Lupo-Bestia D'argento,"Wolf Silver è nato nel clan del lupo bianco, nato agile, calmo e decisivo. È membro dell'Alta Organizzazione Agente speciale Manda Star- ""Beast Attack"". L'arma usata dalla collisione è una lama di pistola rifatta con l'aiuto di Mecha Meow. Nella squadra, agisce come un attaccante nel combattimento di metà vicino. Il drone del rotore di solito nascosto nel guanto può essere utilizzato per aiutare l'attacco.",@Null@,Avatar: immagine del profilo di sblocco,Le impronte: Le icone dell'agente sono lasciate ovunque tu cammina.,@Null@,,,
179,Princess Soul.,"Il vero nome è Hua Ling, e la maggior parte delle persone è chiamata l'anima della principessa. Lei è la dea che custodisce la vita. Vive nel bellissimo e splendido tempio dei fiori, rispettando la vita e l'anima. Guardare le creature del mondo con amore non solo dà alle persone un senso di intimità all'esterno, ma è anche molto delicato all'interno.",@Null@,Avatar: immagine del profilo di sblocco,Effetti del corpo: ci sono fiori e farfalle che galleggiano sul corpo!,@Null@,,,
180,Drago del Cielo,"La ragazza del drago reclusivo di Fairyland, ma ha un cuore pieno di immaginazione e desiderio di libertà. Per caso, incontrato squamosi, il piccolo dragonista e formava un'amicizia per lo scambio di snack. Ho guadagnato un sacco di conoscenza del mondo esterno da squamosi, sperando di andare utile un giorno.",@Null@,Avatar: immagine del profilo di sblocco,Footprints da passeggio: lasciando impronte ossee ovunque tu cammini.,#cda5b0a è limitato all'uscita della confezione regalo Dream Building #n,,,
181,Turca esperta della Turchia,"La coppia è il misterioso chef della stella di cucina. Possiede il negozio della Turchia che si apre solo quando il Ringraziamento si sta avvicinando durante l'anno. E ogni volta che appare, porterà inevitabilmente il suo tacchino di aroma del piatto firmato.",@Null@,Avatar: immagine del profilo di sblocco,Impronte: Le impronte di Turchia sono lasciate ovunque tu cammina.,#cda5b0a è limitato all'uscita della confezione regalo Dream Building #n,,,
182,Marmellata di fragole Berry.,"Berry è la persona che conosce meglio le fragole. Si gode ogni aspetto della fragola, dalla piantatura e dal germogliare alla fioritura e alla fruttificazione, dal raccogliere nel campo per servire il tavolo, la bacca lo gode.",@Null@,Avatar: immagine del profilo di sblocco,Impronte: impronte di fragole sono lasciate ovunque tu cammini.,#cda5b0a è limitato all'uscita della confezione regalo Dream Building #n,,,
183,Ganesh.,"Ganesh combina saggezza e arte per abbattere gli ostacoli e portare successo e felicità. Non ci sarà un destino perfetto e ideale nel mondo. Tutti coloro che vogliono raggiungere il successo, acquisire conoscenze o saggezza, devono fare sforzi e sacrifici.",@Null@,Avatar: immagine del profilo di sblocco,Effetti del corpo: petali di loto che galleggiano sul corpo!,@Null@,,,
184,Regina dell'EDM - Sasha,"Sasha è il cantante più popolare di Terrastar, ma la sua popolarità ha causato anche i suoi problemi importanti, e la carriera musicale di Sasha ristagnata per un po '. Finché non ha incontrato mini-beat per caso, questo DJ estremamente talentuoso la ha ispirato e ha iniziato a sperimentare con la creazione di musica elettronica, che ha portato Sasha al pinnacolo della sua carriera come cantante di nuovo ...",@Null@,Avatar: immagine del profilo di sblocco,Effetti del corpo: Note colorate che galleggiano sul corpo!,@Null@,,,
185,Guardiano celeste Yuni.,"Nella magica foresta di Fairyland Star, dove vissuto l'ultimo gruppo di unicorni nel dominio Phoenix. In un'era quando la magia è sempre più scarsa, gli unicorni stanno anche affrontando l'estinzione. Come il più giovane del gruppo, Yuni si è offerto volontario e intrapreso un viaggio accidentato per utilizzare la specialità forestale ""Magic Pearl"" in cambio del potere magico del mago ...",@Null@,Avatar: immagine del profilo di sblocco,Impronte: lascia un'impronta di papillon,@Null@,,,
186,Yun shang.,"È un designer in costumi con piena capacità pratica e immaginazione e un viaggiatore interstellare che presta attenzione alla creatività e all'eredità.
Si è sterzata tra i vari pianeti del territorio Dragon Star, studiando vari stili di abbigliamento.
Se vuoi provare diversi stili di medicazione, cercala!",@Null@,Avatar: immagine del profilo di sblocco,Effetti del corpo: fiori rosa galleggianti sul corpo!,@Null@,,,
