姓或形容词，显示在前,名，只男角色随机，显示在后,名，只女角色随机，显示在后
รณพีร์,,
รณรต,,
รณวร,,
รตน,,
รติบดี,,
ร่มธรรม,,
รมย์,,
รวินันท์,,
รวิพล,,
รัชชานนท์,,
รัชนาท,,
รัชพล,,
รัญชน์,,
รัฏฐพิชญ์,,
รัฐนันท์,,
รัตนธรรม์,,
รัตนธรรม,,
รัตนพล,,
ราชินทร์,,
รามิล,,
ราเมนทร์,,
รุ่งภพ,,
รุ่งรุจ,,
รุ่งวิกรัย,,
รุจ,,
รุจินพ,,
ฤทธิรณ,,
ลภน,,
ลวิตร,,
ล้อมเดช,,
ลัญฉกร,,
ลัทธพล,,
ลาภิน,,
วชิรวิทย์,,
วทัญญู,,
วทันยู,,
วนันต์,,
วรกมล,,
วรกันต์,,
วรชน,,
วรชัย,,
วรชิต,,
วรโชติ,,
วรณ,,
วรดนัย,,
วรดร,,
วรถ,,
วรท,,
วรทย์,,
วรทัต,,
วรธน,,
วรนน,,
วรนาถ,,
วรนิพิฐ,,
วรบรรณ,,
วรปรัชญ์,,
วรพรต,,
วรพล,,
วรภพ,,
วรมน,,
วรเมธ,,
วรรณธัช,,
วรรณลภย์,,
วรรณิก,,
วรลภย์,,
วรวัช,,
วรวัฒน์,,
วรวิช,,
วรวิทย์,,
วรวิบูล,,
วรวุฒิ,,
วรัชญ์,,
วรัญชิต,,
วรัญญู,,
วรัตถ์,,
วรัตม์,,
วรัท,,
วรัทยา,,
วรากร,,
วรานนท์,,
วราเมธ,,
วรายุทธ,,
วริทธิ์,,
วริทธิ์ธร,,
วริทธิ์นันท์,,
วรินทร,,
วรียะ,,
วรุดม,,
วรุตม์,,
วเรณย์,,
วโรตม์,,
วลัช,,
วัชพล,,
วัชรพล,,
วัชรมัย,,
วัชรากร,,
วัชรินทร์,,
วัฒนชัย,,
วัณณุวรรธน์,,
วัทธิกร,,
วัทน์,,
วัทนพร,,
วัลลภ,,
วาริธร,,
วาริพันธน์,,
วิกรม,,
วิกรานต์,,
วิชชากร,,
วิชชาบูรณ์,,
วิชชุกร,,
วิชญ์,,
วิชญ์พล,,
วิชญะ,,
วิชยุตม์,,
วิชวิทย์,,
วิชาธร,,
วิชานนะ,,
วิชานาถ,,
วิชามัย,,
วิชาฤทธิ์,,
วิชาวิมล,,
วิชิตชัย,,
วิดรณ์,,
วิทิต,,
วิทูร,,
วิธวิทย์,,
วิธวินท์,,
วิธาน,,
วินธัย,,
วินิชา,,
วินิทร,,
วิพุช,,
วิพุธ,,
วิภพ,,
วิภู,,
วิมุต,,
วิมุทร์,,
วิรชัช,,
วิรัญจ์,,
วิรัล,,
วิริทธิ์พล,,
วิโรจน์,,
วิวรรธน์,,
วิวัฒน์ชัย,,
วิวิธชัย,,
วิวิธวินท์,,
วีรชิต,,
วีรเดช,,
วีรพล,,
วีรภัทร,,
วีรยุทธ,,
วีรวัฒน์,,
วีรวุฒิ,,
วีรัช,,
วีรากร,,
วุฒิกร,,
วุฒิชัย,,
วุฒิชาติ,,
วุฒิเดช,,
วุฒิภัท,,
เวทิต,,
เวธน์,,
แว่นแก้ว,,
ไวทย์,,
ไวทิน,,
ไวภพ,,
ไววิทย์,,
อจล,,
อจลวิชญ์,,
อชิตพล,,
อชิระ,,
อดิเทพ,,
อดิรถ,,
อดิรุจ,,
อดุลย์,,
อดุลวิทย์,,
อติกันต์,,
อติคุณ,,
อติชา,,
อติชาติ,,
อติเทพ,,
อติรุจ,,
อติวัณณ์,,
อติวิชญ์,,
อธิชนม์,,
อธิน,,
อธินาถ,,
อธิป,,
อธิปัตย์,,
อธิพันธ์,,
อธิยุต,,
อธิวัฒน์,,
อนณ,,
อนพัช,,
อนรรฆ,,
อนล,,
อนวัช,,
อนวัทย์,,
อนังคณ์,,
อนัดดา,,
อนันตชัย,,
อนันตพร,,
อนันยช,,
อนาวิล,,
อนิก,,
อนิรุทธ์,,
อนิวัต,,
อนิวัตติ์,,
อนุชิต,,
อนุตร,,
อนุทัต,,
อนุทัย,,
อนุนัย,,
อนุนาท,,
อนุพนธ์,,
อนุภัทร,,
อนุยุต,,
อนุรักข์,,
อนุวรรตน์,,
อนุวรรธน์,,
อนุวัต,,
อนุวิท,,
อเนชา,,
อภิคม,,
อภิชัจ,,
อภิชัย,,
อภิชาติ,,
อภิธรม์,,
อภิธาร,,
อภินัทธ์,,
อภินันทน์,,
อภิบาล,,
อภิมุข,,
อภิยุต,,
อภิรต,,
อภิวรรธน์,,
อภิวัฒน์,,
อภิวิชญ์,,
อภิวุฒิ,,
อมรรัตน์,,
อมรินทร์,,
อรรจน์,,
อรรณพ,,
อรรถนนท์,,
อรรถพันธ์,,
อรรถวิท,,
อรรถวิทย์,,
อริชัย,,
อริญชย์,,
อริญชัย,,
อริย์ธัช,,
อรุช,,
อลงกฤต,,
อวัช,,
อัคคเดช,,
อัคคัญญ์,,
อัครชัย,,
อัครนิจ,,
อัครพนธ์,,
อัครวินท์,,
อัทธ์,,
อันฑาการ,,
อันน์,,
อาจิต,,
อาชวิน,,
อาชวี,,
อาชัญ,,
อาณกร,,
อาณัติ,,
อาณันย์,,
อานนท์,,
อานันท์,,
อิฐ,,
อาเนช,,
อายุวัต,,
อารัทธ์,,
อำมฤต,,
อำมาตย์,,
อิงครัต,,
อิชย์,,
อิทธิกร,,
อิทธิชัย,,
อิทธิพร,,
อิทธิพัทธ์,,
อิทธิมนต์,,
อินทัช,,
อุชุกร,,
อุตรเดช,,
เอกภพ,,
เอื้ออังกูร,,
จรส,,
จรัสรัตน์,,
จันทรัสม์,,
นวพรรษ,,
พรจรัส,,
มนัสนันท์,,
ลภัส,,
วนัสนันท์,,
ศรันภัทร,,
ศรันย์พร,,
สัจจพร,,
ธรนิศ,,
บุญศิริ,,
บุญสิริ,,
ประดิษฐา,,
ปริเยศ,,
ปารย์,,
ปุณมนัส,,
พินทุสร,,
พิศุทธิ์,,
พูนสวัสดิ์,,
มนสิริ,,
มนัสวิน,,
มนัสวี,,
มนัสวีร์,,
วสุนันท์,,
วสุวี,,
ศตายุ,,
ศิวนาถ,,
ศุจินธร,,
ศุทธวีร์,,
ศุภพิชญ์,,
ศุภวัทน์,,
สมถวิล,,
สิทธิพร,,
สินิทธ์,,
สิริจรรยา,,
สุทธวีร์,,
สุภวัทน์,,
