ID,名字,描述,追踪
1167,แร่ดาวทองแดง (II),ขุด#L#cfa7a0fแร่ดาวทองแดง x100#n@1,ขุด#cfa7a0fแร่ดาวทองแดง
1168,แร่ดาวทองแดง (III),ขุด#L#cfa7a0fแร่ดาวทองแดง x500#n@1,ขุด#cfa7a0fแร่ดาวทองแดง
1169,แร่ดาวม่วง (I),ขุด#L#cfa7a0fแร่ดาวม่วง x10#n@1,ขุด#cfa7a0fแร่ดาวม่วง
1170,แร่ดาวม่วง (II),ขุด#L#cfa7a0fแร่ดาวม่วง x100#n@1,ขุด#cfa7a0fแร่ดาวม่วง
1171,แร่ดาวม่วง (III),ขุด#L#cfa7a0fแร่ดาวม่วง x500#n@1,ขุด#cfa7a0fแร่ดาวม่วง
1172,รูปปั้นหินดึกดำบรรพ์,วางเพชรฟ้า/หินมาลาไคท์/แร่ดวงดาวทองแดง/แร่ดวงดาวหินม่วง บนบล็อก 4 บล็อกถัดจากแกนโทเท็ม แล้วอัญเชิญยักษ์หินดึกดำบรรพ์เพื่อปราบมัน@1,ขนะ#cfa7a0fรูปปั้นหินดึกดำบรรพ์
1173,ยักษ์หินดึกดำบรรพ์,กำจัดยักษ์หินดึกดำบรรพ์ @1,ชนะ#cfa7a0fยักษ์หินดึกดำบรรพ์
1174,@Null@,@Null@,@Null@
1175,ขอไม้หน่อย,เก็บไม้และได้รับ #L#cfa7a0f บล็อกไม้ #n@1#r (กดลำต้นค้างไว้เพื่อรวบรวม),รวบรวม #cfa7a0f ไม้
1176,ช่างฝีมือ!,ใช้ไม้ใดก็ได้สร้างไม้กระดาน และใช้ 4 ไม้กระดาน เพื่อสร้าง 1 #L#cfa7a0f หีบเครื่องมือ #n@1#r (เปิดกระเป๋าเป้ก่อนแล้วเลือกทำตามสัญลักษณ์ด้านซ้าย),สร้าง #cfa7a0f หีบเครื่องมือ
1177,@Null@,@Null@,@Null@
1178,@Null@,@Null@,@Null@
1179,@Null@,@Null@,@Null@
1180,@Null@,@Null@,@Null@
1181,@Null@,@Null@,@Null@
1182,@Null@,@Null@,@Null@
1183,@Null@,@Null@,@Null@
1184,@Null@,@Null@,@Null@
1185,@Null@,@Null@,@Null@
1186,@Null@,@Null@,@Null@
1187,@Null@,@Null@,@Null@
1188,@Null@,@Null@,@Null@
1189,@Null@,@Null@,@Null@
1190,@Null@,@Null@,@Null@
1191,@Null@,@Null@,@Null@
1192,@Null@,@Null@,@Null@
1193,@Null@,@Null@,@Null@
1194,@Null@,@Null@,@Null@
1195,@Null@,@Null@,@Null@
1196,@Null@,@Null@,@Null@
1197,@Null@,@Null@,@Null@
1198,@Null@,@Null@,@Null@
1199,@Null@,@Null@,@Null@
1200,@Null@,@Null@,@Null@
1201,ยืนอย่างมั่นคง,เอาชีวิตรอด 7 วันในโหมดจำกัด@1,รอดชีวิต
1202,ปลุกพลังชีวิต,เอาชีวิตรอด 60 วันในโหมดจำกัด@1,รอดชีวิต
1203,นักเอาชีวิตรอด,เอาชีวิตรอด 365 วันในโหมดจำกัด@1,รอดชีวิต
1204,คนป่า!,กำจัด 50 คนป่า@1,ชนะคนป่า
1205,ลูกคนป่า!,กำจัด 20 ลูกผี@1,ชนะลูกคนป่า
1206,ทูตแห่งความว่างเปล่า！,กำจัดทูตแห่งความว่างเปล่า x50@1,กำจัด#cfa7a0fทูตแห่งความว่างเปล่า
1207,ค้าขาย,ทำการแลกเปลี่ยน 20 ครั้งกับพ่อค้าพเนจร@1,ซื้อขายกับพ่อค้าพเนจร
1208,ค้าทะเลทราย,ทำการแลกเปลี่ยน 50 ครั้งกับพ่อค้าพเนจร@1,ซื้อขายกับพ่อค้าทะเลทราย
1209,ค้าทุ่งหิมะ,ทำการแลกเปลี่ยน 200 ครั้งกับพ่อค้าพเนจร@1,ซื้อขายกับพ่อค้าทุ่งหิมะ
1210,ไข่ตูมตาม!,กำจัด 30 ไข่ตูมตาม@1,ชนะไข่ตูมตาม
1211,นักธนูกำมะถัน!,กำจัด 100 นักธนูกำมะถัน@1,ชนะนักธนูกำมะถัน
1212,ผู้พิชิตมังกร!,กำจัดมังกรดำโบราณ@1,ชนะมังกรดำโบราณ
1213,วัสดุพลังงานดาว,ขุด#L#cfa7a0fแร่พลังงานดาว x100#n@1,ขุด#cfa7a0fแร่พลังงานดาว
1214,สะสมอาวุธ,หลอม#L#cfa7a0fมิธริล x500#n@1,หลอม#cfa7a0fมิธริล
1215,นิรันดร์กาล,ขุด#L#cfa7a0fแร่ทองทังสเตน x20#n@1,ขุด#cfa7a0fแร่ทองทังสเตน
1216,ไก่ย่างหอมๆ,ย่าง#L#cfa7a0fไก่ย่าง1ถัง x100#n@1,ย่าง#cfa7a0fไก่ย่าง1ถัง
1217,คิงส์แห่งบะหมี่,คราฟต์#L#cfa7a0fบะหมี่ใส่เนื้อย่าง x50#n@1,คราฟต์#cfa7a0fบะหมี่ใส่เนื้อย่าง
1218,อาหารหอมอร่อย,คราฟต์#L#cfa7a0fอาหารหอมอร่อย x50#n@1,คราฟต์#cfa7a0fอาหารหอมอร่อย
1219,@Null@,@Null@,@Null@
1220,@Null@,@Null@,@Null@
1221,ฉันต้องการก้อนหิน,#cfa7a0fเก็บก้อนหิน#nหรือ#cfa7a0fคราฟต์หิน#nในโต๊ะคราฟต์เพื่อรับ#L#cfa7a0fวัสดุหิน#n@1#r（กดแตะค้างที่ก้อนหินไว้เพื่อเก็บ กระเป๋าเป้- หน้าโต๊ะคราฟต์สามารถรื้อหินได้ ）,เก็บ#cfa7a0fวัสดุหินบนพื้น
1222,วัสดุเพิ่มเติม,ตัดต้นไม้เพื่อรับ#L#cfa7a0fกิ่งไม้#n@1#r（กดแตะค้างที่กิ่งไม้ไว้เพื่อตัด）,รับ#cfa7a0fกิ่งไม้จากต้นไม้
1223,จุดเริ่มต้นของยุคหิน!,ใช้วัสดุหินและกิ่งไม้เพื่อคราฟต์#L#cfa7a0fอีเตอร์หิน#n@1#r (เปิดกระเป๋าเป้ -ทำการคราฟต์ที่โต๊ะคราฟต์),คราฟต์#cfa7a0fอีเตอร์หิน
1224,อาวุธของมนุษย์ดึกดำบรรพ์,ใช้วัตถุดิบไม้เพื่อคราฟต์#L#cfa7a0fกระบองไม้#n@1#r  (ตอนกลางคืนอันตรายมาก ต้องใช้อาวุธป้องกันตัว),คราฟต์#cfa7a0fกระบองไม้
1225,นักล่า,ปราบหมูป่าที่ตามหลอกหลอนในยามค่ำคืน#r (โอ้? คุณต้องการที่จะเป็นนักล่าใช่หรือไม่?),กำจัด #cfa7a0fหมูป่า
1226,เริ่มต้นชีวิตที่ดี~,ใช้วัตถุดิบหินและกิ่งไม้เพื่อคราฟต์#L#cfa7a0fขวานหิน#n@1#r,เปิดกระเป๋าเป้เพื่อคราฟต์#cfa7a0fขวานหิน
1227,คนตัดไม้,ถือขวานหินด้วยมือ ไปหาต้นไม้แล้วใช้ขวานหินตัดต้นไม้! เพื่อรับ#L#cfa7a0fวัตถุดิบไม้#n@1#r (แหล่งของทรัพย์สมบัติ),ตัดต้นไม้เพื่อเก็บ#cfa7a0fวัตถุดิบไม้
1228,ปาร์ตี้กองไฟ,ใช้หินและวัตถุดิบไม้เพื่อคราฟต์#L#cfa7a0fกองไฟ#n@1#r (ตอนกลางคืน ความสว่างและความอบอุ่นจะทำให้ผู้คนรู้สึกปลอดภัย）,คราฟต์#cfa7a0fกองไฟ
1229,เนื้อย่างหอมกรุ่น!,ย่างเนื้อดิบบนกองไฟ จะได้รับ#L#cfa7a0fเนื้ออัลปาก้าสุก#n@1#r（กินแล้วรู้สึกมีพลัง!),#cfa7a0fย่างเนื้อ
1230,ตัดหญ้าและราก,ตัดหญ้าเพื่อรับ#L#cfa7a0fวัชพืชหนึ่งกำมือ#n@1#r（ใช้ในการมัดสิ่งต่าง ๆ ใช้งานได้ดี）,เก็บ#cfa7a0faวัชพืชหนึ่งกำมือ
1231,แสงสว่างในความมืด!,ใช้กิ่งไม้และวัชพืชหนึ่งกำมือเพื่อคราฟต์#L#cfa7a0fคบเพลิงติดไฟ#n@1#r (คบเพลิงธรรมดาจะเผาไหม้ในช่วงเวลาสั้น ๆ เท่านั้น),คราฟต์#cfa7a0fคบเพลิงติดไฟ
1232,คนขุดหิน,หินส่วนใหญ่ซ่อนอยู่ใต้พื้นผิว ขุดลงไปด้วยอีเตอร์หินเพื่อรับ#L#cfa7a0fหิน#n@1#r（ ดูเหมือนว่าของส่วนใหญ่ต้องคราฟต์ด้วยหิน）,ขุด#cfa7a0fหินในใต้ดิน
1233,ช่างคราฟต์,ใช้วัตถุดิบไม้และว้ตถุดิบหินเพื่อคราฟต์#L#cfa7a0fโต๊ะคราฟต์ที่ไม่สมบูรณ์#n@1#r  (ว้าว ~ คุณสามารถคราฟต์ไอเทมได้มากขึ้น),คราฟต์#cfa7a0fโต๊ะคราฟต์ที่ไม่สมบูรณ์
1234,ช่างคราฟต์เตาหลอม,ใช้วัชพืชและบล็อกดินเพื่อคราฟต์#L#cfa7a0fเตาหลอม#n@1#r  (หลอมแร่หินต่างๆ คราฟต์เครื่องมือโลหะมากมาย ),คราฟต์#cfa7a0fเตาหลอมนบโต๊ะคราฟต์
1235,ก้าวแรกสู่การเป็นเชฟ,ใช้หินเพื่อคราฟต์#L#cfa7a0fหม้อหิน#n@1#r (สามารถทำอาหารอร่อยๆ ได้),คราฟต์#cfa7a0fหม้อหินบนโต๊ะคราฟต์
1236,กินอิ่มจะได้มีแรง,ใช้แป้งข้าวโพดทำเป็น#L#cfa7a0fบะหมี่#n@1#rในหม้อหิน  (อย่าลืมวางหม้อหินไว้บนกองไฟนะ เมื่อคุณอิ่มแล้วถึงจะมีแรงไปทำงานหนักได้! ),ทำ#cfa7a0fบะหมี่ในหม้อหิน
1237,จุดเริ่มต้นของยุคทองแดง!,ถืออีเตอร์หินเพื่อขุด#L#cfa7a0fแร่โลหะผสมทองแดง#n@1#rใต้ดิน(ดูสิ่งที่ฉันขุดได้ในใต้ดินลึก!),ขุด#cfa7a0fแร่โลหะผสมทองแดง
1238,พลังงานใหม่？,ถืออีเตอร์หินเพื่อขุด#L#cfa7a0fน้ำแข็งติดไฟ#n@1#rในใต้ดิน#r (บางครั้งบนพื้นผิวและหน้าผาก็มีด้วย),ขุด#cfa7a0fน้ำแข็งติดไฟ
1239,การหลอมโลหะ: ทองแดง,ในเตาหลอมใช้แร่โลหะผสมทองแดงเพื่อหลอม#L#cfa7a0fทองแดง#n@1#r (สามารถคราฟต์เครื่องมือที่ดีกว่าแล้ว ),หลอมเพื่อรับ#cfa7a0fทองแดง
1240,ช่างคราฟต์เตาทองแดง,ใช้ทองแดงเพื่อคราฟต์#L#cfa7a0fเตาทองแดง#n@1,คราฟต์#cfa7a0fเตาทองแดง
1241,คราดหิน,ใช้วัตถุดิบหินและกิ่งไม้เพื่อคราฟต์#L#cfa7a0fคราดหิน#n@1#r (มีคราดก็จะสามารถไถที่ดินได้แล้ว),คราฟต์#cfa7a0fคราดหิน
1242,คิงส์แห่งธัญพืช,ถือ#L#cfa7a0fเมล็ดข้าวโพด#nหว่านบนที่ดินเพาะปลูก@1#r (ปลูกได้เฉพาะในพื้นที่เพาะปลูกเท่านั้น),ปลูก#cfa7a0fข้าวโพด
1243,@Null@,@Null@,@Null@
1244,@Null@,@Null@,@Null@
1245,@Null@,@Null@,@Null@
1246,@Null@,@Null@,@Null@
1247,การหลอมโลหะ: มิธริล,ใส่แร่มิธริลไว้ในเตาหลอมเพื่อหลอมเป็น#L#cfa7a0fมิธริล#n@1,หลอมเพื่อรับ#cfa7a0fมิธริล
1248,ช่างคราฟต์เตามิธริล,ใช้มิธริลเพื่อคราฟต์#L#cfa7a0fเตามิธริล#n@1,คราฟต์#cfa7a0fเตามิธริลบนโต๊ะคราฟต์
1249,เครื่องมือรูน!,ทำการเปิดใช้งานหินรูนหนึ่งครั้งบนโต๊ะรูน@1#r  (หินรูนประสิทธิภาพเปิดใช้งานเครื่องมือได้  หินรูนโจมตีเปิดใช้งานอาวุธได้ หินรูนป้องกันเปิดใช้งานเกราะได้),ดำเนินการ#cfa7a0fเปิดใช้งานหินรูน
1250,การหลอมโลหะ: ไทเทเนียม,ใส่แร่ไทเทเนียมไว้ในเตาหลอมเพื่อหลอมเป็น#L#cfa7a0fไทเทเนียม#n@1,หลอมเพื่อรับ#cfa7a0fไทเทเนียม
1251,จุดเริ่มต้นของยุคเทคโนโลยี!,ใช้ไทเทเนียมและกิ่งไม้เพื่อคราฟต์#L#cfa7a0fอีเตอร์ไทเทเนียม#n@1#r (ได้เวลาเริ่มขุดแร่แล้ว!),คราฟต์#cfa7a0fอีเตอร์ไทเทเนียม
1252,ไม่ใช่วัสดุเดียวกัน,มองหาชิปอัจฉริยะบนเกาะลอยน้ำ#r (ออกไปสำรวจระยะทาง!),ได้รับ #cfa7a0fชิปอัจฉริยะ
1253,อัพเกรดสถานีดวงดาว,ใช้ส่วนประกอบการอัพเกรดสถานีดวงดาว เพื่ออัพเกรดห้องโดยสารขนส่งสถานีดวงดาว#r (คุณสามารถไปยังดาวเคราะห์ที่ไกลออกไปได้หลังจากอัพเกรดแล้วเท่านั้น),อัพเกรด #cfa7a0fห้องโดยสารขนส่งสถานีดวงดาว
1254,โลกใหม่ - Flamas,เยี่ยมชม Flamas#r (ควรนำเสื้อผ้าที่ทนไฟมาด้วยเพื่อหลีกเลี่ยงการถูกไฟไหม้),ไปยัง #cfa7a0fFlamas
1255,@Null@,@Null@,@Null@
1256,นักล่ามังกร(ถูกทอดทิ้ง),กำจัดมังกรดำโบราณ#r (ไม่ใช่เรื่องง่าย),กำจัด #cfa7a0fมังกรดำโบราณ
1257,กุญแจ Flamas,ได้รับ #L#cfa7a0f ดาบเพลิงแตกหัก#n@1#r จากรังมังกร#r (นี่คือหนึ่งในสามกุญแจเพื่อเปิดใช้งานแท่นบูชาภูเขาไฟ),ได้รับ #cfa7a0fดาบแตกหัก
1258,โลกใหม่ - Horas,เยี่ยมชม Horas#r (อากาศที่นี่ค่อนข้างเบาบาง ให้สวมหน้ากากออกซิเจน!),ไปยัง #cfa7a0fHoras
1259,ประมุข Horas,ใช้ #L#cfa7a0f รูนฟื้นฟู#n เพื่อเปิดใช้งานโทเทม@1#r (มีเซอร์ไพรส์อยู่ในห้องลับใกล้ๆ!),เปิดใช้งาน #cfa7a0fโทเท็ม
1260,ดอกสว่านดาวทองแดง,รวบรวมหินดาวทองแดง แร่พลังงานดาว วัตถุดิบไม้และบล็อกหินโฮราสเพื่อคราฟต์L#cfa7a0fดอกสว่านดาวทองแดง#n@1#r (ได้ยินมาว่าที่ราบสูงกับเกาะว่างเปล่านั้นมีความเจิดจ้าของหินดาวทองแดง),คราฟต์#cfa7a0fดอกสว่านดาวทองแดง
1261,ตะขอเจ็ท,รวบรวมหินดาวทองแดง หินดาวม่วง ผลึกแรงถ่วงและ แร่พลังงานดาวเพื่อคราฟต์#L#cfa7a0fตะขอเจ็ท#n@1#r (สามารถทำให้คุณบินข้ามกำแพงได้),คราฟต์#cfa7a0fตะขอเจ็ท
1262,ผู้อัญเชิญคนยักษ์โบราณ,อัญเชิญและกำจัดคนยักษ์โบราณบนดาวโฮราส@1#r (คุณต้องวางบล็อกทองทังสเตน/บล็อกอำพัน/บล็อกหินดาวทองแดง/บล็อกหินดาวม่วงอยู่ใน 4 ช่องถัดจากแกนโทเทมเพื่ออัญเชิญ),กำจัด#cfa7a0fคนยักษ์โบราณ
1263,กุญแจ Horas,กำจัดยักษ์หินดึกดำบรรพ์เพื่อรับ #L#cfa7a0f ดวงตามนุษย์หิน#n@1#r (นี่คือหนึ่งในสามกุญแจเพื่อเปิดใช้งานแท่นบูชาภูเขาไฟ),ได้รับ #cfa7a0fดวงตายักษ์
1264,ผู้สร้างต้นไม้ศักดิ์สิทธิ์,ค้นหาพื้นที่กว้างและขุดหลุมแล้วปลูกมัน ! @1#r（สามารถรับหนึ่งในสามกุญแจที่ด้านบนสุดของต้นไม้ศักดิ์สิทธิ์）,ปลูก#cfa7a0fต้นไม้ศักดิ์สิทธิ์
1265,ผลไม้ศักดิ์สิทธิ์,รวบรวมแกนต้นไม้ศักดิ์สิทธิ์ที่ด้านบนของลำต้นไม้ศักดิ์สิทธิ์เพื่อรับ#L#cfa7a0f ผลไม้ศักดิ์สิทธิ์#n@1#r (นี่คือหนึ่งในสามกุญแจเพื่อเปิดใช้งานแท่นบูชาภูเขาไฟ),เก็บ #cfa7a0fผลไม้ศักดิ์สิทธิ์
1266,ถ้าไม่เสี่ยง ก็ไม่มีทางได้มา,"รวบรวมกุญแจสามดอกของ Miras, Horas และ Flamas เพื่อเปิดใช้งานแท่นบูชาในพื้นที่ภูเขาไฟ@1#r (เข้าสู่ทางเข้าที่อยู่ของปีศาจแห่งความว่างเปล่า)",เปิดใช้งาน #cfa7a0fแท่นบูชาภูเขาไฟ
1267,ผู้กอบกู้!,กำจัดปีศาจแห่งความว่างเปล่า@1,กำจัด #cfa7a0fปีศาจแห่งความว่างเปล่า
1268,มันเทศ,ปลูกเมล็ดมันเทศในพื้นที่เพาะปลูก รอให้มันเติบโต จะได้รับ#L#cfa7a0fมันเทศ#n@1,ปลูก#cfa7a0fมันเทศ
1269,ทำมันเทศบด,ปรุงมันเทศในหม้อหินเพื่อทำเป็น#L#cfa7a0fมันเทศบด#n@1,ทำ#cfa7a0fมันเทศบด
1270,เฟรนช์ฟราย!,ปรุงมันเทศบด ดอกดราแคนน่าและหนังในหม้อหินเพื่อได้รับ#L#cfa7a0fเฟรนช์ฟราย#n@1,ทำ#cfa7a0fเฟรนช์ฟราย
1271,รับเนื้อวอวอ,กำจัดวอวอหนึ่งตัวเพื่อรับ#L#cfa7a0fเนื้อวอวอ#n@1,รับ#cfa7a0fเนื้อวอวอ
1272,เนื้อวอวอ,วางเนื้อวอวอไว้บนกองไฟย่างให้สุกจะได้รับ#L#cfa7a0fเนื้อย่างวอวอ#n@1,ทำ#cfa7a0fเนื้อย่างวอวอ
1273,บะหมี่ใส่เนื้อย่าง,ใช้บะหมี่ ดอกสแตติส เนื้อย่างวอวอเพื่อทำเป็น#L#cfa7a0fบะหมี่ใส่เนื้อย่าง#n@1,ทำ#cfa7a0fบะหมี่ใส่เนื้อย่าง
1274,โปรตีน,ให้อาหารไก่จะได้รับ#L#cfa7a0fไข่ไก่#n@1,เก็บ#cfa7a0fไข่ไก่
1275,พายแคนตาลูป,ใช้น้ำเชื่อมฟรุกโตสบรรจุขวดและแคนตาลูปทำเป็น#L#cfa7a0fพายแคนตาลูป#n@1,ทำ#cfa7a0fพายแคนตาลูป
1276,สุขสันต์วันหยุด ~,ใช้นมสดบรรจุขวด มันเทศ เนื้อไก่ และแป้งข้าวโพดเพื่อทำ#L#cfa7a0fพิซซ่าบาบีคิว#n@1,ทำ#cfa7a0fพิซซ่าบาบีคิว
1277,เชอร์รี่,เก็บ#L#cfa7a0fเชอร์รี่#n@1จากต้นเชอร์รี่,รับ#cfa7a0fเชอร์รี่
1278,ถาดผลไม้,ใช้แผ่นแตงหนาม ชามไม้และเชอร์รี่เพื่อทำเป็น#L#cfa7a0fถาดผลไม้#n@1,ทำ#cfa7a0fถาดผลไม้
1279,อิมพีเรียลเชฟ,รับฉายาโดยอัตโนมัติหลังจากเสร็จสิ้นภารกิจก่อนหน้า,สำเร็จ #cfa7a0fความสำเร็จของซีรี่ส์การทำอาหาร
1280,ต่อต้านศัตรูที่แข็งแกร่ง,ใช้วัตถุดิบไม้และกิ่งไม้เพื่อคราฟต์#L#cfa7a0fประตูไม้เบา#n@1,คราฟต์#cfa7a0fประตูไม้เบา
1281,นับดาวที่หน้าต่าง,ใช้วัตถุดิบไม้และกิ่งไม้เพื่อคราฟต์#L#cfa7a0fหน้าต่างไม้#n@1,คราฟต์#cfa7a0fหน้าต่างไม้
1282,เม็ดสีสีแดง,ใช้เชอร์รี่เพื่อคราฟต์#L#cfa7a0fเม็ดสีสีแดง#n@1,คราฟต์#cfa7a0fเม็ดสี
1284,คนงานรถไฟ,ใช้มิธริลและหินเพื่อคราฟต์#L#cfa7a0fข้อต่อเหล็กรางรถไฟ#n@1,คราฟต์#cfa7a0fข้อต่อเหล็กรางรถไฟ
1285,รถไฟเหาะ! ไป!,ใช้มิธริล วัตถุดิบไม้และคริสตัลเรืองแสงเพื่อคราฟต์#L#cfa7a0fหัวรถไฟเหาะ#n@1,คราฟต์#cfa7a0fหัวรถไฟเหาะ
1286,ดอกระฆัง,เก็บ#L#cfa7a0fดอกระฆัง#n@1บนที่ราบ,เก็บ#cfa7a0fดอกระฆัง
1287,เจ้าหญิงมงกุฎ,ใช้ดอกไม้สามชนิด เพื่อสร้าง#L#cfa7a0fมงกุฎดอกไม้#n@1,สร้าง #cfa7a0fมงกุฎดอกไม้
1288,วันที่สวยงาม,เสร็จสิ้นภารกิจนี้โดยอัตโนมัติหลังจากเสร็จสิ้นภารกิจก่อนหน้า,สำเร็จ#cfa7a0fความสำเร็จของซีรีย์ฐานการคราฟต์
1289,ช่างฝีมือรูนระดับกลาง,ใช้รูนระดับกลางเพื่อฝัง@1,ฝัง #cfa7a0fหินรูนระดับกลาง
1290,สุดยอดช่างฝีมือรูน,ใช้รูนขั้นสูงเพื่อฝัง@1,ฝัง #cfa7a0fหินรูนขั้นสูง
1291,นักสะสมอักษรรูน,รับฉายาโดยอัตโนมัติหลังจากเสร็จสิ้นภารกิจก่อนหน้า,สำเร็จ #cfa7a0fความสำเร็จของซีรีย์หินรูน
1292,นักผจญภัย,ใช้มิธริลและกิ่งไม้เพื่อคราฟต์#L#cfa7a0fดาบสั้น#n@1,สำเร็จ#cfa7a0fความสำเร็จของซีรีย์ฝัง
1293,พลหอกกล้าหาญ,ใช้ทองแดงและกิ่งไม้เพื่อคราฟต์#L#cfa7a0fหอกยาว#n@1,คราฟต์#cfa7a0fหอกยาว
1294,ยมทูต,ใช้ไทเทเนียม ซาร์โดนิกซ์และกิ่งไม้เพื่อคราฟต์#L#cfa7a0fยมทูต#n@1,คราฟต์#cfa7a0fยมทูต
1295,นักดาบ,ใช้ทองทังสเตน หินดาวม่วงและก้านทองแดงเพื่อคราฟต์#L#cfa7a0fดาบพลังงาน#n@1,คราฟต์#cfa7a0fดาบพลังงาน
1296,นักธนู,ใช้มิธริล หนังอ่อนและเส้นด้ายเพื่อคราฟต์#L#cfa7a0fธนูสั้นมิธริล#n@1,คราฟต์#cfa7a0fธนูสั้นมิธริล
1297,จอมขมังเวทย์,ใช้ไม้เท้าและแก่นผลึกธรรมดาเพื่อคราฟต์#L#cfa7a0fคทาเวทย์ธรรมดา#n@1,คราฟต์#cfa7a0fคทาเวทย์ธรรมดา
1298,ปรมาจารย์อาวุธ,รับฉายาโดยอัตโนมัติหลังจากเสร็จสิ้นภารกิจก่อนหน้า,สำเร็จ #cfa7a0fความสำเร็จของซีรีย์งานช่างฝีมืออาวุธ
1299,หมวกทองแดง,ใช้ทองแดงและหนังอ่อนเพื่อคราฟต์#L#cfa7a0fหมวกทองแดง#n@1,คราฟต์#cfa7a0fหมวกทองแดง
1300,หมวกมิธริล,ใช้มิธริล ทองแดงและหนังอ่อนเพื่อคราฟต์#L#cfa7a0fหมวกมิธริล#n@1,คราฟต์#cfa7a0fหมวกมิธริล
1301,หมวกไทเทเนียม,ใช้มิธริล ไทเทเนียมและหนังอ่อนเพื่อคราฟต์#L#cfa7a0fหมวกไทเทเนียม#n@1,คราฟต์#cfa7a0fหมวกไทเทเนียม
1302,หมวกทองทังสเตน,ใช้ทองทังสเตน หินดาวม่วงและหนังอ่อนเพื่อคราฟต์#L#cfa7a0fหมวกทองทังสเตน#n@1,คราฟต์#cfa7a0fหมวกทองทังสเตน
1303,เสื้อเกราะทองแดง,ใช้ทองแดงและหนังอ่อนเพื่อคราฟต์#L#cfa7a0fเสื้อเกราะทองแดง#n@1,คราฟต์#cfa7a0fเสื้อเกราะทองแดง
1304,เสื้อเกราะมิธริล,ใช้มิธริล ทองแดงและหนังอ่อนเพื่อคราฟต์#L#cfa7a0fเสื้อเกราะมิธริล#n@1,คราฟต์#cfa7a0fเสื้อเกราะมิธริล
1305,เสื้อเกราะไทเทเนียม,ใช้มิธริล ไทเทเนียมและหนังอ่อนเพื่อคราฟต์#L#cfa7a0fเสื้อเกราะไทเทเนียม#n@1,คราฟต์#cfa7a0fเสื้อเกราะไทเทเนียม
1306,เสื้อเกราะทองทังสเตน,ใช้ทองทังสเตน หินดาวม่วงและหนังอ่อนเพื่อคราฟต์#L#cfa7a0fเสื้อเกราะทองทังสเตน#n@1,คราฟต์#cfa7a0fเสื้อเกราะทองทังสเตน
1307,สนับแข้งทองแดง,ใช้ทองแดงและหนังอ่อนเพื่อคราฟต์#L#cfa7a0fสนับแข้งทองแดง#n@1,คราฟต์#cfa7a0fสนับแข้งทองแดง
1308,สนับแข้งมิธริล,ใช้มิธริล ทองแดงและหนังอ่อนเพื่อคราฟต์#L#cfa7a0fสนับแข้งมิธริล#n@1,คราฟต์#cfa7a0fสนับแข้งมิธริล
1309,สนับแข้งไทเทเนียม,ใช้มิธริล ไทเทเนียมและหนังอ่อนเพื่อคราฟต์#L#cfa7a0fสนับแข้งไทเทเนียม#n@1,คราฟต์#cfa7a0fสนับแข้งไทเทเนียม
1310,สนับแข้งทองทังสเตน,ใช้ทองทังสเตน หินดาวม่วงและหนังอ่อนเพื่อคราฟต์#L#cfa7a0fสนับแข้งทองทังสเตน#n@1,คราฟต์#cfa7a0fสนับแข้งทองทังสเตน
1311,บูททองแดง,ใช้ทองแดงและหนังอ่อนเพื่อคราฟต์#L#cfa7a0f บูททองแดง#n@1,คราฟต์#cfa7a0fบูททองแดง
1312,บูทมิธริล,ใช้มิธริล ทองแดงและหนังอ่อนเพื่อคราฟต์#L#cfa7a0fบูทมิธริล#n@1,คราฟต์#cfa7a0fบูทมิธริล
1313,บูทไทเทเนียม,ใช้มิธริล ไทเทเนียมและหนังอ่อนเพื่อคราฟต์#L#cfa7a0fบูทไทเทเนียม#n@1,คราฟต์#cfa7a0fบูทไทเทเนียม
1314,บูททองทังสเตน,ใช้ทองทังสเตน หินดาวม่วงและหนังอ่อนเพื่อคราฟต์#L#cfa7a0fบูททองทังสเตน#n@1,คราฟต์#cfa7a0fบูททองทังสเตน
1315,ปรมาจารย์ป้องกัน,รับฉายาโดยอัตโนมัติหลังจากเสร็จสิ้นภารกิจก่อนหน้า,สำเร็จ #cfa7a0fความสำเร็จของซีรีส์งานช่างฝีมือป้องกัน
1316,นักสะสมสงคราม,รับฉายาโดยอัตโนมัติหลังจากเสร็จสิ้นภารกิจก่อนหน้า,สำเร็จ #cfa7a0fความสำเร็จของซีรีส์อาวุธและเกราะ
1317,นักล่ายักษ์ลาวา,กำจัดยักษ์ลาวาบนดาว Flamas@1,กำจัด #cfa7a0fยักษ์ลาวา
1318,นักล่าธนูกำมะถัน,กำจัดนักธนูกำมะถันบนดาว Flamas@1,กำจัด #cfa7a0fนักธนูกำมะถัน
1319,ผู้พิชิต Flamas,รับฉายาโดยอัตโนมัติหลังจากเสร็จสิ้นภารกิจก่อนหน้า,สำเร็จ #cfa7a0fความสำเร็จของซีรีย์การกำจัดสิ่งมีชีวิตใน Flamas
1320,ทองแดง I,หลอม#L#cfa7a0fทองแดง x10#n@1,หลอม#cfa7a0fทองแดง
1321,ทองแดง  II,หลอม#L#cfa7a0fทองแดง x100#n@1,หลอม#cfa7a0fทองแดง
1322,ทองแดง III,หลอม#L#cfa7a0fทองแดง x300#n@1,หลอม#cfa7a0fทองแดง
1323,ไทเทเนียม I,หลอม#L#cfa7a0fไทเทเนียม x10#n@1,หลอม#cfa7a0fไทเทเนียม
