ID,名称,描述,说明
3040012,Действие блока игры,"Сделать квадраты на%1 play%2, play mode%3",
3040013,Замените цветные квадраты,Замените%2 на%1 ориентацией%3 и цветом%4 (допустимы только цветные квадраты),
3040014,Очистить все площади в области,Очистить все квадраты в%1,
3040015,Блоки указанного типа в зоне повреждения,Уничтожить%2 в%1,
3040016,Уничтожить все площади в области,Уничтожить все квадраты в%1,
3040017,Заменить все квадраты в области,"Заменить все квадраты в%1 на%2, в сторону%3",
3040018,Размещайте чертежи,"Поместите%2 в%1, поверните%3, зеркало%4, область чертежа полностью закрыта%5",
3050001,Победить игрока,Поражение%1,
3050002,Возвращение игрока в назначенную точку,Воскресить%1 на%2,
3050003,Установите очки воскрешения игрока,Установить точку восстановления для%1 до%2,
3050004,Установить свойства игрока,Установите%2 из%1 в%3,
3050005,Дает эффекты статуса игрока,"Дает%1%2 эффект, длится вечно для%3, длится для%4 секунд",
3050006,Удалить эффект статуса игрока,Удалить эффект%2 из%1,
3050007,Установить права игрока,Установите%2 из%1 в%3,
3050008,Удалить игрока,Удалить%1 из этой игры,
3050009,Игроки присоединяются к режиму зрителя,Добавить%1 в режим зрителя,
3050010,Настроить команду игроков,Установите команду%1 в%2,
3050011,Установить позицию игрока,Отправить%1%2,
3050012,Установите ориентацию игрока,Установите ориентацию%1 на%2,
3050013,Установить угол камеры игрока,"Установите угол камеры%1 на мировые координаты%2 градусов по горизонтали,%3 градусов по вертикали",
3050014,Добавление предметов в рюкзак игрока,Добавить рюкзаки%1%2 в%3,
3050016,Отбросьте предметы рюкзака игрока,Отбросить%2%3 на%1,
3050017,Уничтожьте предметы рюкзака игрока,Уничтожить%2%3 на%1,
3050018,Автомобиль для верховой езды игрока,"Поездка%1 на%2, номер позиции%3",
3050019,Игрок покидает автомобиль,Сделать%1 оставить текущее транспортное средство,
3050020,Установить перспективу игрока,"Установите угол обзора%1 на%2, заблокируйте%3",
3050021,Игрок управляет транспортным средством вперед,Автоматическое продвижение автомобиля%1,
3050022,Автоматический поиск пути игрока,"%1 пытается автоматически найти путь к%2,%3","Это событие имеет ограничение расстояния, за пределами определенного (около 32 квадратов) диапазона оно не срабатывает."
3050023,Победы игроков,Сделать%1 выиграть игру,
3050024,Игрок играет анимированные смайлики,Заставьте%2 играть%1,Диапазон входных значений параметра выражения анимации 1-20 Действие персонажа 1-10 Общее действие 11-20
3050025,Отображение текста окна отсека для игрока,Отображение текста окна отсека%2 для%1,
3050026,Игроки используют элементы панели быстрого доступа,Используйте панель быстрого доступа%1 для выбора элементов,
3050027,Отображение информации чата для игроков,Показать сообщение чата%2%1,
3050028,Предметы назначенного игрока не могут быть отброшены,%2 из%1 не будет отброшен как%3,
3050029,Предметы назначенного игрока нельзя сбросить,Замените%2 на%1 на%3,
3050030,Заставьте игрока двигаться,"Переместить%1 в%2, скорость%3",
3050031,Эффект статуса заменяющего игрока,Замените%2 на%1 на%3 для%4 навсегда на%5 секунд,
3050032,Экипируйте игрока,Поместите%1 на%2 в рюкзак,
3050033,Заставьте игрока снять с себя снаряжение,Заставьте%1 убрать снаряжение%2 в рюкзак,
3050034,Создание экипировки игрока,Создание передаточного стержня от%1 до%2,
3050035,Уничтожить экипировку игрока,Уничтожить оборудование в%1%2,
3050036,Внешний вид сетплеера,Установите внешний вид%1 на%2,
3050037,Восстановить внешний вид игрока,Восстановить%1 до первоначального вида,
3050040,Заставьте игрока нанести урон игроку,%1 наносит%3%4 урона%2,"1. Источником ущерба, который можно получить, является игрок, и будет отображаться слово damage
2. Ближний урон, дальний урон, урон от взрыва добавят 5 значений урона по умолчанию, а окончательное значение урона будет рассчитано в соответствии с защитой
3. Будет запущено соответствующее событие (например, игрок наносит урон, игрок получает урон), но оно не вызовет атаку игрока, атаку жизни и другие события"
3050041,Вызывает игрока наносить повреждения существам,%1 наносит%3%4 урона%2,"1. Источником ущерба, который можно получить, является игрок, и будет отображаться слово damage
2. Ближний урон, дальний урон, урон от взрыва добавят 5 значений урона по умолчанию, а окончательное значение урона будет рассчитано в соответствии с защитой
3. Будет запущено соответствующее событие (например, игрок наносит урон, игрок получает урон), но оно не вызовет атаку игрока, атаку жизни и другие события"
3050042,Вызывает игрока повредить цели в области,%1 наносит%3%4 урона всем целям в%2,"1. Наносить урон всем (включая себя), вы можете получить источник урона как игрок, и будет отображаться слово damage
2. Ближний урон, дальний урон, урон от взрыва добавят 5 значений урона по умолчанию, а окончательное значение урона будет рассчитано в соответствии с защитой
3. Это вызовет соответствующие события (такие как повреждение игрока, игрок, повреждение существа и т. Д.), Но не вызовет атаку игрока, событие среды атаки жизни."
3050043,Установить имя игрока,Установите имя%1 на%2,
3050044,"Установить, как игрок движется",Установите%1 для перемещения с%2,"После приземления персонажа состояние полета будет отменено, и действие должно быть запущено снова."
3050045,Игрок выходит из режима зрителя,Выведите%1 из режима зрителя,
3050046,Установите иммунитет игрока на тип урона,Установите%1 иммунитет%2,
3050047,Снимите тип иммунного повреждения игрока,Удалить%1 Иммунный%2,
3050048,Встряхните камеру игрока,Встряхните камеру%1%2 секунды с интенсивностью%3,
3050049,Стоп-плеер дрожит камерой,Остановить дрожание камеры%1,
3050050,Набор предметов игрока,"Установить%1%2 предметов в%3, количество в%4",
3050051,Удалить предметы игрока,Удалить элементы%3 из%1%2,
3050052,Отправить заявку другу в номер,Сделать%1 отправить запрос в друзья%2 в комнате,
3050053,Опорожнить библиотеку предметов игрока,Удалить все%2 из%1,
3050054,Предметы для мобильных игроков,Переместить%1 на%2%3 в%4,
3050055,Обмен предметами игрока,Обменять%2 на%3 на%1,
3050056,Удалить все эффекты состояния на игрока,Очистить все эффекты состояния на%1,
3050057,Удаляет все негативные эффекты состояния с игрока,Очистить все негативные статусные эффекты на%1,
3050058,Изменить угол игрока,Измените ориентацию%1 на%2,
3050059,Открывайте сундуки в мире для игрока,Откройте окно%2 для%1 (допустимый диапазон около 60 квадратов),
3050060,Откройте стол ремесленника для игрока,Открыть Стол Ремесленника для%1,
3050061,Открытые таблицы лидеров для игроков,Показать%2 для%1,
3050062,Скрыть лидеров от игроков,Скрыть список лидеров%1,
3050063,Телефон игрока вибрирует,"Установите%1 длительность вибрации телефона%2 миллисекунды, интенсивность%3",
3050064,Установите цвет фильтра проигрывателя,Установите цвет фильтра для%1 на%2,
3050065,Настройка параметров фильтра проигрывателя,Установите%1 фильтр%2 на%3,
3050066,Телепортируйте игрока на назначенную карту,Отправить%1 на карту с ID карты%2,Каждый игрок может срабатывать только один раз каждые 30 секунд
3050067,Телепортируйте игрока в назначенную комнату,Отправить%1 на карту с идентификатором номера%2,Каждый игрок может срабатывать только один раз каждые 30 секунд
3050068,Телепортируйте группу игроков в другую комнату,Перенести%1 в другую комнату на текущей карте,
3050069,Переместите камеру,"Создание%1%2%3, анимация%4, продолжительность%5 секунд",
3050070,Поворот камеры,"Создание%1%2%3, анимация%4, продолжительность%5 секунд",
3050071,Установите разрешения камеры,Установите камеру%1%2 на%3,
3050072,Установите режим вращения камеры,Установите режим поворота камеры для%1 на%2,
3050073,Подключите камеру к объекту,Подключите камеру%1 к%2,
3050074,Установите камеру на место,Подключите камеру%1 к%2,
3050075,Восстановление свойств камеры,Восстановление свойств камеры для%1,
3050076,Set color style for player filter,Set the color style of %1’s filter to %2,
3050077,Установите шаблон фильтра игрока,Установите шаблон фильтра%1 в%2,
3050078,Телепортируйте игрока в указанный тип комнаты,Перенести%1 в номер типа%2,"1. Каждый игрок может срабатывать только один раз каждые 30 секунд
2. Если в настоящее время нет доступной комнаты, будет создана новая комната"
3050080,Перенос игрока на указанную карту и указанный тип комнаты,Отправьте%1 в комнату с идентификатором карты%2 и введите%3,"1. Каждый игрок может срабатывать только один раз каждые 30 секунд
2. Если в настоящее время нет доступной комнаты, будет создана новая комната"
3050081,Покажите всплывающее окно приглашения друга плееру,Всплывающее окно приглашения другу для%1,
3060001,Добавить игрока в группу,Добавить%1 в%2,
3060002,Удаление игрока из группы игроков,Удалить%1 из%2,
3060003,Очистить группу игроков,Очистить%1,
3060004,Выполнение триггеров на группах игроков,Выполнить%2 для каждого игрока в%1 и проверить условие триггера для%3,
3060005,Отображение информации чата для групп игроков,Показать сообщение%2 каждому игроку в%1,
3060006,Показывать текст окна отсека группе игроков,Показать окно отсека%2 каждому игроку в%1,
3070001,Создайте существо,"Создайте%2%3 в%1, лагерь принадлежит%4",
3070003,Поражение существ,Поражение%1,
3070004,Удалить существо,Удалить%1,
3070005,Победите тип существа,Поражение%1,
3070006,Удалить биологический тип,Удалить%1,
3070007,Установить биологические свойства,Установите свойство%2 для%1 в%3,
3070008,Установите тип биологического повреждения,Установите тип урона%1 на%2,
3070009,Установить биологический иммунный тип повреждения,Установите%1 иммунитет%2,
3070010,Установите биологические разрешения,Установите%2 из%1 в%3,
3070011,Заставьте существ играть анимированные выражения,Заставьте%1 играть%2,Диапазон входных значений параметра выражения анимации 1-20 Действие персонажа 1-10 Общее действие 11-20
3070012,Дает эффекты биологического состояния,Дает%1%2 эффект,
3070013,Биологический эффект состояния удаления,Удалить эффект%2 из%1,
3070014,Установите био-ориентированный угол,Установите ориентацию%1 на%2 градусов,
3070015,Установите биологическую локацию,Отправить%1%2,
3070016,Биологический автоматический поиск пути,Сделайте попытку%1 автоматически найти путь к%2,"Это событие имеет ограничение расстояния, за пределами определенного (около 32 квадратов) диапазона оно не срабатывает."
3070017,Заставь существ двигаться,Переместить%1 в%2 со скоростью%3,
3070018,Установить биологическую внешность,Установите внешний вид%1 на%2,
3070019,Восстановить биологический вид,Восстановить исходный вид%1,
3070022,"Вызывает существ, чтобы нанести ущерб игроку",%1 наносит%3%4 урона%2,"1. Источник повреждения можно получить как существо, и будет отображаться слово damage
2. Окончательная стоимость урона будет рассчитана на основе защиты
3. Он вызовет соответствующие события (такие как повреждение существа, повреждение существа и т. Д.), Но не вызовет атаку существа, атаку жизни и другие события."
3070023,Причинять вред существам,%1 наносит%3%4 урона%2,"1. Источник повреждения можно получить как существо, и будет отображаться слово damage
2. Окончательная стоимость урона будет рассчитана на основе защиты
3. Он вызовет соответствующие события (такие как повреждение существа, повреждение существа и т. Д.), Но не вызовет атаку существа, атаку жизни и другие события."
3070024,Сделать существа вредят цели в области,%1 наносит%3%4 урона целям в пределах%2,"1. Если вы наносите повреждения всем (включая себя), вы можете получить источник повреждений как существо, и будет отображаться слово damage
2. Окончательная стоимость урона будет рассчитана на основе защиты
3. Он вызовет соответствующие события (такие как повреждение существа, повреждение существа и т. Д.), Но не вызовет атаку существа, атаку жизни и другие события."
3070025,Замена существо,"Замените%1 на%2, сохраните баллы здоровья в процентах как%3","1. Храните графическую информацию существа после замены
2. Команда существ остается неизменной после замены
3. Биологические переменные также изменятся, например: организм хранится в переменной до замены, а после замены его на организм В значение, хранящееся в переменной, изменяется от организма А к организму В (затрагиваются только биологические переменные, а не переменные биологического типа)"
3070026,Настройте биологическую команду,Установите команду%1 в%2,
3070027,Снимите биологический тип повреждения иммунной системы,Удалить%1 Иммунный%2,
3070028,Удаляет все эффекты состояния с существа,Удалить все эффекты статуса на%1,
3070029,Удаляет все негативные эффекты состояния с существа,Удалите все негативные эффекты статуса на%1,
3080001,Добавить существо в био группу,"Добавьте%1, чтобы указать%2",
3080002,Удалить организм из биома,Удалить%1 из%2,
3080003,Опорожнить биома,Очистить%1,
3080004,Выполнить триггер на биоме,"Выполнить%2 для каждого существа в%1, проверяя условие триггера%3",
3100001,Создание элементов в хранилище,Создайте%1%2 для хранения%3,
3100002,Удалить реквизит в ящике хранения,Удалить%2%3 из указанного ящика хранения%1,
3100003,Реквизит для опорожнения ящика для хранения,Опорожнить все элементы в указанном ящике хранения%1,
3100004,Создать бросок,"Создать%2 в%1, запустить в%3",
3100005,Создание бросков игрока,"Создайте%3, принадлежащий%2 в указанном%1, запуск в%4",
3100006,Удаляю броски,Удалить%1,
3100007,Создать дроп,Создание капель%2%3 на указанном%1,
3100008,Удалить выпавшие предметы,Удалить%1,
3100009,"Изменить элемент, чтобы остыть","Измените%2 на%1, чтобы охладиться до%3 секунд",
310001,Компонентная графика движения,"%1 Продолжительность одиночного запуска%2 секунд, время воспроизведения%3",
3100010,Реквизит остынь,Круто%2 из%1,
3100011,Создание бросков существ,"Создайте%3, принадлежащий%2 в указанном%1, запуск в%4",
3100012,Заставьте игрока стрелять снарядами,Сделать%1 пожар%3 на%2,
3100013,Заставьте существ стрелять снарядами,Сделать%1 пожар%3 на%2,
3100014,Изменить внешний вид элемента,Измените внешний вид%1 на%2,
3100015,Изменить внешний вид снаряда,Измените внешний вид%1 на%2,
3100016,Действие реквизита,"Сделать%1 портативным элементом%2, режим воспроизведения%3",
3100017,Бросание объекта играть действие,"Сделать%1 воспроизведением%2, режим воспроизведения%3",
3100018,Действие воспроизведения объекта,"Сделать%1 воспроизведением%2, режим воспроизведения%3",
310002,Текстовая анимационная графика,%1 длительность%2 секунды,
310003,Плавное перемещение,Переключиться на X%2 Y%3 за%1 секунды,
310004,Плавное приращение координат,Через%1 секунд переместите координаты%2%3%4,
310005,Плавное масштабирование,Увеличение до ширины%2 высота%3 за%1 секунд,
310006,Плавное увеличение ширины и высоты,%2 размер%3%4 в%1 секунд,
310007,Плавное вращение,Поворот на%2 градуса за%1 секунды,
310008,Гладкий угол увеличения,Через%1 сек измените угол%2%3 градусов,
3110001,Запустить таймер обратного отсчета,"Запуск%1, обратный отсчет%2 секунд, повтор%3",
3110002,Запустить таймер вперед,Начало%1,
3110003,Таймер паузы,Пауза%1,
3110004,Таймер восстановления,Восстановить%1,
3110005,Таймер остановки,Остановить%1,
3110006,время ожидания,После ожидания%1 секунд переходите к следующему действию,
3110007,Установите таймер,Установите%1 на%2 секунд,
3110009,Показать окно таймера,"Показать окно%2 для%1, заголовок%3",
3110010,Скрыть окно таймера,Скрыть окно%2 из%1,
3120001,Установить местоположение,Установите%1 на%2,
3120002,Установленная область,Установите%1 на%2,
3120003,Установить значение,Установите%1 на%2,
3120004,Установить булевое значение,Установите%1 на%2,
3120005,Сет плеер,Установите%1 на%2,
3120006,Установите тип блока,Установите%1 на%2,
3120007,Установите тип элемента,Установите%1 на%2,
3120008,Установить существо,Установите%1 на%2,
3120009,Установите тип существа,Установите%1 на%2,
3120010,Установить строку,Установите%1 на%2,
3120011,Установите тип эффекта,Установите%1 на%2,
3130001,Играть эффекты на месте,"Проиграть%2 на%1, размер%3",
3130002,Играть спецэффекты на игрока,"Проиграть%2 на%1, размер%3",
3130003,Играть спецэффекты на существ,"Проиграть%2 на%1, размер%3",
3130004,Играть спецэффекты на снаряды,"Проиграть%2 на%1, размер%3",
3130005,Удаление эффектов на локации,Удалить%2 на%1,
3130006,Удаление спецэффектов на игроках,Удалить%2 на%1,
3130007,Удалить спецэффекты на существах,Удалить%2 на%1,
3130008,Удалить спецэффекты на броски,Удалить%2 на%1,
3130009,Установить размер эффекта положения,Установите размер%2 для%1 на%3,
3130010,Установить размер эффекта игрока,Установите размер%2 для%1 на%3,
3130011,Установите размер биоэффекта,Установите размер%2 для%1 на%3,
3130012,Установить размер эффекта метателя,Установите размер%2 для%1 на%3,
3130013,Воспроизведение спецэффектов на выпавшие предметы,"Проиграть%2 на%1, размер%3",
3130014,Удаление спецэффектов на выпавшие предметы,Удалить%2 на%1,
3130015,"Играйте спецэффекты на игроков, держащих предметы","Воспроизвести%2 на карманном устройстве%1, размер%3",
3130016,"Удаление спецэффектов на предметах, удерживаемых игроком",Удалить%2 из карманного элемента%1,
3130017,Играть специальные эффекты на типы предметов игрока,"Воспроизвести%3 на всех%2s%1, размер%4",
3130018,Удаление специальных эффектов на элементах ярлыков игрока,Удалить панель ярлыков%3 из%2 из%1,
3140012,Заставьте игрока играть звуковые эффекты,"Сделать%1 воспроизведение сцены%2, громкость%3, тон%4, цикл%5",
3140013,Заставьте существо играть звуковые эффекты,"Сделать%1 воспроизведение сцены%2, громкость%3, тон%4, цикл%5",
3140014,Воспроизведение звуковых эффектов на месте,"Воспроизведение сцены%2, громкость%3, тон%4, цикл%5 на%1",
3140015,Выключите звук плеера,Закрыть%2 на%1,
3140016,Выключите био звук,Закрыть%2 на%1,
3140017,Выключите звук положения,Закрыть%2 на%1,
3140018,Воспроизведение звуковых эффектов интерфейса для групп игроков,"Интерфейс воспроизведения%2 для%1, громкость%3, тон%4, цикл%5",
3140019,Воспроизведение интерфейса звуковых эффектов для проигрывателя,"Интерфейс воспроизведения%2 для%1, громкость%3, тон%4, цикл%5",
3140020,Отключите звуковые эффекты интерфейса группы игроков,Закрыть%1 Интерфейс воспроизведения%2,
3140021,Отключить звуковые эффекты интерфейса плеера,Закрыть%1 Интерфейс воспроизведения%2,
3140022,Воспроизведение музыки интерфейса для проигрывателя,"Интерфейс воспроизведения от%2 до%1, том%3, цикл%4","Звук, воспроизводимый этим событием, управляется переключателем ""Звуковой эффект"", установленным проигрывателем, и звук не может быть услышан после выключения ""Звукового эффекта""."
3140023,Пауза / возобновление интерфейса проигрывателя Музыка,%1%2 Воспроизведение музыки интерфейса,
3150001,Выполнить скрипт,Выполнить скрипт%1,
3160001,Играть объявление (старый),"Включите объявление на%1, название слота%2 и запустите%3 (старое)",
3160002,Откройте магазин разработчика (старый),Заставьте%1 открыть магазин разработчиков (срабатывать может только нажатие кнопки и освобождение),
3160003,Показать окно покупки продукта,"Показать окно покупки%2 для%1, реферала%3",
3160004,Воспроизвести видео,Откройте%2 на%1 и воспроизведите видео автоматически,
3160005,Играть рекламу,"Включите объявление на%1, название слота%2 и запустите%3 (только для запуска нажмите и отпустите кнопку)",
3160006,Открыть магазин разработчика,Открыть магазин разработчиков для%1,
3160007,Откройте страницу обозначения магазина разработчиков,"Откройте магазин разработчиков%2 для%1, имя магазина%3",
3160008,Откройте страницу сведений о продукте,Открыть страницу сведений о%2 в%1 (только нажатие кнопки и триггер релиза),
3160009,Откройте страницу сведений о продукте для кожи,Открыть страницу сведений о%2 в%1 (только нажатие кнопки и триггер релиза),
3160010,Показать окно покупки скина,"Показать окно покупки%2 для%1, реферала%3",
3160011,Откройте страницу скина магазина разработчиков,Откройте обложку хранилища разработчиков для%1 (только нажатие кнопки и отпускание кнопки может сработать),
3161001,Установите статус цели курса,Установите статус завершения последовательности задач%1 на%2,
3161002,Показать целевую область курса,Установите целевую область задачи на%1,
3170001,Создание графической информации о местоположении,Создать%2 на%1,
3170002,Создание графической информации о плеере,"Создание%2 на%1, смещение расстояния от%4 до%3",
3170003,Создание графической информации об организмах,"Создание%2 на%1, смещение расстояния от%4 до%3",
3170004,Создание графической информации о снарядах,"Создание%2 на%1, смещение от%4 до%3",
3170005,Удалить тип графической информации о местоположении,Удалить%3 пронумеровано%2 на%1,
3170006,Удалить тип графического сообщения на проигрывателе,Удалить%3 пронумеровано%2 на%1,
3170007,Удалить графический тип информации на существо,Удалить%3 пронумеровано%2 на%1,
3170008,Удаление графического сообщения типа на снаряд,Удалить%3 пронумеровано%2 на%1,
3170009,Создание информации о местоположении в виде плоского текста,"Создание%2 для%1, смещение от%3 до X, от%4 до Y",
3170010,Создание плоской графической информации о плеере,"Создание%2 для%1, смещение от%3 до X, от%4 до Y",
3170011,Создание плоской графической информации по организму,"Создание%2 для%1, смещение от%3 до X, от%4 до Y",
3170012,Создание плоской графической информации о снарядах,"Создание%2 для%1, смещение от%3 до X, от%4 до Y",
3180001,Добавьте любое значение в любую группу,Добавить%2 в%1,"1. Добавьте положение: вставьте значение в конце
2. При использовании этого действия для добавления значений к типам переменных, таким как группа местоположений, группа области, группа существ, группа игроков, группа таймеров и т. д., одно и то же значение не может быть добавлено повторно
3. Группа значений, строковая группа, булева группа значений, группа блочного типа, группа типа элемента, группа биологического типа, группа типа специального эффекта и другие типы переменных могут многократно добавлять одно и то же значение"
3180002,Установите значение указанного числа на null в любой группе,Установите значение%2 равным нулю в%1,"Установив его в null, он также займет позицию, например, a = {1,2,3}, если 1 равно null, то a = {nil, 2,3}"
3180003,Установите любое значение на null в любой группе,Установите%2 в значение null в%1,"Очистка соответствия содержимого установит все те же значения в null, например a = {1, 1, 2, 3} Установите 1 в null, затем a = {nil, nil, 2, 3}"
3180004,Очистить любую группу,Очистить%1,Удалить все значения группы
3180005,Вставить любое значение в любую группу,Вставить%3 в%2 из%1,"Вставка вперед повлияет на порядок. Например, если a = {1, 2, 3, 4} вставляет 5 во вторую позицию, то a = {1, 5, 2, 3, 4}"
3180006,Удаляет значение указанного числа в любой группе,Удалить значение числа%2 в%1,"Удаление значения повлияет на сортировку, следующие значения переносятся вперед, например a = {1, 2, 3, 4}, после удаления 2, a = {1, 3, 4}"
3180007,Удалить любое значение в любой группе,Удалить%2 из%1,"Содержимое соответствует четкому, например a = {1,1,2,3} удалить 1 удалить все 1, затем a = {2,3}"
3180008,Пустые значения null для любой группы,Пустое нулевое значение%1,"Автоматически переносить после очистки нулевого значения, например a = {1, nil, 2, nil, nil, 3}, после очистки становится a = {1,2,3}"
3180009,Добавление набора значений в любую группу,Добавьте все значения%2 в%1,"Добавьте все значения группы b, включая нулевые значения, в конец группы a в исходном порядке группы b. Например a = {1,2,3}, b = {4,5,6} Добавьте b к a, затем a = {1,2,3,4,5,6}"
3180010,Установите набор значений на null в любой группе,"В%1 установите значение, дублируемое%2, равным null","1. deDuplicate, установите для повторяющихся значений группы A и группы B значения null, и повторяющиеся значения null не будут удалены
2. Если существует несколько повторяющихся значений, предыдущее значение предпочтительно устанавливается равным нулю, например a = {1, 1, 1, 2, 3} b = {1, 1, 2}, становится a = {nil, nil, 1, nil, 3}, предпочтительно ix = 1 и ix = 1 из 2"
3180011,Удаление набора значений в любой группе,В%1 удалите повторяющиеся значения из%2,"1. deduplicate, удалить повторяющиеся значения групп A и B, и повторяющиеся нулевые значения будут удалены
2. Если есть несколько повторяющихся значений, первое значение будет удалено первым, например a = {1, 1, 1, 2, 3} b = {1, 1, 2}, после удаления оно станет a = {1, 3}, а 1 из ix = 1 и ix = 2 будет удален первым."
3180012,Вставка набора значений в любую группу,Вставить все значения%3 в бит%2%1,"1. Вставьте вперед, влияя на порядок. Например, a = {1,2,3,4} вставляет b = {5,6,7} во вторую позицию, затем a = {1,5,6,7,2,3,4}
2. Если вставленная позиция не имеет значения, она совпадает с присваиванием. Например, a = {1,2,3}, вставить b = {4,5,6} в четвертую позицию, то a = {1,2,3,4,5,6}"
3180013,Задает значение указанного числа в любой группе,Установите значение числа%2 в%1 на%3,"Операция назначения, такая же, как существующая логика назначения"
3180014,Замените любое значение в любой группе,Заменить все%2 в%1 на%3,"Замените все совпадения, например a = {1, 1, 1, 2, 3}, замените 1 на 5, затем a = {5, 5, 5, 2, 3}"
3180015,Сортировка значений произвольных групп,Упорядочить%2 для значения%1,"1. Сортировка по размеру номера
2. Группа строк отсортирована по длине строки, и такая же длина в соответствии с исходным порядком"
3190001,Скрытые компоненты,Сделать свойство%1%2%3 скрытым,
3190002,Установить текстовое содержимое,Заставьте%1 установить текст%3 из%2 в%4,
3190003,Установить шаблон\ содержимое кнопки,Пусть%1 установит шаблон%3 из%2 для%4,
3190004,Установите размер шаблона\ кнопки,Сделать%1 установить ширину%4 и высоту%5 из%3 из%2,
3190005,Установить размер шрифта текста,Сделать%1 набор шрифтов%3 из%2 для%4,
3190006,Установить цвет компонента,Заставьте%1 установить цвет%3 для%2 в%4,
3190007,Элемент дисплея,Сделать%1 отображаемым свойство отображения%2%3,
3190008,Вращающийся элемент,Заставьте%1 поставить%3 из%2 на поворот%4 по часовой стрелке,
3190009,Открытый интерфейс,Сделать%1 открытым%2,
3190010,Закрыть интерфейс,Отключить%1%2,
3190011,Установить прозрачность компонентов,Сделать%1%3 прозрачным от%2 до%4,
3190012,Переключить состояние страницы,Переключить%2 из%1 на%3,
3190013,Установить положение компонента,Пусть%1 установит координаты%3 для%2 на X%4 Y%5,
3190014,Переключение состояния страницы (умная анимация),Переключить%2 из%1 на%3 анимацию%4 длительностью%5 секунд,
3190015,Открытый интерфейс (анимационная графика),Откройте%1 для%2 движущейся графики%3 в течение%4 секунд,
3190016,Закрыть интерфейс (анимированная графика),Выключите%1 из%2 динамической графики%3 на%4 секунды,
3190017,Компоненты дисплея (анимационная графика),"Сделать%1 установить%3 отображение%2, графика движения%4 продолжительность%5 секунд",
3190018,Скрытые компоненты (анимационная графика),"Сделать%1 скрытым%3 из%2, анимационную графику%4 на%5 секунд",
3190019,Графика движения элементов воспроизведения,Сделать%1 настроенным%3 из%2 для воспроизведения движущейся графики%4,
3190020,Воспроизведение компонентной графики движения и ожидание,Заставьте%1 установить%3 из%2 для воспроизведения анимированной графики%4 и подождите,
3190021,Установка текстового контента (анимированная графика),Заставьте%1 установить текст%3 из%2 в%4 и воспроизвести анимированную графику%5,
3190022,Плавное перемещение элементов по координатам,Сделать%1 настроенным%3 плавное движение%4 из%2,
3190023,Плавное увеличение координат компонентов,Сделать%1 настроенным%3 плавное движение%4 из%2,
3190024,Плавное масштабирование компонентов по ширине и высоте,Сделать%1 настроенным%3 плавное движение%4 из%2,
3190025,Плавное увеличение ширины и высоты компонентов,Сделать%1 настроенным%3 плавное движение%4 из%2,
3190026,Гладкий вращающийся элемент под углом,Сделать%1 настроенным%3 плавное движение%4 из%2,
3190027,Гладкий угол увеличения элемента,Сделать%1 настроенным%3 плавное движение%4 из%2,
3190028,Остановить всю анимационную графику,"Сделайте так, чтобы%1 установил%3 в%2, чтобы прекратить воспроизведение всей анимированной графики",
3200001,Установите изображение приборной панели проигрывателя,Установите изображение%1%2 на%3,"1. Та же панель дисплея может отображать различное содержание к различным игрокам
2. Событие должно быть выполнено один раз, чтобы все игроки могли увидеть один и тот же контент"
3200002,Видео настройки дисплея плеера,Установите ссылку на видео%1%2 на%3,"1. Та же панель дисплея может отображать различное содержание к различным игрокам
2. Событие должно быть выполнено один раз, чтобы все игроки могли увидеть один и тот же контент"
3200003,Настройка интерфейса приборной панели проигрывателя,Установите для интерфейса отображения%1%2 значение%3,"1. Та же панель дисплея может отображать различное содержание к различным игрокам
2. Событие должно быть выполнено один раз, чтобы все игроки могли увидеть один и тот же контент"
3200004,Отображение приборной панели для игрока,Показать%2 для%1,"Панель дисплея может иметь разные состояния для каждого игрока, она может отображаться игроку A, а игрок B может быть скрыт"
3200005,Скрыть приборную панель от проигрывателя,Установите%2 для скрытия на%1,"Панель дисплея может иметь разные состояния для каждого игрока, она может отображаться игроку A, а игрок B может быть скрыт"
3200006,Установите режим воспроизведения видео на приборной панели проигрывателя,Установите режим воспроизведения видео для%1%2 на%3,
3200007,Настройка веб-видео для панелей управления плеером,Установите ссылку на веб-видео%1%2 на%3,
320001,Значение координат камеры,Значение координат камеры%2 для%1,
320002,Угол камеры,Угол камеры%2 для%1,
320003,Поле зрения камеры,Поле зрения камеры (FOV) для%1,
3210001,Установите значения игроков в таблицах лидеров,Установите значение%2 для%3 в%1,"1. Индексируется по мини-номеру игрока, устанавливает значение игрока в таблице лидеров сервера
2. Сохраните данные игрока в таблицу лидеров сервера, и вы сможете составить полную таблицу лидеров
#3. Кто входит в таблицу лидеров первым с таким же счетом
4. Таблица лидеров должна быть загружена на карту, прежде чем она вступит в силу на карте облачного сервера."
3210002,,,
3210003,Удаление значений игроков из списков лидеров,Удалить значение%2 в%1,
3210004,Удалить значение указанного имени в таблице лидеров,Удалить значение%2 в%1,
3210005,Сделать значение указанного игрока в таблице лидеров самостоятельно вычислить,Добавьте%3 к значению%2 в%1,"Это действие можно использовать, когда несколько комнат работают с одним и тем же значением, не заставляя значения перезаписывать друг друга."
3210006,Сделать значение указанного имени в таблице лидеров самооценкой,Добавьте%3 к значению%2 в%1,"Это действие можно использовать, когда несколько комнат работают с одним и тем же значением, не заставляя значения перезаписывать друг друга."
