ID,任务名,任务描述,任务追踪
2001033,브라스 픽 I,처리 @item_11011#@1#r(주로 소모품 @item_11006#및 @item_11329#에서 처리),가공 @item_11011#@1
2001034,황동 선택 II,처리 @item_11011#@1#r(주로 소모품 @item_11006#및 @item_11329#에서 처리),가공 @item_11011#@1
2001035,미트릴 곡괭이 1세,처리 @item_11013#@1#r(주로 소모품 @item_11006#및 @item_11209#에서 처리),가공 @item_11013
2001036,미트릴 곡괭이 II,처리 @item_11013#@1#r(주로 소모품 @item_11006#및 @item_11209#에서 처리),가공 @item_11013
2001037,티타늄 합금 곡괭이 I,처리 @item_11014#@1#r(주로 소모품 @item_11006# 및 @item_11330#에서 처리),가공 @item_11014
2001038,티타늄 합금 곡괭이,처리 @item_11014#@1#r(주로 소모품 @item_11006# 및 @item_11330#에서 처리),가공 @item_11014
2001039,드릴Ⅰ,@item_11015#을(를) 가공하는 방법은 대개 @item_11203#과 @item_11911#을(를) 소모하여 가공하는 것입니다.,@item_11015#을(를) 가공하는 방법은 @item_11015#을(를) 1회 가공하는 것입니다.
2001040,드릴Ⅱ,@item_11015#를 가공하여 @item_11203#과 @item_11911#을 소모하여 주로 제작합니다.,@item_11015#를 가공합니다.
2001041,스타 동공 드릴 비트 I,처리 @item_11016 #@1#r (주로 소모품 @item_11073 #에서 처리),가공 @item_11016
2001042,스타 동공 드릴 II,처리 @item_11016 #@1#r (주로 소모품 @item_11073 #에서 처리),가공 @item_11016
2002001,비옥한 구덩이,"삽 도구를 사용하여 @item_103#@1 #r(@item_11022 #, align @item_101#또는 @item_100 #과 같은 휴대용 삽 도구를 사용하여 사용 버튼을 클릭합니다(PC 측의 오른쪽 버튼을 길게 눌러 구멍을 파십시오).",삽 도구를 사용하여 @item_103#@1을 파냅니다.
2002002,촉촉한 토양,"@item_11628#to water @item_103#1 #r (@item_11617 #을 사용하여 물을 채우고, @item_11628 #을 사용하여 @item_103#또는 @item_102 #를 눌러 적시십시오)",@item_11628#을 사용하여 물 @item_103#@1
2002003,체리 트리 I,"@item_103#심기 @item_11405#@1 #r(일반적으로 초원, 숲 생태에서 자란다)",친절 @item_11405
2002004,체리 트리 II,"@item_103#심기 @item_11405#@1 #r(일반적으로 초원, 숲 생태에서 자란다)",친절 @item_11405
2002005,체리 트리 III,"@item_103#심기 @item_11405#@1 #r(일반적으로 초원, 숲 생태에서 자란다)",친절 @item_11405
2002006,소나무 1세,@item_103#@item_11406#@1 #r(일반적으로 고산 침엽수림 생태에서 재배),친절 @item_11406
2002007,소나무 II,@item_103#@item_11406#@1 #r(일반적으로 고산 침엽수림 생태에서 재배),친절 @item_11406
2002008,소나무 III,@item_103#@item_11406#@1 #r(일반적으로 고산 침엽수림 생태에서 재배),친절 @item_11406
2002009,식목 I,@item_103 #@item_11407 #@1#r(일반적으로 열대우림 생태계에서 자란다),친절 @item_11407
2002010,식목 II,@item_103 #@item_11407 #@1#r(일반적으로 열대우림 생태계에서 자란다),친절 @item_11407
2002011,식목 III,@item_103 #@item_11407 #@1#r(일반적으로 열대우림 생태계에서 자란다),친절 @item_11407
2002012,복숭아 나무 I,@item_103#@item_11409#@1 #r(일반적으로 피치트리 분지 생태학에서 재배됨),친절 @item_11409
2002013,복숭아 나무 II,@item_103#@item_11409#@1 #r(일반적으로 피치트리 분지 생태학에서 재배됨),친절 @item_11409
2002014,복숭아 나무 III,@item_103#@item_11409#@1 #r(일반적으로 피치트리 분지 생태학에서 재배됨),친절 @item_11409
2002015,포플러 1세,"@item_103#심기 @item_11410#@1 #r(일반적으로 초원, 숲 생태에서 자란다)",친절 @item_11410
2002016,포플러 II,"@item_103#심기 @item_11410#@1 #r(일반적으로 초원, 숲 생태에서 자란다)",친절 @item_11410
2002017,포플러 III,"@item_103#심기 @item_11410#@1 #r(일반적으로 초원, 숲 생태에서 자란다)",친절 @item_11410
2002018,호두 1세,@item_103@item_11411#@1#r(일반적으로 빈 섬에서 재배)에 심기,친절 @item_11411
2002019,호두 II,@item_103@item_11411#@1#r(일반적으로 빈 섬에서 재배)에 심기,친절 @item_11411
2002020,호두 III,@item_103@item_11411#@1#r(일반적으로 빈 섬에서 재배)에 심기,친절 @item_11411
2002021,삼나무 1세,@item_103#@item_11412#@1 #r(일반적으로 맹그로브 생태학에서 재배됨),친절 @item_11412
2002022,삼나무 II,@item_103#@item_11412#@1 #r(일반적으로 맹그로브 생태학에서 재배됨),친절 @item_11412
2002023,삼나무 III,@item_103#@item_11412#@1 #r(일반적으로 맹그로브 생태학에서 재배됨),친절 @item_11412
2002024,Populus euphratica I,@item_103#@item_11421#@1 #r(일반적으로 사막 생태학에서 재배됨),친절 @item_11421
2002025,Populus euphratica II,@item_103#@item_11421#@1 #r(일반적으로 사막 생태학에서 재배됨),친절 @item_11421
2002026,Populus euphratica III,@item_103#@item_11421#@1 #r(일반적으로 사막 생태학에서 재배됨),친절 @item_11421
2002027,젠무 1세,@item_137 #@item_11408 #@1 #r (보통 사랑스러운 별에서 자란다),친절 @item_11408
2002028,젠무 2세,@item_137 #@item_11408 #@1 #r (보통 사랑스러운 별에서 자란다),친절 @item_11408
2002029,젠무 3세,@item_137 #@item_11408 #@1 #r (보통 사랑스러운 별에서 자란다),친절 @item_11408
2002030,바나나 나무 I,@item_103 #@item_383 #@1#r(일반적으로 열대우림 생태계에서 자란다),친절 @item_383
2002031,바나나 나무 II,@item_103 #@item_383 #@1#r(일반적으로 열대우림 생태계에서 자란다),친절 @item_383
2002032,바나나 나무 III,@item_103 #@item_383 #@1#r(일반적으로 열대우림 생태계에서 자란다),친절 @item_383
2002033,코코넛 1세,@item_103#@item_295 #@1 #r(일반적으로 해변 생태계에서 자란다),친절 @item_295
2002034,코코넛 II,@item_103#@item_295 #@1 #r(일반적으로 해변 생태계에서 자란다),친절 @item_295
2002035,코코넛 III,@item_103#@item_295 #@1 #r(일반적으로 해변 생태계에서 자란다),친절 @item_295
2002036,선인장 1세,@item_103 #@item_11420 #@1#r(일반적으로 사막 생태학에서 재배됨),친절 @item_11420
2002037,선인장 II,@item_103 #@item_11420 #@1#r(일반적으로 사막 생태학에서 재배됨),친절 @item_11420
2002038,선인장 III,@item_103 #@item_11420 #@1#r(일반적으로 사막 생태학에서 재배됨),친절 @item_11420
2003001,도라지 1세,"@item_103#심기 @item_431#@1 #r (@item_300#보통 초원, 복숭아 나무 분지 및 기타 생태계에서 자랍니다)",친절 @item_431
2003002,도라지 II,"@item_103#심기 @item_431#@1 #r (@item_300#보통 초원, 복숭아 나무 분지 및 기타 생태계에서 자랍니다)",친절 @item_431
2003003,도라지 III,"@item_103#심기 @item_431#@1 #r (@item_300#보통 초원, 복숭아 나무 분지 및 기타 생태계에서 자랍니다)",친절 @item_431
2003004,루올란 1세,"@item_103#심기 @item_432#@1 #r (@item_301#보통 숲, 침엽수림 등에서 자랍니다.)",친절 @item_432
2003005,루올란 2세,"@item_103#심기 @item_432#@1 #r (@item_301#보통 숲, 침엽수림 등에서 자랍니다.)",친절 @item_432
2003006,루올란 3세,"@item_103#심기 @item_432#@1 #r (@item_301#보통 숲, 침엽수림 등에서 자랍니다.)",친절 @item_432
2003007,스타 플라워 I,"@item_103#심기 @item_433#@1 #r (@item_302 #는 보통 빈 섬, 절벽 등에서 자랍니다.)",친절 @item_433
2003008,스타 플라워 II,"@item_103#심기 @item_433#@1 #r (@item_302 #는 보통 빈 섬, 절벽 등에서 자랍니다.)",친절 @item_433
2003009,스타 플라워 III,"@item_103#심기 @item_433#@1 #r (@item_302 #는 보통 빈 섬, 절벽 등에서 자랍니다.)",친절 @item_433
2003010,드래곤 블러드 플라워 I,"@item_103#심기 @item_434#@1 #r (@item_303#보통 대나무 숲 분지, 복숭아 나무 분지 및 기타 생태계에서 자랍니다)",친절 @item_434
2003011,드래곤 블러드 플라워 II,"@item_103#심기 @item_434#@1 #r (@item_303#보통 대나무 숲 분지, 복숭아 나무 분지 및 기타 생태계에서 자랍니다)",친절 @item_434
2003012,드래곤 블러드 플라워 III,"@item_103#심기 @item_434#@1 #r (@item_303#보통 대나무 숲 분지, 복숭아 나무 분지 및 기타 생태계에서 자랍니다)",친절 @item_434
2003013,히아신스 1세,"@item_103#심기 @item_435#@1 #r (@item_304#보통 정글, 숲 및 기타 생태계에서 자랍니다)",친절 @item_435
2003014,히아신스 2세,"@item_103#심기 @item_435#@1 #r (@item_304#보통 정글, 숲 및 기타 생태계에서 자랍니다)",친절 @item_435
2003015,히아신스 3세,"@item_103#심기 @item_435#@1 #r (@item_304#보통 정글, 숲 및 기타 생태계에서 자랍니다)",친절 @item_435
2003016,드래곤 클로 I,@item_103#@item_436#@1 #r (@item_305#보통 절벽 생태학에서 자란다),친절 @item_436#@1
2003017,용의 발톱 II,@item_103#@item_436#@1 #r (@item_305#보통 절벽 생태학에서 자란다),친절 @item_436#@1
2003018,드래곤 클로 III,@item_103#@item_436#@1 #r (@item_305#보통 절벽 생태학에서 자란다),친절 @item_436#@1
2003019,옐로우 벨 플라워 I,"@item_103#심기 @item_443#@1 #r (@item_312#보통 초원, 정글 및 기타 생태계에서 자랍니다)",친절 @item_443
2003020,옐로우 벨 플라워 II,"@item_103#심기 @item_443#@1 #r (@item_312#보통 초원, 정글 및 기타 생태계에서 자랍니다)",친절 @item_443
2003021,노란 종꽃 III,"@item_103#심기 @item_443#@1 #r (@item_312#보통 초원, 정글 및 기타 생태계에서 자랍니다)",친절 @item_443
2003022,드라카에나 1세,"@item_103#심기 @item_437#@1 #r (@item_306#보통 늪, 열대우림 등에서 자랍니다.)",친절 @item_437
2003023,드라카에나 2세,"@item_103#심기 @item_437#@1 #r (@item_306#보통 늪, 열대우림 등에서 자랍니다.)",친절 @item_437
2003024,드라카에나 3세,"@item_103#심기 @item_437#@1 #r (@item_306#보통 늪, 열대우림 등에서 자랍니다.)",친절 @item_437
2003025,레드 데킬라 1세,"@item_103#심기 @item_438#@1 #r (@item_307#보통 빈 섬, 후기 섬 및 기타 생태계에서 자랍니다)",친절 @item_438
2003026,레드 데킬라 II,"@item_103#심기 @item_438#@1 #r (@item_307#보통 빈 섬, 후기 섬 및 기타 생태계에서 자랍니다)",친절 @item_438
2003027,레드 데킬라 3세,"@item_103#심기 @item_438#@1 #r (@item_307#보통 빈 섬, 후기 섬 및 기타 생태계에서 자랍니다)",친절 @item_438
2003028,오렌지 데킬라 1세,"@item_103#심기 @item_439#@1 #r (@item_308#보통 대나무 숲 분지, 후기 섬 및 기타 생태계에서 자랍니다)",친절 @item_439
2003029,오렌지 데킬라 II,"@item_103#심기 @item_439#@1 #r (@item_308#보통 대나무 숲 분지, 후기 섬 및 기타 생태계에서 자랍니다)",친절 @item_439
2003030,오렌지 아가베 III,"@item_103#심기 @item_439#@1 #r (@item_308#보통 대나무 숲 분지, 후기 섬 및 기타 생태계에서 자랍니다)",친절 @item_439
2003031,그레이 데킬라 1세,"@item_103#심기 @item_440#@1 #r (@item_309 #는 보통 절벽, 후기 섬 등에서 자랍니다.)",친절 @item_440
2003032,회색 데킬라 II,"@item_103#심기 @item_440#@1 #r (@item_309 #는 보통 절벽, 후기 섬 등에서 자랍니다.)",친절 @item_440
2003033,그레이 아가베 III,"@item_103#심기 @item_440#@1 #r (@item_309 #는 보통 절벽, 후기 섬 등에서 자랍니다.)",친절 @item_440
2003034,핑크 데킬라 1세,"@item_103#심기 @item_441#@1 #r (@item_310#보통 복숭아나무 분지, 후기 섬 및 기타 생태계에서 자랍니다)",친절 @item_441
2003035,핑크 데킬라 II,"@item_103#심기 @item_441#@1 #r (@item_310#보통 복숭아나무 분지, 후기 섬 및 기타 생태계에서 자랍니다)",친절 @item_441
2003036,핑크 데킬라 III,"@item_103#심기 @item_441#@1 #r (@item_310#보통 복숭아나무 분지, 후기 섬 및 기타 생태계에서 자랍니다)",친절 @item_441
2003037,화이트 코코넛 1세,@item_103#@item_442#@1 #r (@item_311#보통 침엽수림 생태계에서 자란다),친절 @item_442
2003038,화이트 코코넛 II,@item_103#@item_442#@1 #r (@item_311#보통 침엽수림 생태계에서 자란다),친절 @item_442
2003039,화이트 코코넛 III,@item_103#@item_442#@1 #r (@item_311#보통 침엽수림 생태계에서 자란다),친절 @item_442
2003040,브라이어 1,"@item_103#@item_444#@1 #r (@item_313#보통 늪지, 정글 등에서 자랍니다.)",친절 @item_444
2003041,브라이어 II,"@item_103#@item_444#@1 #r (@item_313#보통 늪지, 정글 등에서 자랍니다.)",친절 @item_444
2003042,브라이어 III,"@item_103#@item_444#@1 #r (@item_313#보통 늪지, 정글 등에서 자랍니다.)",친절 @item_444
2003043,겨울 따뜻한 꽃 I.,@item_121#Planting@item_760#@1#r(@item_761#은 일반적으로 빙원 생태에서 자랍니다),종(種) @item_760 #@1
2003044,겨울 따뜻한 꽃 II,@item_121#Planting@item_760#@1#r(@item_761#은 일반적으로 빙원 생태에서 자랍니다),종(種) @item_760 #@1
2003045,겨울 따뜻한 꽃 III.,@item_121#Planting@item_760#@1#r(@item_761#은 일반적으로 빙원 생태에서 자랍니다),종(種) @item_760 #@1
2004001,옥수수 I,"식물 @item_11400#@1#r (식물 @item_11400#in @item_102 #, 성숙 후 수집하여 @item_229 #)",심기 @item_11400
2004002,옥수수 II,"식물 @item_11400#@1#r (식물 @item_11400#in @item_102 #, 성숙 후 수집하여 @item_229 #)",심기 @item_11400
2004003,옥수수 III,"식물 @item_11400#@1#r (식물 @item_11400#in @item_102 #, 성숙 후 수집하여 @item_229 #)",심기 @item_11400
2004004,고구마 I,"식물 @item_241#@1 #r (식물 @item_241#in @item_102 #, 성숙 후 수집하여 @item_241 #)",심기 @item_241
2004005,고구마 II,"식물 @item_241#@1 #r (식물 @item_241#in @item_102 #, 성숙 후 수집하여 @item_241 #)",심기 @item_241
2004006,고구마 III,"식물 @item_241#@1 #r (식물 @item_241#in @item_102 #, 성숙 후 수집하여 @item_241 #)",심기 @item_241
2004007,면화 I,"식물 @item_11419#@1 #r (식물 @item_11419#in @item_102 #, 만기 후 수집하여 @item_12600 #)",심기 @item_11419
2004008,면화 II,"식물 @item_11419#@1 #r (식물 @item_11419#in @item_102 #, 만기 후 수집하여 @item_12600 #)",심기 @item_11419
2004009,면화 III,"식물 @item_11419#@1 #r (식물 @item_11419#in @item_102 #, 만기 후 수집하여 @item_12600 #)",심기 @item_11419
2004010,거대한 스케일 깃털 I,"식물 @item_11402#@1 #r (식물 @item_11402#in @item_102 #, 만기 후 수집하여 @item_239 #)",심기@item_11402#@1
2004011,거대한 스케일 깃털 II,"식물 @item_11402#@1 #r (식물 @item_11402#in @item_102 #, 만기 후 수집하여 @item_239 #)",심기@item_11402#@1
2004012,거대한 스케일 깃털 III,"식물 @item_11402#@1 #r (식물 @item_11402#in @item_102 #, 만기 후 수집하여 @item_239 #)",심기@item_11402#@1
2004013,마크로브루커스 1세,"식물 @item_11401#@1 #r (식물 @item_11401#in @item_102 #, 만기 후 수집하여 @item_230 #)",심기 @item_11401
2004014,마크로브루커스 II,"식물 @item_11401#@1 #r (식물 @item_11401#in @item_102 #, 만기 후 수집하여 @item_230 #)",심기 @item_11401
2004015,마크로브루커스 III,"식물 @item_11401#@1 #r (식물 @item_11401#in @item_102 #, 만기 후 수집하여 @item_230 #)",심기 @item_11401
2004016,오이 1세,"식물 @item_236#@1#r (식물 @item_236#in @item_102 #, 성숙 후 수집하여 @item_236 #)",심기 @item_236#@1
2004017,오이 II,"식물 @item_236#@1#r (식물 @item_236#in @item_102 #, 성숙 후 수집하여 @item_236 #)",심기 @item_236#@1
2004018,오이 III,"식물 @item_236#@1#r (식물 @item_236#in @item_102 #, 성숙 후 수집하여 @item_236 #)",심기 @item_236#@1
2004019,쌀 I,"식물 @item_234#@1 #r (식물 @item_11404#물에 한 블록 높이, 성숙 후 수집하여 @item_234 #)",심기 @item_234
2004020,쌀 II,"식물 @item_234#@1 #r (식물 @item_11404#물에 한 블록 높이, 성숙 후 수집하여 @item_234 #)",심기 @item_234
2004021,쌀 III,"식물 @item_234#@1 #r (식물 @item_11404#물에 한 블록 높이, 성숙 후 수집하여 @item_234 #)",심기 @item_234
2004022,반대편에 파인애플 I,"식물 @item_11654#@1 #r (식물 @item_1194#in @item_150 #, 만기 후 수집하여 @item_11654 #)",@item_150#@item_1194#@1에서 성장
2004023,비욘드 파인애플 II,"식물 @item_11654#@1 #r (식물 @item_1194#in @item_150 #, 만기 후 수집하여 @item_11654 #)",@item_150#@item_1194#@1에서 성장
2004024,히건 파인애플 III,"식물 @item_11654#@1 #r (식물 @item_1194#in @item_150 #, 만기 후 수집하여 @item_11654 #)",@item_150#@item_1194#@1에서 성장
2004025,산호 I,"식물 @item_11915#1 #r @item_25#(산호는 @item_25 #, @item_29#및 @item_128 #을 제외하고 물에 심어야 합니다)",친절 @item_11915
2004026,산호 II,"식물 @item_11915#1 #r @item_25#(산호는 @item_25 #, @item_29#및 @item_128 #을 제외하고 물에 심어야 합니다)",친절 @item_11915
2004027,산호 III,"식물 @item_11915#1 #r @item_25#(산호는 @item_25 #, @item_29#및 @item_128 #을 제외하고 물에 심어야 합니다)",친절 @item_11915
2004028,인 I,식물 @item_11658#1 #r @item_23#(던져진 @item_11658 #은 발아하려면 @item_23 #의 상단 표면을 중심으로 해야 합니다),친절 @item_11658
2004029,인 II,식물 @item_11658#1 #r @item_23#(던져진 @item_11658 #은 발아하려면 @item_23 #의 상단 표면을 중심으로 해야 합니다),친절 @item_11658
2004030,인 III,식물 @item_11658#1 #r @item_23#(던져진 @item_11658 #은 발아하려면 @item_23 #의 상단 표면을 중심으로 해야 합니다),친절 @item_11658
2005001,수조 공급,가공 @item_1753,가공 @item_1753
2005002,사료,"처리 @item_11534#@1#r(사료의 종류가 다르고, 식습관이 다른 동물은 좋아하는 사료만 먹는다)",가공 @item_11534
2005003,채워진 사료 수조,@item_11534#를 @item_1753#@1에 넣으십시오#r(사료 수조가 사료로 채워진 후 주변의 포획 동물은 배고플 때 스스로 먹습니다),@item_1753#@1을 @item_11534#로 채웁니다.
2005004,건초 더미,처리 @item_822#@1#r(포유류는 @item_822# 근처에서 번식해야 함),가공@item_822#@1
2005005,두두 1세 번식,번식 낙서 새 @1#r (낙서 새는 알을 낳기 위해 @item_1019 #주변에 있어야 합니다),번식 낙서 @1
2005006,두두 2세 번식,번식 낙서 새 @1#r (낙서 새는 알을 낳기 위해 @item_1019 #주변에 있어야 합니다),번식 낙서 @1
2005007,두두 3세 번식,번식 낙서 새 @1#r (낙서 새는 알을 낳기 위해 @item_1019 #주변에 있어야 합니다),번식 낙서 @1
2005008,번식 Wobos I,번식 볼보 비스트 @1#r(볼보 비스트는 번식하기 위해 @item_822 #주변에 있어야 합니다),사육 워보스 @1
2005009,번식 Wobos II,번식 볼보 비스트 @1#r(볼보 비스트는 번식하기 위해 @item_822 #주변에 있어야 합니다),사육 워보스 @1
2005010,번식 Wowort III,번식 볼보 비스트 @1#r(볼보 비스트는 번식하기 위해 @item_822 #주변에 있어야 합니다),사육 워보스 @1
2005011,번식 부두 부두 I,번식 부두 부두 @1#r(번식하려면 부두 부두를 @item_822#로 둘러싸야 함),번식부두@1
2005012,번식부두 II,번식 부두 부두 @1#r(번식하려면 부두 부두를 @item_822#로 둘러싸야 함),번식부두@1
2005013,번식부두 III,번식 부두 부두 @1#r(번식하려면 부두 부두를 @item_822#로 둘러싸야 함),번식부두@1
2005014,뿔사슴 번식 I,뿔사슴 번식 @1#r(뿔사슴은 번식하기 위해 @item_822# 주위에 있어야 함),뿔사슴 사육@1
2005015,뿔사슴 번식 II,뿔사슴 번식 @1#r(뿔사슴은 번식하기 위해 @item_822# 주위에 있어야 함),뿔사슴 사육@1
2005016,뿔사슴 번식 III,뿔사슴 번식 @1#r(뿔사슴은 번식하기 위해 @item_822# 주위에 있어야 함),뿔사슴 사육@1
2005017,번식 여우 I,번식 여우 @1#r(여우는 번식하기 위해 @item_822 #주변에 필요함),번식여우@1
2005018,번식 여우 II,번식 여우 @1#r(여우는 번식하기 위해 @item_822 #주변에 필요함),번식여우@1
2005019,번식 여우 III,번식 여우 @1#r(여우는 번식하기 위해 @item_822 #주변에 필요함),번식여우@1
2005020,펭귄 번식 I,펭귄 번식 @1,펭귄 번식 @1
2005021,번식 펭귄 II,펭귄 번식 @1,펭귄 번식 @1
2005022,번식 펭귄 III,펭귄 번식 @1,펭귄 번식 @1
2005023,야생 타조 번식 I,야생 타조 번식 @1#r(야생 타조는 알을 낳기 위해 @item_1019 #주변에 필요),야생 타조 번식 @1
2005024,야생 타조 번식 II,야생 타조 번식 @1#r(야생 타조는 알을 낳기 위해 @item_1019 #주변에 필요),야생 타조 번식 @1
2005025,야생 타조 번식 III,야생 타조 번식 @1#r(야생 타조는 알을 낳기 위해 @item_1019 #주변에 필요),야생 타조 번식 @1
2005026,야생 얼음 곰 번식 I,야생 얼음 곰 사육 @1#r (얼음 곰은 번식하기 위해 @item_822# 주위에 있어야 합니다),야생 얼음 곰 번식 @1
2005027,야생 얼음 곰 번식 II,야생 얼음 곰 사육 @1#r (얼음 곰은 번식하기 위해 @item_822# 주위에 있어야 합니다),야생 얼음 곰 번식 @1
2005028,야생 얼음 곰 번식 III,야생 얼음 곰 사육 @1#r (얼음 곰은 번식하기 위해 @item_822# 주위에 있어야 합니다),야생 얼음 곰 번식 @1
2005029,날으는 닭 번식 I,날으는 닭 번식 @1,날으는 닭 번식 @1
2005030,날으는 닭 번식 II,날으는 닭 번식 @1,날으는 닭 번식 @1
2005031,날으는 닭 번식 III,날으는 닭 번식 @1,날으는 닭 번식 @1
2005032,싸우는 닭 번식 I,번식 배틀 치킨 @1,번식 배틀 치킨 @1
2005033,번식 배틀 치킨 II,번식 배틀 치킨 @1,번식 배틀 치킨 @1
2005034,번식 배틀 치킨 III,번식 배틀 치킨 @1,번식 배틀 치킨 @1
2005035,야생 원숭이 번식 I,야생 원숭이 번식 @1,야생 원숭이 번식 @1
2005036,야생 원숭이 번식 II,야생 원숭이 번식 @1,야생 원숭이 번식 @1
2005037,야생 원숭이 번식 III,야생 원숭이 번식 @1,야생 원숭이 번식 @1
2005038,번식 스노우 헤어 I.,번식 눈 토끼 @ 1,번식 눈 토끼 @ 1
2005039,번식 스노우 헤어 II,번식 눈 토끼 @ 1,번식 눈 토끼 @ 1
2005040,번식 스노우 헤어 III,번식 눈 토끼 @ 1,번식 눈 토끼 @ 1
2005041,번식 야크 I.,번식 야크 @ 1,번식 야크 @ 1
2005042,번식 야크 II,번식 야크 @ 1,번식 야크 @ 1
2005043,번식 야크 III,번식 야크 @ 1,번식 야크 @ 1
2006001,볼보 길들이기 I,@item_12500#을 사용하여 볼보를 길들이기 @1,@item_12500#을 사용하여 볼보를 길들이기 @1
2006002,웨이버 길들이기 II,@item_12500#을 사용하여 볼보를 길들이기 @1,@item_12500#을 사용하여 볼보를 길들이기 @1
2006003,웨이버 길들이기 III,@item_12500#을 사용하여 볼보를 길들이기 @1,@item_12500#을 사용하여 볼보를 길들이기 @1
2006004,여우 길들이기 I,@item_12052#를 사용하여 여우를 길들이십시오 @1,@item_12052#를 사용하여 여우를 길들이십시오 @1
2006005,여우 길들이기 II,@item_12052#를 사용하여 여우를 길들이십시오 @1,@item_12052#를 사용하여 여우를 길들이십시오 @1
2006006,여우 길들이기 III,@item_12052#를 사용하여 여우를 길들이십시오 @1,@item_12052#를 사용하여 여우를 길들이십시오 @1
2006007,야생 타조 길들이기 I,야생 타조를 길들이기 위해 @item_12508#을 사용하세요 @1,야생 타조를 길들이기 위해 @item_12508#을 사용하세요 @1
2006008,야생 타조 길들이기 II,야생 타조를 길들이기 위해 @item_12508#을 사용하세요 @1,야생 타조를 길들이기 위해 @item_12508#을 사용하세요 @1
2006009,야생 타조 길들이기 III,야생 타조를 길들이기 위해 @item_12508#을 사용하세요 @1,야생 타조를 길들이기 위해 @item_12508#을 사용하세요 @1
2006010,야생 얼음 곰 길들이기 I,야생 얼음 곰을 길들이기 위해 @item_12520#을 사용하세요 @1,야생 얼음 곰을 길들이기 위해 @item_12520#을 사용하세요 @1
2006011,길들이기 야생 얼음 곰 II,야생 얼음 곰을 길들이기 위해 @item_12520#을 사용하세요 @1,야생 얼음 곰을 길들이기 위해 @item_12520#을 사용하세요 @1
2006012,길들이기 야생 얼음 곰 III,야생 얼음 곰을 길들이기 위해 @item_12520#을 사용하세요 @1,야생 얼음 곰을 길들이기 위해 @item_12520#을 사용하세요 @1
2006013,길들이기 야생 애슬론 I,@item_12543#을 사용하여 야생 벨로시랩터를 길들이기 @1,@item_12543#을 사용하여 야생 벨로시랩터를 길들이기 @1
2006014,길들이기 야생 애슬론 II,@item_12543#을 사용하여 야생 벨로시랩터를 길들이기 @1,@item_12543#을 사용하여 야생 벨로시랩터를 길들이기 @1
2006015,길들이기 야생 애슬론 III,@item_12543#을 사용하여 야생 벨로시랩터를 길들이기 @1,@item_12543#을 사용하여 야생 벨로시랩터를 길들이기 @1
2006016,야생 만두 길들이기 I,@item_12576 #길들인 야생 만두 #@1 사용,@item_12576 #길들인 야생 만두 #@1 사용
2006017,야생 만두 길들이기 II,@item_12576 #길들인 야생 만두 #@1 사용,@item_12576 #길들인 야생 만두 #@1 사용
2006018,야생 만두 길들이기 III,@item_12576 #길들인 야생 만두 #@1 사용,@item_12576 #길들인 야생 만두 #@1 사용
2006019,야생 판다 길들이기 I,@item_251#을 사용하여 야생 판다를 길들이기 @1,@item_251#을 사용하여 야생 판다를 길들이기 @1
2006020,야생 판다 길들이기 II,@item_251#을 사용하여 야생 판다를 길들이기 @1,@item_251#을 사용하여 야생 판다를 길들이기 @1
2006021,길들이기 야생 판다 III,@item_251#을 사용하여 야생 판다를 길들이기 @1,@item_251#을 사용하여 야생 판다를 길들이기 @1
2006022,날으는 닭 길들이기 I,날아다니는 닭을 길들이기 위해 @item_12601#을 사용하세요 @1,날아다니는 닭을 길들이기 위해 @item_12601#을 사용하세요 @1
2006023,날으는 닭 길들이기 II,날아다니는 닭을 길들이기 위해 @item_12601#을 사용하세요 @1,날아다니는 닭을 길들이기 위해 @item_12601#을 사용하세요 @1
2006024,날으는 닭 길들이기 III,날아다니는 닭을 길들이기 위해 @item_12601#을 사용하세요 @1,날아다니는 닭을 길들이기 위해 @item_12601#을 사용하세요 @1
2006025,야생 원숭이 길들이기 I,야생 원숭이를 길들이기 위해 @item_11599#를 사용하세요 @1,야생 원숭이를 길들이기 위해 @item_11599#를 사용하세요 @1
2006026,야생 원숭이 길들이기 II,야생 원숭이를 길들이기 위해 @item_11599#를 사용하세요 @1,야생 원숭이를 길들이기 위해 @item_11599#를 사용하세요 @1
2006027,야생 원숭이 길들이기 III,야생 원숭이를 길들이기 위해 @item_11599#를 사용하세요 @1,야생 원숭이를 길들이기 위해 @item_11599#를 사용하세요 @1
2006028,길들이기 Yan Crab I,@item_12521#을 사용하여 Yan crab @1 길들이기,@item_12521#을 사용하여 Yan crab @1 길들이기
2006029,길들이기 Yan Crab II,@item_12521#을 사용하여 Yan crab @1 길들이기,@item_12521#을 사용하여 Yan crab @1 길들이기
2006030,길들이기 Yan Crab III,@item_12521#을 사용하여 Yan crab @1 길들이기,@item_12521#을 사용하여 Yan crab @1 길들이기
2006031,참새와 워블러 길들이기 I,@item_12603#을 사용하여 참새 워블러를 길들이십시오 @1,@item_12603#을 사용하여 참새 워블러를 길들이십시오 @1
2006032,워블러 길들이기 II,@item_12603#을 사용하여 참새 워블러를 길들이십시오 @1,@item_12603#을 사용하여 참새 워블러를 길들이십시오 @1
2006033,참새와 난쟁이 길들이기 III,@item_12603#을 사용하여 참새 워블러를 길들이십시오 @1,@item_12603#을 사용하여 참새 워블러를 길들이십시오 @1
