ID,名字,描述,购买提示,特别效果1描述,特别效果2描述,特别效果3描述,特别效果4描述,特别效果5描述,特别效果6描述
105,Ash,"Ash fait en sorte que ses apparitions sont en parfait état tous les matins, pour correspondre à la noblesse de sa licorne. Ces derniers temps, beaucoup ont les yeux rivés sur la licorne, elle ne remettra ce précieux cadeau d'anniversaire par Wolf à tout le monde!",@Null@,Empreinte: laissant des empreintes traces de Little Red Riding Hood,Avatar:unlock profile picture,@Null@,,,
106,Cool Mini,"Un instructeur de Mini codage, équipé des pouvoirs magiques de programmation.",Obtenu en Gashapon,Effets corps: Sci-fi Les particules flottantes autour de vous,Avatar:unlock profile picture,Empreinte,,,
107,Loup,"« Partager un secret avec vous, grand-mère Wolf est vrai! » Le conte de fées préféré de Wolf et Ash. Aujourd'hui, vêtu de son costume de loup et le tablier de grand-mère, déguisé en grand méchant loup à polisson Ash qui aime agir. Puisque tout le monde est maudit, pourquoi ne pas nous créons notre propre aventure de conte de fées!",@Null@,Empreinte: laissant des empreintes traces de loup,Avatar:unlock profile picture,@Null@,,,
108,Fée céleste - Ya,"La prospérité du monde céleste a attiré les yeux de Ya. Armé de son instrument quatre cordes, elle se déplace à travers le monde, effectuer d'innombrables chansons avec un cœur et une attitude calme immuable.",@Null@,Effets corps: particules d'or flotte autour de vous,Avatar:unlock profile picture,@Null@,,,
109,Prince Dragon - Chanson,"Après l'expérience d'innombrables douleurs dans le monde des mortels, il a décidé de suivre son cœur et de rester sur le monde céleste avec des dragons comme ses compagnons, loin du monde des mortels.",Débloquer de l'événement,Avatar: déverrouiller photo de profil,Footprint: Laissant l'empreinte de dragon quand il passe,@Null@,,,
110,Roselle,"Les nuits d'été, le jardin magique tire une grande balle. Roselle a été surprise de constater que le bleu qui était apparu dans son rêve se dirigeait vers le centre de la scène. Ce qui est venu avec lui était la même chose que les pétales déchus qu'elle a trouvé-Hydrangea bleue.",@Null@,Avatar: déverrouiller photo de profil,Empreintes: Leaving roses empreinte partout où elle va,@Null@,,,
111,Mandarine Tabby,"« ! Un gourmet de génie, je veux juste manger de la nourriture de partout Même si il y a tant de délices dans le monde, mon préféré est toujours le goût de taiyaki cuisiné par mes parents. » - Mandarine Tabby a déclaré après un entretien avec Mini Daily.",Débloqué par paquets-cadeaux ou événement,Avatar: déverrouiller photo de profil,Empreintes: Leaving pawprint de fleurs partout où il va,@Null@,,,
112,Hydrangea Charles,"La balle à l'extérieur du palais est aussi colorée que les étoiles et les feux d'artifice. Quand le prince Charles a vu Roselle, il ne pouvait pas cacher sa joie intérieure et sortir avec précaution des roses délicates qu'il a ramassées.",Season Pass,Avatar: déverrouiller photo de profil,Effets corps: particules bleu flotte autour de vous,@Null@,,,
113,Bulles,« Avez-vous entendu la légende de la mer bleue? » Le Bulles bien informé est né un explorateur. Il aime observer le monde à travers des bulles et peut trouver les détails que tout le monde ne peut pas voir.,Débloqué par paquets-cadeaux ou événement,Avatar: déverrouiller photo de profil,Empreintes: Leaving imprime dophin partout où il va,@Null@,,,
114,Fleur Dewie,Swap Xiaolou première de la peau,@Null@,Avatar: déverrouiller photo de profil,Effets corps: particules de fleur flotte autour de vous,@Null@,,,
115,Frost de princesse,"Une princesse qui existe depuis la naissance du pays des merveilles de Yeloli vivant dans un palais de cristal glacé, la déesse du gel et de la glace. En raison de sa personnalité glacée, elle n'a jamais eu d'amis mais son cœur est pur et gentil, ne peut pas supporter de blesser personne.",@Null@,Avatar: déverrouiller photo de profil,Effets corporels: cristaux de glace flottant autour de vous,@Null@,,,
116,Rory,"Une princesse du pays des merveilles de Yeloli, a les pouvoirs magiques de la guérison et de l'amour. Après avoir été transformé en poupée par la reine, elle a rencontré un prince qu'ils ont fait un pacte ensemble et retrouvé sa forme et ses pouvoirs magiques. Une gentille heureux-go-chanceux qui aime les fraises.",@Null@,Avatar: déverrouiller photo de profil,Effets corporels: particules de coeur flottant autour de vous,@Null@,,,
117,Chatoyant,"Tout comme la lumière, sa forme est déterminée par celle qui la convoque, semblable à l'existence d'une ombre, son vrai soi n'est pas encore connu qui conduisait à son profond désir de liberté.",@Null@,Avatar: déverrouiller photo de profil,Effets corporels: Particules dorées flottant autour de vous,@Null@,,,
118,Cinderella,"«Avec le pouvoir de l'imagination, les miracles ne sont pas impossibles» est la devise de Cendrillon optimiste. Même en faisant des tâches ménagères, elle s'imagine être une belle princesse de conte de fées, et son ami de fée transformait son imagination en réalité pendant la balle royale.",@Null@,Avatar: déverrouiller photo de profil,Empreintes: laissant une empreinte de roses roses partout où elle va,@Null@,,,
119,Princesse âme,"Un membre du pavillon Lingxi, de la fée Sainte-niveau, doux et sympathique, elle vit au temple des fleurs alors qu'elle les adore et chérit toute la vie et toute l'âme, gardant le monde avec tout son amour et son cœur.",@Null@,Avatar: déverrouiller photo de profil,Empreintes de pas: laisse une empreinte de talons cristallins,@Null@,,,
120,Dragonien - écailleux,"Scaly n'a jamais quitté les océans: en raison des histoires de Nazha, il a développé une phobie des terres. Dans cette aventure, il devient beaucoup plus courageux et découvre que les terres ne sont pas aussi effrayantes que sa pensée. Tous ceux-ci ne sont qu'un test de son père pour lui permettre de devenir successeur des eaux de surf.",@Null@,Avatar: déverrouiller photo de profil,Effets corporels : cristaux de glace magiques flottant sur le corps.,@Null@,,,
121,Miaou miaou,"Que voulez-vous dire par je suis petit! Empêchez-vous quand cet os de poisson apparaîtra à votre canapé? Lively et Gratuit, Meow Meow aime montrer ses compétences en fléchettes avec les os de poisson. Ne soyez pas bluffé par ses jolies apparences, comme il est le célèbre roi du méchant.",@Null@,Avatar: déverrouiller photo de profil,Empreintes de pas: Laisse une empreinte de tête de chat,@Null@,,,
122,Swan blanc - Odette,"Comme la journée rencontre la nuit, les rêves et la réalité croise la voie. Mais qui suis-je parmi tous?",@Null@,Avatar: déverrouiller photo de profil,Effets corporels: plumes de cygne blanc flottant autour de vous!,@Null@,,,
123,Cecil,"L'un des huit membres du pavillon de Lingxi, vit dans les pays saints du pays des merveilles de Yeloli - quatre horloges, avec le pouvoir de contrôler le temps et d'innombrables identités. Avec des cheveux longs d'argent et des yeux comme les galaxies, nobles et élégants, gardez le calme et continuez.",@Null@,Avatar: déverrouiller photo de profil,Empreintes: Laisse une empreinte d'horloge,@Null@,,,
124,Jessie,"Jessie et Jerry sont des besties qui ont grandi ensemble. Elle était timide mais influencée par le Bravado de Jerry, elle a appris à utiliser ses cloches pour convoquer de petites méduses d'aide et elle n'avait plus peur. Parce que l'arme secrète la plus puissante est la puissance de la bravoure et de l'amitié!",@Null@,Avatar: déverrouiller photo de profil,Empreintes: Laisse une empreinte de méduse,@Null@,,,
125,Rapide swirly,"Sweety Swirly est un homme impatient avec une énergie sans fin qu'il ne pouvait pas s'arrêter même pendant un moment. Il aime collecter de petites choses, donc si vous aviez besoin de quelque chose, demandez simplement rapidement swirly! Il pourrait juste avoir ce dont vous avez besoin.",@Null@,Avatar: déverrouiller photo de profil,Empreintes: Laisse une empreinte d'escargot,@Null@,,,
126,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
127,Swan noir - Odette,"La réalité et les rêves séparés, jour et nuit ont leur propre existence unique, et moi, je suis juste moi-même.",@Null@,Avatar: déverrouiller photo de profil,Effets corporels: plumes violettes flottant autour de vous,@Null@,,,
128,Grenouille prince - croak,"Accrochez un peu plus, et vous pourriez accomplir votre promesse avec elle. #r un chercheur de l'habitat du marais, regardant toujours la petite balle d'or dans ses paumes pour s'encourager. Dans ce marais humide, réside son espoir à midi.",@Null@,Avatar: déverrouiller photo de profil,Empreintes de pas: Laisse une empreinte de feuilles de lotus,@Null@,,,
129,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
130,Blanche-Neige - Sophia,"Ce sont mes meilleurs amis, un total de 7 d'entre eux. Le magasin de jouets de Sophia a de nombreuses poupées exquises. Elle murmure souvent aux poupées comme si elles étaient vivantes. Pour obtenir ses poupées, vous ne pouvez pas utiliser de l'argent, mais vous devez plutôt l'échanger avec quelque chose de très important pour vous. Qu'est-ce que ça peut être?",@Null@,Avatar: déverrouiller photo de profil,Empreintes: Laisse une empreinte Apple,@Null@,,,
131,Hansel,"Le garçon qui était réfléchi et a pris bien soin de sa sœur. Lui et sa sœur ont été perdus dans la forêt dense depuis plus d'un mois, mais miraculeusement revenue ensemble. Il a rarement mentionné son expérience dans la forêt dense, mais il a porté la baguette depuis. L'oiseau sur l'épaule aurait été ramassé à cette époque.",@Null@,Avatar: déverrouiller photo de profil,Empreintes: laisse une empreinte de pain,@Null@,,,
132,Gréel,"Gretel fait confiance à son frère, aime la collecte et la cuisine, surtout bon à la cuisson et à la fabrication de desserts. Elle affirme que ces compétences sont apprises lorsqu'elle est perdue. Comment a-t-elle appris ces compétences dans la forêt déserte dense?",@Null@,Avatar: déverrouiller photo de profil,Empreintes: laisse une empreinte de la fleur de pêche,@Null@,,,
133,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
134,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
135,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
136,Hurler,"Qui en savoir plus sur le pouvoir des émotions que moi? #r comme le patron de la compagnie de Happy Movers, Hurle convivial peut bouger tout et son humeur se reflète directement sur son expression. Si vous voyez le motif sur son changement de corset, ne vous inquiétez pas, c'est juste hurlement de se préparer à libérer le pouvoir de ses émotions!",@Null@,Avatar: déverrouiller photo de profil,Empreintes de pas: laisse une empreinte tête de patte,@Null@,,,
137,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
138,Printemps,"Aimez-vous écouter le son de la pluie? #r comme l'un des porteurs de saisons, le printemps est un chercheur écologique
d'Alpha Star, représente le pouvoir de la renaissance. Elle aime monter son trèfle géant quatre feuilles, manipuler les nuages ​​et la pluie. Bien que cela se sent à l'aise de passer du temps avec elle, son tempérament peut être volatil de la même manière que les manœuvres au printemps. S'il vous plaît maintenir autant que possible.",@Null@,Avatar: déverrouiller photo de profil,Effets corporels: Les papillons flotte autour de vous,@Null@,,,
139,L'été,"Comment mes performances de rue peuvent-elles être arrêtées par ce temps? #r Après devenus les porteurs de saisons, l'été devient plus couché par le monde au-delà, non affecté par la forte vague de chaleur éclatante. Tout comme la brise d'été, vous ne pouvez tout simplement pas prédire si c'est une brise fraîche ou une tempête de grêle dans le prochain moment.",@Null@,Avatar: déverrouiller photo de profil,Empreintes de pas: Laisse une ondulation d'eau Foorprint,@Null@,,,
140,Fruit d'automne,"Avoir du jus! Ce n'est pas moi qui contrôle la saison, le pouvoir de la nature m'a choisi. #r Contrairement à l'été et à l'hiver volatile, les fruits d'automne préfèrent le pouvoir calmant silencieux de la terre, en l'utilisant avec parcimonie. Ce voyage n'est pas seulement pour sauver nos maisons, mais pour maintenir les responsabilités fournies avec mes pouvoirs.",@Null@,Avatar: déverrouiller photo de profil,Effets corporels: feuille d'érable flottant autour du corps!,@Null@,,,
141,Petit bleu,"Petit Blue est la fée magique gardienne de la forteresse de la fée magique, sous les ordres de la fée magique Queen, elle s'est infiltrée au monde humain comme une nounou dans la famille Ling, également le meilleur ami et mentor magique OG Maggi et Snowy.",@Null@,Avatar: déverrouiller photo de profil,Empreinte: laissez une petite empreinte jaune fleur.,@Null@,,,
142,Fables,Sun Swap pour Sakura,@Null@,Avatar: déverrouiller photo de profil,Effets corporels: Bunnies flottant autour du corps!,@Null@,,,
143,Maggi,"Maggi est la soeur aînée des sœurs Ling, une petite fée magique du monde humain. Juste, optimiste, actif et gentil avec une touche d'esprit. Parfois arrogant, d'autres fois méchant et avec un talent pour la peinture, mais très impatient et ne veut pas étudier.",@Null@,Avatar: déverrouiller photo de profil,Empreinte: laissez une petite empreinte de fleur bleue.,@Null@,,,
144,Neigeux,"Snowy est la soeur plus jeune des sœurs Ling, une petite fée magique du monde humain. Généreux et mûri, intelligent et calme, fait des choses de manière méthodologique. Profitez d'étudier et de lire avec d'excellents résultats et très analytiques. Bien qu'elle soit plus jeune, elle finit par être celle qui s'occupe de la soeur aînée Maggi.",@Null@,Avatar: déverrouiller photo de profil,Empreinte: laissez une empreinte à bulles,@Null@,,,
145,Prince d'amusement,"L'amusement est le prince de la forteresse de la fée magique, avec des cheveux bleus, il a quitté la forteresse en raison d'un malentendu avec la fée magique reine. Bien qu'il puisse avoir l'air cool à l'extérieur, il est en fait un grand frère chaleureux rempli de justice et d'une petite fierté.",@Null@,Avatar: déverrouiller photo de profil,Effets corporels: Les étoiles brillent autour du corps!,@Null@,,,
146,Fleurs,"Sakura fleurit sur le chemin, alors que le saule verdoyant poussait à côté de l'étang, comme les pépites d'hirondelle, une autre année d'amour disparu étant passée. #R comme héritier d'un empire de jardinage, les fleurs protègent soigneusement les majestueux lits de fleurs de Nioh Star. Alors que la saison des fleurs se termine, elle touche doucement la plante en pot avec une foudre et murmura: Si seulement tu étais toujours autour ... Tout aurait été meilleur.",@Null@,Avatar: déverrouiller photo de profil,Effets corporels: flottant de pétales autour du corps!,@Null@,,,
147,Éclair,"Ce qui se situe au-delà des nuages, vous avez demandé, rien que de la pluie, du tonnerre, du vent et de la foudre et les pensées de la neige. #L Lightning aime marcher parmi les nuages. Il utilise souvent sa magie pour voler au sommet du ciel, en regardant dans toute la ville des personnes qui se précipitaient à travers la pluie et la neige. En ce moment, il se souviendra d'une rencontre sur Nioh Star: cette charmante dame et les beaux lits de fleurs de sa ville natale.",@Null@,Avatar: déverrouiller photo de profil,Empreinte: feuilles d'empreinte de gouttelettes d'eau.,@Null@,,,
148,Hiver,"Rien ne vaut la beauté des Blocs-nords, autres que vous. #r Lonely Star Voyagers, maudit par la bête vide afin de protéger leur patrie. En tant que l'une des soins gardiennes, il s'est porté volontaire pour devenir une arme pour la planète étoile, apportant la colère sur ses ennemis, contre sa nature douce. La tempête de blizzard la plus terrifiant que vous puissiez imaginer.",@Null@,Avatar: déverrouiller photo de profil,Empreinte: laisse une empreinte d'un petit univers.,@Null@,,,
149,Rareté,"Elle est la diva de Ponyville, belle et élégante, confiante et pleine de charme, est un designer de mode génie avec son propre magasin de mode. Elle aime voir les poneys portant les costumes qu'elle conçues et fabriquées.",@Null@,Avatar: déverrouiller photo de profil,Effets physiques: un petit diamant!,@Null@,,,
150,cidre fort,"Applejack a une bonne qualité d'être honnête et utile, soutient souvent et protège ses amis. Elle est principalement responsable de la récolte des pommes dans le Jardin de pomme sucré et du knay de chien de compagnie est son bon partenaire. Applejack représente ""honnête"".",@Null@,Avatar: déverrouiller photo de profil,Effet corporel: Petite pomme flottant autour du corps!,@Null@,,,
151,Aladdin,"""Poursuivre la piste de Kushia, allez au trésor du sable lunaire, aladdin ...""
Utilisé par Mysterious Magician, j'ai eu le livre magique sans mots ""Mille une nuit"" dans la ruine de sable lunaire pleine de pièges. Il est déterminé à résister, alors il s'est lancé dans un voyage de recherche des trésors du sable lunaire.",@Null@,Avatar: déverrouiller photo de profil,Effet corporel : Symboles mystérieux flottant autour du corps !,@Null@,,,
152,Pinocchio,"Même si fait de bois, afin de se sentir chaud, il embrasse volontiers les flammes brûlantes.",@Null@,Avatar: déverrouiller photo de profil,Empreinte: laisse une empreinte d'arcs.,@Null@,,,
153,Tasha,"La vie est l'horloge serrée, les gens sont fatigués de sa rotation, mais cela craignait qu'elle s'arrête au meilleur moment.",@Null@,Avatar: déverrouiller photo de profil,Effets corporels: plumes brillantes flottant autour du corps!,@Null@,,,
154,Amy,"Amy, Jessi et Alyssa sont besties et se battent ensemble contre le Seigneur de démon noir. L'odorat d'Amy est particulièrement sensible. Après avoir devenu la fée magique, souvent détecté l'ennemi avec son sens de l'odeur, ce qui aide beaucoup. Bien qu'elle soit douce, pleure facilement, mais elle est plus difficile qu'elle ne regarde et très calme lorsque des problèmes la trouvent.",@Null@,Avatar: déverrouiller photo de profil,Empreinte: laisse une trace d'empreinte d'étoiles.,@Null@,,,
155,Jessi,"Amy, Jessi et Alyssa sont besties et se battent ensemble contre le Seigneur de démon noir. Jessi est sensible aux couleurs et son imagination dépasse les gens ordinaires. Elle est un génie de peinture rare. Bien qu'elle parle rarement beaucoup mais elle est très gentille, même si sa personnalité est quelque peu persistante et têtue.",@Null@,Avatar: déverrouiller photo de profil,Effet corporel: glamour rose flottant autour du corps!,@Null@,,,
156,Alyssa,"Alyssa est la princesse du royaume de la magie de la Fort de la Fort. Elle a de beaux cheveux blonds, avec une queue de cheval double, portant une couronne. Son personnage est vivant et gai, aime parler et aventurier, sans peur, mais aussi impulsif. Peintures avec des couleurs magiques quand elle n'est pas heureuse.",@Null@,Avatar: déverrouiller photo de profil,Effets corporels: énergie magique flottant autour du corps!,@Null@,,,
157,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
158,Magicien vampirique lotte,"Un coup de sifflet, le chouette de la plume de neige volé, s'est arrêté dans les épaules de l'adolescent.
L'adolescent à la peau blanche pâle prend la lettre du hibou, clignant ses yeux verts, il inclina la tête pour demander,
""Avez-vous vu un vampire qui sait la magie?""",@Null@,Avatar: déverrouiller photo de profil,Effets corporels: Les étoiles magiques flottant autour de vous!,@Null@,,,
159,Fée lunaire,@Null@,@Null@,Avatar: déverrouiller photo de profil,Effets corporels: fleurs et lapins blanches imprètes flottant autour de vous!,@Null@,,,
160,Jade,"Pâte de lotus ou pâte de jujube? La crème anglaise ou matchta? Nous avons tout!
Les gâteaux de la Little Moon, dans sa peau extérieure ronde, se mentent à l'intérieur, plein de surprises.
Ce chef Lady exaugea une créativité illimitée, apportant des desserts de style chinois à un tout nouveau niveau qui est tenu de tendance à traverser l'univers! Et vous, prêt à accepter ce goût céleste doux?",@Null@,Avatar: déverrouiller photo de profil,Effets corporels: Petits papillons flottant autour de vous!,@Null@,,,
161,Trompette nita,"Nita était à l'origine une poupée de lapin en porcelaine dans le jardin de la maison de Roselle. Elle a été témoin de la situation où Roselle a tenté de pratiquer la magie dans le jardin tous les soirs parce qu'elle manquait sa mère et elle a donné la vie par magie. Passez à travers la jungle et repoussez les épines, elle voulait juste laisser le jardin magique fleurir à nouveau.",@Null@,Avatar: déverrouiller photo de profil,Effets corporels: Notes de musique Flottant autour de vous!,#cda5b0a est limité à la sortie du coffret cadeau Dream Building #n,,,
162,Batteur,"Nick et sa sœur Nita sont une paire d'ornements céramiques de lapin que le conducteur a donné au jardin de la maison de Roselle. Contrairement à Nita qui veut rester dans le jardin, Nick se sent secrètement qu'il est plus important pour le chef d'orchestre et veut être de retour à l'orchestre.",@Null@,Avatar: déverrouiller photo de profil,Effets corporels: Notes de musique Flottant autour de vous!,#cda5b0a est limité à la sortie du coffret cadeau Dream Building #n,,,
163,Dragonbell,@Null@,@Null@,Avatar: déverrouiller photo de profil,Empreintes de pas: Les empreintes à vapeur Bun sont laissées partout où vous allez.,@Null@,,,
164,Dix-neuf,"Hé, il ressemble à un enfant, mais il est un maître réel. Avec la présence de Maître Wanli et de ses frères, le meurtre Move ""Dragon volant"" ne sera pas révélé facilement. Bien sûr, j'aime toujours jouer à des jeux avec mes frères le plus! Si vous perdez ... je vais pleurer pour vous!",@Null@,Avatar: déverrouiller photo de profil,Effets corporels: particules d'énergie flottant sur la tête!,@Null@,,,
165,Teddy chérie,"La douceur des bonbons doux et la rigidité des bonbons durs sont toutes en termes d'héritage. Juste avec douceur au milieu, doux et dur dans l'emballage, en termes d'innovation, l'ours de bonbons est le meilleur. Mille mots, le coeur de petit ours est le plus doux.",@Null@,Avatar: déverrouiller photo de profil,Empreintes: Les bonbons seront largués et les empreintes d'album seront laissées partout où vous marchez.,#cda5b0a est limité à la sortie du coffret cadeau Dream Building #n,,,
166,Rêveur,"Le bâillement est mon action de signature. Tout le monde m'appelle un rêveur de jour. Le soleil, les étoiles et la lune sont toutes dans mon oreiller doux. Mettre le bandeau et s'endormir immédiatement. Jour et nuit, venez rêver avec moi!",@Null@,Avatar: déverrouiller photo de profil,Effets corporels: bulles somnolentes flottant sur le corps!,#cda5b0a est limité à la sortie du coffret cadeau Dream Building #n,,,
167,Polly,"Lorsque les brumes de la vie sont découvertes, osez-vous aborder, la porte dissimulée qui cache la vérité?
Elle est la reine ""du château qui a commandé l'équipe et une fille tech qui a été emprisonnée à la maison. L'avez-vous entendu cela? Alors qu'elle pleure à voix haute:"" Celui qui me fettère deviendra sûrement les perdants sous ma jupe! """,@Null@,Avatar: déverrouiller photo de profil,Empreintes à pied: laissant des empreintes de pas de bulles rougeoyantes partout où vous marchez.,@Null@,,,
168,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
169,Sirène,"Comme les oiseaux chantent et dansent, comme cela concerne quelque chose sur les cœurs des gens. Comme le passé, et la brise était faible, le dirigeant du monde émergera-t-il. Elle comprend son destin et ses croyances. Parce que les choses qui doivent être gardées sont plus précieuses que l'or et les bijoux.",@Null@,Avatar: déverrouiller photo de profil,Effets corporels: Les feuilles de ginkgo dorées flottent sur le corps!,#cda5b0a Interactive: Vous pouvez déclencher une action interactive avec Hou vide! #n,,,
170,@Null@,@Null@,@Null@,@Null@,@Null@,@Null@,,,
171,Sky Marquis,L'empereur pris au piège dans un cauchemar a du mal à trouver la gloire persistante. Jusqu'à ce qu'il a entendu le cri de l'âme ... Avez-vous entendu le chant ...? Suivez et restez en vie!,@Null@,Avatar: déverrouiller photo de profil,Effets spéciaux du corps: Les particules d'énergie cyan flottent sur le corps!,#cda5b0a Interaction : Vous pouvez déclencher des mouvements interactifs avec le début de la paruline! #n,,,
172,Ni Yu'er,"Des jupes dansantes et des éventails de chant, des vêtements néons et des plumes, 
 Comme mon ventilateur et mes vêtements ? 
 Trouve juste cette fille !",,Photo de profil : Déverrouiller la photo de profil.,Effets sur le corps : Des fleurs vertes flottent !,,,,
173,Xie Zhili,"Au début des êtres humains, la nature est intrinsèquement bonne. Le sexe est proche, mais l'habitude est loin. 
 Si vous voulez que je dise, se battre et tuer n'est pas cool du tout.",,Photo de profil : Déverrouiller la photo de profil.,Effets corporels : les caractères chinois flottent autour du corps !,,,,
174,Coupé,"Lanterne à main, avec un corbeau sur votre épaule, qui est le gardien de la nuit?
Le corps est doté de la capacité de disperser les ténèbres, mais ne aspirait que pour un sommeil paisible et agréable.
Si quelqu'un n'est pas bon, laissez-le essayer ma croix!",@Null@,Avatar: déverrouiller photo de profil,Empreintes de pas: Les flammes noires sont laissées partout où vous marchez.,@Null@,,,
175,Olivia,"La nuit est décorée de fils de jupe, personne ne se ferme pour les bouquets. La fleur immortelle qui ne vit pas et ne meure pas, ne se transforme ni ne va-t-elle pas, pouvez-vous me dire que celui qui m'a sauvé élever un corbeau?",@Null@,Avatar: déverrouiller photo de profil,Empreintes: Les roses sont laissées partout où vous marchez.,@Null@,,,
176,Yuna,Se transformer en un joli chat noir ce soir et aller chez l'homme pour exercer les droits de cette sorcière!,@Null@,Avatar: déverrouiller photo de profil,Effets corporels: Les chauves-souris mystérieuses entourent le corps!,@Null@,,,
177,Andrew,"Comme la nuit est tombée, les ténèbres enveloppaient progressivement le monde. Les araignées forment des toiles, des voyages de chauve-souris, je suis le mystérieux et le mystérieux esprit d'Halloween.",@Null@,Avatar: déverrouiller photo de profil,Effets corporels: Les chauves-souris mystérieuses entourent le corps!,@Null@,,,
178,Extreme Beast Agent Wolf Silver,"Wolf Silver est né dans le clan Wolf Blanc, née agile, calme et décisive. Il est membre de la Haute Organisation spéciale de l'agent spécial Manda Star - ""Attack Beast"". L'arme utilisée par la collision est une refaite de la lame d'armes à feu à l'aide de Mecha Meow. Dans l'équipe, il agit comme un attaquant dans le combat au milieu de près. Le drone du rotor habituellement caché dans le gant peut être utilisé pour aider l'attaque.",@Null@,Avatar: déverrouiller photo de profil,Empreintes: Les icônes de l'agent sont laissées partout où vous marchez.,@Null@,,,
179,Âme princesse,"Le vrai nom est Hua Ling et la plupart des gens sont appelés l'âme princesse. Elle est la déesse qui gardait la vie. Elle vit dans le magnifique et magnifique temple de fleurs, respectant la vie et l'âme. Garder les créatures du monde avec amour, non seulement donne aux gens un sentiment d'intimité à l'extérieur, mais aussi très doux à l'intérieur.",@Null@,Avatar: déverrouiller photo de profil,Effets corporels: Il y a des fleurs et des papillons flottant sur le corps!,@Null@,,,
180,Dragonsky,"La fille de dragon recluse de Fairyland, mais a un cœur plein d'imagination et d'aspiration de la liberté. Par chance, rencontré Scaly, le petit dragonien et formé une amitié pour échanger des collations. J'ai acquis beaucoup de connaissances sur le monde extérieur de Scaly, dans l'espoir de venir en pratique un jour.",@Null@,Avatar: déverrouiller photo de profil,Empreintes à pied: laissant des empreintes osseuses où que vous marchiez.,#cda5b0a est limité à la sortie du coffret cadeau Dream Building #n,,,
181,Couple d'experts en Turquie,"Le couple est le chef mystérieux de la vedette de cuisine. Possède le magasin de Turquie qui ne s'ouvre que lorsque Thanksgiving s'approche de l'année. Et chaque fois qu'il apparaît, il apportera inévitablement sa coiffe de signature Turquie.",@Null@,Avatar: déverrouiller photo de profil,Empreintes: Les empreintes de Turquie sont laissées partout où vous marchez.,#cda5b0a est limité à la sortie du coffret cadeau Dream Building #n,,,
182,Strawberry Jam Berry,"Berry est la personne qui sait le meilleur des fraises. Elle profite de tous les aspects de la fraise, de la plantation et du bourgeonnement à la floraison et à la fructification, de cueillir sur le terrain à servir la table, Berry l'apprécie.",@Null@,Avatar: déverrouiller photo de profil,Empreintes de pas: Les empreintes de la fraise sont laissées partout où vous marchez.,#cda5b0a est limité à la sortie du coffret cadeau Dream Building #n,,,
183,Gank,"Ganesh combine la sagesse et l'art de briser les obstacles et de faire du succès et du bonheur. Il n'y aura pas de destin parfait et idéal au monde. Tous ceux qui veulent réussir, acquérir des connaissances ou une sagesse doivent faire des efforts et des sacrifices.",@Null@,Avatar: déverrouiller photo de profil,Effets corporels: Les pétales de lotus flottent sur le corps!,@Null@,,,
184,EDM Queen Sasha,"Sasha est la chanteuse la plus populaire de TerraStar, mais sa popularité a également causé ses problèmes majeurs et la carrière de musique de Sasha stagna depuis un moment. Jusqu'à ce qu'elle a rencontré Mini-Beat par hasard, cette DJ extrêmement talentueuse l'a inspirée et a commencé à expérimenter avec la création de musique électronique, qui a apporté Sasha au Pinnacle de sa carrière en tant que chanteur ...",@Null@,Avatar: déverrouiller photo de profil,Effets corporels: Notes colorées flottant sur le corps!,@Null@,,,
185,Tuteur céleste yuni,"Dans la forêt magique de Fairyland Star, où le dernier groupe de licornes dans le domaine de Phoenix a vécu. À une époque où la magie est de plus en plus rare, les licornes sont également confrontées à l'extinction. Comme le plus jeune du groupe, Yuni se portait volontairement et s'est lancé dans un voyage cahoteux pour utiliser la spécialité forestière ""Magic Pearl"" en échange du pouvoir magique de l'assistant ...",@Null@,Avatar: déverrouiller photo de profil,Empreintes de pas : laisse une empreinte de nœud papillon,@Null@,,,
186,Yun shang,"Elle est une créatrice de costumes avec une capacité et une imagination intégrées, et un voyageur interstellaire qui attire l'attention sur la créativité et l'héritage.
Elle se refroidit entre les différentes planètes du territoire Dragon Star, étudiant divers styles de vêtements.
Si vous voulez essayer différents styles de dressing, cherchez-la!",@Null@,Avatar: déverrouiller photo de profil,Effets corporels: fleurs roses flottant sur le corps!,@Null@,,,
187,Xiang er,"Xiang ER est l'ambassadeur d'hiver de la vedette et elle travaille jour et nuit pour organiser le festival d'hiver. Du solstice d'hiver au jour du Nouvel An, elle est toujours occupée et avant qu'elle ne le réalise, la nouvelle année était de retour!",@Null@,Avatar: déverrouiller photo de profil,Empreintes: les empreintes d'agneau sont laissées partout où vous marchez.,@Null@,,,
